iter	Passed	Remaining
0	233	93110
1	296	58908
2	345	45681
3	392	38901
4	445	35224
5	495	32551
6	549	30860
7	597	29260
8	650	28240
9	703	27434
10	761	26933
11	816	26415
12	869	25895
13	927	25566
14	980	25174
15	1036	24879
16	1088	24513
17	1143	24277
18	1203	24128
19	1255	23861
20	1308	23617
21	1370	23549
22	1421	23292
23	1469	23027
24	1525	22884
25	1579	22716
26	1634	22581
27	1688	22435
28	1744	22318
29	1798	22179
30	1859	22130
31	1917	22054
32	1976	21984
33	2032	21877
34	2081	21706
35	2130	21542
36	2190	21495
37	2253	21466
38	2306	21349
39	2362	21259
40	2414	21141
41	2469	21050
42	2519	20914
43	2575	20838
44	2626	20717
45	2678	20614
46	2730	20511
47	2782	20402
48	2834	20304
49	2887	20211
50	2938	20107
51	2990	20011
52	3043	19923
53	3096	19838
54	3152	19774
55	3205	19690
56	3261	19625
57	3311	19527
58	3370	19480
59	3424	19405
60	3474	19310
61	3525	19217
62	3585	19179
63	3644	19132
64	3693	19034
65	3747	18964
66	3798	18878
67	3855	18821
68	3906	18741
69	3955	18648
70	4009	18579
71	4063	18513
72	4115	18435
73	4169	18368
74	4226	18314
75	4282	18256
76	4333	18177
77	4385	18105
78	4435	18022
79	4484	17939
80	4532	17851
81	4582	17770
82	4635	17703
83	4687	17635
84	4742	17574
85	4795	17509
86	4846	17438
87	4898	17368
88	4953	17307
89	5006	17244
90	5057	17173
91	5114	17120
92	5167	17058
93	5224	17006
94	5276	16938
95	5327	16869
96	5379	16802
97	5436	16754
98	5492	16700
99	5552	16657
100	5603	16589
101	5656	16527
102	5713	16473
103	5762	16401
104	5814	16335
105	5868	16278
106	5923	16219
107	5978	16164
108	6033	16106
109	6080	16031
110	6135	15975
111	6186	15907
112	6240	15849
113	6291	15784
114	6345	15726
115	6400	15670
116	6455	15613
117	6504	15544
118	6555	15480
119	6606	15414
120	6657	15350
121	6715	15302
122	6770	15248
123	6824	15190
124	6875	15126
125	6927	15063
126	6976	14996
127	7033	14945
128	7083	14880
129	7136	14821
130	7189	14762
131	7245	14711
132	7303	14661
133	7356	14603
134	7407	14540
135	7462	14485
136	7514	14425
137	7570	14373
138	7623	14314
139	7677	14258
140	7730	14199
141	7788	14150
142	7845	14099
143	7902	14048
144	7955	13990
