close,open,date,high,volume,low
444.2,445.0,2025-06-27,451.15,280701,443.1
454.6,449.85,2025-06-30,460.0,921272,446.1
463.9,455.15,2025-07-01,468.0,662172,452.95
465.05,464.2,2025-07-02,469.7,393778,455.6
463.65,465.05,2025-07-03,467.95,545237,458.1
460.25,464.95,2025-07-04,468.5,224492,453.65
455.05,460.0,2025-07-07,462.45,797672,451.2
450.65,455.05,2025-07-08,459.35,600315,447.0
449.35,451.65,2025-07-09,454.0,232900,448.1
453.1,457.95,2025-07-10,462.5,732760,448.0
451.7,454.5,2025-07-11,461.45,1587728,449.15
459.95,455.75,2025-07-14,461.05,717536,448.5
477.9,459.5,2025-07-15,488.65,2803430,454.6
504.65,477.0,2025-07-16,509.4,4028062,475.0
502.75,505.2,2025-07-17,505.85,1031291,491.8
504.7,504.55,2025-07-18,508.0,801464,494.0
516.35,520.0,2025-07-21,525.65,2900922,507.65
519.6,521.0,2025-07-22,531.35,2289070,516.35
516.75,520.0,2025-07-23,524.9,597919,510.2
511.7,518.75,2025-07-24,518.8,373287,508.2
496.4,511.75,2025-07-25,512.65,628033,494.95
516.55,525.0,2025-07-28,537.5,7043073,513.3
509.1,514.0,2025-07-29,515.7,723337,500.4
507.55,509.1,2025-07-30,519.85,664455,504.05
507.05,501.0,2025-07-31,509.55,396541,499.55
499.5,507.0,2025-08-01,509.55,378776,496.85
500.1,497.9,2025-08-04,505.0,338255,494.7
499.45,500.95,2025-08-05,503.75,271958,495.05
495.55,499.45,2025-08-06,501.4,301568,494.05
505.3,494.0,2025-08-07,507.0,683146,491.0
503.8,508.0,2025-08-08,509.15,473098,500.2
506.75,504.25,2025-08-11,515.55,720819,503.3
506.2,508.9,2025-08-12,509.3,346873,501.55
496.7,506.0,2025-08-13,508.5,343291,493.3
501.1,498.9,2025-08-14,504.3,271904,495.6
505.05,504.95,2025-08-18,510.3,425863,500.2
502.45,507.95,2025-08-19,507.95,307345,497.05
515.5,504.95,2025-08-20,518.65,690420,500.6
517.45,517.0,2025-08-21,522.0,579560,514.25
521.85,517.0,2025-08-22,523.95,620900,514.9
517.25,524.75,2025-08-25,530.0,773811,516.0
503.45,517.2,2025-08-26,519.95,547684,500.05
497.0,501.05,2025-08-28,504.55,251622,495.1
502.95,497.0,2025-08-29,508.35,677688,495.7
501.85,500.0,2025-09-01,507.9,460313,495.05
507.9,507.4,2025-09-02,515.95,437605,501.8
515.4,505.5,2025-09-03,518.9,746754,505.5
506.5,518.0,2025-09-04,519.6,260577,505.3
513.55,507.5,2025-09-05,520.45,291208,507.0
510.45,510.6,2025-09-08,515.9,227750,506.2
512.4,510.0,2025-09-09,518.95,405773,507.0
517.8,515.0,2025-09-10,522.4,291837,513.4
505.55,518.0,2025-09-11,519.0,240010,505.05
506.65,507.5,2025-09-12,509.5,561094,497.15
518.8,507.0,2025-09-15,519.95,591860,504.65
537.8,523.95,2025-09-16,544.5,3319761,521.0
538.3,544.0,2025-09-17,546.05,879830,532.1
