close,open,date,high,volume,low
448.0,458.0,2025-07-10,460.75,1470832,445.75
441.0,448.0,2025-07-11,451.2,1063711,440.0
443.3,439.0,2025-07-14,447.9,777134,436.5
451.8,446.0,2025-07-15,454.1,1225859,443.95
455.85,455.0,2025-07-16,459.65,987004,452.1
456.3,457.6,2025-07-17,458.0,436951,454.2
446.65,456.3,2025-07-18,456.95,1000844,444.8
441.9,447.0,2025-07-21,448.2,811618,440.5
422.95,444.9,2025-07-22,444.9,3733943,421.6
427.0,422.95,2025-07-23,429.9,1665826,417.5
433.7,428.0,2025-07-24,436.5,1529976,425.0
430.25,433.7,2025-07-25,434.6,1492835,424.35
428.5,430.85,2025-07-28,433.95,878616,427.5
442.1,429.0,2025-07-29,444.4,2116529,428.75
445.5,445.6,2025-07-30,450.6,1672861,441.5
420.05,439.95,2025-07-31,442.4,7184197,416.0
406.35,410.0,2025-08-01,417.75,2793245,404.2
395.1,407.65,2025-08-04,409.2,2620181,388.05
383.6,396.0,2025-08-05,398.55,2095359,382.2
386.1,384.9,2025-08-06,387.65,1679499,377.15
378.45,384.0,2025-08-07,384.0,2154850,374.0
375.1,379.0,2025-08-08,383.45,798438,373.0
374.9,375.1,2025-08-11,376.7,1139835,367.5
372.05,376.2,2025-08-12,377.65,1241922,370.3
382.75,374.1,2025-08-13,393.25,1939707,372.8
376.1,384.35,2025-08-14,384.6,523773,375.0
383.75,380.05,2025-08-18,386.05,726007,375.3
389.45,385.6,2025-08-19,390.5,579613,382.05
393.9,390.0,2025-08-20,395.75,776052,385.85
381.9,393.85,2025-08-21,393.85,820038,378.95
382.3,384.0,2025-08-22,386.45,419905,381.0
388.55,382.95,2025-08-25,389.5,463760,382.3
386.0,390.0,2025-08-26,391.65,964212,382.45
376.95,384.1,2025-08-28,384.8,610538,375.0
376.1,377.95,2025-08-29,381.9,374976,372.0
377.6,376.1,2025-09-01,379.6,329956,375.3
383.05,378.55,2025-09-02,385.9,449899,377.5
385.45,385.65,2025-09-03,389.0,639227,383.2
380.8,388.9,2025-09-04,388.9,482205,378.9
376.55,382.1,2025-09-05,382.75,478146,375.05
389.45,377.65,2025-09-08,394.2,1106620,376.4
388.0,389.95,2025-09-09,390.85,329228,383.95
388.9,389.0,2025-09-10,396.6,638993,387.05
391.75,388.9,2025-09-11,399.0,892452,388.4
389.4,393.0,2025-09-12,400.1,801682,388.05
388.9,391.25,2025-09-15,393.8,637584,385.65
390.6,390.0,2025-09-16,392.0,331823,387.85
390.2,391.0,2025-09-17,398.7,923708,388.3
390.9,391.0,2025-09-18,392.95,393380,388.05
393.2,392.3,2025-09-19,395.3,579074,390.45
389.6,394.0,2025-09-22,395.25,510700,388.0
386.55,388.05,2025-09-23,391.2,437684,385.0
383.35,388.0,2025-09-24,389.0,408562,381.0
380.4,383.35,2025-09-25,385.7,313850,379.05
374.6,380.0,2025-09-26,380.05,501448,371.5
372.85,374.65,2025-09-29,381.0,417374,370.1
374.9,372.85,2025-09-30,376.2,199058,371.0
379.6,375.75,2025-10-01,380.95,279854,373.5
380.6,379.6,2025-10-03,382.8,298752,379.0
377.45,380.6,2025-10-06,383.05,269106,376.55
377.35,377.5,2025-10-07,380.55,309941,376.0
375.25,378.7,2025-10-08,382.1,334224,373.1
380.5,375.2,2025-10-09,381.95,381620,373.1
378.0,383.0,2025-10-10,383.0,352041,376.55
381.8,378.05,2025-10-13,385.6,600197,377.45
375.0,382.9,2025-10-14,384.3,398564,370.0
371.8,376.15,2025-10-15,376.95,499520,370.0
376.55,374.1,2025-10-16,378.5,454463,372.6
374.8,376.6,2025-10-17,377.5,487906,370.75
372.65,376.1,2025-10-20,376.6,302076,371.8
375.1,375.0,2025-10-21,376.95,67762,372.7
379.3,378.0,2025-10-23,381.4,518815,375.75
381.7,381.65,2025-10-24,385.0,374700,376.5
380.45,383.0,2025-10-27,383.2,343034,378.45
377.9,382.0,2025-10-28,383.0,276534,376.1
385.85,377.95,2025-10-29,388.0,568580,377.95
382.8,387.0,2025-10-30,387.9,329093,380.85
379.95,384.9,2025-10-31,385.0,318152,379.0
388.65,379.95,2025-11-03,392.6,792351,379.5
385.1,389.15,2025-11-04,391.0,401749,383.1
390.5,385.55,2025-11-06,392.0,959594,380.0
391.8,404.95,2025-11-07,419.5,19375432,384.1
392.65,389.5,2025-11-10,399.25,1465034,387.15
386.55,394.0,2025-11-11,394.65,831103,384.8
397.1,388.5,2025-11-12,398.2,922213,387.9
393.3,397.15,2025-11-13,401.8,515815,392.0
393.0,393.8,2025-11-14,394.55,345678,388.75
395.3,393.0,2025-11-17,398.95,679377,392.0
389.8,394.0,2025-11-18,394.65,422930,387.0
390.2,391.0,2025-11-19,391.05,333594,386.7
386.85,391.0,2025-11-20,393.2,365324,386.0
384.75,386.0,2025-11-21,386.85,415110,381.4
380.8,384.05,2025-11-24,385.8,414285,379.25
379.75,380.7,2025-11-25,383.35,386120,378.0
377.95,380.95,2025-11-26,382.0,328550,376.65
380.8,379.2,2025-11-27,382.8,316093,377.4
382.3,383.0,2025-11-28,383.0,336980,378.4
380.45,384.35,2025-12-01,384.35,370652,379.7
377.1,382.35,2025-12-02,382.35,341256,374.5
370.05,377.5,2025-12-03,379.6,569843,369.3
369.65,372.4,2025-12-04,372.4,388395,368.15
363.05,370.0,2025-12-05,371.95,511583,362.0
351.15,366.05,2025-12-08,367.0,682596,350.1
349.7,351.8,2025-12-09,355.15,867839,345.05
353.8,352.2,2025-12-10,363.1,881059,351.15
357.0,355.9,2025-12-11,358.85,318695,351.0
356.95,359.25,2025-12-12,361.8,375112,354.5
376.3,363.0,2025-12-15,382.8,10283210,360.65
372.5,374.0,2025-12-16,375.95,597731,370.6
367.55,372.5,2025-12-17,372.65,421635,364.0
364.2,366.0,2025-12-18,367.3,357061,361.1
369.8,365.9,2025-12-19,371.7,417538,363.45
374.95,370.2,2025-12-22,376.45,438482,369.0
383.4,375.95,2025-12-23,392.7,1862889,373.4
379.7,384.0,2025-12-24,384.75,339257,376.35
376.4,377.85,2025-12-26,382.8,283089,375.55
376.6,376.0,2025-12-29,380.3,376839,372.45
368.1,373.65,2025-12-30,375.9,537049,365.9
373.9,369.55,2025-12-31,375.85,410166,369.5
375.7,375.8,2026-01-01,376.7,316338,369.4
376.95,375.4,2026-01-02,377.9,406773,371.45
372.7,376.0,2026-01-05,379.7,318296,371.15
375.05,372.7,2026-01-06,376.6,483658,368.1
375.9,374.7,2026-01-07,377.0,237522,372.0
368.65,375.9,2026-01-08,376.15,374128,366.85
361.65,367.45,2026-01-09,369.0,424559,360.65
357.95,361.65,2026-01-12,362.05,568662,352.55
363.0,358.05,2026-01-13,365.5,664023,355.8
362.0,362.0,2026-01-14,365.7,303834,360.1
354.6,362.0,2026-01-16,363.75,497481,353.3
353.45,354.0,2026-01-19,355.7,362111,349.35
345.75,351.5,2026-01-20,352.95,648340,343.6
340.0,342.2,2026-01-21,345.75,627315,338.05
346.45,342.0,2026-01-22,348.4,461444,341.2
352.8,347.8,2026-01-23,357.75,926961,345.3
350.15,352.0,2026-01-27,355.2,643789,346.15
355.6,350.15,2026-01-28,357.0,510117,350.15
354.95,355.6,2026-01-29,357.05,452707,349.3
371.95,355.0,2026-01-30,375.75,1128755,349.65
373.0,366.0,2026-02-02,375.1,733767,360.85
429.7,443.0,2026-02-03,444.0,14490359,412.0
442.9,429.7,2026-02-04,448.0,3803325,426.5
453.6,442.9,2026-02-05,456.4,2812963,439.05
440.95,451.2,2026-02-06,452.85,1339511,437.55
470.4,448.9,2026-02-09,471.9,3345576,443.15
467.8,470.9,2026-02-10,474.7,1469669,463.2
467.15,470.0,2026-02-11,470.0,796989,459.35
465.6,466.1,2026-02-12,468.0,870683,461.0
446.4,459.2,2026-02-13,460.0,739623,443.1
455.25,446.4,2026-02-16,462.25,824674,445.0
454.95,451.0,2026-02-17,456.95,447858,448.65
460.15,454.95,2026-02-18,468.8,691400,453.6
454.45,463.5,2026-02-19,466.95,621000,451.35
450.65,451.0,2026-02-20,454.35,471668,446.75
446.7,454.0,2026-02-23,457.0,536594,441.2
449.8,442.35,2026-02-24,453.05,683693,437.0
456.35,451.0,2026-02-25,458.35,470877,448.1
455.7,455.5,2026-02-26,457.9,401307,453.2
447.15,457.5,2026-02-27,462.95,517682,445.0
432.95,416.0,2026-03-02,450.25,1046432,416.0
412.5,422.95,2026-03-04,427.7,966227,400.0
421.85,412.0,2026-03-05,423.7,1124290,407.85
419.35,419.5,2026-03-06,423.75,661199,412.0
409.25,404.65,2026-03-09,411.4,719433,399.4
427.4,413.65,2026-03-10,428.35,733989,412.4
430.15,426.05,2026-03-11,431.4,847379,422.15
446.2,430.0,2026-03-12,456.75,3142764,420.3
420.75,447.95,2026-03-13,447.95,1148207,419.25
425.15,420.95,2026-03-16,429.35,1349323,412.65
424.95,425.15,2026-03-17,428.9,479552,416.4
432.9,424.95,2026-03-18,437.65,470759,422.75
