close,open,date,high,volume,low
270.75,271.0,2025-07-15,272.85,2160136,268.4
270.2,270.0,2025-07-16,272.1,2373145,268.6
269.0,270.2,2025-07-17,272.1,1681550,267.5
264.35,268.5,2025-07-18,269.55,2008441,264.0
271.05,263.9,2025-07-21,272.4,3754771,262.95
268.55,272.5,2025-07-22,273.75,2326982,267.55
268.6,269.0,2025-07-23,269.85,1964251,264.6
270.95,268.6,2025-07-24,272.0,2394933,264.7
260.35,266.8,2025-07-25,266.8,8927460,256.5
253.75,259.0,2025-07-28,260.45,4254167,252.75
252.35,252.1,2025-07-29,253.7,3727261,250.1
248.8,252.4,2025-07-30,252.65,3390277,246.6
256.65,246.8,2025-07-31,260.2,8649553,243.0
251.45,256.5,2025-08-01,256.6,3521144,250.05
278.45,251.5,2025-08-04,280.95,31881799,251.5
282.0,279.0,2025-08-05,284.0,17513902,273.0
277.15,282.0,2025-08-06,283.4,5716110,276.45
278.15,276.5,2025-08-07,279.05,4373593,271.35
271.8,278.45,2025-08-08,280.15,2495038,270.3
271.2,271.9,2025-08-11,273.8,2820715,267.0
268.05,271.5,2025-08-12,273.05,1633317,267.25
269.7,268.5,2025-08-13,273.25,3152426,267.25
273.0,270.0,2025-08-14,274.1,2219784,268.1
283.15,276.0,2025-08-18,287.4,7800519,275.0
287.35,284.75,2025-08-19,289.6,5366409,279.5
283.45,287.6,2025-08-20,288.0,2223764,283.0
291.3,283.45,2025-08-21,292.0,7184086,283.15
286.35,291.8,2025-08-22,292.4,4034083,284.75
285.2,287.5,2025-08-25,291.95,3780591,284.55
281.0,283.9,2025-08-26,285.4,3547904,280.1
277.45,283.0,2025-08-28,283.85,3644279,276.6
277.85,278.3,2025-08-29,282.75,4511984,277.15
280.05,280.0,2025-09-01,283.8,3770796,279.45
274.85,282.0,2025-09-02,282.3,5144661,273.6
279.25,274.85,2025-09-03,280.0,3806579,272.7
277.55,281.55,2025-09-04,281.75,3582121,275.8
281.1,276.0,2025-09-05,285.3,5029052,275.9
288.9,281.1,2025-09-08,291.5,5279796,279.15
289.7,289.0,2025-09-09,293.35,4789449,286.5
287.65,289.4,2025-09-10,292.1,3230278,286.55
290.0,289.85,2025-09-11,293.0,4102421,286.85
291.5,290.95,2025-09-12,295.0,5183899,288.9
290.7,292.4,2025-09-15,292.4,2760338,286.3
289.95,291.0,2025-09-16,294.5,3714809,289.1
283.95,291.0,2025-09-17,291.3,3795411,283.0
290.9,286.95,2025-09-18,293.35,6464459,286.0
289.15,290.95,2025-09-19,292.3,4509263,288.5
288.15,287.0,2025-09-22,293.8,4733434,286.65
291.45,288.9,2025-09-23,292.1,5157975,285.45
291.95,291.45,2025-09-24,299.4,9448934,290.5
286.5,293.0,2025-09-25,294.45,3221602,285.05
278.9,287.2,2025-09-26,287.95,4655764,277.7
289.85,280.25,2025-09-29,290.75,8153327,279.55
292.35,290.5,2025-09-30,294.8,4665517,288.05
299.85,292.5,2025-10-01,301.6,7156717,286.5
303.95,300.6,2025-10-03,304.95,7015658,297.6
304.05,305.0,2025-10-06,305.0,5190317,297.9
303.5,304.85,2025-10-07,307.8,5517581,302.25
295.25,300.5,2025-10-08,303.0,5342127,294.2
297.95,296.9,2025-10-09,299.0,2420997,294.95
293.35,297.95,2025-10-10,299.2,4281142,292.55
299.05,292.0,2025-10-13,300.4,5572609,289.9
298.0,300.45,2025-10-14,302.4,4315572,295.1
303.5,298.0,2025-10-15,305.35,3564186,298.0
300.0,303.5,2025-10-16,305.2,2120108,299.4
299.3,300.0,2025-10-17,301.8,2265020,296.8
305.35,301.0,2025-10-20,306.4,3365472,300.3
304.85,306.2,2025-10-21,306.8,442795,302.4
308.0,304.95,2025-10-23,311.8,4382309,303.7
306.15,308.85,2025-10-24,309.95,2651597,303.95
310.75,306.15,2025-10-27,311.9,2223082,305.5
312.6,316.1,2025-10-28,318.3,9270341,308.7
