close,open,date,high,volume,low
1196.2,1212.0,2025-07-11,1213.4,72979,1191.5
1179.8,1197.9,2025-07-14,1199.0,109723,1176.6
1169.0,1179.8,2025-07-15,1188.4,191692,1167.7
1156.1,1175.7,2025-07-16,1178.4,200237,1152.1
1149.2,1164.9,2025-07-17,1169.8,151005,1146.6
1140.6,1152.8,2025-07-18,1158.0,109658,1135.0
1137.6,1140.6,2025-07-21,1147.0,127221,1131.4
1144.6,1143.2,2025-07-22,1154.9,163084,1136.6
1140.6,1156.6,2025-07-23,1156.6,153723,1133.9
1128.9,1141.0,2025-07-24,1151.9,110048,1124.7
1102.4,1130.0,2025-07-25,1131.0,170202,1097.7
1092.7,1107.6,2025-07-28,1124.3,140295,1090.0
1118.6,1095.0,2025-07-29,1125.9,112164,1077.7
1137.3,1125.0,2025-07-30,1139.1,95878,1116.3
1132.5,1129.1,2025-07-31,1140.0,90902,1107.9
1115.0,1132.0,2025-08-01,1141.0,61724,1111.6
1105.1,1115.0,2025-08-04,1123.2,89821,1097.0
1093.6,1115.0,2025-08-05,1115.0,115677,1083.6
1080.9,1095.8,2025-08-06,1100.0,90813,1075.0
1104.9,1080.0,2025-08-07,1130.6,182704,1062.6
1078.1,1111.0,2025-08-08,1115.0,119283,1072.4
1008.6,1050.0,2025-08-11,1059.6,597508,1005.2
943.4,991.8,2025-08-12,1004.4,1466117,935.5
939.6,943.5,2025-08-13,958.5,776948,930.5
932.4,945.0,2025-08-14,952.8,346847,930.0
956.3,948.0,2025-08-18,979.7,539830,938.3
999.0,962.0,2025-08-19,1006.6,700976,960.0
999.8,1005.0,2025-08-20,1017.0,408047,996.2
997.7,1004.9,2025-08-21,1010.0,368111,988.1
985.4,996.1,2025-08-22,1002.0,297055,977.2
1080.5,995.6,2025-08-25,1103.9,8981829,991.6
1042.8,1078.8,2025-08-26,1079.5,817523,1039.4
1068.3,1042.8,2025-08-28,1102.8,2064029,1030.0
1053.5,1072.3,2025-08-29,1081.1,430656,1047.8
1071.5,1060.3,2025-09-01,1079.0,296954,1052.3
1082.3,1075.0,2025-09-02,1093.9,261675,1063.2
1096.8,1081.9,2025-09-03,1101.9,287429,1073.5
1072.2,1107.0,2025-09-04,1120.0,331769,1067.3
1056.6,1074.0,2025-09-05,1079.9,411285,1040.0
1061.2,1059.2,2025-09-08,1078.0,185295,1056.6
1143.4,1100.8,2025-09-09,1158.5,5194212,1085.1
