close,open,date,high,volume,low
2284.2,2259.0,2025-09-01,2288.0,425639,2252.1
2274.2,2291.0,2025-09-02,2302.0,481894,2264.0
2288.7,2285.0,2025-09-03,2293.0,443629,2263.1
2278.8,2309.9,2025-09-04,2317.3,392697,2275.0
2281.4,2275.0,2025-09-05,2293.5,443010,2248.0
2310.9,2290.0,2025-09-08,2333.9,542811,2286.0
2311.6,2320.0,2025-09-09,2325.0,369431,2297.0
2340.2,2330.0,2025-09-10,2345.9,390490,2325.1
2398.8,2348.0,2025-09-11,2418.7,2111888,2340.2
2392.0,2416.9,2025-09-12,2421.6,533971,2387.1
2383.4,2392.0,2025-09-15,2402.8,298129,2378.1
2399.4,2410.0,2025-09-16,2415.8,752979,2388.0
2402.0,2417.0,2025-09-17,2417.0,514354,2391.0
2402.0,2414.5,2025-09-18,2438.0,703730,2388.4
2524.0,2495.0,2025-09-19,2579.0,7965135,2466.1
2629.5,2535.0,2025-09-22,2659.0,7022985,2522.1
2676.4,2642.6,2025-09-23,2695.0,5610022,2593.0
2619.8,2655.0,2025-09-24,2676.0,1720785,2614.4
2576.4,2625.0,2025-09-25,2647.9,1489682,2567.0
2543.7,2572.8,2025-09-26,2605.0,1037808,2535.0
2509.5,2543.7,2025-09-29,2555.0,1012402,2505.0
2505.9,2522.0,2025-09-30,2535.0,712592,2490.6
2592.7,2518.4,2025-10-01,2603.4,1573485,2472.1
2589.9,2595.0,2025-10-03,2612.9,917651,2564.4
2573.5,2589.1,2025-10-06,2599.8,654955,2562.6
2542.2,2580.7,2025-10-07,2617.3,1120230,2533.1
2524.1,2562.0,2025-10-08,2565.0,1063357,2500.0
2542.4,2535.0,2025-10-09,2559.0,651703,2522.2
2550.9,2552.0,2025-10-10,2565.0,690142,2538.8
2527.4,2529.1,2025-10-13,2542.1,645483,2504.0
2517.0,2538.9,2025-10-14,2538.9,673048,2485.2
2532.8,2535.0,2025-10-15,2561.4,759772,2527.3
2557.6,2544.8,2025-10-16,2579.7,1020102,2540.9
2549.4,2560.0,2025-10-17,2577.2,682968,2543.1
2548.1,2561.3,2025-10-20,2579.0,747349,2537.1
2549.9,2554.9,2025-10-21,2562.0,101019,2542.3
2545.8,2559.9,2025-10-23,2577.8,852445,2540.9
2504.2,2554.8,2025-10-24,2554.8,473765,2497.7
2492.8,2504.2,2025-10-27,2514.6,478055,2487.1
2494.4,2495.0,2025-10-28,2516.0,626988,2479.1
2537.4,2500.0,2025-10-29,2600.0,1526734,2495.5
2526.9,2550.0,2025-10-30,2559.4,783328,2511.8
2481.0,2535.0,2025-10-31,2543.5,848642,2464.9
2467.0,2484.0,2025-11-03,2501.9,731108,2457.5
2419.8,2479.8,2025-11-04,2488.9,2072668,2390.6
2314.3,2425.1,2025-11-06,2427.1,1978147,2307.6
2369.4,2315.0,2025-11-07,2402.5,2232889,2291.4
2370.7,2380.9,2025-11-10,2388.0,559808,2364.0
2366.8,2368.0,2025-11-11,2378.9,634172,2338.5
2484.5,2384.0,2025-11-12,2517.5,6685426,2361.0
2488.2,2502.0,2025-11-13,2525.0,2706326,2468.1
2516.8,2500.0,2025-11-14,2553.7,4496233,2481.0
2462.0,2460.0,2025-11-17,2474.9,2672697,2421.0
2436.8,2462.0,2025-11-18,2478.6,1245215,2434.3
2433.1,2446.5,2025-11-19,2449.9,774785,2413.9
2446.1,2450.1,2025-11-20,2478.9,1526556,2440.4
2422.3,2450.0,2025-11-21,2456.2,547541,2418.0
2399.2,2426.2,2025-11-24,2432.3,691419,2393.1
2332.9,2400.9,2025-11-25,2407.7,2223715,2325.3
2315.0,2321.2,2025-11-26,2357.0,1026965,2310.0
2255.0,2310.0,2025-11-27,2320.5,1474038,2243.0
2280.2,2267.1,2025-11-28,2331.0,3037620,2247.8
2262.0,2300.0,2025-12-01,2304.0,1313265,2257.0
2239.6,2255.0,2025-12-02,2267.2,1035354,2232.2
2189.8,2240.0,2025-12-03,2245.0,1643852,2172.2
2217.9,2188.0,2025-12-04,2231.7,2522821,2183.4
2265.4,2217.9,2025-12-05,2268.6,2400781,2202.9
2216.2,2265.4,2025-12-08,2270.4,939764,2205.0
2245.2,2216.2,2025-12-09,2257.0,1227728,2178.4
2211.6,2255.8,2025-12-10,2267.5,935149,2204.1
2277.7,2225.0,2025-12-11,2293.9,1519832,2192.4
2282.4,2277.7,2025-12-12,2296.8,929199,2270.2
2278.9,2282.4,2025-12-15,2300.0,573027,2273.0
2247.9,2270.0,2025-12-16,2276.8,654714,2232.1
2232.5,2247.6,2025-12-17,2255.0,651509,2221.0
2229.3,2236.4,2025-12-18,2245.0,508238,2211.1
2239.0,2249.0,2025-12-19,2250.0,880005,2210.0
2263.5,2260.0,2025-12-22,2274.0,599195,2245.9
2248.8,2272.5,2025-12-23,2273.6,450112,2245.0
2222.7,2250.0,2025-12-24,2258.8,825693,2217.4
2229.9,2229.3,2025-12-26,2250.9,566237,2218.0
2203.2,2232.0,2025-12-29,2238.2,690691,2196.0
2214.7,2204.8,2025-12-30,2219.0,935026,2195.0
2239.7,2216.3,2025-12-31,2246.4,779141,2216.3
2260.0,2249.0,2026-01-01,2287.4,1046220,2241.0
2279.8,2260.0,2026-01-02,2283.7,715242,2259.0
2279.5,2287.0,2026-01-05,2303.9,696380,2274.3
2259.1,2288.9,2026-01-06,2290.4,698294,2248.1
2274.1,2265.0,2026-01-07,2284.0,529451,2243.0
2214.0,2275.0,2026-01-08,2275.9,792800,2205.0
2153.7,2214.1,2026-01-09,2216.0,1570376,2145.0
2171.6,2156.6,2026-01-12,2180.0,1257197,2119.0
2158.5,2187.8,2026-01-13,2187.8,791556,2141.1
2153.3,2156.0,2026-01-14,2169.0,618139,2142.0
2157.3,2162.8,2026-01-16,2193.9,758469,2152.1
2134.6,2155.0,2026-01-19,2156.8,749495,2123.0
2055.1,2134.0,2026-01-20,2139.9,1160975,2040.0
2032.2,2056.5,2026-01-21,2068.2,1354644,2004.1
2086.4,2055.9,2026-01-22,2102.9,942721,2051.0
1864.2,2080.5,2026-01-23,2082.5,7492631,1848.0
1959.5,1909.0,2026-01-27,1973.9,5449633,1893.0
1994.7,1985.0,2026-01-28,2004.0,2073198,1952.0
2019.2,1999.8,2026-01-29,2029.1,1391239,1972.0
2020.4,2005.0,2026-01-30,2038.8,1230915,1992.2
1995.4,1956.6,2026-02-02,2002.2,1229270,1934.0
2202.6,2150.0,2026-02-03,2233.4,6918581,2131.1
2228.2,2220.0,2026-02-04,2246.0,2051918,2189.2
2236.6,2232.0,2026-02-05,2243.7,992382,2210.0
2226.4,2226.1,2026-02-06,2238.0,933650,2200.4
2250.1,2250.0,2026-02-09,2288.0,1650899,2240.0
2228.4,2259.0,2026-02-10,2268.3,1670672,2171.0
2234.4,2232.9,2026-02-11,2237.7,682320,2215.1
2211.8,2229.0,2026-02-12,2229.5,649585,2201.0
2136.6,2210.0,2026-02-13,2210.0,1489548,2124.2
2184.6,2124.2,2026-02-16,2190.9,1824808,2103.2
2242.9,2170.0,2026-02-17,2252.0,1931699,2170.0
2211.2,2254.0,2026-02-18,2254.0,1149398,2188.1
2156.7,2218.9,2026-02-19,2218.9,1101633,2151.0
2160.8,2160.0,2026-02-20,2174.4,738454,2152.1
2191.0,2180.0,2026-02-23,2203.0,1103960,2155.3
2183.0,2168.6,2026-02-24,2204.7,1152423,2162.2
2231.7,2193.2,2026-02-25,2237.3,1474187,2180.1
2216.4,2230.0,2026-02-26,2232.4,915342,2200.1
2161.8,2210.0,2026-02-27,2216.4,1433096,2153.0
2124.6,2093.0,2026-03-02,2147.9,2134522,2073.7
2076.5,2104.6,2026-03-04,2104.6,1585848,2037.5
2089.2,2094.0,2026-03-05,2100.0,1231524,2040.0
2039.9,2079.1,2026-03-06,2090.0,1696027,2030.2
1999.2,1985.0,2026-03-09,2006.0,1305447,1940.4
1996.5,2030.0,2026-03-10,2030.0,1680405,1982.2
1974.7,2006.6,2026-03-11,2027.4,1088294,1970.0
2002.0,1960.0,2026-03-12,2026.0,1473773,1947.1
1961.1,1999.9,2026-03-13,2008.6,1195448,1945.0
1978.0,1961.0,2026-03-16,1994.8,1465828,1946.6
1975.4,1989.9,2026-03-17,1990.0,1268988,1945.0
2007.2,1988.9,2026-03-18,2027.0,1041095,1982.2
1936.8,1984.0,2026-03-19,1988.6,1510588,1930.0
1927.1,1951.0,2026-03-20,1974.4,1175662,1919.9
1833.0,1910.0,2026-03-23,1910.1,2370668,1820.5
1817.9,1892.7,2026-03-24,1893.0,11211381,1813.7
1886.6,1847.9,2026-03-25,1911.0,2537690,1839.2
1823.0,1880.0,2026-03-27,1883.2,2585257,1816.5
1758.8,1810.0,2026-03-30,1837.8,2825299,1753.0
1842.5,1825.0,2026-04-01,1870.0,2328166,1803.8
1834.2,1805.0,2026-04-02,1842.9,1830598,1770.1
1902.2,1836.9,2026-04-06,1909.0,3153437,1802.1
1882.1,1890.0,2026-04-07,1904.6,1566909,1865.0
2043.8,2000.0,2026-04-08,2099.0,4197831,1975.1
2040.5,2039.8,2026-04-09,2065.0,2481188,2010.3
2086.8,2043.1,2026-04-10,2094.6,1700162,2041.7
2129.0,2010.2,2026-04-13,2159.0,3729773,2000.2
2144.4,2187.0,2026-04-15,2200.0,1779015,2136.0
2203.7,2170.0,2026-04-16,2210.4,2188912,2161.1
2218.3,2240.0,2026-04-17,2240.0,2408901,2186.1
2229.6,2218.3,2026-04-20,2280.1,1795338,2202.2
2226.0,2229.7,2026-04-21,2255.0,1818221,2220.0
2260.8,2229.0,2026-04-22,2278.6,3517237,2224.1
2300.0,2243.5,2026-04-23,2333.9,2948009,2221.8
2287.6,2310.2,2026-04-24,2321.4,2271317,2227.0
2321.8,2300.2,2026-04-27,2337.0,1500864,2286.0
2412.4,2321.8,2026-04-28,2420.0,4375556,2320.9
2425.9,2427.6,2026-04-29,2443.8,4656967,2388.0
2408.4,2394.9,2026-04-30,2420.0,3538354,2328.8
2485.7,2390.4,2026-05-04,2515.0,6039537,2375.0
2462.0,2470.0,2026-05-05,2511.9,1622580,2450.0
2540.3,2475.5,2026-05-06,2546.5,3169133,2472.2
2513.7,2540.3,2026-05-07,2549.9,1098088,2506.2
2505.9,2519.0,2026-05-08,2546.1,1499613,2500.0
