close,open,date,high,volume,low
1015.6,994.4,2025-06-27,1046.9,6044564,993.0
1025.6,1020.0,2025-06-30,1034.5,2020543,1015.1
1015.7,1030.0,2025-07-01,1038.0,1836549,1007.2
1019.0,1020.0,2025-07-02,1031.4,1307248,1012.1
1008.5,1023.0,2025-07-03,1023.7,1234996,1005.0
996.8,1012.0,2025-07-04,1012.0,1565915,990.0
991.1,997.0,2025-07-07,998.8,863077,988.7
992.0,991.8,2025-07-08,1005.0,1069668,981.3
995.2,997.1,2025-07-09,1011.0,1480019,993.2
995.8,999.7,2025-07-10,1007.9,1057492,992.3
995.2,999.8,2025-07-11,1010.9,1850757,985.2
1025.9,995.8,2025-07-14,1036.0,5134094,994.2
1033.1,1027.0,2025-07-15,1042.0,2064201,1026.0
1038.6,1033.1,2025-07-16,1049.5,2548383,1033.1
1050.1,1039.0,2025-07-17,1054.9,2304002,1033.4
1030.2,1042.7,2025-07-18,1051.0,1787665,1024.4
1036.6,1031.2,2025-07-21,1042.1,877276,1024.1
1013.7,1037.0,2025-07-22,1042.2,1332756,1006.6
1033.9,1018.4,2025-07-23,1038.3,1733780,1017.0
1020.7,1035.0,2025-07-24,1037.1,1295384,1017.7
975.9,1021.8,2025-07-25,1021.8,2521495,973.0
1003.9,979.7,2025-07-28,1013.6,4051716,979.0
1015.6,1007.0,2025-07-29,1022.9,3489498,993.5
1009.7,1020.0,2025-07-30,1024.5,1365437,1007.0
984.7,985.5,2025-07-31,1007.5,2062250,980.1
972.6,988.8,2025-08-01,1007.65,1800185,968.0
989.8,980.0,2025-08-04,997.0,1280378,971.65
971.75,993.0,2025-08-05,996.4,1365079,965.2
957.55,975.9,2025-08-06,977.5,1204140,955.0
936.7,951.95,2025-08-07,955.15,3658631,903.5
914.05,939.85,2025-08-08,946.65,2051171,909.05
929.1,914.05,2025-08-11,933.15,1612977,908.0
930.9,929.1,2025-08-12,941.0,1096445,927.5
924.15,932.1,2025-08-13,938.45,1023795,919.5
917.5,925.0,2025-08-14,933.0,1031515,914.05
941.65,929.0,2025-08-18,955.55,1856211,925.75
973.4,942.05,2025-08-19,975.5,1886130,937.45
975.95,969.0,2025-08-20,984.0,1584174,967.95
966.6,976.0,2025-08-21,983.95,820006,964.15
957.2,965.0,2025-08-22,970.2,946994,952.9
964.1,958.35,2025-08-25,972.7,943859,958.35
931.25,964.15,2025-08-26,965.75,1462770,926.0
921.15,931.0,2025-08-28,935.0,1308868,917.1
913.5,920.15,2025-08-29,926.8,1477870,908.5
931.55,920.4,2025-09-01,933.7,839458,918.05
933.85,934.8,2025-09-02,943.45,967218,929.0
935.7,933.85,2025-09-03,939.55,626485,931.15
929.15,944.4,2025-09-04,954.15,865803,926.5
929.35,932.05,2025-09-05,935.0,847676,916.25
937.2,934.9,2025-09-08,945.0,1662382,931.85
943.7,941.9,2025-09-09,947.5,868754,935.8
963.35,946.5,2025-09-10,973.0,1995294,945.8
976.35,965.0,2025-09-11,1004.8,3601127,961.2
981.7,981.0,2025-09-12,986.55,1086098,975.45
986.7,984.0,2025-09-15,993.8,924070,983.45
987.85,991.45,2025-09-16,998.35,897176,984.05
979.45,992.0,2025-09-17,993.45,846865,977.3
978.9,982.0,2025-09-18,993.9,992415,974.3
1030.7,1025.0,2025-09-19,1071.0,17650332,1003.0
1152.15,1040.0,2025-09-22,1177.55,37416287,1035.85
1131.45,1164.0,2025-09-23,1177.3,14163567,1120.8
1095.25,1126.0,2025-09-24,1141.7,7615653,1090.45
1079.55,1096.05,2025-09-25,1115.0,5390958,1076.3
1047.4,1082.85,2025-09-26,1086.8,3774879,1040.4
1035.35,1053.9,2025-09-29,1062.95,3108705,1027.3
1026.85,1037.0,2025-09-30,1043.0,3520751,1010.5
1064.7,1031.8,2025-10-01,1070.0,4597346,1026.5
1070.3,1068.6,2025-10-03,1078.8,2348127,1054.3
1059.4,1070.3,2025-10-06,1076.1,1248757,1056.0
1060.7,1062.0,2025-10-07,1089.4,3579020,1057.3
1045.1,1063.0,2025-10-08,1064.3,2026547,1032.3
1051.5,1045.5,2025-10-09,1055.8,1148919,1042.7
1064.3,1048.1,2025-10-10,1072.2,1335270,1048.1
1051.3,1054.3,2025-10-13,1062.4,1572244,1043.2
1036.2,1052.0,2025-10-14,1054.7,1757848,1024.1
1043.8,1039.0,2025-10-15,1052.5,1161123,1034.1
1060.3,1055.0,2025-10-16,1067.0,1742078,1052.5
1036.7,1057.9,2025-10-17,1061.9,2132960,1035.0
1034.1,1043.0,2025-10-20,1045.5,1212007,1028.1
1040.0,1044.0,2025-10-21,1045.4,457938,1036.3
1044.7,1049.3,2025-10-23,1061.9,1888505,1040.9
1031.1,1049.4,2025-10-24,1049.4,1202737,1028.0
1017.1,1025.0,2025-10-27,1027.6,1762358,1015.0
1004.2,1020.5,2025-10-28,1024.0,1992608,998.6
1112.6,1028.0,2025-10-29,1145.0,36232727,1012.1
1140.1,1112.6,2025-10-30,1151.8,11727335,1088.7
1140.0,1145.0,2025-10-31,1159.5,5725034,1125.1
1105.2,1140.0,2025-11-03,1166.4,5611025,1097.2
1086.4,1109.9,2025-11-04,1112.9,3029132,1080.1
1060.5,1087.1,2025-11-06,1097.9,2533556,1047.0
1059.8,1060.5,2025-11-07,1075.1,3615119,1040.0
1041.3,1066.9,2025-11-10,1088.0,2240298,1035.2
1044.2,1049.0,2025-11-11,1051.0,1629631,1031.4
1070.8,1050.2,2025-11-12,1094.9,4147036,1050.2
1076.8,1080.0,2025-11-13,1088.0,1991752,1063.3
1068.8,1082.9,2025-11-14,1104.9,3567619,1060.0
1088.6,1074.8,2025-11-17,1092.5,2888868,1065.4
1077.6,1092.0,2025-11-18,1097.2,1414894,1075.0
1069.9,1080.2,2025-11-19,1084.5,2155114,1052.2
1060.0,1074.0,2025-11-20,1085.5,1354779,1057.0
1030.5,1060.0,2025-11-21,1063.1,2075493,1026.0
1009.4,1036.9,2025-11-24,1037.5,1618990,1006.0
1011.6,1010.5,2025-11-25,1022.9,1677553,1000.6
1034.4,1016.0,2025-11-26,1036.4,1318167,1012.5
1031.1,1040.1,2025-11-27,1042.0,1543218,1018.2
1048.2,1031.2,2025-11-28,1052.5,1626863,1024.6
1039.6,1041.1,2025-12-01,1052.0,2276452,1028.1
1022.6,1038.6,2025-12-02,1040.7,1544253,1017.7
1012.6,1024.0,2025-12-03,1027.3,1508973,1004.2
1013.4,1013.8,2025-12-04,1027.1,1349599,1006.8
1017.7,1013.1,2025-12-05,1022.5,1190798,1005.1
993.8,1016.1,2025-12-08,1021.0,1311474,990.0
998.9,993.9,2025-12-09,1010.5,2593247,980.6
989.8,1014.9,2025-12-10,1027.8,3913329,981.0
1018.8,995.0,2025-12-11,1026.4,5927384,975.0
1040.2,1024.0,2025-12-12,1042.0,2615096,1024.0
1047.6,1044.7,2025-12-15,1058.7,2027683,1038.9
1028.2,1044.0,2025-12-16,1044.0,1086779,1022.2
1020.7,1028.0,2025-12-17,1033.6,1263636,1017.0
1011.0,1016.6,2025-12-18,1022.0,1150470,1005.0
1020.9,1012.5,2025-12-19,1024.7,2498071,1007.2
1020.8,1022.0,2025-12-22,1028.8,954953,1018.3
1016.9,1021.8,2025-12-23,1027.0,829273,1013.3
1015.0,1018.0,2025-12-24,1024.3,835848,1012.2
1018.1,1015.0,2025-12-26,1027.0,834022,1011.5
1001.9,1018.1,2025-12-29,1019.8,830063,1000.0
1007.1,1002.0,2025-12-30,1011.6,2090689,998.3
1015.1,1013.0,2025-12-31,1018.8,637693,1009.2
1025.9,1019.7,2026-01-01,1045.0,2304811,1015.5
1038.8,1029.0,2026-01-02,1043.5,1544713,1026.4
1030.5,1039.0,2026-01-05,1044.7,1020610,1027.7
1019.4,1031.0,2026-01-06,1034.8,891487,1012.8
1019.2,1019.0,2026-01-07,1023.7,742308,1011.4
988.8,1024.1,2026-01-08,1024.1,1993966,982.9
946.1,988.0,2026-01-09,991.0,2326860,942.2
942.2,947.8,2026-01-12,949.1,2143293,921.2
936.7,952.4,2026-01-13,952.4,2066428,927.4
935.3,935.5,2026-01-14,945.0,774904,932.1
930.1,935.3,2026-01-16,946.8,1088002,926.3
914.0,928.0,2026-01-19,936.0,1203147,911.5
883.2,914.1,2026-01-20,927.0,2195862,878.0
878.7,885.5,2026-01-21,892.6,2259912,868.0
904.3,894.0,2026-01-22,916.4,1851769,889.1
772.8,909.0,2026-01-23,909.0,22973223,765.0
799.1,789.0,2026-01-27,819.2,13752483,768.1
822.9,809.0,2026-01-28,825.7,4377377,795.0
858.8,824.4,2026-01-29,864.8,7356835,816.5
852.3,854.9,2026-01-30,864.8,2887230,842.7
843.95,814.2,2026-02-02,847.9,3922655,807.0
932.1,924.0,2026-02-03,951.55,10826968,900.0
954.45,935.0,2026-02-04,970.9,4230654,920.35
967.15,954.0,2026-02-05,972.0,3102511,951.45
971.85,966.0,2026-02-06,974.95,1608144,954.25
982.65,985.0,2026-02-09,996.25,1645440,976.45
978.3,985.8,2026-02-10,987.8,2057124,953.05
994.75,977.0,2026-02-11,998.15,1489878,975.05
997.65,992.45,2026-02-12,999.6,1250477,980.05
950.5,988.9,2026-02-13,989.9,2943844,943.75
991.25,949.5,2026-02-16,999.0,4171950,936.45
1016.8,982.65,2026-02-17,1018.95,3770349,979.25
1000.1,1019.0,2026-02-18,1019.95,1964869,987.4
976.5,1000.1,2026-02-19,1005.0,1500530,970.0
968.25,976.4,2026-02-20,980.75,1221495,965.0
970.35,978.25,2026-02-23,987.55,1188654,962.0
981.35,970.15,2026-02-24,988.0,1290484,956.45
964.15,984.95,2026-02-25,988.6,1345367,960.0
965.95,964.15,2026-02-26,973.5,911136,956.55
947.35,960.35,2026-02-27,969.5,1156653,942.0
903.55,915.0,2026-03-02,926.95,3482707,880.25
871.95,880.0,2026-03-04,882.8,1976974,867.0
884.55,886.25,2026-03-05,889.75,4655262,864.6
858.4,879.6,2026-03-06,894.55,5784124,855.15
854.15,841.0,2026-03-09,858.0,1922632,825.0
856.9,875.0,2026-03-10,878.95,3240047,843.25
849.65,866.6,2026-03-11,877.9,3005645,846.9
866.55,849.6,2026-03-12,881.95,6591414,837.4
861.35,865.25,2026-03-13,878.75,6756426,844.0
866.95,861.35,2026-03-16,873.8,2609169,853.0
868.65,874.85,2026-03-17,874.85,2644896,848.05
891.3,872.05,2026-03-18,904.0,2315274,871.55
854.9,880.0,2026-03-19,882.05,2219917,850.6
863.1,865.45,2026-03-20,887.0,1990204,860.0
816.45,863.0,2026-03-23,863.0,2746629,810.45
839.55,833.0,2026-03-24,842.15,4139485,801.4
853.8,843.0,2026-03-25,868.75,2201430,843.0
832.5,850.45,2026-03-27,850.45,2328454,825.9
806.9,828.0,2026-03-30,839.0,3104906,802.0
851.95,829.95,2026-04-01,855.3,3454451,827.15
856.0,840.0,2026-04-02,863.95,9516053,814.75
921.1,857.0,2026-04-06,926.7,13113062,856.05
925.35,921.1,2026-04-07,934.9,4589372,910.05
