close,open,date,high,volume,low
1443.0,1448.4,2025-07-09,1455.8,1008636,1438.3
1443.1,1444.0,2025-07-10,1450.2,1035509,1437.2
1431.7,1444.0,2025-07-11,1453.9,819864,1428.3
1433.0,1432.0,2025-07-14,1446.5,718442,1426.1
1445.1,1434.4,2025-07-15,1449.3,735108,1429.0
1456.7,1447.5,2025-07-16,1474.0,2488981,1442.9
1452.5,1455.0,2025-07-17,1464.0,1168071,1448.9
1443.1,1452.4,2025-07-18,1456.5,1147990,1429.1
1450.5,1442.1,2025-07-21,1453.1,815780,1430.0
1420.7,1454.5,2025-07-22,1454.5,976668,1417.1
1420.8,1430.0,2025-07-23,1438.5,740816,1419.0
1411.6,1423.2,2025-07-24,1426.0,598011,1405.0
1396.3,1411.7,2025-07-25,1416.7,744410,1390.0
1376.0,1396.3,2025-07-28,1404.1,790020,1373.5
1395.9,1376.0,2025-07-29,1398.7,782760,1373.6
1394.0,1398.8,2025-07-30,1403.1,627316,1391.5
1373.1,1382.1,2025-07-31,1395.8,1412892,1370.3
1347.1,1371.0,2025-08-01,1375.9,1239941,1342.8
1388.9,1349.8,2025-08-04,1397.0,1368323,1345.2
1358.1,1392.0,2025-08-05,1394.2,3000067,1346.0
1367.1,1374.0,2025-08-06,1386.9,2293293,1358.1
1345.4,1351.0,2025-08-07,1357.9,2857406,1315.0
1325.0,1345.4,2025-08-08,1356.9,1561061,1317.7
1339.4,1325.0,2025-08-11,1348.3,2053173,1313.7
1330.5,1342.0,2025-08-12,1349.6,1260241,1328.2
1319.6,1335.2,2025-08-13,1339.3,1205658,1316.6
1300.3,1324.8,2025-08-14,1329.0,2298528,1290.5
1327.2,1321.9,2025-08-18,1332.0,10225114,1295.0
1369.4,1332.0,2025-08-19,1371.7,3150673,1325.0
1370.6,1369.4,2025-08-20,1374.6,1594619,1358.0
1361.8,1371.1,2025-08-21,1377.8,1227167,1355.3
1341.2,1364.0,2025-08-22,1364.0,1210284,1338.2
1340.4,1341.3,2025-08-25,1348.9,1214246,1332.5
1315.4,1335.2,2025-08-26,1339.9,1652272,1310.0
1315.4,1316.9,2025-08-28,1338.8,1785681,1311.2
1312.8,1318.0,2025-08-29,1322.9,1592903,1303.0
1335.3,1318.3,2025-09-01,1338.5,983914,1316.1
1336.2,1340.9,2025-09-02,1348.8,1495993,1328.2
1332.4,1338.0,2025-09-03,1344.8,1774676,1327.6
1328.2,1338.0,2025-09-04,1348.0,1350147,1326.0
1321.8,1330.0,2025-09-05,1335.7,1135666,1312.8
1348.3,1321.9,2025-09-08,1363.4,1445628,1321.9
1380.9,1354.7,2025-09-09,1385.0,3515252,1348.3
1389.1,1400.0,2025-09-10,1404.9,2553605,1385.0
1393.1,1404.9,2025-09-11,1423.1,4041646,1388.0
1393.1,1395.5,2025-09-12,1406.5,1466190,1391.1
1395.2,1393.1,2025-09-15,1409.0,1254831,1392.2
1408.2,1400.0,2025-09-16,1412.6,1636246,1396.6
1406.1,1410.0,2025-09-17,1413.1,1062568,1396.2
1412.8,1410.0,2025-09-18,1415.0,1416920,1401.0
1427.8,1447.8,2025-09-19,1460.0,8069167,1425.0
1444.2,1433.0,2025-09-22,1461.7,5490489,1425.0
1441.6,1453.0,2025-09-23,1455.0,2550337,1423.1
1431.6,1445.0,2025-09-24,1452.4,2603193,1429.1
1407.2,1431.7,2025-09-25,1439.9,1970560,1404.1
1392.0,1407.2,2025-09-26,1416.7,1899079,1390.3
1383.2,1393.6,2025-09-29,1401.3,1978395,1377.6
1403.5,1389.7,2025-09-30,1408.0,1999250,1387.2
1422.7,1406.0,2025-10-01,1426.9,1602493,1392.7
1419.1,1413.0,2025-10-03,1431.0,1576970,1412.5
1400.5,1419.1,2025-10-06,1419.1,1338654,1395.0
1399.5,1400.8,2025-10-07,1415.0,1608151,1397.3
1394.3,1399.4,2025-10-08,1411.1,1704405,1386.0
1395.6,1394.5,2025-10-09,1399.8,1250770,1388.4
1409.4,1400.5,2025-10-10,1418.0,1359246,1395.7
1437.8,1400.8,2025-10-13,1441.9,2245061,1396.0
1429.0,1440.0,2025-10-14,1442.2,2640234,1422.0
1450.7,1430.0,2025-10-15,1456.3,2675240,1430.0
1479.5,1454.0,2025-10-16,1490.5,6512312,1453.0
1479.4,1479.5,2025-10-17,1489.0,3290072,1462.5
1467.0,1488.0,2025-10-20,1489.0,2660484,1459.1
1473.5,1477.0,2025-10-21,1481.5,394024,1470.0
1453.1,1478.8,2025-10-23,1483.5,2999137,1450.3
1429.0,1463.0,2025-10-24,1463.5,1907383,1422.3
1420.6,1429.0,2025-10-27,1429.8,2280976,1410.0
1417.9,1425.9,2025-10-28,1435.0,2068057,1410.0
1454.8,1424.1,2025-10-29,1464.8,3578596,1421.6
1457.9,1458.0,2025-10-30,1463.0,1380931,1449.6
1451.5,1457.9,2025-10-31,1461.7,1141853,1443.0
1444.7,1451.5,2025-11-03,1457.4,1059573,1435.3
1444.4,1449.6,2025-11-04,1466.3,3554714,1432.0
1436.8,1452.1,2025-11-06,1466.3,2745063,1434.3
1448.3,1435.0,2025-11-07,1464.0,2184538,1425.0
1444.9,1452.2,2025-11-10,1463.9,1161695,1441.0
1474.4,1453.0,2025-11-11,1476.0,2258827,1437.8
1506.9,1477.0,2025-11-12,1515.0,4641466,1475.5
1499.0,1515.0,2025-11-13,1515.0,2304918,1487.8
1512.7,1500.0,2025-11-14,1523.6,2345593,1497.0
1507.6,1518.9,2025-11-17,1519.0,1750560,1503.0
1495.0,1518.9,2025-11-18,1518.9,1818617,1490.2
1484.2,1499.0,2025-11-19,1499.5,1746304,1478.0
1491.1,1500.0,2025-11-20,1505.0,1459401,1487.6
1479.8,1492.0,2025-11-21,1492.3,1165365,1467.1
1485.9,1482.0,2025-11-24,1490.2,2485518,1471.3
1483.9,1490.0,2025-11-25,1492.4,1355333,1474.5
1506.2,1484.3,2025-11-26,1523.0,3986754,1484.3
1509.1,1511.8,2025-11-27,1513.9,861910,1501.0
1516.9,1510.0,2025-11-28,1534.3,2612938,1503.1
1530.5,1530.0,2025-12-01,1549.0,4059126,1523.0
1518.1,1528.1,2025-12-02,1530.0,1974536,1510.0
1497.7,1514.0,2025-12-03,1524.0,1958074,1488.6
1505.6,1497.7,2025-12-04,1509.1,1591805,1490.2
1509.4,1504.6,2025-12-05,1514.0,1141428,1493.3
1480.5,1509.4,2025-12-08,1510.9,1070689,1472.6
1497.2,1476.9,2025-12-09,1499.2,1327921,1460.9
1498.1,1500.0,2025-12-10,1521.0,1677388,1493.6
1504.0,1496.0,2025-12-11,1515.0,1451645,1495.0
1522.8,1512.0,2025-12-12,1527.4,1152570,1509.5
1512.6,1522.8,2025-12-15,1522.8,850425,1508.1
1499.0,1512.6,2025-12-16,1512.6,1122212,1494.2
1486.3,1494.1,2025-12-17,1500.0,964352,1479.3
1495.7,1486.4,2025-12-18,1498.0,683681,1476.0
1496.4,1495.0,2025-12-19,1503.7,1276175,1490.7
1508.7,1497.5,2025-12-22,1515.0,1116833,1497.5
1493.6,1508.7,2025-12-23,1513.8,928446,1491.2
1494.3,1503.0,2025-12-24,1507.2,1318023,1492.0
1487.1,1499.6,2025-12-26,1501.4,876540,1485.0
1454.4,1487.1,2025-12-29,1487.1,1568472,1451.0
