close,open,date,high,volume,low
585.6,594.8,2025-08-13,594.8,1804693,583.5
584.05,586.9,2025-08-14,589.45,961767,581.1
598.75,590.1,2025-08-18,601.5,3212796,586.5
606.0,599.0,2025-08-19,608.0,2817641,596.3
599.95,603.95,2025-08-20,607.35,1401803,595.1
596.2,600.9,2025-08-21,604.0,994335,595.25
594.3,597.0,2025-08-22,602.95,1276557,592.0
605.65,595.15,2025-08-25,608.0,2687589,590.1
592.1,604.9,2025-08-26,605.0,2259169,590.0
594.95,590.0,2025-08-28,606.9,2803843,585.2
600.65,598.4,2025-08-29,603.2,3619098,583.5
606.85,605.9,2025-09-01,615.0,3328357,603.2
608.35,611.7,2025-09-02,611.7,2150899,601.5
609.3,611.0,2025-09-03,616.0,3070468,604.7
608.7,613.0,2025-09-04,615.6,1819617,606.55
609.7,607.95,2025-09-05,614.4,1994479,602.0
633.85,617.0,2025-09-08,649.6,16947857,614.05
643.65,638.0,2025-09-09,648.0,5547306,635.85
634.45,647.0,2025-09-10,658.55,6355659,632.5
624.65,638.5,2025-09-11,653.0,59602183,600.0
648.55,628.0,2025-09-12,650.5,9281587,627.8
644.15,656.5,2025-09-15,666.8,7780731,640.4
637.35,647.0,2025-09-16,648.3,4544645,635.8
630.5,639.9,2025-09-17,640.25,4177593,628.6
631.35,633.45,2025-09-18,635.3,3975262,626.0
709.4,676.0,2025-09-19,723.0,86324006,665.35
170.25,148.2,2025-09-22,170.25,134757185,147.3
162.35,179.9,2025-09-23,182.7,192595137,160.25
144.5,163.25,2025-09-24,163.7,135960455,142.1
149.0,145.5,2025-09-25,153.9,158371401,145.5
146.25,151.35,2025-09-26,152.9,65042463,144.7
146.65,148.7,2025-09-29,149.6,43205955,144.2
144.65,148.0,2025-09-30,148.25,22474749,143.9
152.51,144.95,2025-10-01,153.3,63059546,144.81
147.38,152.9,2025-10-03,153.0,124141027,143.15
151.99,148.0,2025-10-06,152.99,68647669,147.38
151.48,151.99,2025-10-07,155.4,55385781,150.35
148.78,151.7,2025-10-08,152.5,45821449,148.42
148.91,149.4,2025-10-09,149.98,26066621,147.44
149.7,149.1,2025-10-10,150.79,23705398,147.84
154.43,148.0,2025-10-13,155.75,64933221,147.52
154.9,155.01,2025-10-14,157.5,52873531,152.8
157.51,154.85,2025-10-15,158.0,64552739,150.43
157.37,158.1,2025-10-16,158.69,111085386,155.5
165.98,157.26,2025-10-17,168.0,170754425,156.77
170.3,168.05,2025-10-20,172.2,107477254,166.7
170.78,171.5,2025-10-21,174.39,26425161,168.0
165.26,171.05,2025-10-23,172.36,55330926,164.25
167.72,164.45,2025-10-24,169.18,44515519,164.0
162.96,168.5,2025-10-27,169.77,51617783,162.0
162.33,163.7,2025-10-28,164.22,29992980,161.1
162.1,163.28,2025-10-29,168.4,67870076,161.75
162.57,163.7,2025-10-30,164.7,64990603,160.2
157.85,161.6,2025-10-31,161.74,44708746,157.5
156.73,158.99,2025-11-03,158.99,22320044,156.1
158.39,156.0,2025-11-04,159.5,41404679,153.21
153.17,158.36,2025-11-06,158.38,24262835,152.33
151.48,152.99,2025-11-07,154.79,36644118,150.85
150.06,152.75,2025-11-10,154.48,19497818,149.5
151.17,151.49,2025-11-11,151.9,42377702,146.71
151.98,152.0,2025-11-12,153.78,27328382,150.66
151.85,151.98,2025-11-13,154.2,20557325,151.5
153.91,152.46,2025-11-14,155.99,26821173,152.2
153.28,155.35,2025-11-17,155.35,15162500,153.0
149.55,153.15,2025-11-18,153.88,22500220,149.12
151.61,150.3,2025-11-19,152.66,21355345,150.09
151.46,152.29,2025-11-20,153.4,11439592,151.0
149.12,151.0,2025-11-21,151.19,9642165,148.9
145.44,150.0,2025-11-24,150.3,13878210,144.8
146.84,145.44,2025-11-25,148.26,10803663,145.12
148.62,147.2,2025-11-26,148.9,10550909,146.35
148.13,149.15,2025-11-27,150.64,19409495,147.4
147.49,148.55,2025-11-28,149.09,10052836,147.2
147.34,148.21,2025-12-01,148.82,7759359,147.01
146.76,147.3,2025-12-02,148.18,6392786,146.05
144.97,146.9,2025-12-03,147.68,10331583,144.54
142.73,145.0,2025-12-04,146.84,11150119,142.31
143.78,143.0,2025-12-05,144.2,7231083,142.37
139.04,144.25,2025-12-08,145.16,14985881,138.21
141.8,139.04,2025-12-09,142.85,20828393,135.0
141.18,142.2,2025-12-10,143.5,7793397,140.7
140.58,141.0,2025-12-11,142.1,10479243,139.25
144.49,141.39,2025-12-12,145.0,13450435,141.39
144.38,144.49,2025-12-15,145.45,8949057,142.29
145.33,144.75,2025-12-16,145.8,12127744,143.94
143.0,145.4,2025-12-17,145.45,9798422,142.05
141.3,143.0,2025-12-18,143.0,6848190,140.7
141.76,141.5,2025-12-19,142.2,7869675,140.68
143.25,141.77,2025-12-22,143.7,9612058,141.77
144.3,143.8,2025-12-23,144.6,7437606,142.32
