close,open,date,high,volume,low
3430.4,3450.0,2025-07-10,3469.8,18749,3405.2
3359.7,3405.0,2025-07-11,3454.4,24024,3352.0
3349.6,3359.7,2025-07-14,3425.0,14149,3330.9
3398.2,3399.8,2025-07-15,3472.0,69410,3372.8
3386.0,3380.0,2025-07-16,3433.4,19455,3364.5
3447.5,3386.8,2025-07-17,3465.0,57640,3377.5
3368.0,3459.8,2025-07-18,3459.8,21895,3365.0
3345.7,3368.0,2025-07-21,3375.9,17578,3338.0
3337.8,3379.2,2025-07-22,3379.2,10611,3319.9
3354.5,3338.0,2025-07-23,3368.0,17034,3311.9
3323.6,3354.5,2025-07-24,3383.3,17844,3316.0
3258.9,3336.5,2025-07-25,3343.5,119186,3224.0
3221.3,3250.0,2025-07-28,3289.0,18290,3212.0
3183.2,3210.0,2025-07-29,3234.7,23710,3162.0
3195.3,3183.2,2025-07-30,3222.0,21757,3171.7
3132.6,3181.1,2025-07-31,3194.0,45435,3125.0
3094.8,3133.0,2025-08-01,3145.5,28970,3090.0
3069.3,3091.0,2025-08-04,3107.9,97545,3025.0
3142.0,3090.0,2025-08-05,3153.9,48085,3066.0
3190.5,3146.0,2025-08-06,3213.7,39080,3134.1
3150.0,3198.0,2025-08-07,3198.0,36198,3130.4
3088.6,3150.0,2025-08-08,3163.0,48427,3070.0
3112.7,3088.0,2025-08-11,3149.9,155874,3060.0
3100.9,3120.2,2025-08-12,3145.6,39362,3080.0
3132.5,3100.1,2025-08-13,3274.9,136280,3090.9
3118.6,3147.9,2025-08-14,3147.9,88838,3048.0
3119.2,3145.0,2025-08-18,3149.5,57752,3085.0
3127.4,3119.2,2025-08-19,3139.3,61326,3078.0
3096.5,3135.5,2025-08-20,3147.9,37829,3085.5
3115.6,3113.0,2025-08-21,3127.7,28687,3102.0
3107.7,3106.1,2025-08-22,3130.9,26993,3069.0
3090.1,3100.0,2025-08-25,3121.9,54878,3085.0
3039.7,3103.0,2025-08-26,3110.7,50492,3035.0
3017.4,3041.4,2025-08-28,3054.1,85088,3001.1
3056.3,3017.4,2025-08-29,3069.8,162363,3010.9
3090.6,3100.0,2025-09-01,3100.0,71181,3046.5
3113.9,3120.0,2025-09-02,3140.0,45344,3061.0
3075.3,3139.6,2025-09-03,3139.6,89544,3060.0
3071.4,3075.0,2025-09-04,3098.9,29316,3062.1
3052.4,3075.0,2025-09-05,3081.7,22175,3042.2
3022.3,3041.0,2025-09-08,3057.9,22180,3018.0
3033.3,3032.9,2025-09-09,3052.4,102447,3019.0
3062.2,3033.3,2025-09-10,3091.9,65941,3033.3
3035.1,3075.0,2025-09-11,3079.5,28906,3026.1
3087.9,3038.0,2025-09-12,3111.6,90818,3002.0
3109.0,3087.9,2025-09-15,3120.0,49874,3071.9
3100.3,3118.0,2025-09-16,3135.0,33050,3091.2
3123.9,3114.0,2025-09-17,3140.5,46634,3099.0
3136.6,3117.2,2025-09-18,3160.0,41360,3104.3
3074.9,3136.6,2025-09-19,3139.9,101114,3055.1
3049.8,3086.0,2025-09-22,3100.1,67086,3044.8
3055.7,3051.0,2025-09-23,3066.2,130583,3034.0
3070.2,3049.9,2025-09-24,3097.0,20959,3041.9
3099.0,3082.0,2025-09-25,3115.0,124502,3060.4
3069.9,3099.0,2025-09-26,3111.3,252735,3056.9
3062.8,3069.9,2025-09-29,3122.0,288042,3055.0
3053.3,3052.3,2025-09-30,3095.8,573799,3045.0
3247.8,3053.3,2025-10-01,3265.0,216421,3053.3
3224.3,3247.8,2025-10-03,3270.5,46298,3189.8
3178.2,3210.0,2025-10-06,3220.0,38170,3153.0
3173.2,3181.0,2025-10-07,3220.0,191462,3150.6
3224.2,3189.0,2025-10-08,3235.2,93815,3153.3
