close,open,date,high,volume,low
2646.4,2626.5,2025-07-14,2688.8,446241,2592.1
2697.7,2662.0,2025-07-15,2715.4,391927,2627.9
2787.8,2710.0,2025-07-16,2794.0,286047,2687.0
2786.4,2800.0,2025-07-17,2862.4,199770,2778.6
2772.8,2798.1,2025-07-18,2827.9,70713,2760.1
2777.1,2789.0,2025-07-21,2798.0,53764,2726.1
2740.0,2777.1,2025-07-22,2787.5,71889,2721.3
2718.6,2739.0,2025-07-23,2769.5,57815,2705.6
2796.4,2730.0,2025-07-24,2809.9,112337,2718.6
2784.3,2818.3,2025-07-25,2818.3,55787,2762.0
2767.1,2797.3,2025-07-28,2831.2,192973,2722.2
2823.2,2783.7,2025-07-29,2828.0,121375,2722.1
2800.5,2839.0,2025-07-30,2875.2,68741,2784.0
2751.4,2785.0,2025-07-31,2799.9,77158,2735.8
2695.2,2779.9,2025-08-01,2792.9,87356,2675.0
2636.3,2680.1,2025-08-04,2695.3,111926,2621.4
2635.8,2649.5,2025-08-05,2653.9,39533,2615.0
2541.4,2615.0,2025-08-06,2645.0,106341,2524.8
2619.1,2520.1,2025-08-07,2625.0,115878,2520.1
2605.5,2629.0,2025-08-08,2635.0,53989,2574.8
2649.3,2605.5,2025-08-11,2657.6,53928,2586.0
2697.3,2633.3,2025-08-12,2714.0,60197,2633.3
2671.7,2695.3,2025-08-13,2716.0,40260,2653.9
2685.9,2660.0,2025-08-14,2707.2,57958,2634.0
2691.0,2700.0,2025-08-18,2729.5,42490,2661.0
2703.3,2710.0,2025-08-19,2740.6,254993,2586.5
2683.7,2700.0,2025-08-20,2717.4,53958,2655.8
2656.5,2655.1,2025-08-21,2697.2,41950,2645.1
2638.5,2650.2,2025-08-22,2656.5,51046,2616.5
2622.0,2639.8,2025-08-25,2650.0,33499,2614.7
2579.1,2616.1,2025-08-26,2626.2,80420,2560.1
2508.3,2579.1,2025-08-28,2584.5,139895,2479.9
2477.6,2508.3,2025-08-29,2529.8,351127,2449.6
2452.0,2505.0,2025-09-01,2514.7,205528,2440.1
2480.0,2452.1,2025-09-02,2498.9,314197,2452.1
2557.5,2492.7,2025-09-03,2580.9,265931,2447.0
2600.7,2562.0,2025-09-04,2617.0,125198,2540.2
2614.1,2575.2,2025-09-05,2627.5,102989,2566.2
2590.7,2615.7,2025-09-08,2626.4,33822,2575.0
2561.3,2575.0,2025-09-09,2595.5,27521,2551.7
2593.8,2585.3,2025-09-10,2604.8,33869,2560.1
2572.0,2600.1,2025-09-11,2607.0,52553,2560.2
2579.1,2574.0,2025-09-12,2599.2,58267,2562.2
2549.6,2592.0,2025-09-15,2592.1,24309,2544.4
2555.8,2540.0,2025-09-16,2565.0,72794,2530.0
2560.9,2545.1,2025-09-17,2567.4,38251,2535.0
2548.4,2561.0,2025-09-18,2566.0,45617,2542.0
2544.6,2540.0,2025-09-19,2560.1,75435,2527.5
2539.2,2557.4,2025-09-22,2558.7,92964,2532.0
2544.9,2539.0,2025-09-23,2578.8,42742,2529.0
2531.2,2533.0,2025-09-24,2549.0,105355,2515.5
2489.4,2531.2,2025-09-25,2543.9,72077,2466.6
2465.2,2455.0,2025-09-26,2472.7,120743,2400.3
2424.7,2450.0,2025-09-29,2469.3,99154,2406.4
2406.3,2427.8,2025-09-30,2459.1,352085,2329.9
2398.2,2391.0,2025-10-01,2438.8,59633,2391.0
2401.8,2412.0,2025-10-03,2420.7,85006,2379.3
2431.3,2401.9,2025-10-06,2439.7,100950,2391.2
2459.3,2431.3,2025-10-07,2468.8,92147,2415.0
