close,open,date,high,volume,low
561.8,569.55,2025-08-28,569.95,1815158,559.6
563.2,563.0,2025-08-29,569.2,1166207,560.0
567.1,565.2,2025-09-01,569.9,1366250,563.45
567.25,568.1,2025-09-02,573.0,801958,564.3
573.75,570.0,2025-09-03,576.95,2203149,569.05
567.7,590.0,2025-09-04,596.3,6090485,566.05
566.7,572.0,2025-09-05,572.7,923506,562.5
570.3,570.0,2025-09-08,577.35,938525,565.05
567.6,573.0,2025-09-09,576.0,1107979,566.5
566.85,570.0,2025-09-10,572.6,1629387,566.4
560.4,566.8,2025-09-11,566.8,39018032,549.0
560.55,563.1,2025-09-12,568.0,3773680,559.8
568.75,562.65,2025-09-15,571.5,1812617,561.0
573.65,575.75,2025-09-16,578.45,2635252,570.5
582.05,577.85,2025-09-17,583.5,5524985,575.7
581.0,583.9,2025-09-18,584.25,2063929,576.5
582.45,588.0,2025-09-19,588.5,3482230,578.2
590.3,585.0,2025-09-22,600.8,4982920,581.2
591.6,591.95,2025-09-23,594.65,2989117,579.15
582.65,589.0,2025-09-24,598.35,2053504,581.65
579.4,585.0,2025-09-25,588.8,1932523,577.8
565.2,580.75,2025-09-26,581.8,1858418,564.05
562.15,570.8,2025-09-29,571.45,1344417,561.2
569.95,562.75,2025-09-30,573.2,1873402,562.75
571.1,572.0,2025-10-01,574.4,1195512,565.5
576.15,573.9,2025-10-03,579.95,2062648,570.3
573.8,576.15,2025-10-06,577.8,898456,571.0
569.95,573.0,2025-10-07,575.9,1122712,568.1
566.3,569.95,2025-10-08,571.7,1866324,556.3
565.9,566.4,2025-10-09,569.15,816362,562.05
569.25,565.8,2025-10-10,573.0,891468,564.5
566.75,565.2,2025-10-13,567.95,1134328,563.0
563.6,567.9,2025-10-14,568.1,975792,557.55
567.0,563.35,2025-10-15,569.0,1377329,563.35
569.7,569.5,2025-10-16,573.45,1111183,566.55
563.6,569.7,2025-10-17,569.7,931716,562.3
565.5,570.0,2025-10-20,570.0,950800,560.6
567.5,569.0,2025-10-21,569.2,166817,565.7
564.35,570.4,2025-10-23,574.5,2700038,563.0
555.0,565.0,2025-10-24,566.6,1704636,552.85
560.25,557.1,2025-10-27,561.9,2124784,552.25
554.9,563.0,2025-10-28,563.25,1487028,553.0
571.75,555.0,2025-10-29,575.0,3787089,555.0
567.9,574.0,2025-10-30,574.25,928349,565.0
565.4,567.9,2025-10-31,571.25,1161448,563.25
577.2,568.35,2025-11-03,582.75,6022756,566.7
567.4,582.8,2025-11-04,588.75,4438364,565.9
558.4,567.55,2025-11-06,569.35,1388630,557.1
558.8,558.5,2025-11-07,563.95,1593499,550.55
556.1,558.95,2025-11-10,563.0,916236,555.05
557.55,558.0,2025-11-11,561.1,1177397,552.15
562.55,560.0,2025-11-12,570.05,1748539,557.15
559.35,564.5,2025-11-13,566.2,685786,558.5
563.2,562.5,2025-11-14,564.8,1082167,558.7
560.3,564.7,2025-11-17,565.4,618154,559.25
557.8,568.0,2025-11-18,568.0,904843,556.75
555.3,557.4,2025-11-19,561.0,847533,554.5
555.75,562.0,2025-11-20,562.0,1248817,555.0
547.55,555.75,2025-11-21,556.05,1961101,545.0
544.6,548.85,2025-11-24,549.5,2247682,542.05
545.85,547.1,2025-11-25,548.35,693469,543.6
550.0,546.5,2025-11-26,552.0,948636,544.55
548.7,552.45,2025-11-27,553.3,481061,547.0
550.2,549.3,2025-11-28,551.85,602009,546.15
543.35,551.4,2025-12-01,551.8,766104,542.9
543.0,544.95,2025-12-02,547.0,1754719,541.0
535.35,546.9,2025-12-03,546.9,2219149,533.65
536.9,535.6,2025-12-04,543.5,2474836,527.6
533.8,536.9,2025-12-05,537.5,1243514,531.8
528.95,534.7,2025-12-08,540.55,1893815,526.55
533.05,528.1,2025-12-09,534.5,2139922,523.4
529.7,533.05,2025-12-10,536.5,904955,528.65
536.1,529.65,2025-12-11,537.35,2781951,525.45
548.15,536.9,2025-12-12,549.95,2488693,536.9
553.45,547.75,2025-12-15,556.3,1239318,542.95
548.7,553.0,2025-12-16,554.8,1901877,544.2
541.3,547.0,2025-12-17,549.9,518141,539.5
535.8,540.0,2025-12-18,542.3,834090,534.65
539.65,538.0,2025-12-19,540.9,836741,535.1
539.95,542.0,2025-12-22,545.2,872083,538.65
546.9,563.0,2025-12-23,563.5,9559898,544.25
548.1,550.0,2025-12-24,553.4,2136787,547.6
