close,open,date,high,volume,low
2666.9,2669.9,2025-08-18,2736.8,695745,2643.0
2677.8,2675.0,2025-08-19,2690.9,454427,2637.0
2720.8,2681.6,2025-08-20,2727.5,658250,2647.1
2537.8,2720.8,2025-08-21,2735.0,2567524,2529.6
2518.6,2545.0,2025-08-22,2568.0,1200174,2508.2
2446.9,2526.0,2025-08-25,2539.0,1562966,2435.2
2339.1,2447.0,2025-08-26,2451.2,1673085,2332.6
2259.4,2340.0,2025-08-28,2349.6,1504243,2251.0
2209.8,2279.9,2025-08-29,2297.5,1577470,2198.4
2266.6,2226.0,2025-09-01,2276.0,1115501,2195.0
2276.4,2287.0,2025-09-02,2324.1,983624,2243.0
2272.2,2289.0,2025-09-03,2289.0,824181,2251.0
2257.1,2299.0,2025-09-04,2340.0,686876,2249.6
2296.8,2269.9,2025-09-05,2304.5,837315,2252.8
2341.0,2320.7,2025-09-08,2349.0,786620,2305.1
2336.0,2350.0,2025-09-09,2356.0,338579,2323.1
2336.6,2350.0,2025-09-10,2375.0,814113,2273.2
2216.0,2338.0,2025-09-11,2339.0,2185343,2208.2
2222.3,2230.0,2025-09-12,2251.0,999466,2210.0
2252.0,2235.0,2025-09-15,2274.0,1432290,2212.6
2230.4,2256.0,2025-09-16,2256.0,628221,2215.0
2248.5,2240.0,2025-09-17,2266.0,599592,2229.9
2265.6,2258.3,2025-09-18,2282.0,508314,2250.8
2266.6,2252.6,2025-09-19,2278.0,494144,2235.0
2248.0,2260.0,2025-09-22,2265.0,371998,2230.1
2227.9,2240.0,2025-09-23,2256.0,806750,2182.1
2202.4,2228.0,2025-09-24,2267.2,616548,2182.8
2194.9,2195.0,2025-09-25,2230.0,548073,2188.0
2136.4,2190.0,2025-09-26,2201.0,647903,2120.0
2124.9,2138.0,2025-09-29,2152.5,1341520,2102.1
2132.5,2139.0,2025-09-30,2139.0,662023,2101.0
2173.5,2140.0,2025-10-01,2182.9,518648,2117.6
2201.3,2185.0,2025-10-03,2218.7,429291,2171.8
2265.2,2211.0,2025-10-06,2271.6,1059917,2172.7
2250.5,2277.0,2025-10-07,2309.0,1137247,2230.4
2217.5,2242.0,2025-10-08,2259.0,555881,2210.2
2264.6,2225.0,2025-10-09,2279.0,723562,2213.0
2303.3,2264.5,2025-10-10,2319.4,1026736,2253.0
2340.7,2289.3,2025-10-13,2366.0,1209214,2255.4
2404.6,2363.9,2025-10-14,2435.0,3116178,2347.4
2445.2,2406.9,2025-10-15,2460.7,1343403,2381.0
2482.6,2440.0,2025-10-16,2530.3,3242812,2433.1
2496.5,2468.1,2025-10-17,2559.0,1585685,2460.7
2499.6,2508.8,2025-10-20,2525.0,583078,2492.5
2497.8,2509.0,2025-10-21,2513.8,109769,2486.0
2511.0,2505.9,2025-10-23,2533.4,525144,2480.5
2514.5,2508.0,2025-10-24,2519.0,397482,2486.5
2577.0,2514.0,2025-10-27,2585.1,736854,2508.1
2537.9,2580.0,2025-10-28,2588.0,535221,2513.1
2511.7,2491.0,2025-10-29,2521.8,716950,2450.4
2513.1,2513.0,2025-10-30,2532.9,324753,2495.1
2492.4,2513.1,2025-10-31,2536.0,1011363,2409.0
2563.8,2492.4,2025-11-03,2569.8,623626,2486.2
2518.4,2560.0,2025-11-04,2584.2,621997,2509.9
2486.5,2530.0,2025-11-06,2559.8,721587,2480.0
2616.4,2480.0,2025-11-07,2625.0,1865591,2446.0
2606.4,2622.0,2025-11-10,2673.3,1230066,2600.0
2641.4,2606.4,2025-11-11,2656.9,750372,2602.0
2679.5,2663.0,2025-11-12,2710.0,1783272,2637.8
2713.5,2680.0,2025-11-13,2768.3,1167192,2666.4
2745.3,2713.5,2025-11-14,2757.0,536041,2710.7
2847.4,2759.0,2025-11-17,2864.9,1513166,2755.1
2793.4,2839.0,2025-11-18,2867.0,744032,2785.0
2813.9,2794.0,2025-11-19,2850.0,714090,2779.0
2814.3,2813.9,2025-11-20,2850.0,700861,2793.3
2748.1,2812.0,2025-11-21,2819.0,554218,2741.0
2678.5,2753.0,2025-11-24,2765.4,487775,2673.9
2687.7,2665.0,2025-11-25,2706.9,427865,2661.0
2749.5,2694.0,2025-11-26,2760.0,456508,2682.5
2764.2,2759.9,2025-11-27,2770.0,444280,2732.8
2703.8,2763.9,2025-11-28,2763.9,733603,2676.0
2763.4,2709.0,2025-12-01,2776.0,658606,2707.8
2814.2,2752.7,2025-12-02,2825.0,1167875,2746.9
2670.2,2775.0,2025-12-03,2775.0,2600046,2644.1
2625.0,2660.3,2025-12-04,2685.0,1042860,2618.0
2641.7,2622.1,2025-12-05,2653.0,511846,2600.1
2542.6,2626.0,2025-12-08,2655.0,662965,2521.5
2533.5,2533.0,2025-12-09,2540.4,506923,2459.2
2478.3,2534.9,2025-12-10,2550.0,507470,2460.0
2577.4,2490.0,2025-12-11,2583.9,638720,2464.5
2595.3,2588.0,2025-12-12,2604.6,425175,2560.0
2582.5,2580.0,2025-12-15,2608.0,311330,2560.0
2532.4,2577.9,2025-12-16,2581.1,366458,2522.1
2504.6,2543.0,2025-12-17,2550.0,311711,2491.0
2479.1,2510.0,2025-12-18,2554.9,694593,2468.5
2518.1,2490.0,2025-12-19,2524.9,588239,2449.1
2581.6,2518.3,2025-12-22,2592.4,520494,2514.8
2557.1,2581.9,2025-12-23,2585.3,298077,2539.7
2523.8,2550.0,2025-12-24,2576.0,410374,2520.1
2495.8,2521.8,2025-12-26,2547.1,454602,2484.7
2410.2,2494.2,2025-12-29,2498.7,774828,2403.0
2347.1,2406.7,2025-12-30,2415.9,2650632,2325.0
2344.0,2374.8,2025-12-31,2395.0,923550,2331.0
2362.8,2352.0,2026-01-01,2375.0,474163,2320.7
2387.9,2375.0,2026-01-02,2402.7,1052817,2357.0
2402.0,2380.1,2026-01-05,2427.0,871363,2366.4
2411.3,2407.0,2026-01-06,2454.7,462973,2390.3
2470.6,2400.0,2026-01-07,2481.9,553833,2391.3
2412.6,2510.0,2026-01-08,2517.4,1538452,2398.1
2333.5,2424.3,2026-01-09,2429.2,807688,2313.0
2368.5,2335.0,2026-01-12,2375.0,1008249,2297.6
2439.3,2378.0,2026-01-13,2455.0,1328986,2375.0
2525.4,2445.1,2026-01-14,2532.0,1313670,2435.0
2752.2,2588.0,2026-01-16,2766.7,5582743,2580.0
2695.1,2765.0,2026-01-19,2778.6,1172964,2680.4
2635.8,2694.0,2026-01-20,2694.1,910266,2624.0
2531.9,2609.0,2026-01-21,2629.6,1116127,2518.0
2566.6,2557.2,2026-01-22,2606.9,588128,2541.0
2515.1,2566.6,2026-01-23,2604.9,522156,2501.2
2543.1,2515.2,2026-01-27,2560.0,442718,2492.0
2615.1,2559.8,2026-01-28,2621.8,572526,2556.6
2588.4,2615.1,2026-01-29,2638.0,299541,2563.9
2540.9,2575.0,2026-01-30,2598.4,486693,2511.0
2401.3,2313.0,2026-02-02,2417.5,1816812,2256.1
2587.8,2500.0,2026-02-03,2663.9,2816376,2500.0
2686.7,2590.0,2026-02-04,2695.0,1390887,2566.7
2645.0,2665.0,2026-02-05,2682.3,604584,2626.1
2642.0,2618.1,2026-02-06,2648.5,469671,2565.2
2715.5,2652.0,2026-02-09,2724.6,704225,2649.9
2783.0,2724.0,2026-02-10,2808.7,870730,2716.2
2781.1,2780.0,2026-02-11,2800.0,485122,2764.1
2752.0,2768.0,2026-02-12,2768.0,458423,2705.3
2698.3,2709.0,2026-02-13,2733.4,603593,2669.8
2572.8,2529.9,2026-02-16,2600.0,1996002,2441.0
2570.2,2565.1,2026-02-17,2609.9,882255,2541.4
2591.8,2583.0,2026-02-18,2654.8,907111,2575.9
2509.6,2609.0,2026-02-19,2625.0,853537,2502.2
2496.3,2509.0,2026-02-20,2543.9,674949,2482.5
2491.3,2524.0,2026-02-23,2530.0,526335,2468.0
2460.2,2491.1,2026-02-24,2495.3,568449,2454.0
2489.9,2474.0,2026-02-25,2504.0,947656,2415.0
246.5,251.0,2026-02-26,254.9,7992020,241.4
233.2,242.1,2026-02-27,244.2,8282159,229.9
226.32,220.1,2026-03-02,231.62,7012943,220.0
221.75,222.2,2026-03-04,223.25,5600383,217.52
224.68,223.8,2026-03-05,225.88,4622589,220.74
219.56,226.5,2026-03-06,230.51,9633447,218.2
218.96,215.0,2026-03-09,219.99,8704812,209.0
225.31,222.99,2026-03-10,226.5,4421152,220.25
218.53,226.05,2026-03-11,227.7,4391522,217.8
213.07,216.0,2026-03-12,217.5,10674079,212.36
215.58,212.82,2026-03-13,218.38,10402529,208.63
216.63,215.58,2026-03-16,217.9,9982288,210.62
216.98,218.0,2026-03-17,221.2,10682186,214.5
236.21,217.9,2026-03-18,237.9,25414506,217.16
232.42,230.0,2026-03-19,234.91,9785627,228.01
231.32,235.9,2026-03-20,237.8,6007983,230.0
220.91,227.0,2026-03-23,228.6,6295384,218.8
230.44,226.99,2026-03-24,231.49,6207473,223.15
241.67,233.5,2026-03-25,243.8,8880739,233.1
235.27,238.0,2026-03-27,243.0,7528583,233.72
227.53,229.8,2026-03-30,234.39,6704081,226.0
240.6,238.96,2026-04-01,244.45,9009539,238.01
240.85,233.0,2026-04-02,241.92,7690927,228.45
246.05,241.0,2026-04-06,246.91,5924466,236.7
246.1,245.0,2026-04-07,248.0,3628752,242.33
267.62,255.0,2026-04-08,269.0,16338003,253.01
281.8,270.0,2026-04-09,284.2,29671494,265.8
280.99,281.49,2026-04-10,287.9,14403261,279.54
280.46,273.0,2026-04-13,282.8,6934623,273.0
297.76,287.8,2026-04-15,298.9,21051102,286.12
292.61,299.35,2026-04-16,301.5,14443355,288.72
322.47,302.0,2026-04-17,324.4,80869288,297.51
319.16,322.6,2026-04-20,327.95,23135454,314.2
324.05,319.35,2026-04-21,326.65,13064927,318.73
328.59,324.05,2026-04-22,330.23,11503789,323.21
321.21,328.0,2026-04-23,328.0,6611292,320.31
314.52,322.81,2026-04-24,323.0,9294838,309.51
318.64,316.85,2026-04-27,322.98,5143144,316.52
319.27,318.15,2026-04-28,320.43,4252695,316.0
313.1,319.27,2026-04-29,323.4,4413662,311.79
308.71,311.36,2026-04-30,311.55,3939153,306.12
307.7,308.7,2026-05-04,313.5,5085193,303.95
314.4,307.9,2026-05-05,317.5,6117395,303.7
316.85,316.75,2026-05-06,318.6,5077995,310.6
322.6,318.4,2026-05-07,324.7,6220705,315.55
326.0,322.0,2026-05-08,334.95,12373135,319.0
317.2,323.75,2026-05-11,326.95,4569661,316.15
299.1,315.65,2026-05-12,315.95,8637203,296.95
298.15,300.1,2026-05-13,303.4,4043706,297.05
303.7,300.3,2026-05-14,306.3,8288598,290.8
306.85,305.3,2026-05-15,311.55,6072039,303.15
303.95,302.8,2026-05-18,305.0,4296924,298.4
328.0,303.95,2026-05-19,330.0,20805019,303.9
325.0,326.4,2026-05-20,328.55,6591462,321.25
339.65,327.8,2026-05-21,343.3,25211127,327.0
339.35,341.95,2026-05-22,345.65,10307977,335.65
346.45,342.0,2026-05-25,348.7,8423076,342.0
344.45,347.0,2026-05-26,351.0,6678864,343.0
336.95,345.0,2026-05-27,350.25,6777475,335.05
337.3,338.45,2026-05-29,344.0,5635640,335.3
335.6,341.0,2026-06-01,345.55,6444968,334.05
342.65,334.6,2026-06-02,344.75,6132413,331.9
334.75,343.0,2026-06-03,343.35,6426900,327.6
337.7,334.0,2026-06-04,343.55,6699518,334.0
332.6,337.7,2026-06-05,342.4,13273649,319.5
325.7,325.9,2026-06-08,334.9,3744837,323.0
337.55,327.9,2026-06-09,339.2,3829623,326.75
329.85,339.9,2026-06-10,340.0,4260935,328.4
323.75,328.0,2026-06-11,334.85,3670471,321.65
339.5,329.0,2026-06-12,340.3,7318502,325.05
352.3,344.0,2026-06-15,356.15,14953832,342.85
348.25,353.0,2026-06-16,353.45,6190114,342.9
348.7,349.95,2026-06-17,351.5,5718044,343.75
352.8,350.0,2026-06-18,356.8,9021106,347.55
353.7,355.0,2026-06-19,360.45,9378921,349.65
354.8,354.9,2026-06-22,356.2,3096581,350.5
342.1,354.8,2026-06-23,355.5,8493464,339.05
340.65,342.0,2026-06-24,344.0,4035048,335.75
335.25,341.5,2026-06-25,344.75,3444464,334.7
328.75,332.5,2026-06-29,337.45,4882849,327.1
330.65,329.75,2026-06-30,333.5,4561949,328.15
340.4,330.0,2026-07-01,342.0,7010898,327.55
346.15,340.4,2026-07-02,347.85,7636906,336.2
352.25,342.9,2026-07-03,356.75,8341417,342.5
345.95001220703125,352.0,2026-07-06,352.0,5921684,342.1000061035156
335.79998779296875,345.95001220703125,2026-07-07,347.6000061035156,7501256,334.0
331.20001220703125,335.0,2026-07-08,341.79998779296875,8691740,327.54998779296875
341.1000061035156,331.3500061035156,2026-07-09,342.95001220703125,7520611,331.3500061035156
346.04998779296875,345.1499938964844,2026-07-10,349.5,4098272,342.54998779296875
340.25,342.6000061035156,2026-07-13,345.0,4644027,335.54998779296875
333.54998779296875,340.0,2026-07-14,340.25,4844017,332.20001220703125
343.3999938964844,335.25,2026-07-15,346.29998779296875,9543269,334.25
334.79998779296875,347.04998779296875,2026-07-16,355.29998779296875,24213988,332.75
328.95001220703125,337.04998779296875,2026-07-17,337.3999938964844,7922582,323.04998779296875
324.3500061035156,328.04998779296875,2026-07-20,329.79998779296875,6430720,323.54998779296875
321.8999938964844,324.3500061035156,2026-07-21,326.3999938964844,5275917,320.79998779296875
312.3999938964844,322.1499938964844,2026-07-22,323.0,7822438,311.0
306.04998779296875,311.75,2026-07-23,314.8999938964844,4792678,303.70001220703125
307.95001220703125,304.5,2026-07-24,310.79998779296875,3428644,301.20001220703125
304.20001220703125,309.8999938964844,2026-07-27,312.5,7598986,302.95001220703125
302.6000061035156,305.5,2026-07-28,306.45001220703125,3436258,299.0
302.5,303.0,2026-07-29,305.5,3943980,299.0
291.6499938964844,302.0,2026-07-30,302.0,15177794,290.04998779296875
297.95001220703125,293.0,2026-07-31,299.95001220703125,4625643,292.5
302.0,299.8999938964844,2026-08-03,302.5,4480327,296.29998779296875
300.3500061035156,301.0,2026-08-04,305.04998779296875,5036779,299.0
299.20001220703125,302.0,2026-08-05,303.0,3664035,296.6000061035156
298.70001220703125,299.20001220703125,2026-08-06,300.8999938964844,993482,297.25
292.0,297.04998779296875,2026-08-07,298.75,4093490,289.04998779296875
294.79998779296875,292.0,2026-08-10,295.6499938964844,4072320,287.6000061035156
291.3999938964844,294.79998779296875,2026-08-11,296.8999938964844,6593782,289.79998779296875
291.0,290.75,2026-08-12,291.0,4504503,285.25
292.0,290.70001220703125,2026-08-13,292.45001220703125,1987069,288.5
287.29998779296875,292.0,2026-08-14,294.29998779296875,3895625,286.25
293.5,287.0,2026-08-17,295.6499938964844,4085186,282.1499938964844
291.75,293.3999938964844,2026-08-18,293.3999938964844,7260031,281.6000061035156
289.5,291.75,2026-08-19,294.3999938964844,2506534,288.8500061035156
289.5,290.6000061035156,2026-08-20,296.29998779296875,3675101,289.04998779296875
287.79998779296875,289.5,2026-08-21,292.3500061035156,3614261,287.1499938964844
