close,open,date,high,volume,low
466.8,449.4,2025-07-02,470.9,7350179,448.55
462.6,469.5,2025-07-03,471.0,2422706,461.25
459.15,462.95,2025-07-04,467.0,564868,456.25
460.4,459.05,2025-07-07,463.6,488674,455.6
471.75,460.0,2025-07-08,475.0,1947914,457.5
473.9,473.0,2025-07-09,476.55,2041391,468.1
472.25,476.0,2025-07-10,477.1,918686,470.05
458.6,468.0,2025-07-11,470.7,1096347,457.0
453.5,458.0,2025-07-14,461.45,768813,451.8
459.45,456.0,2025-07-15,461.5,871453,455.05
455.2,459.0,2025-07-16,462.5,723679,454.3
458.15,457.3,2025-07-17,473.0,2921723,455.25
455.15,458.9,2025-07-18,461.0,507733,454.2
450.55,455.0,2025-07-21,455.95,759137,446.45
449.55,452.0,2025-07-22,454.95,369290,448.0
457.95,451.7,2025-07-23,458.9,563753,448.55
459.1,457.95,2025-07-24,465.5,779549,455.7
455.05,459.0,2025-07-25,459.85,442237,452.35
451.95,455.75,2025-07-28,461.7,547315,447.45
455.9,451.9,2025-07-29,458.5,259720,449.05
460.05,457.95,2025-07-30,463.25,465687,455.05
449.7,456.5,2025-07-31,460.75,405420,447.05
440.85,450.7,2025-08-01,454.7,227026,439.2
441.45,444.0,2025-08-04,444.8,250458,437.05
439.85,442.3,2025-08-05,446.15,256491,438.75
435.1,439.85,2025-08-06,443.85,417114,431.1
436.25,435.1,2025-08-07,438.35,227665,427.7
434.2,425.6,2025-08-08,437.8,519716,421.0
438.9,434.25,2025-08-11,440.95,282065,430.0
446.65,441.0,2025-08-12,448.95,451459,434.8
444.65,446.65,2025-08-13,446.95,492562,438.0
432.3,444.65,2025-08-14,445.6,612195,430.05
464.45,436.8,2025-08-18,468.75,2446895,431.0
466.3,462.0,2025-08-19,468.0,1237000,455.8
467.3,467.0,2025-08-20,469.7,606469,462.0
464.7,467.35,2025-08-21,467.95,519012,460.0
465.75,464.45,2025-08-22,467.5,562831,456.5
465.8,465.95,2025-08-25,471.3,756689,463.0
456.55,465.8,2025-08-26,465.9,718649,455.0
457.55,456.5,2025-08-28,462.15,609203,453.5
462.2,459.75,2025-08-29,463.55,681893,454.7
467.6,464.5,2025-09-01,471.5,993342,463.25
487.8,469.0,2025-09-02,493.0,6936286,467.0
485.65,491.05,2025-09-03,495.7,1536058,482.4
485.5,492.0,2025-09-04,497.8,2501551,481.05
482.8,486.0,2025-09-05,488.0,572558,479.05
480.0,484.95,2025-09-08,491.0,638840,478.35
481.4,482.65,2025-09-09,485.0,447151,477.25
479.55,483.5,2025-09-10,483.9,875353,473.1
477.8,480.15,2025-09-11,480.3,642776,475.15
475.45,480.15,2025-09-12,481.0,1390599,470.0
479.2,476.0,2025-09-15,486.4,975708,470.55
486.25,480.5,2025-09-16,491.0,1587021,479.75
483.45,493.95,2025-09-17,499.0,2095486,482.25
484.55,486.7,2025-09-18,491.0,610388,481.25
480.65,485.0,2025-09-19,485.05,947737,476.05
486.4,483.0,2025-09-22,490.4,1131081,481.35
489.05,486.4,2025-09-23,497.65,2074346,486.35
494.7,490.75,2025-09-24,495.8,1568815,483.5
493.25,494.35,2025-09-25,495.9,1016220,488.2
479.9,492.0,2025-09-26,492.0,806706,472.55
465.55,483.25,2025-09-29,483.25,884958,464.0
472.95,469.25,2025-09-30,474.3,1138550,465.55
467.65,472.95,2025-10-01,473.0,799502,463.25
473.15,469.2,2025-10-03,475.5,1242296,466.25
474.7,475.0,2025-10-06,479.0,772008,470.4
478.5,475.1,2025-10-07,480.35,384205,472.9
486.9,478.1,2025-10-08,493.9,1132727,476.8
484.85,490.25,2025-10-09,491.5,588201,479.65
488.25,485.8,2025-10-10,489.7,617231,483.5
485.35,486.55,2025-10-13,488.0,432097,478.75
480.7,486.0,2025-10-14,488.65,456892,477.5
486.8,481.35,2025-10-15,488.0,332343,479.05
489.95,487.2,2025-10-16,490.6,742685,484.7
488.45,492.0,2025-10-17,503.0,2551939,485.05
507.0,493.4,2025-10-20,512.55,3460910,488.75
515.15,510.0,2025-10-21,518.0,537454,507.4
513.95,515.0,2025-10-23,517.0,1413312,504.25
499.8,514.05,2025-10-24,517.0,1097426,497.1
505.55,500.0,2025-10-27,511.45,736362,499.0
504.5,513.0,2025-10-28,529.8,3352963,500.65
505.55,506.0,2025-10-29,508.5,488457,501.3
503.0,506.85,2025-10-30,510.7,733764,500.05
501.5,506.25,2025-10-31,508.75,305198,500.25
509.45,500.05,2025-11-03,513.4,839770,499.4
522.35,509.95,2025-11-04,528.5,2697240,509.9
505.8,522.35,2025-11-06,524.35,562329,504.5
515.4,506.9,2025-11-07,520.8,865620,497.5
522.0,515.4,2025-11-10,524.95,645982,515.4
520.4,522.25,2025-11-11,523.95,455201,515.05
532.35,522.0,2025-11-12,533.85,1684497,520.9
536.9,533.45,2025-11-13,539.25,769551,532.35
518.7,534.0,2025-11-14,540.5,1305213,516.6
514.0,525.0,2025-11-17,538.9,1082641,512.55
522.8,514.0,2025-11-18,528.95,1296744,503.6
522.65,524.05,2025-11-19,528.25,912099,515.55
519.25,523.0,2025-11-20,525.65,387466,517.5
512.4,517.25,2025-11-21,523.4,361031,511.0
528.15,511.9,2025-11-24,538.0,1268776,511.55
522.05,530.0,2025-11-25,530.7,303594,520.5
521.45,524.25,2025-11-26,526.65,535179,518.1
518.95,521.25,2025-11-27,522.25,166766,516.8
514.0,519.0,2025-11-28,522.05,267746,513.15
516.35,517.35,2025-12-01,523.95,445396,514.1
519.25,518.5,2025-12-02,528.0,1411085,517.0
535.2,521.7,2025-12-03,538.5,1517255,519.55
530.6,531.7,2025-12-04,539.2,1001462,526.5
521.45,531.5,2025-12-05,536.2,661593,518.25
520.35,524.05,2025-12-08,528.45,528025,518.0
524.6,520.35,2025-12-09,531.0,1168279,519.0
520.75,526.0,2025-12-10,529.45,383487,517.6
514.1,523.0,2025-12-11,523.0,235971,512.05
510.0,514.95,2025-12-12,518.5,413327,507.1
506.5,510.0,2025-12-15,510.5,324549,504.0
511.0,508.9,2025-12-16,513.2,587035,506.3
499.3,511.0,2025-12-17,511.0,398588,498.1
495.95,499.2,2025-12-18,500.45,631506,494.25
507.05,496.0,2025-12-19,513.75,1434222,491.0
509.75,507.05,2025-12-22,512.45,379016,503.55
512.1,512.1,2025-12-23,519.95,762056,506.25
511.7,512.8,2025-12-24,513.95,624578,507.05
505.8,511.7,2025-12-26,511.7,343635,504.1
496.55,507.0,2025-12-29,512.0,735336,494.75
494.1,497.0,2025-12-30,500.45,560939,492.85
500.0,497.5,2025-12-31,502.15,432342,494.5
