close,open,date,high,volume,low
818.1,818.0,2025-08-12,828.9,34393.0,814.1
821.8,821.95,2025-08-13,828.0,83823.0,812.15
837.0,828.0,2025-08-14,845.0,122266.0,810.0
867.9,845.0,2025-08-18,876.4,365265.0,840.0
872.35,870.0,2025-08-19,875.1,171090.0,861.8
873.55,871.95,2025-08-20,875.15,159745.0,864.1
859.9,870.0,2025-08-21,901.0,764848.0,855.55
882.85,859.0,2025-08-22,887.55,258286.0,858.95
884.45,888.0,2025-08-25,895.6,200737.0,873.25
873.45,880.0,2025-08-26,887.8,161688.0,867.15
867.85,862.3,2025-08-28,874.0,157391.0,847.45
836.3,869.5,2025-08-29,872.55,228009.0,832.85
858.95,838.4,2025-09-01,870.95,560877.0,838.4
843.65,867.85,2025-09-02,867.85,88304.0,838.3
836.3,844.1,2025-09-03,853.6,83032.0,834.05
815.4,840.95,2025-09-04,849.1,108664.0,810.95
810.25,816.85,2025-09-05,820.4,71476.0,805.55
834.25,812.9,2025-09-08,840.0,107181.0,806.35
875.7,834.0,2025-09-09,884.0,824961.0,826.8
859.1,876.85,2025-09-10,885.0,339708.0,855.35
862.15,859.95,2025-09-11,866.45,97059.0,847.1
846.9,861.85,2025-09-12,865.75,77193.0,845.15
893.8,865.0,2025-09-15,899.0,605645.0,851.0
887.75,904.9,2025-09-16,906.95,354849.0,876.0
901.35,885.0,2025-09-17,905.0,282292.0,883.25
916.75,901.05,2025-09-18,922.3,407030.0,898.55
878.6,916.05,2025-09-19,916.05,553300.0,871.1
885.15,882.95,2025-09-22,890.8,117339.0,876.55
916.25,884.1,2025-09-23,920.95,484489.0,882.65
913.5,916.25,2025-09-24,932.8,320075.0,907.8
909.65,909.5,2025-09-25,933.0,217562.0,906.25
906.7,913.5,2025-09-26,926.5,398234.0,886.15
875.2,895.6,2025-09-29,904.2,369113.0,865.85
855.7,877.7,2025-09-30,895.0,356907.0,840.0
868.5,865.45,2025-10-01,880.0,207586.0,856.9
895.6,876.2,2025-10-03,898.0,173597.0,870.0
878.6,903.7,2025-10-06,905.5,86980.0,875.1
872.35,885.35,2025-10-07,887.65,61382.0,870.0
867.05,875.0,2025-10-08,877.6,45155.0,862.0
865.5,871.9,2025-10-09,874.6,44576.0,863.0
899.95,867.95,2025-10-10,910.95,379623.0,866.45
899.15,895.0,2025-10-13,908.0,188755.0,879.95
899.85,905.0,2025-10-14,907.6,89500.0,891.25
901.8,899.85,2025-10-15,910.75,177732.0,879.8
913.7,903.85,2025-10-16,951.0,1198454.0,899.55
941.3,913.75,2025-10-17,947.4,441464.0,909.05
926.6,940.0,2025-10-20,943.0,157821.0,923.85
938.9,929.95,2025-10-21,945.0,28365.0,929.0
935.15,934.0,2025-10-23,942.9,91815.0,924.0
944.7,935.15,2025-10-24,950.0,154922.0,925.1
953.45,950.0,2025-10-27,956.0,210579.0,935.2
933.15,955.0,2025-10-28,959.7,83052.0,930.0
944.5,938.0,2025-10-29,948.0,45587.0,927.55
939.7,939.75,2025-10-30,944.9,101861.0,930.05
922.9,943.95,2025-10-31,950.0,115812.0,910.1
929.75,927.5,2025-11-03,938.0,116127.0,919.0
956.75,932.0,2025-11-04,960.5,368252.0,926.45
921.0,915.5,2025-11-06,928.0,788812.0,876.5
934.8,914.95,2025-11-07,943.45,134790.0,900.0
946.1,925.0,2025-11-10,949.0,98879.0,923.25
967.85,941.4,2025-11-11,970.0,219092.0,939.0
969.55,965.0,2025-11-12,980.8,173571.0,958.5
971.15,970.0,2025-11-13,985.6,143184.0,961.3
969.35,965.0,2025-11-14,974.0,83068.0,965.0
998.5,972.7,2025-11-17,1005.0,202100.0,968.05
1001.5,1002.1,2025-11-18,1012.5,116509.0,981.55
987.4,997.0,2025-11-19,998.9,54856.0,983.65
997.35,993.9,2025-11-20,1002.0,85031.0,990.1
983.35,997.0,2025-11-21,1001.6,40995.0,976.8
1052.65,984.9,2025-11-24,1074.0,4789005.0,980.0
1029.25,1047.0,2025-11-25,1047.0,342840.0,1020.1
1028.3,1027.6,2025-11-26,1036.7,151901.0,1005.0
1024.1,1030.95,2025-11-27,1034.35,73037.0,1019.2
1020.7,1025.0,2025-11-28,1033.0,69822.0,1017.0
1057.9,1031.0,2025-12-01,1074.0,442667.0,1025.8
1066.4,1060.1,2025-12-02,1073.4,252376.0,1050.0
1043.3,1066.8,2025-12-03,1071.5,73620.0,1030.1
1051.9,1037.5,2025-12-04,1055.0,64866.0,1032.1
1027.1,1052.0,2025-12-05,1055.4,97560.0,1017.4
1028.3,1032.0,2025-12-08,1055.0,123766.0,1014.1
1005.4,1028.3,2025-12-09,1031.0,187471.0,989.8
994.2,1000.0,2025-12-10,1021.6,69457.0,986.8
998.8,1000.0,2025-12-11,1004.9,68850.0,982.5
996.2,1000.9,2025-12-12,1017.5,179756.0,992.0
1009.7,999.2,2025-12-15,1011.9,60966.0,999.2
990.5,1010.0,2025-12-16,1010.0,64813.0,986.1
993.7,991.9,2025-12-17,1009.6,67341.0,990.1
982.1,1002.9,2025-12-18,1002.9,135261.0,955.6
1008.7,983.9,2025-12-19,1017.6,760159.0,975.0
1007.9,1007.7,2025-12-22,1010.5,97033.0,992.9
986.3,1015.8,2025-12-23,1015.8,84583.0,978.4
969.9,990.0,2025-12-24,990.1,47997.0,966.0
995.5,973.0,2025-12-26,1002.8,108886.0,962.8
963.9,988.0,2025-12-29,988.0,321334.0,945.1
1037.6,967.9,2025-12-30,1069.0,1175718.0,945.0
1015.0,1031.1,2025-12-31,1032.5,305535.0,992.4
997.6,1008.0,2026-01-01,1018.9,62796.0,992.5
992.1,999.0,2026-01-02,1004.9,54590.0,988.6
972.1,992.1,2026-01-05,995.8,84077.0,968.0
969.5,980.0,2026-01-06,981.3,48670.0,965.8
1007.7,974.0,2026-01-07,1020.0,268710.0,963.0
976.1,1000.0,2026-01-08,1002.7,88277.0,967.7
949.1,976.1,2026-01-09,979.9,55729.0,940.0
921.4,943.9,2026-01-12,943.9,139861.0,911.0
959.1,930.0,2026-01-13,964.0,83575.0,918.0
951.5,958.0,2026-01-14,958.0,82754.0,931.0
947.3,951.5,2026-01-16,957.3,51977.0,934.6
930.6,940.0,2026-01-19,945.0,80001.0,913.1
905.6,935.0,2026-01-20,937.9,77064.0,894.1
939.5,905.6,2026-01-21,945.0,120259.0,879.5
961.3,939.9,2026-01-22,966.5,55865.0,931.3
942.9,961.3,2026-01-23,964.3,52985.0,931.2
991.9,941.0,2026-01-27,999.2,168336.0,911.5
970.3,993.0,2026-01-28,993.1,63203.0,964.1
961.8,968.0,2026-01-29,970.7,54586.0,947.8
1001.8,964.8,2026-01-30,1023.0,299450.0,946.5
992.2,994.6,2026-02-02,1015.0,95507.0,962.3
992.8,1004.0,2026-02-03,1015.7,97908.0,985.6
963.3,992.8,2026-02-04,994.0,77314.0,959.0
968.9,967.9,2026-02-05,980.4,51090.0,962.0
976.2,961.9,2026-02-06,982.3,75413.0,936.9
979.2,970.0,2026-02-09,981.8,87514.0,963.2
977.9,984.1,2026-02-10,984.4,36278.0,968.3
979.6,981.0,2026-02-11,990.0,42869.0,970.0
972.9,975.1,2026-02-12,979.6,19427.0,965.2
958.1,962.0,2026-02-13,964.5,28494.0,950.0
937.4,953.0,2026-02-16,955.9,33392.0,932.9
956.2,937.4,2026-02-17,961.9,51116.0,927.1
950.7,956.2,2026-02-18,958.9,15745.0,944.0
933.8,950.7,2026-02-19,956.9,22652.0,930.0
948.4,935.0,2026-02-20,954.0,29024.0,928.4
951.9,948.4,2026-02-23,960.0,59073.0,930.7
933.6,940.9,2026-02-24,941.0,38140.0,923.4
931.4,935.9,2026-02-25,939.6,46229.0,924.7
938.8,933.0,2026-02-26,943.0,48599.0,926.8
900.7,935.0,2026-02-27,939.0,247826.0,880.6
850.85,865.0,2026-03-02,887.5,152110.0,840.25
860.2,840.0,2026-03-04,868.7,188788.0,815.0
843.55,859.0,2026-03-05,860.0,105634.0,826.05
828.85,831.0,2026-03-06,843.95,45217.0,825.0
835.7,800.0,2026-03-09,844.9,118642.0,785.1
879.25,838.9,2026-03-10,890.0,184828.0,826.8
864.55,880.0,2026-03-11,887.5,26535.0,858.0
856.2,864.45,2026-03-12,867.95,30626.0,837.45
830.0,852.0,2026-03-13,852.0,33608.0,825.0
839.7,825.0,2026-03-16,844.9,44055.0,814.05
839.9,840.0,2026-03-17,856.75,64823.0,832.35
864.4,841.0,2026-03-18,955.0,11209621.0,841.0
841.4,859.5,2026-03-19,874.35,566173.0,832.5
810.45,843.0,2026-03-20,848.7,349611.0,805.05
801.85,807.1,2026-03-23,826.95,1034045.0,782.1
813.0,807.9,2026-03-24,822.95,207653.0,775.1
836.75,817.5,2026-03-25,846.5,137758.0,811.3
817.1,835.0,2026-03-27,836.45,114749.0,805.55
784.4,806.0,2026-03-30,818.4,163988.0,776.0
822.7,814.0,2026-04-01,828.4,90611.0,800.1
821.6,814.95,2026-04-02,824.0,72258.0,790.75
815.9,815.0,2026-04-06,825.0,286793.0,799.1
805.4,816.0,2026-04-07,819.0,50906.0,801.7
854.65,838.0,2026-04-08,860.8,124887.0,827.75
