close,open,date,high,volume,low
124.8,124.6,2025-07-24,125.45,10435772,124.35
121.95,124.55,2025-07-25,125.15,6422937,121.6
122.75,121.95,2025-07-28,125.0,10627268,121.6
123.3,122.85,2025-07-29,124.05,6535234,122.1
121.9,123.3,2025-07-30,123.35,5517480,121.6
121.05,120.95,2025-07-31,122.2,11333155,119.45
120.35,121.05,2025-08-01,121.25,13653423,117.72
122.6,120.35,2025-08-04,123.35,10209776,120.16
121.97,122.6,2025-08-05,122.98,5769803,121.3
120.73,122.45,2025-08-06,122.49,4414208,120.55
119.81,120.0,2025-08-07,121.54,10739005,118.16
115.42,119.81,2025-08-08,120.39,10860600,115.1
120.02,115.9,2025-08-11,120.34,13024457,114.96
119.36,119.53,2025-08-12,120.29,4155268,118.9
119.73,119.7,2025-08-13,121.05,4597540,119.15
121.96,120.0,2025-08-14,124.0,19020549,119.29
131.76,125.1,2025-08-18,132.8,80821577,125.1
133.28,131.76,2025-08-19,133.55,40387936,127.11
133.1,134.3,2025-08-20,134.31,20564141,132.2
131.01,133.15,2025-08-21,133.81,16695588,130.8
131.2,131.01,2025-08-22,132.1,11093419,129.63
131.01,131.41,2025-08-25,131.87,5255625,130.37
131.37,130.51,2025-08-26,132.36,13267634,129.91
129.82,131.35,2025-08-28,131.9,7709689,129.48
126.98,129.68,2025-08-29,130.24,10674470,126.76
128.03,127.35,2025-09-01,128.51,15300044,125.85
130.39,128.71,2025-09-02,132.79,15084908,128.46
130.23,131.8,2025-09-03,132.38,14455278,128.3
128.01,132.4,2025-09-04,132.66,20498606,126.54
130.77,128.24,2025-09-05,132.23,19576052,128.24
137.29,132.0,2025-09-08,138.2,33590663,131.37
135.06,137.54,2025-09-09,137.7,15017284,134.82
134.01,135.98,2025-09-10,136.13,15726944,132.72
133.56,134.26,2025-09-11,134.66,12684319,132.26
134.09,133.6,2025-09-12,136.14,18257240,132.77
133.94,134.11,2025-09-15,136.0,10539375,133.19
134.54,134.3,2025-09-16,135.57,9836983,133.99
