close,open,date,high,volume,low
2352.1,2375.4,2025-07-24,2380.0,506960,2341.0
2336.2,2340.0,2025-07-25,2350.5,383636,2325.8
2359.6,2336.2,2025-07-28,2366.4,650364,2320.0
2401.5,2359.0,2025-07-29,2418.3,1742815,2325.0
2415.8,2409.0,2025-07-30,2443.8,1685818,2366.5
2396.1,2401.4,2025-07-31,2417.2,1274735,2373.5
2431.0,2378.0,2025-08-01,2472.0,2225293,2378.0
2449.8,2443.2,2025-08-04,2467.0,1165898,2439.6
2436.8,2461.9,2025-08-05,2463.7,659094,2409.1
2491.2,2440.0,2025-08-06,2505.6,2019109,2440.0
2506.5,2484.1,2025-08-07,2510.0,1502806,2466.9
2475.6,2506.5,2025-08-08,2511.7,1178226,2468.5
2489.1,2463.9,2025-08-11,2504.2,721135,2452.0
2478.3,2489.1,2025-08-12,2502.8,608984,2474.0
2500.2,2479.8,2025-08-13,2504.4,350844,2461.2
2528.7,2505.0,2025-08-14,2534.9,1088550,2497.7
2587.4,2550.0,2025-08-18,2595.0,1755615,2536.6
2579.4,2587.4,2025-08-19,2595.0,698587,2561.2
2570.1,2578.0,2025-08-20,2579.3,308028,2563.4
2566.6,2574.9,2025-08-21,2576.0,781082,2559.3
2504.5,2562.8,2025-08-22,2569.3,523774,2501.1
2492.9,2516.0,2025-08-25,2522.5,766497,2476.0
2481.4,2481.1,2025-08-26,2523.3,7106393,2468.0
2489.0,2465.0,2025-08-28,2528.0,1485769,2465.0
2518.6,2491.0,2025-08-29,2531.6,1798653,2490.0
2570.2,2518.0,2025-09-01,2577.8,1314833,2515.1
2540.0,2569.0,2025-09-02,2571.9,1024054,2531.0
2553.9,2530.0,2025-09-03,2565.1,925847,2527.3
2568.6,2553.9,2025-09-04,2583.0,933071,2553.0
2579.9,2565.0,2025-09-05,2602.0,1153436,2565.0
2530.8,2579.9,2025-09-08,2589.6,742880,2526.4
2537.3,2540.0,2025-09-09,2551.6,702450,2524.8
2543.3,2537.3,2025-09-10,2555.0,520584,2525.1
2555.9,2541.0,2025-09-11,2559.5,423961,2535.7
2546.3,2560.0,2025-09-12,2568.3,547539,2537.2
2502.6,2535.1,2025-09-15,2543.5,583051,2498.0
2480.9,2495.0,2025-09-16,2509.9,760790,2474.5
2493.6,2482.0,2025-09-17,2496.9,359627,2480.8
2478.7,2497.9,2025-09-18,2506.2,400796,2469.3
