close,open,date,high,volume,low
610.0,622.0,2025-07-09,623.45,750572,606.0
599.9,609.95,2025-07-10,613.95,1242347,594.4
606.9,602.8,2025-07-11,612.75,1021804,598.0
599.85,606.9,2025-07-14,609.95,722955,598.05
598.55,601.15,2025-07-15,617.95,1258034,594.8
599.9,600.0,2025-07-16,604.1,444822,597.4
594.35,601.65,2025-07-17,603.0,795128,589.1
594.65,598.0,2025-07-18,600.25,354601,591.4
588.65,592.0,2025-07-21,592.0,587092,580.05
598.5,588.65,2025-07-22,602.0,623980,588.65
598.45,603.0,2025-07-23,611.4,1733709,593.15
595.05,602.95,2025-07-24,602.95,499804,592.3
582.4,592.95,2025-07-25,596.55,805658,577.6
576.35,581.1,2025-07-28,589.25,765826,572.1
591.5,576.0,2025-07-29,593.15,372994,575.0
592.75,591.9,2025-07-30,598.8,339016,587.0
604.9,584.6,2025-07-31,617.85,2688715,581.0
595.4,608.75,2025-08-01,609.95,559309,592.2
585.95,593.2,2025-08-04,593.2,525966,581.0
600.35,585.1,2025-08-05,604.0,948586,582.4
597.15,600.25,2025-08-06,600.3,647173,587.3
594.6,594.85,2025-08-07,599.9,414567,590.05
580.45,599.9,2025-08-08,599.9,694879,573.55
587.85,580.6,2025-08-11,590.0,720794,576.15
603.95,587.95,2025-08-12,605.75,855266,584.0
613.05,609.0,2025-08-13,616.1,830682,601.0
605.6,615.5,2025-08-14,617.7,454486,603.05
624.5,615.05,2025-08-18,628.5,1057759,609.25
618.45,625.0,2025-08-19,626.05,414788,615.3
614.55,622.0,2025-08-20,622.85,344182,610.6
607.25,620.0,2025-08-21,620.0,541514,603.7
602.5,604.15,2025-08-22,606.2,919794,596.95
600.7,605.0,2025-08-25,609.95,2067407,599.2
601.0,600.0,2025-08-26,608.9,588937,598.0
594.45,601.0,2025-08-28,601.9,501510,586.95
601.05,595.85,2025-08-29,607.5,880131,570.05
605.2,598.4,2025-09-01,612.2,530655,594.5
632.05,608.0,2025-09-02,644.3,1259716,602.45
620.15,634.4,2025-09-03,634.4,1287883,613.85
635.5,625.0,2025-09-04,638.45,1389359,619.95
640.25,637.95,2025-09-05,652.0,1590813,628.55
638.9,639.95,2025-09-08,646.0,593438,630.2
641.0,636.7,2025-09-09,643.45,644644,634.0
642.35,647.0,2025-09-10,649.0,486846,638.0
638.0,641.8,2025-09-11,646.65,348903,635.25
632.05,638.0,2025-09-12,640.0,595636,622.2
617.8,632.05,2025-09-15,632.05,625105,613.1
619.9,621.0,2025-09-16,623.85,469833,615.0
614.3,621.35,2025-09-17,622.6,306742,612.8
613.9,615.85,2025-09-18,618.0,1620043,609.3
650.55,614.95,2025-09-19,658.65,3059405,614.2
648.5,648.95,2025-09-22,657.55,594319,641.4
636.6,644.0,2025-09-23,650.65,382296,634.3
632.65,639.1,2025-09-24,645.0,270098,631.4
642.55,635.4,2025-09-25,649.8,916752,632.0
625.1,639.5,2025-09-26,639.5,733548,620.65
623.35,632.0,2025-09-29,642.0,688764,618.0
626.95,622.0,2025-09-30,635.0,420999,620.15
630.85,626.0,2025-10-01,633.8,294072,621.3
645.65,629.75,2025-10-03,647.9,971179,626.55
672.55,646.3,2025-10-06,676.55,2111080,643.55
661.6,675.0,2025-10-07,679.7,1141275,657.2
698.55,665.9,2025-10-08,706.0,4939510,661.8
697.75,698.55,2025-10-09,715.0,3126677,694.7
685.55,690.05,2025-10-10,694.3,763550,679.0
700.75,685.55,2025-10-13,705.5,1306653,677.5
686.95,705.0,2025-10-14,711.7,1432931,683.5
698.5,692.25,2025-10-15,701.0,491680,684.15
699.35,700.8,2025-10-16,703.15,324615,695.65
702.45,699.35,2025-10-17,705.45,395357,696.7
718.2,706.1,2025-10-20,724.7,1341957,703.3
722.95,726.0,2025-10-21,730.45,129993,718.0
720.5,723.0,2025-10-23,732.2,1102583,719.25
705.8,719.0,2025-10-24,720.05,743571,696.0
697.85,705.35,2025-10-27,708.15,424020,694.1
700.25,697.25,2025-10-28,703.0,225026,694.1
699.85,700.65,2025-10-29,704.0,295761,694.9
697.6,699.85,2025-10-30,701.0,209824,693.0
678.05,697.95,2025-10-31,698.0,813963,671.0
678.45,679.0,2025-11-03,697.75,441528,676.8
688.65,682.05,2025-11-04,691.15,404418,676.55
687.25,688.7,2025-11-06,700.0,648930,685.0
692.9,689.0,2025-11-07,702.4,552899,677.3
681.65,693.0,2025-11-10,694.75,799585,670.6
677.65,684.0,2025-11-11,684.0,501106,670.6
681.35,684.5,2025-11-12,688.25,278126,677.2
673.15,683.25,2025-11-13,683.25,296028,671.35
678.1,670.0,2025-11-14,680.55,163972,666.65
679.1,676.0,2025-11-17,684.15,511981,667.35
681.05,683.0,2025-11-18,714.0,3432130,675.55
662.6,680.6,2025-11-19,686.2,1130966,656.75
665.3,669.2,2025-11-20,673.3,725755,663.65
650.2,666.95,2025-11-21,667.65,713113,647.5
667.85,650.2,2025-11-24,672.7,1041126,648.0
660.0,667.85,2025-11-25,667.95,243449,654.8
665.45,660.1,2025-11-26,668.5,438255,657.0
665.65,665.25,2025-11-27,671.2,398251,659.0
665.45,665.9,2025-11-28,667.8,342761,657.5
669.65,672.9,2025-12-01,675.5,384405,662.0
664.9,672.45,2025-12-02,672.45,342957,656.5
655.45,664.75,2025-12-03,666.25,319114,648.5
653.25,660.0,2025-12-04,660.8,393410,648.9
635.1,653.7,2025-12-05,657.1,496541,631.05
618.65,635.1,2025-12-08,639.8,495678,616.55
623.2,617.0,2025-12-09,627.5,651416,605.8
629.8,627.65,2025-12-10,637.45,323067,625.7
616.4,632.9,2025-12-11,633.75,311627,612.75
620.35,620.45,2025-12-12,624.0,266505,615.9
617.9,618.1,2025-12-15,622.15,359678,609.2
605.55,618.0,2025-12-16,621.2,800965,603.0
608.45,606.0,2025-12-17,613.85,313094,603.7
592.0,609.8,2025-12-18,609.8,583586,587.7
598.2,593.0,2025-12-19,607.35,892132,591.0
597.2,598.2,2025-12-22,601.75,733856,589.6
597.35,597.95,2025-12-23,600.15,438392,594.0
597.2,594.5,2025-12-24,599.75,841675,591.0
617.95,597.2,2025-12-26,626.3,953892,597.15
611.0,617.95,2025-12-29,620.2,493430,605.3
611.35,611.1,2025-12-30,621.45,1161004,599.95
616.85,613.1,2025-12-31,620.05,541402,606.6
606.7,615.0,2026-01-01,615.0,521216,603.0
613.9,609.7,2026-01-02,617.1,482500,605.0
615.25,617.9,2026-01-05,623.0,271629,612.0
625.65,615.25,2026-01-06,627.3,400726,613.25
621.05,627.8,2026-01-07,627.8,266521,616.4
615.1,621.5,2026-01-08,621.5,332547,612.8
614.5,617.4,2026-01-09,618.75,251210,610.05
601.1,612.5,2026-01-12,614.5,460017,592.25
606.25,602.15,2026-01-13,610.55,209643,599.8
608.05,607.45,2026-01-14,613.1,222348,601.1
599.4,604.25,2026-01-16,607.15,306893,598.0
573.0,595.0,2026-01-19,595.05,752839,566.1
551.6,569.75,2026-01-20,569.75,1786151,547.45
568.55,553.0,2026-01-21,572.0,1622641,539.2
576.3,572.0,2026-01-22,583.5,744287,564.3
555.25,576.0,2026-01-23,581.7,328424,552.4
554.2,565.0,2026-01-27,567.0,587663,552.0
549.65,554.0,2026-01-28,559.5,311202,547.05
539.2,549.65,2026-01-29,551.6,755656,533.5
552.15,538.9,2026-01-30,570.25,622599,531.25
