close,open,date,high,volume,low
1472.6,1484.5,2025-07-24,1489.4,577256,1456.0
1440.2,1470.0,2025-07-25,1474.8,485182,1434.0
1411.9,1440.2,2025-07-28,1448.9,619739,1408.1
1419.3,1412.0,2025-07-29,1427.5,475975,1407.2
1430.7,1420.0,2025-07-30,1433.0,639913,1405.1
1401.2,1423.8,2025-07-31,1423.8,850995,1396.0
1403.1,1399.2,2025-08-01,1435.0,799571,1396.2
1428.5,1403.1,2025-08-04,1432.0,245571,1393.9
1427.0,1428.9,2025-08-05,1434.4,451543,1412.0
1418.3,1430.0,2025-08-06,1430.6,211740,1403.0
1415.9,1416.9,2025-08-07,1425.9,535103,1393.0
1375.8,1405.5,2025-08-08,1413.7,701093,1360.9
1381.6,1375.1,2025-08-11,1391.0,508003,1365.3
1269.3,1310.1,2025-08-12,1356.7,6627957,1263.7
1292.1,1273.0,2025-08-13,1300.0,2236725,1272.3
1279.2,1282.0,2025-08-14,1294.5,1459328,1270.3
1313.7,1284.4,2025-08-18,1342.7,2809039,1284.4
1366.1,1320.2,2025-08-19,1370.9,1853945,1304.0
1393.8,1377.0,2025-08-20,1398.0,1512987,1369.1
1421.4,1419.0,2025-08-21,1448.0,2230880,1388.8
1425.1,1420.0,2025-08-22,1435.0,811033,1415.5
1414.3,1424.9,2025-08-25,1426.4,493011,1410.7
1390.1,1414.0,2025-08-26,1415.3,904261,1385.2
1361.8,1390.1,2025-08-28,1392.1,880210,1354.6
1359.8,1355.6,2025-08-29,1368.6,517230,1348.9
1407.3,1369.0,2025-09-01,1412.0,444781,1365.8
1417.9,1407.3,2025-09-02,1428.7,598869,1394.9
1425.7,1417.9,2025-09-03,1433.0,445062,1415.2
1421.3,1430.0,2025-09-04,1430.0,464800,1408.1
1454.9,1432.0,2025-09-05,1458.2,989366,1415.1
1462.0,1470.1,2025-09-08,1474.7,455948,1453.6
1462.0,1460.0,2025-09-09,1474.0,828879,1437.3
1438.4,1489.0,2025-09-10,1493.3,1188661,1433.1
1440.4,1442.1,2025-09-11,1460.2,561578,1430.3
1461.1,1455.8,2025-09-12,1478.4,1039980,1451.0
1458.5,1460.9,2025-09-15,1466.4,225412,1451.8
1476.8,1465.0,2025-09-16,1480.1,395894,1452.0
1459.7,1476.8,2025-09-17,1478.6,334619,1455.3
1459.2,1459.7,2025-09-18,1465.0,451590,1446.3
1452.4,1460.0,2025-09-19,1469.8,716952,1447.0
1438.4,1440.1,2025-09-22,1461.6,486882,1435.1
1436.4,1438.9,2025-09-23,1453.0,489921,1427.0
1439.9,1430.1,2025-09-24,1450.6,567946,1421.7
1405.9,1428.0,2025-09-25,1428.0,866669,1396.1
1373.8,1411.9,2025-09-26,1415.2,376171,1370.0
1366.7,1373.9,2025-09-29,1388.0,580505,1364.3
1366.4,1379.2,2025-09-30,1381.5,519075,1350.0
1376.4,1369.6,2025-10-01,1381.5,345411,1358.7
1383.6,1376.4,2025-10-03,1387.1,509629,1360.8
1383.6,1383.0,2025-10-06,1398.0,464100,1368.4
1419.4,1393.2,2025-10-07,1425.0,950549,1390.3
1406.0,1419.9,2025-10-08,1427.0,543303,1396.2
1406.1,1406.0,2025-10-09,1415.0,580693,1395.1
1427.1,1406.1,2025-10-10,1434.0,734185,1391.1
1421.2,1424.6,2025-10-13,1426.0,446670,1402.6
1418.6,1427.1,2025-10-14,1428.0,388990,1403.0
1438.8,1418.6,2025-10-15,1449.0,558872,1415.0
1444.8,1437.9,2025-10-16,1448.7,453099,1431.8
1442.4,1448.6,2025-10-17,1456.5,458773,1435.2
1448.2,1442.0,2025-10-20,1452.0,449269,1432.7
1446.7,1460.0,2025-10-21,1460.0,32936,1445.0
1455.8,1446.7,2025-10-23,1462.0,833768,1435.2
1430.8,1451.0,2025-10-24,1457.5,621026,1425.1
1435.2,1430.7,2025-10-27,1440.6,487878,1411.0
1450.2,1435.0,2025-10-28,1455.8,571560,1426.5
1464.8,1456.0,2025-10-29,1467.8,420127,1448.9
1464.9,1464.7,2025-10-30,1468.2,343690,1453.0
1450.1,1468.0,2025-10-31,1468.4,397294,1445.0
1480.7,1460.0,2025-11-03,1486.0,693278,1440.0
1467.2,1487.0,2025-11-04,1492.0,429263,1462.3
1566.1,1482.5,2025-11-06,1572.5,5837826,1482.5
1557.3,1560.1,2025-11-07,1579.0,613713,1548.0
1568.4,1568.4,2025-11-10,1579.9,505341,1554.9
1555.8,1568.0,2025-11-11,1575.8,274619,1550.0
1585.2,1560.0,2025-11-12,1589.8,677752,1557.2
1550.6,1592.8,2025-11-13,1593.5,970265,1545.7
1514.0,1548.0,2025-11-14,1554.0,657446,1507.5
1465.7,1508.1,2025-11-17,1508.1,1764724,1456.4
1449.8,1473.5,2025-11-18,1473.5,1005948,1436.1
1448.2,1451.0,2025-11-19,1457.5,931531,1436.4
1462.4,1458.0,2025-11-20,1464.8,337761,1449.0
1452.6,1462.1,2025-11-21,1467.0,454922,1444.9
1473.2,1448.0,2025-11-24,1514.9,2705698,1438.3
