close,open,date,high,volume,low
623.55,612.0,2025-08-18,629.1,619968,609.05
628.75,625.6,2025-08-19,633.3,473682,625.05
630.4,625.1,2025-08-20,635.0,555892,625.1
617.95,634.0,2025-08-21,634.0,309973,616.55
617.75,618.0,2025-08-22,623.0,294230,613.55
631.25,620.0,2025-08-25,633.2,722258,618.15
635.7,630.1,2025-08-26,644.5,1256023,625.5
592.55,626.0,2025-08-28,631.65,3247580,585.1
591.1,593.0,2025-08-29,595.0,839227,583.75
594.15,593.9,2025-09-01,597.75,397205,592.4
595.85,594.45,2025-09-02,603.0,381413,593.0
597.15,598.75,2025-09-03,601.3,286955,595.3
596.05,597.95,2025-09-04,604.95,298857,595.0
590.4,597.25,2025-09-05,599.75,268110,588.2
592.3,593.1,2025-09-08,601.85,431824,590.0
594.6,595.0,2025-09-09,598.2,217589,592.05
597.85,597.3,2025-09-10,602.7,398054,596.05
606.25,600.4,2025-09-11,628.95,1876056,598.3
605.6,610.0,2025-09-12,611.0,388478,604.2
605.2,607.0,2025-09-15,609.65,314243,603.3
605.85,609.7,2025-09-16,609.7,267037,604.0
607.05,610.0,2025-09-17,612.55,321528,605.0
606.95,608.0,2025-09-18,610.95,320497,605.15
651.45,635.0,2025-09-19,687.75,16380380,634.25
780.75,656.0,2025-09-22,781.7,38847632,652.35
722.95,790.0,2025-09-23,798.0,14832905,716.2
667.3,724.0,2025-09-24,724.75,6306234,662.5
671.7,668.0,2025-09-25,705.0,8172631,663.25
649.25,674.5,2025-09-26,681.95,3164703,646.5
629.7,658.8,2025-09-29,658.8,2063464,627.35
625.3,635.0,2025-09-30,637.4,1546854,618.0
641.1,630.05,2025-10-01,651.9,2231579,626.15
637.25,644.6,2025-10-03,644.6,1117569,631.95
633.45,640.0,2025-10-06,641.0,836261,630.55
636.1,635.6,2025-10-07,655.7,1784826,633.5
629.25,638.0,2025-10-08,638.4,742143,627.2
627.7,625.4,2025-10-09,632.0,697062,624.05
628.05,628.5,2025-10-10,632.9,635866,626.2
625.35,625.0,2025-10-13,628.4,713900,620.15
