close,open,date,high,volume,low
750.6,744.0,2025-08-14,752.55,2621099.0,740.55
761.55,755.0,2025-08-18,773.35,1873223.0,753.0
758.5,760.0,2025-08-19,765.0,826929.0,754.15
759.15,758.5,2025-08-20,761.0,1188698.0,745.3
752.2,759.6,2025-08-21,760.65,542497.0,751.15
742.05,751.2,2025-08-22,760.0,980129.0,739.55
749.6,738.0,2025-08-25,753.25,1711315.0,738.0
745.25,750.0,2025-08-26,750.9,2429502.0,740.25
729.25,745.3,2025-08-28,751.95,1467576.0,728.0
718.05,726.0,2025-08-29,731.9,3090760.0,716.3
721.55,721.1,2025-09-01,727.35,1187277.0,716.5
708.3,722.05,2025-09-02,724.5,3178457.0,704.2
713.95,710.0,2025-09-03,716.2,997652.0,709.05
696.25,716.0,2025-09-04,718.8,5466938.0,692.8
694.3,700.0,2025-09-05,700.0,2961695.0,682.15
699.75,696.55,2025-09-08,703.8,1949781.0,694.3
697.45,698.0,2025-09-09,699.75,898505.0,694.85
713.8,702.0,2025-09-10,715.0,3846563.0,695.65
710.95,714.4,2025-09-11,714.4,1045318.0,709.0
706.65,710.95,2025-09-12,718.2,1740388.0,705.75
713.4,708.0,2025-09-15,715.0,2009111.0,699.2
711.2,716.5,2025-09-16,720.5,2510810.0,709.2
708.75,710.0,2025-09-17,712.2,3506666.0,698.3
719.65,713.05,2025-09-18,722.3,2453800.0,708.1
718.7,719.65,2025-09-19,724.0,3207374.0,711.25
706.05,719.9,2025-09-22,719.9,1519343.0,703.85
731.65,710.0,2025-09-23,734.05,5080969.0,708.9
736.15,730.0,2025-09-24,743.4,3424417.0,727.4
741.6,733.25,2025-09-25,747.55,1527974.0,730.2
743.2,749.5,2025-09-26,759.75,4071836.0,741.5
738.4,744.1,2025-09-29,755.0,3008287.0,729.45
731.4,738.0,2025-09-30,740.2,3387971.0,728.8
724.55,728.0,2025-10-01,741.4,3802747.0,719.05
741.9,722.05,2025-10-03,743.7,1744199.0,720.7
762.95,748.05,2025-10-06,764.4,2447302.0,745.0
764.0,765.5,2025-10-07,766.6,2437438.0,756.55
767.7,765.0,2025-10-08,772.4,3344639.0,751.65
760.0,770.0,2025-10-09,771.0,1723753.0,756.1
763.25,757.7,2025-10-10,765.65,949662.0,755.15
767.1,771.15,2025-10-13,776.7,2154436.0,760.75
772.65,767.1,2025-10-14,776.5,2260560.0,762.35
802.1,776.5,2025-10-15,807.0,3804314.0,776.1
798.5,801.25,2025-10-16,814.0,1864887.0,795.0
792.45,796.95,2025-10-17,802.45,4814241.0,785.05
865.2,818.0,2025-10-20,871.65,20074420.0,818.0
861.35,866.0,2025-10-21,871.7,483216.0,858.45
870.7,861.05,2025-10-23,884.0,4807671.0,861.05
860.35,872.0,2025-10-24,875.05,1778097.0,858.25
864.2,860.0,2025-10-27,869.65,1499331.0,855.3
879.9,864.2,2025-10-28,881.4,2737346.0,864.2
882.45,886.0,2025-10-29,886.45,2921775.0,874.4
