close,open,date,high,volume,low
1156.1,1164.0,2025-07-03,1164.0,1234364,1144.2
1191.3,1160.1,2025-07-04,1197.0,1933477,1158.6
1185.1,1188.0,2025-07-07,1193.0,697326,1176.0
1147.7,1169.1,2025-07-08,1171.9,2226072,1130.7
1142.6,1152.0,2025-07-09,1164.5,1453848,1135.3
1129.9,1143.0,2025-07-10,1151.0,869017,1127.1
1124.8,1135.0,2025-07-11,1139.0,1058994,1115.2
1138.6,1124.7,2025-07-14,1147.7,819943,1122.6
1152.0,1140.1,2025-07-15,1157.0,847119,1134.0
1152.9,1151.8,2025-07-16,1156.9,580099,1143.8
1154.2,1153.0,2025-07-17,1166.8,549875,1151.3
1139.5,1155.0,2025-07-18,1155.8,421109,1136.7
1138.5,1139.0,2025-07-21,1148.6,330975,1132.1
1101.4,1139.0,2025-07-22,1142.3,1119858,1100.0
1117.4,1104.1,2025-07-23,1119.1,547355,1104.1
1114.1,1120.1,2025-07-24,1130.0,1069867,1111.8
1122.8,1120.1,2025-07-25,1130.7,695747,1107.0
1127.0,1124.0,2025-07-28,1135.0,740682,1118.7
1158.1,1122.1,2025-07-29,1160.7,800744,1121.9
1158.0,1161.1,2025-07-30,1162.7,672250,1142.5
1139.8,1150.0,2025-07-31,1172.7,5490626,1135.0
1079.8,1142.0,2025-08-01,1144.0,2025491,1075.3
1090.4,1085.1,2025-08-04,1101.4,716719,1076.0
1079.3,1073.1,2025-08-05,1109.4,2733423,1060.9
1072.3,1070.9,2025-08-06,1085.0,1830084,1060.2
1069.6,1060.1,2025-08-07,1084.3,947918,1047.6
1042.1,1070.1,2025-08-08,1070.8,881747,1039.2
1052.9,1042.0,2025-08-11,1056.4,796011,1031.8
1058.2,1052.5,2025-08-12,1068.5,668937,1045.1
1078.2,1059.2,2025-08-13,1083.6,444446,1057.2
1083.6,1081.0,2025-08-14,1113.0,1154139,1070.0
1089.3,1093.7,2025-08-18,1093.7,1030797,1070.8
1089.7,1092.0,2025-08-19,1098.8,258816,1086.0
1046.4,1070.0,2025-08-20,1078.0,4610136,1039.0
1041.0,1045.0,2025-08-21,1054.6,1522514,1032.5
1050.4,1048.0,2025-08-22,1056.6,1872943,1036.5
1067.4,1055.5,2025-08-25,1075.9,763968,1052.4
1045.6,1065.0,2025-08-26,1067.0,2586406,1042.7
1026.3,1046.7,2025-08-28,1047.3,2342067,1021.7
1027.9,1035.1,2025-08-29,1040.1,882168,1020.0
1025.0,1022.8,2025-09-01,1035.8,1626317,1016.1
1022.2,1027.6,2025-09-02,1032.9,947610,1016.2
1034.9,1025.0,2025-09-03,1041.5,982554,1021.0
1036.0,1055.0,2025-09-04,1055.0,422479,1033.1
1044.1,1038.3,2025-09-05,1054.8,738814,1033.2
1040.2,1040.4,2025-09-08,1052.6,415761,1035.4
1043.9,1041.0,2025-09-09,1050.0,1036358,1036.0
1050.3,1053.0,2025-09-10,1074.0,1684330,1048.0
1109.2,1065.0,2025-09-11,1117.9,5850105,1061.3
1094.4,1103.1,2025-09-12,1118.4,794187,1091.0
1100.1,1090.0,2025-09-15,1105.9,1368536,1075.1
1091.6,1100.0,2025-09-16,1109.0,1225324,1088.7
1095.7,1096.0,2025-09-17,1103.8,796923,1087.5
1128.9,1100.5,2025-09-18,1132.0,1829041,1095.8
1119.2,1130.0,2025-09-19,1138.0,958952,1116.9
1117.4,1120.1,2025-09-22,1127.0,1491052,1110.0
1109.9,1112.0,2025-09-23,1124.0,1396979,1099.2
1090.9,1109.9,2025-09-24,1112.6,1246781,1088.8
1097.0,1092.1,2025-09-25,1108.7,1710962,1092.1
1090.0,1080.5,2025-09-26,1100.3,2425821,1072.0
1089.5,1106.0,2025-09-29,1106.1,1318867,1078.7
1083.9,1088.0,2025-09-30,1097.9,588018,1075.6
1086.0,1086.9,2025-10-01,1104.2,1043316,1083.9
1093.3,1095.0,2025-10-03,1102.6,517528,1086.8
1096.5,1092.3,2025-10-06,1100.0,645481,1078.2
1090.1,1099.0,2025-10-07,1100.8,1177833,1074.9
1070.8,1091.5,2025-10-08,1102.8,549749,1066.8
1119.9,1097.0,2025-10-09,1126.3,4941010,1095.0
1130.3,1125.4,2025-10-10,1143.8,1455177,1116.4
1136.8,1127.7,2025-10-13,1139.9,1453641,1121.0
1124.8,1136.1,2025-10-14,1137.7,1005434,1110.2
1109.0,1126.0,2025-10-15,1129.4,543500,1106.3
1106.3,1113.1,2025-10-16,1116.7,1710790,1098.2
1101.0,1106.0,2025-10-17,1113.5,938051,1092.8
1099.4,1106.0,2025-10-20,1114.7,967532,1098.0
1100.5,1101.1,2025-10-21,1106.7,64349,1098.0
1099.1,1120.0,2025-10-23,1120.5,885643,1096.2
1085.0,1100.0,2025-10-24,1108.0,761529,1080.1
1094.7,1094.4,2025-10-27,1102.0,1423033,1085.1
1099.4,1094.0,2025-10-28,1103.5,1130747,1081.4
1111.7,1104.0,2025-10-29,1122.6,1369659,1098.7
1102.5,1113.1,2025-10-30,1114.0,890530,1091.2
1138.9,1105.0,2025-10-31,1155.8,3557298,1100.0
1158.6,1142.9,2025-11-03,1163.8,2985845,1135.2
1149.1,1158.6,2025-11-04,1162.9,1054886,1138.0
1140.6,1156.0,2025-11-06,1157.8,1443663,1121.3
1123.8,1141.5,2025-11-07,1143.8,363582,1120.0
1154.8,1126.1,2025-11-10,1160.8,1384229,1123.8
1168.2,1158.0,2025-11-11,1173.7,1481205,1153.5
1183.6,1170.0,2025-11-12,1195.5,2367201,1160.9
1210.2,1191.0,2025-11-13,1222.9,2637535,1185.6
1222.5,1210.2,2025-11-14,1231.9,2055973,1202.9
1236.9,1222.5,2025-11-17,1241.1,988088,1218.3
1239.3,1236.9,2025-11-18,1249.9,1827771,1234.1
1235.8,1233.9,2025-11-19,1244.3,744634,1228.7
1207.7,1236.1,2025-11-20,1239.7,768820,1203.8
1205.9,1207.6,2025-11-21,1218.8,497336,1198.0
1194.0,1205.9,2025-11-24,1212.0,1266777,1189.6
1208.0,1192.0,2025-11-25,1216.0,792811,1190.6
1227.4,1210.0,2025-11-26,1237.3,1126656,1195.7
1235.8,1227.4,2025-11-27,1239.0,667410,1222.6
1226.7,1238.0,2025-11-28,1242.3,556120,1216.0
1216.2,1229.0,2025-12-01,1229.0,692441,1204.0
1215.2,1216.0,2025-12-02,1218.9,507178,1207.4
1208.9,1208.6,2025-12-03,1214.0,718893,1196.4
1223.1,1215.4,2025-12-04,1226.8,740597,1209.1
1217.6,1225.0,2025-12-05,1226.4,394525,1209.0
1177.4,1217.6,2025-12-08,1219.5,950895,1173.3
1163.6,1175.0,2025-12-09,1178.3,585926,1160.5
1172.6,1161.0,2025-12-10,1184.9,657177,1161.0
1172.2,1171.6,2025-12-11,1185.7,704577,1163.4
1195.1,1175.1,2025-12-12,1199.5,670100,1170.4
1186.3,1200.0,2025-12-15,1200.2,458919,1182.0
1178.1,1182.2,2025-12-16,1185.9,263419,1172.1
1193.0,1172.5,2025-12-17,1196.8,736879,1172.5
1209.3,1190.0,2025-12-18,1213.7,947784,1176.6
1225.1,1214.0,2025-12-19,1240.7,1396499,1211.1
1224.5,1225.1,2025-12-22,1234.9,476205,1222.1
1218.0,1230.0,2025-12-23,1236.1,665122,1206.2
1211.4,1220.9,2025-12-24,1226.7,253901,1208.7
1206.2,1213.7,2025-12-26,1220.9,310348,1203.8
1200.1,1206.2,2025-12-29,1214.1,1340558,1192.3
1186.3,1202.0,2025-12-30,1208.9,1058434,1179.0
1183.0,1185.0,2025-12-31,1193.8,928856,1178.0
1193.0,1190.0,2026-01-01,1197.0,412064,1170.2
1215.4,1200.7,2026-01-02,1217.5,516055,1192.0
1207.4,1220.0,2026-01-05,1222.0,644075,1199.0
1231.3,1210.0,2026-01-06,1238.8,1845753,1207.6
1235.4,1236.4,2026-01-07,1270.8,2361570,1225.2
1206.1,1236.0,2026-01-08,1236.0,879596,1203.0
1198.7,1206.0,2026-01-09,1211.4,889120,1188.0
1172.9,1193.1,2026-01-12,1197.8,689082,1166.5
1167.7,1185.0,2026-01-13,1185.0,854954,1154.4
1180.1,1165.0,2026-01-14,1189.1,726275,1158.0
1172.7,1174.2,2026-01-16,1195.5,909022,1166.3
1167.6,1167.0,2026-01-19,1177.0,546679,1160.1
1141.7,1167.6,2026-01-20,1167.7,567180,1137.1
1121.7,1133.9,2026-01-21,1160.6,810580,1116.5
1145.3,1130.1,2026-01-22,1149.0,622804,1130.1
1132.5,1145.3,2026-01-23,1150.5,511867,1120.8
1129.7,1139.8,2026-01-27,1139.8,656428,1116.2
1139.9,1133.0,2026-01-28,1143.0,614873,1122.2
1150.6,1140.4,2026-01-29,1154.1,576780,1127.2
1207.7,1190.0,2026-01-30,1219.0,8127226,1174.0
1171.0,1172.1,2026-02-02,1185.0,768352,1152.3
1226.1,1230.0,2026-02-03,1247.3,2827489,1211.2
1212.7,1226.1,2026-02-04,1237.4,1360345,1166.0
1181.6,1212.7,2026-02-05,1212.7,1216222,1176.9
1191.0,1181.0,2026-02-06,1195.9,805359,1166.0
1203.7,1191.0,2026-02-09,1210.0,1101009,1171.5
1124.1,1208.0,2026-02-10,1218.7,8584671,1106.0
1146.6,1136.0,2026-02-11,1161.0,4070062,1124.2
1157.9,1146.6,2026-02-12,1163.0,1090045,1132.1
1145.6,1149.1,2026-02-13,1157.4,1682470,1126.8
1184.6,1142.0,2026-02-16,1187.2,1559869,1141.9
1186.7,1184.6,2026-02-17,1212.8,3068092,1167.7
1159.6,1188.6,2026-02-18,1193.5,3294006,1129.2
1171.4,1156.4,2026-02-19,1200.9,3474036,1156.4
1158.8,1173.8,2026-02-20,1178.2,1071813,1149.1
1150.6,1166.1,2026-02-23,1174.2,989992,1143.3
1164.4,1156.3,2026-02-24,1167.2,988014,1144.0
1211.5,1166.0,2026-02-25,1217.0,3039244,1162.4
1220.7,1217.1,2026-02-26,1250.9,2372711,1213.5
1220.4,1225.3,2026-02-27,1240.0,1781292,1214.3
1210.4,1186.2,2026-03-02,1223.9,888443,1186.2
1195.4,1201.0,2026-03-04,1202.9,909693,1179.8
1225.5,1198.0,2026-03-05,1230.7,900601,1198.0
1231.9,1224.9,2026-03-06,1244.7,804367,1215.1
1247.3,1202.3,2026-03-09,1251.8,2180013,1182.1
1285.9,1260.0,2026-03-10,1291.8,2197827,1249.0
1304.8,1291.0,2026-03-11,1318.5,2541782,1290.0
1311.9,1308.0,2026-03-12,1319.8,2110239,1289.4
1296.5,1304.3,2026-03-13,1317.8,1634716,1288.1
1279.6,1302.0,2026-03-16,1314.0,1436685,1265.8
1286.0,1284.9,2026-03-17,1295.0,635152,1275.1
1269.0,1278.0,2026-03-18,1290.5,1700454,1265.3
1247.5,1255.0,2026-03-19,1269.0,816613,1240.0
1291.4,1262.0,2026-03-20,1297.8,1395687,1258.3
1278.7,1291.6,2026-03-23,1299.0,1758274,1268.3
1281.6,1303.0,2026-03-24,1310.0,1769183,1255.4
1307.8,1290.4,2026-03-25,1330.0,1891714,1282.1
1314.2,1307.8,2026-03-27,1327.0,1923752,1296.0
1304.4,1300.0,2026-03-30,1320.0,2474751,1298.1
1342.1,1332.2,2026-04-01,1359.9,2595497,1325.9
1333.7,1335.5,2026-04-02,1338.9,1870240,1266.1
1340.4,1344.0,2026-04-06,1357.9,1519668,1318.5
1330.0,1345.0,2026-04-07,1357.5,1557945,1316.0
