close,open,date,high,volume,low
257.3,258.2,2025-08-04,259.15,753893,255.6
253.5,257.75,2025-08-05,259.15,994237,252.55
252.9,253.45,2025-08-06,255.2,699759,252.25
250.7,252.0,2025-08-07,252.5,982652,247.15
254.15,254.0,2025-08-08,256.7,924491,251.65
255.25,254.15,2025-08-11,256.0,635151,250.6
252.6,256.05,2025-08-12,256.15,523944,251.65
252.5,253.85,2025-08-13,253.95,442708,251.8
249.9,252.5,2025-08-14,254.1,633770,249.0
251.25,252.65,2025-08-18,253.7,876276,250.25
259.55,251.25,2025-08-19,260.7,1369271,250.65
260.95,260.0,2025-08-20,263.05,686658,258.05
260.0,263.4,2025-08-21,263.4,484167,259.0
258.4,259.85,2025-08-22,260.9,466635,257.25
259.65,259.0,2025-08-25,260.5,679911,255.6
251.95,258.9,2025-08-26,259.35,946938,251.3
249.6,252.5,2025-08-28,253.2,1569139,247.55
251.5,249.65,2025-08-29,254.65,746956,249.4
249.95,252.5,2025-09-01,253.25,729499,249.75
257.4,251.4,2025-09-02,259.7,1831058,250.0
267.25,256.0,2025-09-03,268.3,2412811,255.6
265.85,269.7,2025-09-04,271.2,1557168,264.85
262.75,265.75,2025-09-05,266.5,533381,261.4
261.1,262.25,2025-09-08,264.3,814336,259.95
256.9,260.6,2025-09-09,262.25,697324,256.2
256.25,258.1,2025-09-10,261.15,737852,255.55
258.8,256.45,2025-09-11,266.45,1662201,256.45
260.4,259.9,2025-09-12,261.9,685947,259.0
258.25,260.4,2025-09-15,260.9,681054,257.6
260.65,260.0,2025-09-16,261.9,630666,258.4
259.3,261.8,2025-09-17,262.8,1064316,258.7
259.6,260.45,2025-09-18,261.4,789325,258.75
256.95,264.0,2025-09-19,267.85,12640297,252.05
271.1,254.0,2025-09-22,278.7,30273044,253.75
260.1,272.2,2025-09-23,273.4,5377628,259.5
252.8,261.0,2025-09-24,261.0,4296168,252.0
261.65,253.75,2025-09-25,262.45,5237063,252.8
261.45,261.2,2025-09-26,264.6,2943487,257.4
261.15,261.5,2025-09-29,262.9,1687064,258.2
261.55,260.9,2025-09-30,262.8,1623151,258.25
263.05,261.55,2025-10-01,264.75,1516887,260.05
265.4,263.05,2025-10-03,266.35,1908970,260.6
266.05,266.4,2025-10-06,267.0,1378695,264.0
265.1,266.0,2025-10-07,268.45,1480139,263.3
265.95,265.1,2025-10-08,267.05,1077699,262.3
268.15,263.5,2025-10-09,268.9,1190828,262.5
268.95,266.5,2025-10-10,270.25,1253187,265.65
268.7,264.9,2025-10-13,270.0,980125,264.9
268.65,267.5,2025-10-14,270.15,1113807,265.15
267.9,266.25,2025-10-15,269.9,843568,266.25
266.15,267.6,2025-10-16,271.15,1088227,265.0
261.5,266.15,2025-10-17,266.95,2335217,260.0
258.55,261.45,2025-10-20,263.05,2704721,257.85
261.4,260.0,2025-10-21,261.9,202647,260.0
260.1,260.55,2025-10-23,261.65,1877668,259.3
263.25,260.3,2025-10-24,264.25,1071643,258.75
265.7,263.0,2025-10-27,266.15,1193409,261.0
268.45,265.7,2025-10-28,268.8,1192675,264.05
275.55,268.25,2025-10-29,276.75,7702429,267.0
275.4,275.0,2025-10-30,276.9,1585401,271.6
274.85,275.0,2025-10-31,275.7,1525168,272.75
275.1,275.0,2025-11-03,276.2,3690105,266.6
277.35,275.0,2025-11-04,278.1,3322377,271.4
271.25,277.35,2025-11-06,281.3,3217128,270.1
270.8,271.1,2025-11-07,272.5,2601124,267.0
