close,open,date,high,volume,low
1165.9,1174.0,2025-07-15,1179.0,4776756,1162.3
1168.4,1164.9,2025-07-16,1174.0,4388279,1157.1
1159.8,1170.0,2025-07-17,1172.9,5694428,1154.8
1099.3,1090.0,2025-07-18,1115.9,38053695,1086.0
1099.6,1086.0,2025-07-21,1101.5,15905500,1071.9
1098.0,1102.0,2025-07-22,1110.6,9999957,1095.0
1104.8,1099.5,2025-07-23,1110.5,6633979,1098.1
1095.1,1104.0,2025-07-24,1105.0,9901209,1089.4
1086.1,1086.1,2025-07-25,1101.0,11779887,1076.2
1073.6,1080.9,2025-07-28,1092.2,9029557,1067.4
1064.2,1070.9,2025-07-29,1078.7,15599773,1055.4
1073.3,1070.5,2025-07-30,1080.6,8247433,1062.0
1068.4,1066.0,2025-07-31,1081.3,7634413,1063.9
1062.4,1065.0,2025-08-01,1070.9,5545447,1060.0
1068.6,1064.4,2025-08-04,1070.0,4465845,1059.0
1070.8,1068.0,2025-08-05,1079.9,5318081,1062.5
1071.0,1074.0,2025-08-06,1077.7,4216651,1065.6
1076.2,1067.8,2025-08-07,1079.7,5321131,1064.5
1058.1,1073.0,2025-08-08,1080.4,5084903,1054.2
1073.3,1058.1,2025-08-11,1075.4,5452775,1052.6
1070.0,1071.1,2025-08-12,1076.6,4573025,1066.3
1066.0,1071.1,2025-08-13,1072.8,4966778,1063.2
1068.2,1067.0,2025-08-14,1072.4,6761305,1062.0
1082.6,1080.0,2025-08-18,1090.0,7964987,1079.4
1083.2,1078.0,2025-08-19,1095.0,5661531,1075.8
1080.2,1081.0,2025-08-20,1083.7,3034728,1077.8
1078.9,1090.0,2025-08-21,1090.0,6459262,1076.4
1070.9,1076.0,2025-08-22,1078.5,3853718,1069.5
1070.0,1073.0,2025-08-25,1074.5,2711278,1068.2
1050.1,1068.0,2025-08-26,1069.8,7197666,1048.0
1051.9,1057.0,2025-08-28,1059.5,8564803,1047.0
1045.2,1052.1,2025-08-29,1063.0,4718016,1042.5
1061.5,1047.6,2025-09-01,1064.0,3190426,1047.6
1056.2,1061.5,2025-09-02,1064.9,4933541,1049.0
1054.7,1056.2,2025-09-03,1064.9,8303296,1045.0
1050.4,1058.2,2025-09-04,1062.2,8088417,1047.3
1055.9,1056.6,2025-09-05,1058.0,2849589,1047.8
1055.5,1055.9,2025-09-08,1063.0,2260147,1054.0
1052.2,1057.5,2025-09-09,1059.0,4310419,1048.7
1070.1,1058.0,2025-09-10,1074.1,5241075,1055.1
1087.4,1069.0,2025-09-11,1093.0,5227539,1069.0
1105.3,1088.4,2025-09-12,1108.7,6014850,1088.4
1104.4,1105.0,2025-09-15,1110.0,3881807,1100.0
1121.2,1105.7,2025-09-16,1127.1,7965606,1104.0
1126.0,1121.3,2025-09-17,1128.5,5590739,1116.1
1133.0,1129.0,2025-09-18,1134.4,5713032,1121.2
1135.9,1133.0,2025-09-19,1144.1,8910732,1126.6
1144.4,1136.0,2025-09-22,1147.6,7689900,1131.2
1170.8,1146.0,2025-09-23,1172.8,16079093,1141.9
1158.9,1168.0,2025-09-24,1172.8,12812055,1154.0
1166.6,1154.7,2025-09-25,1171.8,11188302,1153.4
1154.0,1161.6,2025-09-26,1169.7,5618932,1148.0
1132.2,1155.4,2025-09-29,1158.3,9693881,1126.7
1131.6,1130.0,2025-09-30,1137.0,8165203,1125.4
1159.5,1132.5,2025-10-01,1164.8,9655009,1131.0
1181.0,1171.0,2025-10-03,1188.0,11095015,1169.5
1212.8,1185.0,2025-10-06,1215.2,20128505,1182.1
1186.8,1212.0,2025-10-07,1212.0,8620156,1184.0
1180.6,1180.1,2025-10-08,1194.8,5160430,1174.1
1167.4,1178.0,2025-10-09,1187.3,7194651,1163.1
1180.4,1168.0,2025-10-10,1191.7,6933035,1165.2
1189.6,1171.0,2025-10-13,1193.6,4138448,1167.5
1176.8,1191.8,2025-10-14,1191.8,5742538,1166.6
1169.6,1180.0,2025-10-15,1181.7,6328142,1164.0
1196.3,1216.4,2025-10-16,1216.9,17747171,1185.3
1200.2,1196.3,2025-10-17,1212.9,6404414,1191.6
1226.0,1207.9,2025-10-20,1231.7,7418616,1207.0
1237.3,1225.8,2025-10-21,1238.8,1940248,1222.0
1258.8,1246.0,2025-10-23,1276.1,14611221,1241.3
1241.9,1254.2,2025-10-24,1256.0,4882046,1240.1
1254.1,1243.4,2025-10-27,1258.5,6185072,1242.6
1246.3,1249.0,2025-10-28,1258.9,8146777,1236.6
1248.8,1246.9,2025-10-29,1251.0,4578825,1239.2
1238.6,1243.0,2025-10-30,1248.0,4017532,1235.0
1232.8,1243.0,2025-10-31,1245.4,4106607,1231.0
1233.7,1226.0,2025-11-03,1241.0,6118907,1222.3
1226.6,1230.1,2025-11-04,1235.9,3299345,1222.8
1228.5,1225.0,2025-11-06,1239.6,3733721,1225.0
1222.8,1227.0,2025-11-07,1228.8,3461466,1217.0
1217.0,1222.0,2025-11-10,1232.8,4140568,1215.5
1222.5,1218.1,2025-11-11,1225.0,5615453,1209.4
1221.6,1227.9,2025-11-12,1232.7,6782513,1216.5
1225.2,1219.0,2025-11-13,1234.8,3345231,1213.2
1241.6,1224.0,2025-11-14,1246.0,5197740,1222.0
1249.6,1243.9,2025-11-17,1261.0,4088026,1240.4
1265.4,1250.0,2025-11-18,1273.5,10175969,1247.6
1270.4,1268.0,2025-11-19,1273.0,4101288,1257.8
1285.2,1275.0,2025-11-20,1287.3,4617594,1262.6
1275.8,1284.0,2025-11-21,1284.5,6363593,1273.0
1269.0,1279.2,2025-11-24,1290.9,10491953,1266.6
1266.3,1269.1,2025-11-25,1276.7,5290156,1263.7
1290.2,1271.9,2025-11-26,1292.8,4842021,1269.3
