close,open,date,high,volume,low
161.34,162.0,2025-09-01,163.45,6313785,159.53
162.04,162.3,2025-09-02,163.45,3464110,160.2
164.73,162.05,2025-09-03,165.47,2636678,162.05
162.48,165.88,2025-09-04,166.14,2266789,162.01
163.34,162.8,2025-09-05,164.34,2708705,161.4
164.54,164.5,2025-09-08,165.5,1895260,163.37
163.46,164.7,2025-09-09,165.12,1152491,163.05
166.8,165.0,2025-09-10,168.19,3209866,164.1
166.59,166.7,2025-09-11,168.75,1725062,166.14
164.87,166.59,2025-09-12,167.23,2180973,164.24
162.14,166.0,2025-09-15,166.17,5750385,161.8
162.67,162.5,2025-09-16,163.69,6584222,159.81
164.28,163.5,2025-09-17,164.54,4619945,162.55
166.91,165.35,2025-09-18,168.88,9198376,165.17
167.08,167.0,2025-09-19,168.25,4457698,165.05
163.19,166.21,2025-09-22,167.9,6341146,162.8
162.09,163.5,2025-09-23,164.0,10403417,158.5
158.47,162.09,2025-09-24,163.67,5184943,158.0
157.27,158.0,2025-09-25,159.34,6446897,156.79
155.02,157.27,2025-09-26,157.86,6103913,154.53
162.18,155.78,2025-09-29,162.75,18008398,155.78
162.21,162.0,2025-09-30,162.95,6070683,160.6
163.54,163.0,2025-10-01,165.15,8546404,160.28
165.96,163.54,2025-10-03,166.41,8038222,163.0
164.79,166.52,2025-10-06,167.33,6240755,164.36
164.47,164.79,2025-10-07,167.17,11012796,164.25
160.74,165.0,2025-10-08,165.0,6821084,160.41
163.3,161.1,2025-10-09,163.63,4759207,160.51
169.32,163.3,2025-10-10,170.09,10328003,163.07
168.48,168.0,2025-10-13,169.75,5337566,167.12
162.59,169.2,2025-10-14,169.3,10676188,161.56
163.2,163.5,2025-10-15,164.5,5380906,162.6
161.56,163.5,2025-10-16,164.65,5939654,160.85
160.98,161.56,2025-10-17,163.25,8147603,159.41
166.99,162.5,2025-10-20,168.57,11102986,162.21
165.99,168.0,2025-10-21,168.55,1155259,165.5
171.31,167.52,2025-10-23,172.84,13932402,166.65
170.0,171.5,2025-10-24,173.73,8783938,169.72
172.04,171.0,2025-10-27,173.64,6864109,170.0
175.62,172.71,2025-10-28,175.95,7622416,171.94
172.23,175.93,2025-10-29,175.93,5931417,171.69
170.58,172.64,2025-10-30,173.5,7269887,168.7
156.56,164.1,2025-10-31,164.9,61847492,156.01
157.6,156.6,2025-11-03,158.9,9593425,155.2
156.16,158.2,2025-11-04,158.28,16071978,154.87
152.93,156.89,2025-11-06,156.89,12978521,151.36
153.71,152.93,2025-11-07,155.18,16575533,151.76
152.5,154.39,2025-11-10,155.27,7260687,152.25
150.94,152.8,2025-11-11,153.5,6636127,149.32
155.85,151.09,2025-11-12,156.3,8535481,151.09
154.13,155.5,2025-11-13,156.07,3841132,154.0
154.59,154.3,2025-11-14,155.26,4141559,153.4
154.78,154.99,2025-11-17,157.75,5810479,154.55
153.16,155.1,2025-11-18,155.52,3409847,152.9
152.88,153.9,2025-11-19,153.9,3087236,152.1
151.22,153.0,2025-11-20,153.59,3386488,151.03
149.11,151.17,2025-11-21,151.25,7161555,148.52
149.91,149.1,2025-11-24,150.9,7482792,148.1
149.63,150.0,2025-11-25,150.31,4401144,148.57
151.18,150.0,2025-11-26,152.5,4999472,149.72
149.64,152.0,2025-11-27,152.22,4904968,149.25
150.36,150.8,2025-11-28,152.21,4578914,149.81
150.05,151.11,2025-12-01,151.2,6906158,149.38
149.78,150.01,2025-12-02,152.4,16272094,149.21
146.78,150.0,2025-12-03,150.19,6115298,145.83
146.12,146.78,2025-12-04,147.75,3582527,145.68
140.08,146.5,2025-12-05,146.64,14523533,139.5
135.47,140.23,2025-12-08,141.78,7995242,134.9
141.0,135.71,2025-12-09,141.4,9961299,134.25
141.34,141.0,2025-12-10,143.24,5203854,140.18
145.29,141.5,2025-12-11,145.6,6392124,140.51
149.57,145.25,2025-12-12,150.35,12007352,145.25
151.79,149.1,2025-12-15,152.2,9612799,148.01
