close,open,date,high,volume,low
247.54,248.79,2025-07-01,249.39,12791194,243.52
243.05,247.78,2025-07-02,247.78,16461168,242.0
242.32,243.9,2025-07-03,244.7,6572424,241.23
240.78,243.24,2025-07-04,243.54,11400183,239.25
241.09,240.9,2025-07-07,245.0,8397404,240.11
239.76,242.0,2025-07-08,242.27,5872650,238.4
241.13,240.0,2025-07-09,242.1,5927854,239.39
238.84,241.0,2025-07-10,241.9,4169988,238.3
237.44,238.0,2025-07-11,240.47,6155645,236.01
240.92,237.44,2025-07-14,241.8,5818162,236.44
244.32,241.1,2025-07-15,245.29,7854584,240.74
249.08,243.1,2025-07-16,250.5,13157847,243.1
246.52,250.05,2025-07-17,250.57,6291020,245.5
244.71,245.02,2025-07-18,247.5,5337640,244.0
243.39,244.21,2025-07-21,245.48,4973875,240.77
239.48,243.41,2025-07-22,244.22,7142245,238.84
243.07,239.48,2025-07-23,243.5,4865685,238.44
246.86,243.07,2025-07-24,247.25,11426887,239.3
243.45,246.25,2025-07-25,249.0,8703652,242.41
240.34,239.15,2025-07-28,247.25,11840807,237.78
242.26,239.2,2025-07-29,243.38,5783053,239.02
239.67,242.04,2025-07-30,243.9,3131598,238.97
237.87,237.5,2025-07-31,240.95,5770571,236.5
235.13,237.74,2025-08-01,238.61,4770791,234.55
241.17,235.16,2025-08-04,241.9,5286235,235.16
240.65,240.0,2025-08-05,242.27,2784149,239.5
241.75,240.65,2025-08-06,243.45,5567926,239.35
242.05,241.0,2025-08-07,242.5,5526019,237.3
239.22,241.0,2025-08-08,242.55,4393052,238.51
243.97,239.22,2025-08-11,244.94,8071890,239.22
243.08,243.6,2025-08-12,245.33,5778309,242.64
241.81,243.08,2025-08-13,244.88,4734249,241.25
242.77,241.99,2025-08-14,243.8,5398813,241.4
242.77,244.0,2025-08-18,245.73,6339208,241.56
247.05,242.7,2025-08-19,247.3,5767582,241.63
244.88,247.1,2025-08-20,248.5,7335347,244.55
243.36,245.09,2025-08-21,247.34,4378842,243.15
240.23,243.2,2025-08-22,244.57,5946024,240.0
241.08,241.5,2025-08-25,242.94,6139415,240.49
235.14,240.01,2025-08-26,241.08,9059590,234.42
233.24,235.52,2025-08-28,236.61,7496201,231.71
232.83,232.5,2025-08-29,234.47,5698267,230.81
234.42,233.0,2025-09-01,235.3,5022461,233.0
236.67,234.0,2025-09-02,238.5,3798598,233.43
238.42,237.67,2025-09-03,239.07,5983296,237.0
233.94,239.75,2025-09-04,240.78,4012532,233.57
234.26,235.0,2025-09-05,235.56,3555014,231.72
234.64,234.8,2025-09-08,236.8,4845778,234.2
234.49,234.64,2025-09-09,235.71,8815989,233.46
238.01,235.7,2025-09-10,240.25,12351617,235.35
238.27,239.0,2025-09-11,241.6,8641633,237.65
237.48,238.5,2025-09-12,239.26,7047846,235.51
239.05,237.0,2025-09-15,240.0,7165608,237.0
240.58,239.05,2025-09-16,240.85,7020684,237.8
245.89,240.68,2025-09-17,247.0,13825961,239.79
248.95,246.61,2025-09-18,252.25,19663095,246.01
252.08,249.5,2025-09-19,254.4,16173486,249.0
251.14,252.0,2025-09-22,254.69,8447174,250.01
253.23,251.14,2025-09-23,254.45,10937835,249.14
254.37,254.5,2025-09-24,258.5,19015206,253.61
252.82,254.37,2025-09-25,256.34,10254514,252.0
248.45,252.82,2025-09-26,252.98,7652782,247.17
253.99,248.5,2025-09-29,255.39,11711402,248.31
258.54,254.0,2025-09-30,260.1,16041674,253.76
259.6,259.8,2025-10-01,261.05,10553753,255.3
263.95,260.1,2025-10-03,265.35,12224432,257.8
266.6,266.75,2025-10-06,272.05,13935656,265.4
261.85,266.05,2025-10-07,267.3,8742344,261.6
261.9,262.5,2025-10-08,263.2,6051759,258.5
264.15,262.0,2025-10-09,265.8,5413923,260.6
266.95,264.5,2025-10-10,268.9,9459957,264.05
268.1,266.4,2025-10-13,269.2,5443095,264.65
263.95,268.0,2025-10-14,268.7,4141172,263.55
268.4,263.3,2025-10-15,270.4,8534350,263.3
266.15,268.4,2025-10-16,269.3,6996551,265.5
264.5,266.15,2025-10-17,267.5,6919725,262.6
271.45,265.8,2025-10-20,273.1,17154442,265.05
270.2,271.5,2025-10-21,272.7,1137999,269.1
266.9,270.0,2025-10-23,271.7,7342137,266.25
266.2,266.9,2025-10-24,268.6,6541279,264.3
273.65,267.0,2025-10-27,279.9,11187429,266.3
276.95,274.4,2025-10-28,277.5,10922577,273.35
274.6,276.55,2025-10-29,277.9,6127929,274.05
272.75,274.6,2025-10-30,276.6,13926080,271.35
278.4,273.8,2025-10-31,280.65,23120256,272.05
291.2,284.5,2025-11-03,293.25,38572616,283.0
288.1,290.95,2025-11-04,292.3,11837387,286.0
286.35,289.5,2025-11-06,290.5,7681719,284.75
289.05,284.0,2025-11-07,290.7,6951797,283.1
287.7,289.05,2025-11-10,291.85,7071136,285.65
285.85,287.45,2025-11-11,288.9,9114319,280.95
285.0,286.9,2025-11-12,289.95,11257140,283.8
283.25,284.8,2025-11-13,287.2,6205108,282.25
286.75,281.3,2025-11-14,287.45,5767810,281.3
287.95,289.0,2025-11-17,292.4,9325390,287.65
288.45,287.75,2025-11-18,289.85,6702634,285.0
293.3,287.85,2025-11-19,293.8,11205111,287.0
288.25,294.95,2025-11-20,294.95,7321372,287.7
284.15,287.0,2025-11-21,287.95,7072694,283.3
281.9,284.15,2025-11-24,285.85,8839228,281.0
287.25,281.75,2025-11-25,287.9,7981354,280.7
288.4,287.0,2025-11-26,293.0,5874557,286.95
287.9,289.25,2025-11-27,289.9,5143734,286.1
289.8,287.0,2025-11-28,292.45,7906532,287.0
295.55,290.0,2025-12-01,297.75,13719693,290.0
296.9,297.0,2025-12-02,303.95,20755587,295.8
287.0,296.0,2025-12-03,297.65,13931844,285.2
288.2,286.0,2025-12-04,289.85,8269764,285.5
292.6,287.1,2025-12-05,294.0,7376690,286.55
285.2,291.1,2025-12-08,293.3,6379707,282.95
289.85,282.85,2025-12-09,290.35,7821588,281.35
286.1,288.95,2025-12-10,290.85,5900048,285.0
285.0,287.9,2025-12-11,288.65,8448904,283.5
284.45,285.3,2025-12-12,286.45,7963115,282.55
285.1,283.7,2025-12-15,286.75,6089175,282.4
282.85,284.8,2025-12-16,284.85,5839387,280.5
287.6,282.2,2025-12-17,288.4,13792834,282.1
288.1,288.0,2025-12-18,290.5,5853204,285.8
292.05,289.9,2025-12-19,292.65,7073187,288.35
294.0,292.5,2025-12-22,295.75,5388164,292.25
292.5,295.0,2025-12-23,295.0,3676651,291.05
290.55,293.6,2025-12-24,293.8,3727361,289.9
288.2,289.2,2025-12-26,291.75,3481149,287.5
287.6,288.0,2025-12-29,290.15,7261978,287.15
293.0,286.25,2025-12-30,293.8,11505161,285.5
295.9,292.7,2025-12-31,298.7,7666538,292.1
300.75,296.5,2026-01-01,302.9,8464712,295.65
305.05,301.0,2026-01-02,305.95,10317519,301.0
306.85,308.8,2026-01-05,311.8,16328380,304.65
305.05,307.5,2026-01-06,308.4,9161270,302.4
308.25,304.5,2026-01-07,309.5,6706773,304.25
299.55,307.0,2026-01-08,309.3,8064971,298.7
300.65,299.55,2026-01-09,305.5,10210825,297.3
302.2,301.05,2026-01-12,304.0,5639635,295.7
301.85,303.1,2026-01-13,303.7,5669755,298.65
307.7,302.55,2026-01-14,308.4,11134333,299.35
308.25,307.7,2026-01-16,313.35,16690141,306.1
307.15,307.75,2026-01-19,309.2,9436591,304.1
302.05,306.95,2026-01-20,310.15,8244610,300.2
299.05,301.4,2026-01-21,305.55,7777440,297.35
305.3,301.95,2026-01-22,308.0,7472657,301.15
296.15,306.45,2026-01-23,306.45,7810191,294.6
302.0,297.0,2026-01-27,303.6,11451625,296.0
306.2,303.5,2026-01-28,306.55,10161294,300.45
302.45,307.0,2026-01-29,309.25,16319863,301.1
299.4,302.4,2026-01-30,304.0,11708481,297.5
277.6,279.0,2026-02-02,279.25,16234606,270.5
285.4,290.0,2026-02-03,295.0,15500999,281.9
290.85,286.0,2026-02-04,292.6,9434395,282.25
290.45,291.4,2026-02-05,293.1,4970798,289.05
289.2,290.05,2026-02-06,291.3,4988298,284.7
290.6,292.0,2026-02-09,295.0,8780025,289.9
290.35,290.6,2026-02-10,292.5,7522576,288.15
291.2,290.0,2026-02-11,292.7,7047693,285.8
289.85,291.2,2026-02-12,292.0,6441099,287.8
287.45,287.3,2026-02-13,288.0,6295039,284.6
292.55,285.9,2026-02-16,293.4,6149012,284.2
303.25,292.55,2026-02-17,305.0,17496015,291.2
305.15,303.25,2026-02-18,307.0,7867687,303.25
304.45,303.6,2026-02-19,305.95,7342206,303.0
309.05,303.5,2026-02-20,310.65,14797240,302.55
313.35,310.95,2026-02-23,315.25,10075556,309.7
313.1,312.95,2026-02-24,314.2,12952576,307.0
315.85,313.0,2026-02-25,316.45,9318353,311.55
324.45,316.0,2026-02-26,325.5,20502406,316.0
321.95,325.0,2026-02-27,325.0,14686416,319.5
315.2,312.0,2026-03-02,320.2,9823313,311.2
299.3,310.15,2026-03-04,310.4,17339156,296.7
301.85,301.05,2026-03-05,303.6,10288116,298.45
295.35,299.0,2026-03-06,299.6,9115653,293.95
288.05,285.15,2026-03-09,288.85,11662512,277.05
294.4,291.0,2026-03-10,296.15,8965568,290.5
289.3,295.0,2026-03-11,297.2,6444909,288.5
289.2,287.0,2026-03-12,293.35,8115474,282.95
281.05,286.15,2026-03-13,287.5,6237801,280.0
279.95,280.0,2026-03-16,282.5,9554841,272.5
283.25,280.55,2026-03-17,283.95,5072811,277.3
283.15,283.3,2026-03-18,286.9,5349893,282.55
272.6,280.0,2026-03-19,280.7,6659439,271.15
279.95,275.85,2026-03-20,283.8,9423497,275.25
265.9,275.2,2026-03-23,275.45,9657083,265.0
270.5,270.4,2026-03-24,273.75,9976659,266.0
272.7,273.9,2026-03-25,277.45,13583867,270.9
260.3,269.5,2026-03-27,269.5,19957366,258.35
247.6,254.6,2026-03-30,256.0,15950618,246.6
252.03,253.0,2026-04-01,256.25,11199966,250.4
249.56,248.95,2026-04-02,250.98,14887386,241.0
259.76,252.61,2026-04-06,260.69,22152306,251.91
258.1,257.99,2026-04-07,259.0,9211553,254.82
275.98,268.01,2026-04-08,277.28,15760765,268.01
274.24,275.99,2026-04-09,280.63,14149060,272.31
276.19,277.43,2026-04-10,278.65,10543042,273.65
275.72,269.97,2026-04-13,276.36,12303610,266.7
279.07,279.78,2026-04-15,283.0,13447615,276.96
279.39,280.4,2026-04-16,281.95,7908505,277.04
280.44,279.0,2026-04-17,282.39,6831951,276.43
281.01,280.5,2026-04-20,286.25,12006723,277.63
284.05,282.1,2026-04-21,285.2,7814738,281.35
282.77,283.25,2026-04-22,285.1,7482697,281.36
276.34,281.0,2026-04-23,281.49,8177124,274.05
274.13,276.2,2026-04-24,276.8,7797230,269.55
273.99,275.19,2026-04-27,277.2,6045069,272.7
267.83,270.0,2026-04-28,272.06,12427177,265.61
268.25,269.2,2026-04-29,271.81,5919525,267.4
263.46,265.9,2026-04-30,266.22,12323040,260.0
265.1,264.95,2026-05-04,271.6,6230309,264.2
263.4,265.4,2026-05-05,265.8,6130906,261.55
270.3,268.7,2026-05-06,271.4,17657931,262.8
270.35,271.25,2026-05-07,271.9,10221403,267.1
263.9,269.75,2026-05-08,269.75,16922683,259.3
266.0,265.9,2026-05-11,269.7,26039714,262.35
259.95,263.95,2026-05-12,267.45,9935242,259.15
261.65,260.7,2026-05-13,264.3,14028629,258.1
267.8,263.8,2026-05-14,270.1,11352510,262.65
261.4,268.0,2026-05-15,270.25,10676841,260.75
260.05,260.0,2026-05-18,260.85,7299311,255.3
260.6,260.2,2026-05-19,262.4,7957982,259.7
263.55,258.45,2026-05-20,264.3,13610643,256.65
263.1,265.95,2026-05-21,267.4,8207070,262.5
265.4,263.45,2026-05-22,266.95,18828819,262.75
272.25,268.0,2026-05-25,273.0,11731542,267.3
270.55,272.9,2026-05-26,274.2,10164821,269.8
270.95,270.55,2026-05-27,274.25,10007296,269.8
268.5,272.55,2026-05-29,274.0,17624514,267.15
264.35,270.4,2026-06-01,271.75,12975542,263.2
265.8,263.5,2026-06-02,266.35,12303559,261.0
268.85,263.9,2026-06-03,269.9,17903043,260.8
271.3,267.5,2026-06-04,272.2,16143314,266.35
263.7,264.95,2026-06-05,269.4,23279313,262.8
259.25,260.85,2026-06-08,266.5,11172071,258.0
273.75,260.4,2026-06-09,274.2,32633870,260.4
269.3,273.4,2026-06-10,275.0,11888452,268.5
267.6,266.2,2026-06-11,268.6,21062711,262.1
274.75,270.05,2026-06-12,276.1,27384601,268.65
276.05,278.55,2026-06-15,282.5,9344475,275.4
275.35,278.1,2026-06-16,278.1,9933682,273.1
281.85,277.0,2026-06-17,282.4,11929170,274.0
283.0,283.8,2026-06-18,287.1,12399938,281.75
281.05,281.95,2026-06-19,282.5,4914684,278.1
