close,open,date,high,volume,low
6405.5,6399.0,2025-07-03,6451.0,40808,6353.0
6435.5,6388.0,2025-07-04,6474.0,45583,6376.5
6438.0,6477.5,2025-07-07,6511.0,36241,6351.0
6482.5,6437.0,2025-07-08,6498.0,57710,6348.0
6443.0,6492.0,2025-07-09,6500.0,30902,6423.0
6282.0,6425.0,2025-07-10,6437.0,42439,6190.0
6196.0,6282.0,2025-07-11,6282.0,42710,6135.0
6224.5,6180.0,2025-07-14,6239.5,25130,6164.5
6359.0,6282.5,2025-07-15,6410.0,70614,6209.0
6340.0,6360.0,2025-07-16,6374.5,35659,6229.0
6354.5,6343.0,2025-07-17,6386.5,15113,6308.0
6347.5,6303.0,2025-07-18,6385.0,25168,6250.0
6288.0,6348.0,2025-07-21,6348.0,7783,6266.5
6280.5,6341.5,2025-07-22,6370.0,10420,6209.0
6353.5,6245.0,2025-07-23,6422.0,21831,6245.0
6364.0,6388.0,2025-07-24,6414.0,24133,6332.0
6336.0,6356.5,2025-07-25,6360.0,27768,6210.5
6327.5,6326.0,2025-07-28,6491.0,37725,6253.5
6352.0,6330.0,2025-07-29,6445.0,20187,6302.5
6335.0,6383.5,2025-07-30,6509.5,64578,6250.0
6322.5,6320.0,2025-07-31,6450.5,23099,6290.0
6254.5,6405.0,2025-08-01,6429.0,29477,6110.5
6251.0,6255.0,2025-08-04,6334.0,27187,6191.5
6281.0,6298.5,2025-08-05,6325.0,32963,6210.5
6019.0,6343.0,2025-08-06,6415.0,180726,5930.0
5677.5,5990.0,2025-08-07,6019.0,129955,5611.5
5572.5,5655.0,2025-08-08,5735.0,34360,5485.5
5631.0,5540.0,2025-08-11,5695.0,17643,5512.5
5642.0,5674.0,2025-08-12,5700.0,20256,5580.0
5652.5,5620.0,2025-08-13,5669.0,13338,5589.0
5649.5,5670.0,2025-08-14,5673.5,15509,5563.5
5521.5,5649.5,2025-08-18,5706.0,35451,5500.5
5564.0,5529.5,2025-08-19,5577.0,15107,5461.5
5582.5,5598.0,2025-08-20,5620.0,12879,5558.5
5594.5,5630.0,2025-08-21,5649.5,7939,5580.0
5519.0,5597.0,2025-08-22,5620.0,21970,5500.0
5501.0,5542.0,2025-08-25,5590.0,14967,5485.5
5331.0,5515.0,2025-08-26,5525.0,26673,5310.0
5269.0,5331.0,2025-08-28,5367.0,20770,5258.5
5231.5,5253.5,2025-08-29,5280.0,20747,5194.0
5214.0,5294.5,2025-09-01,5294.5,17857,5200.0
5202.5,5235.5,2025-09-02,5297.5,19449,5175.5
5176.0,5227.0,2025-09-03,5240.0,36202,5151.0
5112.0,5230.0,2025-09-04,5255.0,28723,5100.0
5082.5,5133.0,2025-09-05,5177.0,13820,5061.0
5057.0,5078.5,2025-09-08,5169.0,18722,5030.0
5103.0,5096.5,2025-09-09,5130.0,21210,5034.5
5109.5,5124.0,2025-09-10,5175.0,18489,5078.5
5114.5,5125.0,2025-09-11,5158.5,15903,5103.5
5102.0,5174.5,2025-09-12,5185.0,33093,5056.0
5107.5,5102.0,2025-09-15,5136.5,17389,5060.0
5220.0,5129.0,2025-09-16,5265.5,51229,5105.0
5195.0,5230.0,2025-09-17,5247.0,24755,5151.0
5197.5,5199.0,2025-09-18,5265.0,16489,5156.5
5347.0,5200.0,2025-09-19,5489.0,168651,5179.0
5245.0,5346.0,2025-09-22,5346.0,18880,5218.0
5072.0,5250.0,2025-09-23,5250.5,34850,5048.0
5033.5,5050.0,2025-09-24,5095.5,22444,4991.0
4985.0,5049.0,2025-09-25,5057.5,16217,4945.0
5049.0,4969.5,2025-09-26,5066.0,25501,4900.5
4924.0,5089.0,2025-09-29,5089.0,21487,4870.0
4810.5,4924.0,2025-09-30,4924.0,27309,4792.0
4912.9,4810.0,2025-10-01,4947.0,21727,4791.0
5054.9,4922.0,2025-10-03,5082.0,15757,4902.8
4997.3,5075.0,2025-10-06,5075.0,32408,4980.0
4991.5,4997.3,2025-10-07,5016.9,17401,4967.3
4995.3,5010.9,2025-10-08,5010.9,8489,4966.3
5057.6,5005.0,2025-10-09,5085.0,11518,4946.6
5007.1,5074.0,2025-10-10,5074.0,13426,4977.1
5005.8,5001.5,2025-10-13,5036.5,21790,4970.0
4973.5,4975.0,2025-10-14,5019.0,13774,4955.1
5066.3,4980.0,2025-10-15,5123.8,12731,4956.8
5113.2,5097.0,2025-10-16,5129.0,16234,5034.7
5023.4,5149.9,2025-10-17,5149.9,15301,5001.0
4996.5,5055.6,2025-10-20,5055.6,27374,4961.0
5009.4,5040.0,2025-10-21,5040.0,2069,4998.1
4999.6,5010.0,2025-10-23,5050.0,10646,4969.0
5019.7,4988.0,2025-10-24,5032.9,7777,4975.2
5034.3,5069.0,2025-10-27,5069.0,60069,5013.1
4949.3,5058.8,2025-10-28,5058.8,16802,4940.0
4854.5,4925.0,2025-10-29,4982.5,62518,4540.0
4925.7,4940.0,2025-10-30,5020.0,29614,4870.7
4884.6,4900.1,2025-10-31,4949.0,13502,4870.0
4871.7,4884.6,2025-11-03,4915.0,15239,4860.0
4835.6,4871.0,2025-11-04,4891.8,23304,4799.0
4744.7,4825.0,2025-11-06,4835.0,17129,4725.0
4591.9,4744.7,2025-11-07,4748.4,36965,4584.5
4642.7,4600.4,2025-11-10,4660.0,41457,4578.0
4499.8,4622.0,2025-11-11,4639.8,56460,4489.0
4506.0,4510.6,2025-11-12,4534.6,133028,4431.0
4521.9,4545.9,2025-11-13,4567.2,32409,4497.0
4476.2,4452.1,2025-11-14,4520.0,38442,4434.8
4558.4,4488.0,2025-11-17,4574.0,37804,4460.7
4553.5,4579.0,2025-11-18,4588.0,35549,4500.0
4557.9,4553.5,2025-11-19,4573.1,20576,4516.7
4576.2,4570.0,2025-11-20,4601.8,21063,4506.1
4544.6,4551.0,2025-11-21,4581.6,13079,4522.0
4535.2,4544.6,2025-11-24,4555.9,18057,4500.0
4607.5,4558.0,2025-11-25,4700.0,20992,4510.9
4587.5,4624.9,2025-11-26,4624.9,21457,4571.9
4572.4,4775.0,2025-11-27,4785.1,213098,4438.0
4658.4,4552.0,2025-11-28,4677.3,66966,4504.5
4607.8,4640.0,2025-12-01,4673.9,26533,4560.0
4606.2,4600.0,2025-12-02,4640.0,20731,4579.0
4507.3,4610.0,2025-12-03,4620.1,25766,4500.0
4506.0,4512.0,2025-12-04,4598.0,29368,4490.1
4495.1,4506.0,2025-12-05,4537.0,25290,4467.3
4435.6,4488.0,2025-12-08,4501.1,33272,4422.0
4389.7,4435.6,2025-12-09,4464.7,22152,4385.5
4401.6,4407.0,2025-12-10,4487.1,33952,4391.8
4394.1,4395.0,2025-12-11,4416.2,9584,4385.0
4408.8,4403.0,2025-12-12,4434.0,12510,4390.0
4388.7,4424.8,2025-12-15,4434.0,11926,4380.1
4374.9,4408.8,2025-12-16,4418.0,11415,4360.3
4349.3,4375.0,2025-12-17,4399.0,10076,4330.0
4289.7,4358.1,2025-12-18,4358.1,16249,4282.0
4301.4,4292.1,2025-12-19,4365.0,143667,4275.2
4364.0,4350.0,2025-12-22,4375.9,99197,4329.0
4456.6,4387.8,2025-12-23,4472.0,27068,4372.4
4526.9,4469.0,2025-12-24,4550.6,25153,4455.6
4550.7,4546.9,2025-12-26,4562.0,23427,4390.0
4537.0,4589.0,2025-12-29,4619.0,51463,4500.0
4514.1,4515.0,2025-12-30,4571.0,92192,4464.9
4558.0,4559.2,2025-12-31,4573.0,17316,4510.6
4543.2,4558.0,2026-01-01,4576.7,6730,4525.1
4546.7,4564.0,2026-01-02,4585.6,24554,4529.9
4562.7,4535.0,2026-01-05,4572.0,19666,4521.0
4508.1,4560.5,2026-01-06,4560.5,18416,4491.0
4535.9,4501.0,2026-01-07,4540.0,7830,4500.9
4495.7,4542.4,2026-01-08,4557.0,17748,4481.0
4469.0,4495.7,2026-01-09,4504.0,10809,4457.6
4425.5,4475.0,2026-01-12,4485.0,18691,4370.1
4427.8,4425.0,2026-01-13,4471.9,12318,4410.0
4412.3,4427.5,2026-01-14,4451.1,18240,4383.8
4398.7,4448.0,2026-01-16,4448.0,17599,4381.0
4386.3,4398.7,2026-01-19,4417.8,12317,4359.4
4385.0,4385.0,2026-01-20,4405.0,24228,4273.0
4399.8,4399.4,2026-01-21,4408.0,19343,4302.0
4365.7,4410.0,2026-01-22,4466.9,21182,4351.2
4385.2,4385.0,2026-01-23,4400.0,11425,4365.0
4355.3,4385.2,2026-01-27,4418.8,12868,4319.1
4374.7,4339.0,2026-01-28,4398.0,13720,4339.0
4362.3,4394.0,2026-01-29,4394.0,13549,4327.0
4466.2,4333.6,2026-01-30,4484.4,23391,4333.6
4424.7,4395.0,2026-02-02,4444.0,20619,4332.2
4428.0,4500.0,2026-02-03,4503.5,27696,4400.0
4489.3,4428.0,2026-02-04,4496.7,10223,4420.0
4458.1,4459.3,2026-02-05,4517.0,15513,4440.0
4489.9,4474.0,2026-02-06,4499.0,15483,4421.0
4637.0,4489.0,2026-02-09,4651.6,36170,4481.0
4696.4,4639.8,2026-02-10,4748.6,45965,4601.0
4762.4,4712.0,2026-02-11,4788.5,30183,4670.9
4832.9,4880.0,2026-02-12,4966.8,116797,4700.0
4791.2,4808.7,2026-02-13,4808.7,21617,4715.8
4680.2,4791.2,2026-02-16,4814.2,11018,4665.1
4754.3,4660.0,2026-02-17,4765.0,12525,4640.0
4830.3,4770.0,2026-02-18,4845.0,25943,4750.0
4774.9,4830.3,2026-02-19,4830.3,19071,4723.5
4800.0,4800.0,2026-02-20,4809.0,13324,4732.7
4789.0,4800.0,2026-02-23,4829.6,11196,4761.6
4711.3,4797.0,2026-02-24,4797.0,12545,4693.0
