close,open,date,high,volume,low
1945.6,1969.9,2025-07-22,1978.0,51830,1936.1
1981.1,1959.0,2025-07-23,2035.0,326560,1939.5
1970.2,1996.9,2025-07-24,2025.0,87638,1953.1
1955.5,1970.2,2025-07-25,1970.2,44894,1936.1
1921.5,1964.0,2025-07-28,1964.0,38416,1903.4
1939.4,1925.0,2025-07-29,1983.8,75135,1925.0
1935.9,1942.0,2025-07-30,1968.5,25343,1929.9
1896.8,1922.9,2025-07-31,1922.9,28428,1883.3
1901.6,1890.0,2025-08-01,1945.1,37820,1890.0
1894.7,1921.0,2025-08-04,1934.8,23741,1880.1
1861.6,1885.0,2025-08-05,1897.9,31788,1856.0
1842.6,1861.6,2025-08-06,1879.0,26562,1833.8
1874.0,1825.0,2025-08-07,1880.0,29688,1824.8
1849.4,1872.0,2025-08-08,1883.5,21901,1825.0
1835.5,1850.0,2025-08-11,1850.0,18079,1828.1
1866.9,1840.0,2025-08-12,1899.0,92885,1825.0
1855.3,1853.0,2025-08-13,1886.3,26767,1850.0
1832.3,1852.0,2025-08-14,1864.1,15552,1822.5
1856.0,1864.0,2025-08-18,1869.6,26670,1827.0
1862.2,1841.3,2025-08-19,1868.9,18576,1841.3
1866.2,1876.9,2025-08-20,1876.9,29892,1850.1
1842.4,1860.0,2025-08-21,1879.4,22244,1838.0
1825.8,1842.6,2025-08-22,1851.3,20360,1822.1
1802.4,1830.0,2025-08-25,1835.3,29378,1800.0
1768.2,1802.0,2025-08-26,1807.0,58491,1761.0
1799.7,1768.0,2025-08-28,1856.0,208206,1747.2
1753.7,1795.1,2025-08-29,1825.8,53130,1740.0
1788.2,1767.7,2025-09-01,1795.0,55789,1751.1
1824.0,1790.1,2025-09-02,1837.2,41250,1781.9
1835.6,1826.9,2025-09-03,1839.0,13318,1815.2
1877.1,1892.0,2025-09-04,1918.0,131798,1860.1
1853.9,1885.0,2025-09-05,1885.1,22556,1840.0
1864.3,1850.0,2025-09-08,1870.0,25896,1836.1
1861.6,1871.0,2025-09-09,1885.0,30598,1845.0
1884.4,1851.0,2025-09-10,1904.0,26238,1851.0
1891.6,1885.0,2025-09-11,1914.0,66915,1867.1
1879.8,1880.0,2025-09-12,1920.0,43590,1873.1
1961.3,1871.0,2025-09-15,1975.2,121122,1871.0
1939.1,1960.1,2025-09-16,1989.9,59780,1925.5
1957.9,1950.0,2025-09-17,1984.0,66848,1931.1
1954.7,1964.9,2025-09-18,1980.0,29961,1946.1
1936.4,1968.9,2025-09-19,1968.9,40332,1928.0
1911.7,1943.0,2025-09-22,1948.0,39509,1904.1
1878.7,1921.3,2025-09-23,1921.9,39618,1875.1
1880.9,1878.8,2025-09-24,1901.8,30193,1869.8
1856.8,1880.9,2025-09-25,1884.6,16770,1851.5
1784.0,1856.8,2025-09-26,1856.8,48019,1775.0
1762.0,1787.1,2025-09-29,1799.8,30687,1755.0
1768.0,1777.0,2025-09-30,1783.4,41386,1742.0
1802.8,1752.0,2025-10-01,1816.4,35021,1752.0
1838.6,1822.0,2025-10-03,1843.0,42031,1792.0
1915.1,1842.0,2025-10-06,1985.0,799997,1838.6
1879.8,1915.0,2025-10-07,1918.7,37695,1871.1
1846.9,1874.0,2025-10-08,1890.0,45740,1840.2
1848.0,1862.5,2025-10-09,1869.8,20576,1830.1
1879.0,1844.0,2025-10-10,1894.8,32019,1838.2
1889.8,1889.0,2025-10-13,1896.7,36705,1847.2
1911.2,1889.8,2025-10-14,1930.0,66457,1876.2
1908.0,1911.2,2025-10-15,1929.0,63897,1859.2
1887.7,1930.0,2025-10-16,1930.0,26984,1880.9
1999.7,1896.0,2025-10-17,2088.0,3265482,1896.0
2048.3,1990.0,2025-10-20,2056.6,290618,1985.3
2056.7,2050.0,2025-10-21,2082.5,45786,2042.0
2103.1,2048.0,2025-10-23,2135.0,308321,2035.0
2078.9,2104.0,2025-10-24,2104.4,84874,2058.0
2035.1,2074.0,2025-10-27,2075.4,59381,2027.2
2007.0,2032.0,2025-10-28,2044.9,41207,2000.0
2014.6,2011.0,2025-10-29,2027.9,49573,1994.3
1993.3,2030.0,2025-10-30,2042.9,50629,1980.1
1980.8,2010.0,2025-10-31,2010.0,31644,1969.5
1979.8,1980.9,2025-11-03,2014.8,40241,1964.8
1952.8,1988.0,2025-11-04,1990.9,32290,1941.5
1901.0,1998.0,2025-11-06,2007.9,70508,1892.8
1901.5,1897.0,2025-11-07,1913.9,48708,1870.1
1935.9,1910.1,2025-11-10,1939.0,26335,1906.3
1907.6,1935.0,2025-11-11,1935.4,77039,1853.4
1890.2,1907.0,2025-11-12,1919.7,43275,1879.0
1873.3,1895.8,2025-11-13,1902.5,40582,1867.2
1830.7,1878.0,2025-11-14,1908.1,187795,1820.0
1842.8,1832.1,2025-11-17,1860.0,53291,1830.0
2022.7,1845.8,2025-11-18,2048.0,5898302,1843.0
1974.1,1990.0,2025-11-19,2018.1,673896,1961.1
1919.4,1970.0,2025-11-20,1977.7,131927,1915.0
1862.3,1903.2,2025-11-21,1938.4,135920,1856.1
1861.2,1860.0,2025-11-24,1870.6,70637,1840.0
1828.7,1861.3,2025-11-25,1870.0,94782,1825.0
1842.0,1844.0,2025-11-26,1859.1,65576,1821.4
1838.5,1842.0,2025-11-27,1857.2,28077,1834.9
1834.9,1841.1,2025-11-28,1844.0,31613,1828.0
1837.0,1850.5,2025-12-01,1859.0,27362,1831.6
1811.7,1835.0,2025-12-02,1839.5,27935,1807.0
1882.5,1811.7,2025-12-03,1940.0,1585660,1801.2
1857.0,1870.6,2025-12-04,1882.7,58799,1849.9
1850.5,1851.0,2025-12-05,1859.3,36633,1825.0
1812.8,1849.9,2025-12-08,1853.6,34271,1805.5
1893.4,1801.0,2025-12-09,1900.0,130456,1798.1
1856.5,1862.0,2025-12-10,1907.1,88628,1845.1
1883.6,1865.0,2025-12-11,1896.1,38897,1855.2
1869.5,1879.0,2025-12-12,1887.7,21786,1862.1
1868.5,1877.0,2025-12-15,1878.9,21105,1845.9
1865.1,1877.0,2025-12-16,1938.0,122220,1854.0
1890.0,1865.1,2025-12-17,1899.7,56379,1865.1
1895.8,1900.0,2025-12-18,1907.3,38324,1868.0
1902.9,1905.0,2025-12-19,1911.7,24172,1892.4
1902.9,1918.0,2025-12-22,1932.0,67059,1896.0
1894.2,1912.4,2025-12-23,1923.3,32459,1885.1
1862.7,1910.0,2025-12-24,1925.0,39083,1856.0
1836.9,1884.0,2025-12-26,1884.0,53996,1824.1
1828.6,1836.9,2025-12-29,1850.6,19811,1823.0
1877.0,1842.0,2025-12-30,1926.2,361497,1824.1
1889.1,1875.0,2025-12-31,1908.5,35287,1868.1
1867.6,1890.0,2026-01-01,1895.0,23537,1858.0
1880.9,1867.8,2026-01-02,1889.6,28789,1863.4
1868.7,1880.8,2026-01-05,1897.0,29464,1860.6
1876.7,1885.0,2026-01-06,1891.5,26960,1853.2
1904.1,1884.0,2026-01-07,1927.0,82435,1868.4
1835.8,1885.1,2026-01-08,1909.9,56114,1815.7
1815.7,1835.8,2026-01-09,1858.0,44985,1808.0
1802.4,1811.1,2026-01-12,1817.9,40574,1776.0
1816.7,1820.0,2026-01-13,1845.0,20774,1810.0
1846.3,1805.9,2026-01-14,1854.0,28690,1805.9
1816.6,1825.0,2026-01-16,1846.3,27634,1811.5
1791.8,1816.6,2026-01-19,1834.7,20810,1785.7
1710.1,1780.1,2026-01-20,1794.7,67884,1684.0
1732.9,1710.2,2026-01-21,1768.0,80065,1706.0
1780.6,1736.1,2026-01-22,1790.0,36035,1736.1
1733.2,1780.0,2026-01-23,1807.9,27322,1728.7
1702.8,1728.0,2026-01-27,1750.9,32748,1682.0
1724.2,1720.1,2026-01-28,1734.9,30328,1702.0
1713.8,1728.1,2026-01-29,1730.1,16414,1705.0
1719.3,1714.9,2026-01-30,1730.2,40002,1689.8
1717.3,1684.6,2026-02-02,1729.8,31258,1656.1
1758.8,1753.9,2026-02-03,1784.8,27881,1734.4
1754.6,1751.8,2026-02-04,1765.8,34658,1739.8
1773.2,1756.9,2026-02-05,1796.3,43354,1736.8
1778.0,1773.2,2026-02-06,1785.9,10818,1760.0
1791.9,1778.6,2026-02-09,1795.4,17868,1773.5
1806.4,1799.0,2026-02-10,1820.0,28610,1788.0
1854.2,1839.8,2026-02-11,1903.0,222052,1820.0
1813.0,1865.5,2026-02-12,1865.5,30146,1803.2
1791.9,1805.0,2026-02-13,1812.2,24420,1772.5
1801.9,1792.9,2026-02-16,1809.9,19423,1784.6
1807.9,1796.0,2026-02-17,1827.0,23535,1796.0
1821.1,1808.0,2026-02-18,1833.7,24905,1808.0
1785.0,1821.1,2026-02-19,1830.5,30127,1771.1
1776.8,1770.0,2026-02-20,1785.8,18775,1755.0
1778.5,1780.2,2026-02-23,1807.0,16252,1769.2
1766.4,1778.0,2026-02-24,1779.5,27176,1747.9
1764.0,1766.4,2026-02-25,1787.9,17185,1743.4
1725.0,1756.3,2026-02-26,1763.9,33486,1712.6
1694.2,1725.0,2026-02-27,1725.1,39953,1690.0
1644.2,1620.0,2026-03-02,1680.0,41838,1620.0
1569.6,1620.0,2026-03-04,1623.7,75133,1565.0
1627.3,1594.0,2026-03-05,1640.0,96096,1578.0
1620.4,1619.0,2026-03-06,1633.8,23446,1601.2
1538.2,1605.0,2026-03-09,1605.0,69841,1511.2
1562.8,1552.9,2026-03-10,1568.4,40728,1529.3
1570.4,1565.0,2026-03-11,1590.0,32970,1560.0
1570.9,1574.4,2026-03-12,1594.0,43038,1539.0
1527.3,1560.0,2026-03-13,1564.6,39359,1505.3
1495.6,1527.3,2026-03-16,1529.1,42592,1476.1
1511.2,1502.6,2026-03-17,1521.0,30624,1495.7
1540.8,1515.0,2026-03-18,1563.8,52461,1515.0
1514.6,1526.2,2026-03-19,1538.9,28079,1510.5
1504.6,1520.0,2026-03-20,1534.9,26045,1494.2
1396.5,1479.3,2026-03-23,1491.2,89467,1380.0
1414.6,1436.0,2026-03-24,1444.0,69445,1383.2
1417.8,1430.0,2026-03-25,1449.8,78500,1414.9
1375.0,1416.2,2026-03-27,1422.5,90835,1368.7
1322.0,1355.0,2026-03-30,1367.2,73894,1314.6
1404.4,1349.0,2026-04-01,1414.3,65493,1325.0
1410.7,1381.1,2026-04-02,1416.0,39853,1356.1
1434.7,1410.0,2026-04-06,1442.0,59029,1398.5
1431.1,1432.5,2026-04-07,1438.4,31291,1418.0
1473.0,1484.0,2026-04-08,1495.7,236578,1456.0
1445.4,1477.5,2026-04-09,1484.0,108147,1440.2
1487.4,1440.1,2026-04-10,1502.0,100823,1440.1
1450.6,1479.0,2026-04-13,1479.0,90437,1438.5
1494.6,1491.0,2026-04-15,1517.2,139376,1466.3
1501.0,1504.9,2026-04-16,1510.0,158789,1475.9
1526.4,1501.0,2026-04-17,1542.0,87581,1500.0
1510.9,1540.0,2026-04-20,1540.0,41547,1501.1
1528.1,1502.2,2026-04-21,1541.0,63546,1502.2
1551.8,1534.9,2026-04-22,1556.4,46340,1521.4
1540.5,1541.1,2026-04-23,1559.7,60670,1535.4
1492.7,1532.0,2026-04-24,1549.7,77524,1480.1
1512.2,1481.8,2026-04-27,1524.9,32424,1481.8
1497.7,1500.2,2026-04-28,1523.0,31892,1492.1
1508.1,1498.9,2026-04-29,1520.0,43281,1497.5
1501.1,1500.0,2026-04-30,1512.8,36814,1480.0
1526.3,1498.5,2026-05-04,1565.6,90860,1498.5
1516.4,1526.0,2026-05-05,1533.9,21735,1505.0
1553.5,1520.0,2026-05-06,1563.0,59418,1520.0
1564.3,1561.2,2026-05-07,1575.1,61519,1545.4
1561.5,1560.0,2026-05-08,1610.8,247338,1554.3
1509.4,1563.0,2026-05-11,1563.1,60530,1505.0
1465.6,1510.0,2026-05-12,1523.9,51341,1455.1
1494.1,1475.2,2026-05-13,1520.0,58505,1475.2
1537.9,1532.5,2026-05-14,1564.8,173968,1492.1
1522.8,1548.0,2026-05-15,1559.9,28708,1517.1
1496.8,1501.2,2026-05-18,1510.4,27839,1475.0
1529.0,1495.0,2026-05-19,1541.0,33272,1495.0
1518.2,1512.3,2026-05-20,1528.3,20815,1500.0
1523.6,1528.4,2026-05-21,1540.0,10606,1518.3
1533.7,1528.8,2026-05-22,1539.9,23773,1515.0
1546.6,1533.8,2026-05-25,1552.0,28611,1522.2
1533.2,1549.9,2026-05-26,1550.0,22613,1525.0
1536.6,1526.3,2026-05-27,1543.6,22342,1525.5
1501.6,1540.5,2026-05-29,1547.8,31040,1488.0
1505.3,1517.0,2026-06-01,1523.0,38088,1479.2
1512.4,1496.0,2026-06-02,1517.2,24903,1471.5
1490.7,1512.4,2026-06-03,1512.4,20195,1479.0
1489.8,1481.0,2026-06-04,1500.3,15963,1479.0
1529.1,1509.8,2026-06-05,1535.0,68257,1491.1
1482.2,1524.1,2026-06-08,1556.0,74320,1471.0
1527.2,1482.2,2026-06-09,1535.0,60207,1479.1
1520.2,1533.9,2026-06-10,1549.0,36724,1505.5
1490.0,1510.0,2026-06-11,1510.0,31356,1480.5
1518.8,1500.3,2026-06-12,1525.0,31633,1494.7
1523.5,1543.3,2026-06-15,1552.0,46498,1517.1
1534.2,1523.5,2026-06-16,1547.2,25899,1523.5
1524.6,1534.2,2026-06-17,1542.8,26500,1515.6
1527.4,1520.8,2026-06-18,1539.5,43669,1512.2
1537.6,1527.4,2026-06-19,1547.5,35445,1510.3
1589.3,1547.4,2026-06-22,1602.0,147688,1538.5
1579.8,1618.0,2026-06-23,1623.9,124222,1562.2
1571.8,1572.3,2026-06-24,1584.9,40309,1566.2
1556.7,1580.0,2026-06-25,1584.7,31712,1548.0
1546.3,1556.7,2026-06-29,1564.5,27625,1536.9
1535.2,1546.0,2026-06-30,1555.5,19151,1530.0
1539.2,1535.0,2026-07-01,1559.9,19521,1532.0
1554.7,1548.0,2026-07-02,1558.5,34436,1540.1
1556.7,1562.2,2026-07-03,1567.2,22448,1545.9
1549.800048828125,1560.0,2026-07-06,1561.199951171875,25116,1542.0
1529.5,1552.0,2026-07-07,1552.9000244140625,23384,1527.199951171875
1498.0999755859375,1525.0,2026-07-08,1553.9000244140625,33865,1491.5
1513.4000244140625,1500.4000244140625,2026-07-09,1530.4000244140625,50397,1488.0
1521.300048828125,1517.4000244140625,2026-07-10,1531.699951171875,19517,1516.0
1514.0,1510.300048828125,2026-07-13,1519.9000244140625,16470,1502.199951171875
