close,open,date,high,volume,low
389.25,395.2,2025-07-28,396.35,19856033,383.3
388.25,390.0,2025-07-29,390.75,25307639,378.0
386.5,390.95,2025-07-30,392.4,11335944,385.0
383.1,379.0,2025-07-31,388.25,9702316,378.8
377.2,383.1,2025-08-01,383.5,8702605,376.2
389.55,379.0,2025-08-04,390.25,13454379,376.45
386.65,390.0,2025-08-05,390.25,13482710,383.35
389.7,392.0,2025-08-06,393.5,16852693,387.1
387.75,386.0,2025-08-07,390.3,11520396,383.5
384.6,385.3,2025-08-08,387.4,7139111,383.6
383.9,384.0,2025-08-11,388.4,8910936,381.55
380.35,384.0,2025-08-12,385.35,9329093,379.55
388.85,382.2,2025-08-13,389.9,10930440,382.1
384.9,387.85,2025-08-14,388.0,8046552,382.55
382.5,388.0,2025-08-18,389.75,11778056,381.1
380.05,382.5,2025-08-19,383.7,11111204,377.5
371.85,383.9,2025-08-20,384.3,20289349,371.1
374.2,373.0,2025-08-21,377.4,12680853,371.5
374.85,373.8,2025-08-22,379.95,15246732,373.6
372.05,377.85,2025-08-25,380.05,8577673,371.5
365.85,372.0,2025-08-26,372.05,15718869,364.25
363.85,364.05,2025-08-28,367.75,12218065,361.2
369.4,362.3,2025-08-29,371.0,12739664,361.6
373.9,369.95,2025-09-01,375.25,8821349,367.55
376.6,377.3,2025-09-02,378.95,12169182,373.75
378.7,377.75,2025-09-03,381.2,9919255,377.1
372.5,381.5,2025-09-04,381.5,9288078,372.0
370.8,374.0,2025-09-05,375.5,7325669,368.5
371.9,371.65,2025-09-08,374.5,6897641,370.85
371.95,371.9,2025-09-09,374.0,10598912,369.9
388.05,373.7,2025-09-10,389.0,23174318,373.05
385.15,389.6,2025-09-11,392.5,19042696,384.05
399.3,386.0,2025-09-12,399.85,26356961,385.3
398.45,400.0,2025-09-15,403.1,18486916,395.7
402.9,398.45,2025-09-16,403.3,12467341,396.2
412.2,405.5,2025-09-17,416.65,31367478,405.0
409.9,415.0,2025-09-18,415.0,12000897,408.2
408.9,409.0,2025-09-19,413.45,16150731,408.25
406.4,409.8,2025-09-22,411.4,10884230,405.35
404.45,406.4,2025-09-23,407.7,11906108,402.3
395.45,404.45,2025-09-24,404.95,10835672,395.0
403.15,395.45,2025-09-25,406.45,23804019,392.45
395.9,403.65,2025-09-26,406.15,11687034,394.4
399.95,401.0,2025-09-29,408.15,23390892,399.05
403.95,405.0,2025-09-30,406.4,14681751,401.85
