close,open,date,high,volume,low
4453.1,4366.0,2025-07-03,4485.0,565158,4328.2
4524.8,4500.5,2025-07-04,4655.0,1714888,4488.0
4578.7,4550.0,2025-07-07,4617.9,672235,4532.0
4523.9,4571.5,2025-07-08,4607.7,291117,4505.0
4667.4,4534.7,2025-07-09,4685.0,833092,4527.7
4605.0,4674.9,2025-07-10,4732.6,531969,4580.0
4428.9,4602.7,2025-07-11,4609.1,520752,4411.0
4594.9,4500.0,2025-07-14,4614.8,709387,4445.0
4619.0,4611.9,2025-07-15,4695.0,495016,4587.0
4616.4,4618.0,2025-07-16,4727.0,381241,4597.8
4547.2,4629.8,2025-07-17,4641.0,315978,4516.4
4401.5,4558.0,2025-07-18,4588.0,461680,4381.0
4373.2,4412.7,2025-07-21,4441.8,395593,4352.0
4344.6,4393.0,2025-07-22,4434.0,225318,4310.7
4285.7,4357.0,2025-07-23,4361.5,204206,4274.0
4298.1,4327.8,2025-07-24,4423.2,498286,4285.0
4148.7,4290.8,2025-07-25,4293.0,263136,4132.4
3994.7,4144.7,2025-07-28,4174.0,427793,3971.0
4063.4,3992.7,2025-07-29,4081.9,377531,3940.9
4018.6,4064.5,2025-07-30,4097.9,254861,4005.0
3960.7,3967.7,2025-07-31,4027.9,229534,3941.0
3844.9,3957.0,2025-08-01,3984.0,250980,3800.5
3984.7,3872.9,2025-08-04,4013.0,263851,3839.1
3995.3,4039.0,2025-08-05,4059.0,375184,3960.5
3952.6,4004.8,2025-08-06,4013.0,176319,3925.0
3890.9,3910.5,2025-08-07,3953.1,200365,3862.1
3859.2,3887.4,2025-08-08,3915.0,156138,3845.9
3953.5,3887.9,2025-08-11,4044.0,950451,3801.0
3917.2,3924.1,2025-08-12,3966.0,223013,3904.0
4077.4,3948.3,2025-08-13,4130.0,601792,3923.9
4053.9,4079.9,2025-08-14,4095.5,175171,4006.0
4095.1,4105.0,2025-08-18,4157.5,242774,4055.1
4120.9,4110.7,2025-08-19,4144.0,165662,4078.9
4090.2,4120.9,2025-08-20,4170.0,169904,4081.0
4029.0,4101.7,2025-08-21,4148.0,172936,4016.6
4033.8,4038.9,2025-08-22,4095.0,162164,4011.5
3993.6,4049.5,2025-08-25,4073.6,117653,3985.2
3864.6,3989.9,2025-08-26,3996.0,163627,3855.0
3838.9,3864.0,2025-08-28,3880.0,138684,3814.2
3839.4,3837.0,2025-08-29,3898.0,103992,3811.6
3893.5,3858.7,2025-09-01,3940.0,180907,3847.0
4077.5,3924.4,2025-09-02,4118.4,646386,3906.2
4103.5,4085.0,2025-09-03,4114.0,152285,4043.0
