close,open,date,high,volume,low
1801.4,1790.0,2025-08-21,1810.0,151304.0,1772.0
1859.6,1799.9,2025-08-22,1868.5,315107.0,1776.5
1859.6,1875.0,2025-08-25,1889.9,133966.0,1841.3
1839.7,1842.5,2025-08-26,1868.9,154098.0,1814.0
1785.0,1800.0,2025-08-28,1811.2,286243.0,1761.0
1774.0,1773.1,2025-08-29,1784.9,597071.0,1742.4
1770.0,1755.0,2025-09-01,1791.8,174317.0,1742.6
1772.5,1770.0,2025-09-02,1789.5,83658.0,1757.1
1787.1,1772.0,2025-09-03,1792.9,99634.0,1765.1
1774.7,1796.9,2025-09-04,1799.0,142683.0,1768.1
1745.9,1779.8,2025-09-05,1779.8,100619.0,1726.1
1745.7,1750.0,2025-09-08,1759.9,47910.0,1734.1
1770.0,1746.0,2025-09-09,1782.0,96917.0,1733.5
1739.1,1768.0,2025-09-10,1774.9,179864.0,1725.0
1727.7,1739.0,2025-09-11,1740.0,178156.0,1720.0
1706.2,1730.5,2025-09-12,1740.5,152900.0,1693.3
1700.2,1706.2,2025-09-15,1738.0,258145.0,1690.0
1736.2,1709.0,2025-09-16,1754.9,149616.0,1701.1
1726.3,1746.9,2025-09-17,1746.9,256094.0,1710.1
1711.0,1726.0,2025-09-18,1729.7,147227.0,1705.0
1714.7,1711.0,2025-09-19,1725.7,195700.0,1691.5
1690.4,1695.0,2025-09-22,1710.6,293933.0,1678.0
1710.0,1690.2,2025-09-23,1714.0,144812.0,1685.3
1687.6,1712.0,2025-09-24,1717.7,176538.0,1682.6
1727.8,1682.5,2025-09-25,1747.7,413388.0,1679.1
1676.3,1720.0,2025-09-26,1721.9,259991.0,1664.1
1630.5,1668.0,2025-09-29,1676.9,697041.0,1614.5
1659.8,1633.9,2025-09-30,1703.0,344471.0,1623.7
1660.8,1651.6,2025-10-01,1671.5,250911.0,1626.0
1639.0,1660.0,2025-10-03,1672.0,119927.0,1632.9
1668.1,1639.0,2025-10-06,1675.9,186041.0,1636.9
1766.3,1682.5,2025-10-07,1784.7,1163665.0,1678.0
1740.4,1766.3,2025-10-08,1772.2,180139.0,1728.6
1747.3,1735.7,2025-10-09,1757.4,58283.0,1727.1
1751.9,1737.1,2025-10-10,1758.4,56944.0,1736.0
1789.9,1750.0,2025-10-13,1799.6,232620.0,1737.5
1756.0,1789.9,2025-10-14,1791.2,176951.0,1735.1
1734.9,1747.0,2025-10-15,1751.5,140612.0,1720.3
1750.4,1738.0,2025-10-16,1812.2,407681.0,1735.4
1816.2,1750.4,2025-10-17,1826.2,315890.0,1748.9
1803.0,1847.7,2025-10-20,1847.7,155725.0,1791.1
1812.7,1802.0,2025-10-21,1832.0,21678.0,1801.2
1781.9,1821.2,2025-10-23,1824.7,92360.0,1777.1
1787.6,1781.9,2025-10-24,1793.2,199077.0,1763.6
1870.1,1800.0,2025-10-27,1880.5,598597.0,1798.3
1846.5,1870.6,2025-10-28,1893.0,179073.0,1841.4
1914.3,1854.0,2025-10-29,1955.6,262157.0,1825.0
1866.7,1885.0,2025-10-30,1899.0,207592.0,1850.1
1860.8,1865.0,2025-10-31,1875.0,69190.0,1852.5
1867.3,1857.0,2025-11-03,1874.4,67471.0,1827.6
1873.0,1889.8,2025-11-04,1925.0,969347.0,1826.0
1813.9,1866.8,2025-11-06,1868.0,242376.0,1808.3
1761.8,1800.0,2025-11-07,1800.1,239386.0,1748.0
1771.1,1755.0,2025-11-10,1780.0,167633.0,1728.0
1796.4,1770.2,2025-11-11,1810.0,115812.0,1770.2
1800.9,1796.4,2025-11-12,1805.0,51556.0,1784.6
1806.1,1812.0,2025-11-13,1835.0,172625.0,1784.1
1776.9,1794.9,2025-11-14,1798.8,76540.0,1765.0
1785.0,1777.0,2025-11-17,1800.0,59937.0,1773.0
1829.3,1776.1,2025-11-18,1834.7,156513.0,1776.0
1828.1,1828.0,2025-11-19,1851.9,96249.0,1812.7
1836.1,1825.0,2025-11-20,1860.0,96078.0,1815.0
1759.3,1835.0,2025-11-21,1844.9,306057.0,1752.8
1745.1,1764.9,2025-11-24,1764.9,115993.0,1720.0
1777.4,1740.0,2025-11-25,1801.0,251984.0,1706.1
1778.8,1763.6,2025-11-26,1796.0,213605.0,1742.6
1754.8,1770.0,2025-11-27,1789.2,62865.0,1751.0
1768.3,1759.3,2025-11-28,1777.8,604823.0,1745.0
1748.7,1761.0,2025-12-01,1764.3,104633.0,1731.2
1730.4,1735.0,2025-12-02,1756.2,121723.0,1725.6
1755.2,1738.4,2025-12-03,1762.9,77096.0,1722.5
1764.9,1751.9,2025-12-04,1784.4,119930.0,1740.4
1758.7,1747.3,2025-12-05,1768.1,30944.0,1744.7
1727.9,1755.0,2025-12-08,1755.0,60057.0,1715.0
1695.8,1727.9,2025-12-09,1736.4,151256.0,1682.1
1670.0,1695.8,2025-12-10,1705.8,113280.0,1661.5
1697.8,1670.9,2025-12-11,1721.5,84462.0,1660.0
1683.4,1697.8,2025-12-12,1697.8,87616.0,1675.0
1700.3,1684.9,2025-12-15,1707.9,379695.0,1683.3
1743.6,1705.0,2025-12-16,1759.0,233240.0,1701.0
1761.9,1748.9,2025-12-17,1765.0,145813.0,1718.4
1764.6,1748.7,2025-12-18,1785.0,139056.0,1727.1
1793.4,1760.0,2025-12-19,1809.7,195847.0,1752.8
1788.7,1802.8,2025-12-22,1803.0,65419.0,1783.0
1806.9,1799.0,2025-12-23,1824.9,113689.0,1784.1
1816.5,1807.0,2025-12-24,1832.9,79270.0,1794.0
1828.0,1792.3,2025-12-26,1832.0,60971.0,1791.2
1841.6,1840.0,2025-12-29,1850.5,99066.0,1821.1
1780.8,1842.9,2025-12-30,1848.5,699006.0,1766.7
1821.7,1790.0,2025-12-31,1844.2,122560.0,1773.3
1810.4,1800.0,2026-01-01,1823.9,122537.0,1781.0
1802.1,1822.0,2026-01-02,1822.0,158080.0,1768.0
1807.7,1785.0,2026-01-05,1832.0,170110.0,1785.0
1788.6,1821.2,2026-01-06,1821.2,194520.0,1767.9
1780.7,1775.0,2026-01-07,1795.9,100858.0,1755.0
1753.6,1771.0,2026-01-08,1777.0,121146.0,1745.0
1761.6,1736.2,2026-01-09,1775.9,227626.0,1736.0
1705.9,1751.0,2026-01-12,1751.0,112761.0,1691.2
1680.1,1700.0,2026-01-13,1703.0,314158.0,1666.8
1639.8,1666.6,2026-01-14,1672.8,310625.0,1625.2
1614.5,1599.9,2026-01-16,1625.9,407526.0,1586.2
1594.4,1595.4,2026-01-19,1621.3,91375.0,1587.3
1594.8,1614.0,2026-01-20,1627.6,192419.0,1589.0
1645.6,1600.2,2026-01-21,1651.7,182578.0,1582.3
1624.6,1631.5,2026-01-22,1639.0,146240.0,1594.4
1615.2,1619.8,2026-01-23,1624.5,81756.0,1591.0
1582.1,1592.5,2026-01-27,1614.4,204257.0,1564.4
1535.2,1599.0,2026-01-28,1599.0,351137.0,1523.2
