close,open,date,high,volume,low
716.9,726.0,2025-08-13,726.15,64558.0,714.65
722.2,718.0,2025-08-14,726.9,81074.0,716.7
772.4,749.4,2025-08-18,778.0,946747.0,735.0
772.45,769.05,2025-08-19,775.0,266640.0,753.0
797.4,773.95,2025-08-20,803.8,1247712.0,772.45
778.25,795.0,2025-08-21,797.0,222884.0,773.25
770.15,779.0,2025-08-22,779.0,84001.0,766.2
799.7,773.0,2025-08-25,803.0,1025424.0,768.15
793.95,799.0,2025-08-26,810.9,320723.0,787.0
794.85,785.0,2025-08-28,800.3,190117.0,770.0
790.3,797.1,2025-08-29,797.1,178893.0,772.05
797.1,794.3,2025-09-01,809.0,467464.0,787.2
789.2,797.1,2025-09-02,815.0,666457.0,783.2
784.9,789.2,2025-09-03,793.7,234286.0,777.1
801.35,818.0,2025-09-04,818.7,1374062.0,795.0
800.05,802.5,2025-09-05,806.5,758397.0,792.55
786.05,798.0,2025-09-08,798.0,302557.0,775.4
769.65,791.0,2025-09-09,793.45,509121.0,757.6
774.3,773.25,2025-09-10,779.95,434346.0,767.0
774.9,776.0,2025-09-11,777.2,110427.0,770.0
776.25,774.9,2025-09-12,779.95,206331.0,767.35
791.6,776.25,2025-09-15,794.8,178010.0,773.0
797.4,793.85,2025-09-16,800.0,228506.0,790.85
788.4,799.8,2025-09-17,801.3,114045.0,786.1
777.0,788.7,2025-09-18,790.0,130957.0,775.0
788.25,782.0,2025-09-19,794.1,131383.0,776.0
773.65,787.9,2025-09-22,790.0,175146.0,771.0
768.0,770.0,2025-09-23,775.0,105005.0,765.0
759.25,765.0,2025-09-24,768.0,74731.0,757.6
745.95,764.7,2025-09-25,764.7,89077.0,741.0
731.15,745.0,2025-09-26,745.9,130416.0,725.15
725.8,728.45,2025-09-29,729.8,493129.0,713.25
744.15,716.0,2025-09-30,748.5,254299.0,716.0
732.1,745.0,2025-10-01,749.6,185871.0,726.3
729.25,735.0,2025-10-03,735.0,459859.0,723.75
728.25,725.95,2025-10-06,735.8,136457.0,725.0
730.6,728.25,2025-10-07,737.0,244279.0,721.0
725.55,730.8,2025-10-08,736.8,80082.0,722.3
733.0,725.55,2025-10-09,735.0,104842.0,722.1
729.2,733.2,2025-10-10,737.0,112218.0,724.0
730.7,725.0,2025-10-13,741.85,281277.0,720.0
752.65,732.0,2025-10-14,765.0,236389.0,723.0
732.35,759.7,2025-10-15,759.7,256094.0,729.2
734.25,737.0,2025-10-16,743.85,114411.0,731.75
734.2,734.8,2025-10-17,738.9,92152.0,729.05
733.35,735.05,2025-10-20,737.0,75753.0,729.35
733.6,732.2,2025-10-21,737.35,17504.0,731.1
727.35,735.0,2025-10-23,737.0,99361.0,725.0
732.65,727.35,2025-10-24,737.65,125118.0,724.55
730.3,736.45,2025-10-27,736.45,119828.0,726.35
731.2,733.1,2025-10-28,736.5,99953.0,726.3
732.85,735.1,2025-10-29,735.1,65032.0,727.55
736.35,732.85,2025-10-30,737.85,98475.0,729.65
730.6,736.35,2025-10-31,739.5,92287.0,726.4
726.55,730.6,2025-11-03,732.4,65154.0,725.6
730.65,725.0,2025-11-04,734.0,96488.0,724.15
726.45,730.65,2025-11-06,732.65,98382.0,721.8
717.45,720.9,2025-11-07,722.2,205432.0,713.15
707.4,720.0,2025-11-10,720.0,177858.0,701.35
722.3,705.2,2025-11-11,732.25,225969.0,702.8
716.25,730.0,2025-11-12,735.9,469014.0,710.15
707.5,725.0,2025-11-13,725.0,408112.0,707.0
711.95,706.0,2025-11-14,716.8,400702.0,705.05
714.5,711.95,2025-11-17,716.5,144979.0,707.45
721.6,715.8,2025-11-18,728.0,282482.0,708.3
719.85,719.0,2025-11-19,722.35,183801.0,711.0
721.05,721.0,2025-11-20,729.7,162950.0,717.0
712.0,721.0,2025-11-21,721.65,118880.0,709.35
707.45,714.9,2025-11-24,715.35,94463.0,704.65
705.5,707.0,2025-11-25,711.75,65998.0,703.1
710.5,708.2,2025-11-26,713.75,54177.0,703.95
713.45,711.95,2025-11-27,716.45,81244.0,708.1
717.15,716.0,2025-11-28,719.5,256256.0,709.2
715.35,718.9,2025-12-01,721.0,231653.0,707.0
700.65,718.3,2025-12-02,718.3,649856.0,695.6
697.8,701.0,2025-12-03,711.65,198844.0,691.1
712.4,694.0,2025-12-04,720.7,241293.0,694.0
716.8,708.25,2025-12-05,720.0,125402.0,707.0
708.25,716.8,2025-12-08,717.95,162723.0,699.85
705.0,702.45,2025-12-09,707.2,170669.0,693.4
727.45,703.95,2025-12-10,731.15,393135.0,703.9
722.55,728.0,2025-12-11,729.0,183532.0,711.0
729.2,722.3,2025-12-12,731.9,123423.0,720.0
741.0,729.45,2025-12-15,745.5,309527.0,725.55
747.0,739.5,2025-12-16,755.2,325257.0,731.8
742.35,744.0,2025-12-17,748.05,110931.0,738.0
743.2,738.25,2025-12-18,750.65,103422.0,732.05
749.2,744.3,2025-12-19,751.45,105640.0,740.05
750.35,749.2,2025-12-22,751.85,87280.0,742.0
746.9,749.5,2025-12-23,755.05,76862.0,744.1
741.6,746.9,2025-12-24,748.1,83483.0,735.0
749.4,735.0,2025-12-26,750.9,96664.0,735.0
758.6,749.4,2025-12-29,768.5,293162.0,744.45
759.45,761.9,2025-12-30,767.0,135759.0,751.0
749.8,758.45,2025-12-31,759.45,111035.0,747.2
738.4,751.9,2026-01-01,754.7,85886.0,733.5
735.6,741.9,2026-01-02,744.4,83609.0,732.5
718.05,735.6,2026-01-05,739.95,171642.0,713.55
711.7,722.7,2026-01-06,722.7,54327.0,710.2
720.05,713.2,2026-01-07,727.3,700400.0,713.2
710.65,721.7,2026-01-08,726.0,75382.0,705.0
702.1,710.65,2026-01-09,710.65,108172.0,700.0
702.55,702.15,2026-01-12,722.4,234947.0,694.15
701.5,702.55,2026-01-13,712.0,45050.0,700.0
699.25,701.4,2026-01-14,701.95,103185.0,691.5
699.7,702.15,2026-01-16,704.4,63897.0,695.1
696.7,699.7,2026-01-19,704.6,108149.0,686.0
693.4,699.1,2026-01-20,703.05,134775.0,600.0
661.5,685.0,2026-01-21,688.3,387797.0,657.9
672.7,664.45,2026-01-22,675.0,55932.0,662.85
650.9,672.7,2026-01-23,672.75,150561.0,649.5
647.5,650.9,2026-01-27,657.85,141443.0,637.75
661.8,665.0,2026-01-28,687.95,1157719.0,653.35
660.0,664.0,2026-01-29,664.0,449303.0,647.9
657.85,653.65,2026-01-30,669.65,253187.0,651.5
655.65,658.1,2026-02-02,658.85,93311.0,642.65
664.25,670.0,2026-02-03,670.0,94822.0,658.05
657.65,660.55,2026-02-04,663.55,48499.0,656.3
653.65,657.15,2026-02-05,658.0,54882.0,650.3
649.75,651.4,2026-02-06,655.0,63167.0,642.2
670.75,651.0,2026-02-09,673.9,109214.0,649.75
674.15,673.5,2026-02-10,680.0,190379.0,664.7
666.5,676.9,2026-02-11,678.95,256875.0,661.0
654.3,666.45,2026-02-12,668.05,119995.0,651.7
639.75,651.0,2026-02-13,654.35,109313.0,636.85
634.05,639.0,2026-02-16,641.85,153678.0,630.0
643.7,630.0,2026-02-17,646.7,122771.0,630.0
637.7,643.55,2026-02-18,644.85,74850.0,636.3
639.8,638.55,2026-02-19,644.0,249808.0,632.35
635.35,639.8,2026-02-20,641.7,123345.0,633.0
628.8,635.4,2026-02-23,638.6,142924.0,626.5
628.9,629.35,2026-02-24,633.95,116134.0,626.0
624.7,628.0,2026-02-25,631.6,137880.0,619.5
631.1,624.7,2026-02-26,633.9,168380.0,624.55
638.15,628.0,2026-02-27,642.3,161268.0,625.6
631.15,609.1,2026-03-02,636.95,121852.0,609.1
630.45,630.0,2026-03-04,634.8,124273.0,620.2
630.4,630.45,2026-03-05,637.5,106533.0,624.45
614.35,629.25,2026-03-06,629.25,156703.0,609.25
605.85,600.0,2026-03-09,608.1,122019.0,594.5
615.6,612.85,2026-03-10,619.2,74783.0,610.05
619.9,617.9,2026-03-11,646.0,302701.0,611.15
619.0,618.55,2026-03-12,624.25,74350.0,608.15
603.45,618.15,2026-03-13,618.35,93557.0,601.0
623.35,604.5,2026-03-16,624.95,192089.0,592.55
616.4,622.3,2026-03-17,627.25,75824.0,613.5
618.35,616.05,2026-03-18,623.2,90793.0,611.45
610.1,615.0,2026-03-19,616.9,83922.0,606.2
629.7,620.0,2026-03-20,633.55,207899.0,602.6
610.2,622.1,2026-03-23,622.1,275586.0,603.25
616.55,614.7,2026-03-24,628.2,136505.0,603.3
628.2,619.5,2026-03-25,633.55,163337.0,616.1
617.0,625.0,2026-03-27,629.85,92342.0,613.95
621.95,614.5,2026-03-30,629.9,259743.0,593.35
621.4,629.65,2026-04-01,630.6,74772.0,619.0
627.0,621.4,2026-04-02,630.0,85255.0,608.5
636.0,626.0,2026-04-06,640.75,158953.0,615.15
628.35,636.0,2026-04-07,640.6,64960.0,626.0
639.65,642.5,2026-04-08,645.05,122360.0,627.45
639.9,640.0,2026-04-09,648.6,71261.0,636.6
640.6,642.9,2026-04-10,644.45,35623.0,634.25
637.75,630.2,2026-04-13,639.5,58324.0,622.6
644.3,644.75,2026-04-15,648.0,321793.0,637.1
641.8,647.0,2026-04-16,648.45,96944.0,636.0
660.05,644.95,2026-04-17,664.0,227253.0,642.85
654.1,661.0,2026-04-20,679.9,258965.0,647.0
662.55,654.0,2026-04-21,673.4,570411.0,651.55
684.9,664.0,2026-04-22,695.5,354656.0,664.0
690.15,684.95,2026-04-23,708.75,283599.0,683.15
659.3,684.1,2026-04-24,689.75,173639.0,656.0
680.5,664.95,2026-04-27,682.5,91433.0,662.4
672.75,680.5,2026-04-28,686.1,155248.0,669.1
