close,open,date,high,volume,low
803.95,804.0,2025-07-29,811.15,513051,785.75
796.35,785.35,2025-07-30,803.8,821425,779.6
805.95,782.0,2025-07-31,814.9,603289,781.0
796.3,808.0,2025-08-01,825.0,655774,790.2
787.2,804.0,2025-08-04,805.0,331509,785.0
791.5,788.95,2025-08-05,800.0,264226,777.2
760.65,785.0,2025-08-06,796.85,456609,755.1
779.0,760.0,2025-08-07,798.0,497545,745.0
805.1,789.9,2025-08-08,814.0,553382,781.85
800.1,794.05,2025-08-11,805.0,398623,778.05
776.65,797.0,2025-08-12,797.0,699938,760.5
791.75,779.0,2025-08-13,804.5,618077,771.0
788.8,790.0,2025-08-14,802.05,242771,782.0
781.15,791.95,2025-08-18,792.0,263222,779.0
781.6,781.15,2025-08-19,788.6,173213,778.0
776.75,789.0,2025-08-20,789.0,156186,775.0
770.7,783.7,2025-08-21,783.7,220626,769.0
775.35,770.7,2025-08-22,784.0,242237,765.7
736.6,745.55,2025-08-25,761.45,558033,736.6
707.4,713.05,2025-08-26,724.0,1014582,703.25
685.95,705.5,2025-08-28,713.15,769371,684.0
667.85,685.9,2025-08-29,691.45,651184,659.95
651.75,667.9,2025-09-01,674.95,760980,646.5
684.3,651.75,2025-09-02,684.3,1017556,648.05
705.6,695.0,2025-09-03,710.0,703524,680.5
708.35,724.0,2025-09-04,724.0,498979,706.0
743.75,707.05,2025-09-05,743.75,351617,705.55
724.7,743.75,2025-09-08,759.5,706673,723.0
730.75,724.7,2025-09-09,744.4,355504,724.7
698.75,709.1,2025-09-10,722.7,1747946,695.0
682.85,687.7,2025-09-11,690.85,2281932,681.3
716.95,685.5,2025-09-12,716.95,2391468,685.0
713.85,716.55,2025-09-15,721.0,816188,706.0
715.05,714.0,2025-09-16,717.0,592344,704.0
698.35,715.05,2025-09-17,715.15,1010581,696.8
683.3,702.95,2025-09-18,705.0,646404,681.5
679.45,686.35,2025-09-19,691.7,1117985,671.85
668.85,680.0,2025-09-22,691.85,458102,666.65
680.9,672.95,2025-09-23,684.65,525867,671.2
672.5,680.9,2025-09-24,683.15,413609,665.0
664.85,670.0,2025-09-25,672.95,307029,659.8
645.9,654.4,2025-09-26,656.2,775612,633.35
640.05,646.95,2025-09-29,647.8,778920,630.45
630.15,644.95,2025-09-30,651.0,368526,628.4
661.65,638.7,2025-10-01,661.65,407436,630.15
663.35,684.0,2025-10-03,684.0,560493,662.0
682.35,668.85,2025-10-06,684.0,495197,659.45
673.95,683.0,2025-10-07,686.8,424768,661.5
663.55,673.95,2025-10-08,682.0,246064,660.0
653.5,670.0,2025-10-09,671.7,316321,651.0
677.8,656.9,2025-10-10,692.9,916315,650.95
663.85,671.0,2025-10-13,684.9,512519,657.5
657.1,664.4,2025-10-14,666.05,267004,654.1
661.85,657.05,2025-10-15,670.45,179505,655.0
671.5,665.0,2025-10-16,679.95,281673,661.1
653.3,670.0,2025-10-17,674.8,283631,652.0
661.15,665.0,2025-10-20,665.0,244508,650.6
662.8,665.0,2025-10-21,668.0,74584,660.2
651.0,671.0,2025-10-23,673.35,293180,648.0
644.7,658.65,2025-10-24,658.65,213743,643.05
635.3,650.0,2025-10-27,650.0,215958,632.4
638.8,641.9,2025-10-28,648.0,267666,636.0
651.65,638.8,2025-10-29,654.7,214462,636.8
647.35,654.0,2025-10-30,657.7,162010,643.8
656.4,647.35,2025-10-31,661.5,212671,640.1
674.05,661.0,2025-11-03,678.4,520676,656.35
606.65,680.0,2025-11-04,688.5,2738354,606.65
561.65,585.05,2025-11-06,610.75,2567694,556.1
598.15,567.0,2025-11-07,609.5,1934229,543.7
589.85,599.0,2025-11-10,599.85,487448,583.45
579.3,591.15,2025-11-11,594.35,446599,575.0
581.1,580.9,2025-11-12,596.0,325207,580.2
581.05,584.0,2025-11-13,589.2,220934,576.0
576.0,580.0,2025-11-14,580.0,386348,562.2
581.45,579.2,2025-11-17,586.45,251064,577.0
571.3,578.65,2025-11-18,582.2,142018,570.1
567.85,571.0,2025-11-19,574.9,203444,565.0
578.0,568.0,2025-11-20,583.9,252767,567.7
555.25,574.65,2025-11-21,577.25,413766,552.8
543.95,555.25,2025-11-24,559.0,1297230,539.25
564.4,544.0,2025-11-25,577.0,1008140,538.0
570.65,563.05,2025-11-26,573.6,184726,558.25
574.95,571.85,2025-11-27,576.95,153360,568.6
578.45,574.0,2025-11-28,586.95,287313,570.0
566.35,578.4,2025-12-01,581.05,202537,563.9
569.9,566.0,2025-12-02,573.6,181064,559.8
569.4,569.9,2025-12-03,574.35,137665,564.2
554.8,570.0,2025-12-04,577.5,261844,552.0
544.6,552.05,2025-12-05,557.7,181910,541.1
548.8,544.65,2025-12-08,558.75,247012,532.25
547.5,544.9,2025-12-09,554.95,286990,533.25
538.0,547.05,2025-12-10,552.3,226421,534.95
554.05,540.9,2025-12-11,557.95,223932,537.3
558.55,556.0,2025-12-12,565.6,168508,550.5
548.15,558.55,2025-12-15,558.55,247038,543.0
542.0,548.15,2025-12-16,556.0,131848,540.35
531.1,541.0,2025-12-17,542.95,152159,529.45
524.0,529.85,2025-12-18,529.85,325914,512.4
531.3,525.0,2025-12-19,540.05,486869,515.2
553.95,534.95,2025-12-22,572.5,1125719,528.6
549.55,554.0,2025-12-23,561.0,235379,546.1
538.5,554.0,2025-12-24,555.0,150329,536.0
529.1,538.5,2025-12-26,539.65,155802,528.0
520.65,528.0,2025-12-29,532.8,176056,518.7
519.8,518.8,2025-12-30,523.45,132306,517.0
530.2,519.8,2025-12-31,532.0,175653,518.1
529.0,532.0,2026-01-01,532.0,82242,525.1
531.1,525.55,2026-01-02,537.3,151578,525.55
524.75,528.5,2026-01-05,534.95,192536,521.05
526.2,530.5,2026-01-06,541.15,249763,522.0
526.85,526.5,2026-01-07,533.25,188527,521.6
512.65,534.0,2026-01-08,534.0,189674,511.05
500.2,512.65,2026-01-09,512.65,313575,497.0
509.55,500.5,2026-01-12,511.5,491297,490.45
