close,open,date,high,volume,low
1920.0,1897.0,2025-08-22,1937.0,259210,1894.9
1904.4,1920.0,2025-08-25,1936.2,332685,1901.3
1865.0,1895.0,2025-08-26,1902.2,373925,1859.2
1880.1,1850.0,2025-08-28,1908.5,462099,1850.0
1881.7,1891.0,2025-08-29,1901.4,157873,1871.0
1948.3,1880.0,2025-09-01,1952.6,295241,1875.0
1940.3,1951.9,2025-09-02,1965.3,238189,1935.0
1960.6,1955.9,2025-09-03,1969.3,453742,1938.0
1944.0,2038.0,2025-09-04,2040.0,664247,1934.3
1943.5,1944.0,2025-09-05,1957.3,270112,1921.0
1884.2,1945.1,2025-09-08,1951.3,476415,1881.4
1887.0,1899.0,2025-09-09,1899.9,319720,1869.3
1889.7,1894.5,2025-09-10,1911.2,261297,1877.0
1886.8,1886.0,2025-09-11,1896.0,171992,1878.0
1884.9,1887.0,2025-09-12,1896.4,132536,1871.2
1889.1,1888.4,2025-09-15,1893.5,217780,1878.6
1924.1,1903.0,2025-09-16,1940.0,309578,1892.3
1940.2,1925.0,2025-09-17,1949.0,439015,1909.1
1961.0,1939.0,2025-09-18,1980.0,382455,1935.0
1963.8,1956.0,2025-09-19,1969.0,433161,1935.9
1996.8,1963.8,2025-09-22,2000.0,936294,1950.1
1964.0,1996.0,2025-09-23,1998.2,548671,1951.1
1944.2,1960.0,2025-09-24,1960.0,384989,1924.2
1927.3,1947.1,2025-09-25,1976.9,362163,1919.9
1890.1,1909.0,2025-09-26,1931.8,486116,1877.3
1895.6,1885.1,2025-09-29,1921.0,879094,1861.4
1881.0,1900.6,2025-09-30,1908.0,799938,1870.0
1877.8,1872.6,2025-10-01,1885.0,432865,1836.3
1899.2,1877.8,2025-10-03,1900.1,338348,1862.1
1892.8,1895.1,2025-10-06,1959.2,320954,1881.8
1912.2,1895.0,2025-10-07,1927.6,602419,1880.4
1892.4,1920.0,2025-10-08,1920.0,453385,1864.0
1892.3,1891.0,2025-10-09,1899.0,294578,1862.0
1949.1,1940.0,2025-10-10,1965.9,1126480,1902.2
1911.7,1939.0,2025-10-13,1939.0,444585,1893.3
1880.6,1911.8,2025-10-14,1923.5,409374,1873.5
1913.3,1876.0,2025-10-15,1923.6,391384,1870.3
1957.6,1913.3,2025-10-16,1968.6,228414,1913.0
1971.4,1954.9,2025-10-17,1985.0,134668,1941.0
1971.3,1979.9,2025-10-20,1983.7,222762,1949.4
1963.0,1987.0,2025-10-21,1987.0,35674,1951.1
1972.2,1963.9,2025-10-23,1981.7,145698,1951.0
2006.0,1974.9,2025-10-24,2032.9,732438,1973.0
1979.6,2025.0,2025-10-27,2030.4,265523,1975.0
1951.6,2007.5,2025-10-28,2007.5,198251,1942.7
1965.1,1952.8,2025-10-29,1972.8,121878,1939.0
1961.8,1965.0,2025-10-30,1967.0,256389,1937.0
1937.4,1965.0,2025-10-31,1988.0,127593,1932.0
1934.4,1937.4,2025-11-03,1955.0,175025,1901.3
1917.6,1912.6,2025-11-04,1931.9,396298,1886.1
1785.5,1934.0,2025-11-06,2021.4,2860574,1776.0
1752.7,1790.0,2025-11-07,1790.0,917742,1712.1
1771.6,1757.6,2025-11-10,1781.0,315959,1706.5
1780.1,1770.0,2025-11-11,1784.0,240014,1740.0
1798.0,1780.0,2025-11-12,1802.9,225467,1772.0
1787.7,1797.0,2025-11-13,1807.0,317336,1780.2
1768.4,1785.0,2025-11-14,1802.3,401542,1762.5
1788.9,1768.3,2025-11-17,1797.9,143839,1765.0
1777.5,1789.0,2025-11-18,1789.0,361223,1749.5
1795.0,1775.0,2025-11-19,1798.0,186454,1760.5
1794.6,1785.3,2025-11-20,1809.0,229864,1778.0
1776.3,1794.6,2025-11-21,1794.6,313227,1764.0
1785.3,1780.0,2025-11-24,1790.0,196437,1766.0
1746.7,1794.8,2025-11-25,1794.8,535031,1723.0
1775.9,1760.5,2025-11-26,1780.0,299463,1750.0
1758.2,1776.0,2025-11-27,1779.9,553260,1740.6
1765.4,1760.0,2025-11-28,1769.1,150617,1751.2
1769.4,1766.0,2025-12-01,1778.0,207241,1752.0
1745.4,1778.1,2025-12-02,1792.8,292489,1741.1
1754.5,1745.5,2025-12-03,1760.6,245153,1726.0
1752.4,1748.0,2025-12-04,1761.0,219135,1735.0
1734.4,1740.0,2025-12-05,1753.4,290940,1723.2
1723.2,1734.5,2025-12-08,1743.3,208595,1701.9
1738.6,1723.3,2025-12-09,1752.0,225965,1705.0
1729.4,1727.1,2025-12-10,1740.6,198789,1715.7
1746.2,1723.5,2025-12-11,1757.8,92083,1723.5
1796.7,1747.0,2025-12-12,1804.9,201435,1747.0
1806.2,1790.0,2025-12-15,1818.0,147119,1785.0
1815.6,1790.0,2025-12-16,1822.5,145718,1790.0
1826.8,1808.0,2025-12-17,1831.0,138651,1805.0
1854.6,1820.0,2025-12-18,1862.0,255235,1815.5
1781.4,1857.8,2025-12-19,1860.9,850041,1756.2
1766.2,1785.9,2025-12-22,1803.7,594908,1759.0
1766.4,1768.5,2025-12-23,1771.5,151531,1748.6
1777.4,1769.0,2025-12-24,1792.8,165843,1755.0
1763.9,1777.1,2025-12-26,1797.2,64530,1759.5
1731.6,1763.1,2025-12-29,1778.7,111998,1728.3
