close,open,date,high,volume,low
314.75,308.5,2025-09-01,315.55,3672180.0,306.8
314.95,315.9,2025-09-02,317.3,3405312.0,312.75
314.85,314.95,2025-09-03,320.5,6616690.0,314.05
312.9,319.85,2025-09-04,319.85,5225640.0,312.5
312.5,313.0,2025-09-05,316.45,6159420.0,311.5
316.45,313.9,2025-09-08,318.15,2002604.0,313.55
313.95,317.8,2025-09-09,320.15,6476251.0,313.55
317.95,315.5,2025-09-10,318.25,5214899.0,314.75
320.0,318.2,2025-09-11,326.6,7529271.0,317.5
318.0,321.05,2025-09-12,323.2,4705998.0,317.05
317.75,318.3,2025-09-15,320.7,4653626.0,315.7
318.25,319.35,2025-09-16,321.1,5381837.0,316.5
323.55,319.85,2025-09-17,324.75,7035565.0,319.25
325.7,324.9,2025-09-18,326.15,5615664.0,321.0
329.55,325.6,2025-09-19,334.0,10022009.0,324.8
325.4,329.0,2025-09-22,332.3,4768219.0,322.45
330.4,328.7,2025-09-23,335.2,7992615.0,326.85
330.35,330.45,2025-09-24,332.4,5489995.0,327.0
329.65,329.1,2025-09-25,332.5,5798602.0,327.0
324.35,329.8,2025-09-26,330.0,5692665.0,322.95
338.1,326.65,2025-09-29,339.0,12616059.0,325.5
339.65,339.75,2025-09-30,342.3,6762730.0,337.15
339.7,341.0,2025-10-01,347.7,9814406.0,338.6
341.55,344.0,2025-10-03,344.9,5833883.0,337.6
343.6,342.0,2025-10-06,345.5,5914399.0,338.55
341.9,343.6,2025-10-07,346.25,5934834.0,341.05
345.1,341.25,2025-10-08,350.0,7955678.0,339.5
344.0,347.25,2025-10-09,351.0,7028656.0,343.1
338.7,345.5,2025-10-10,347.3,5737637.0,337.2
337.95,340.5,2025-10-13,342.0,6785828.0,335.15
332.45,338.15,2025-10-14,340.3,4343927.0,330.65
337.9,334.95,2025-10-15,340.75,16271995.0,332.05
335.9,338.95,2025-10-16,338.95,6279302.0,333.55
335.85,336.1,2025-10-17,338.3,7824777.0,332.7
337.7,336.25,2025-10-20,340.05,6134873.0,335.5
339.05,339.4,2025-10-21,340.25,404063.0,337.7
331.3,340.0,2025-10-23,340.15,8457356.0,330.05
330.45,330.15,2025-10-24,334.4,8260920.0,327.2
343.0,332.7,2025-10-27,343.5,11767585.0,331.25
340.65,344.0,2025-10-28,345.5,6156249.0,339.6
348.1,341.9,2025-10-29,349.0,9756868.0,340.85
357.6,350.0,2025-10-30,359.8,14807100.0,345.3
356.8,358.0,2025-10-31,360.55,7532962.0,355.1
367.3,361.95,2025-11-03,369.5,20107281.0,356.25
372.95,369.85,2025-11-04,373.95,12649509.0,368.15
367.95,380.0,2025-11-06,380.0,11803637.0,367.25
367.15,360.0,2025-11-07,367.85,11711108.0,359.75
365.15,366.3,2025-11-10,369.8,6934285.0,363.65
374.15,365.0,2025-11-11,374.85,10689646.0,360.05
375.45,375.2,2025-11-12,379.1,9316462.0,373.6
374.95,377.1,2025-11-13,378.75,9719258.0,372.1
371.15,374.0,2025-11-14,379.75,6848609.0,369.45
374.25,372.6,2025-11-17,381.55,9063998.0,372.0
371.85,375.85,2025-11-18,376.9,7729409.0,370.65
365.65,371.85,2025-11-19,372.9,7056032.0,364.85
365.05,367.0,2025-11-20,368.8,9025414.0,363.3
364.55,365.05,2025-11-21,367.85,7177944.0,363.4
359.65,364.55,2025-11-24,367.25,13807356.0,357.8
355.85,358.95,2025-11-25,358.95,4113590.0,353.7
367.65,356.8,2025-11-26,368.0,7651793.0,356.1
364.7,368.95,2025-11-27,368.95,5180488.0,361.5
359.1,365.8,2025-11-28,367.0,3459790.0,358.6
354.0,361.5,2025-12-01,361.5,4470807.0,352.4
358.75,355.75,2025-12-02,361.15,9468149.0,354.25
358.4,359.0,2025-12-03,361.0,6169622.0,355.8
356.0,360.0,2025-12-04,361.6,5798181.0,353.5
