close,open,date,high,volume,low
1073.3,1058.0,2025-07-04,1078.9,370382,1043.6
1091.6,1077.9,2025-07-07,1098.0,164723,1069.5
1120.9,1098.4,2025-07-08,1125.0,461833,1091.6
1077.4,1119.0,2025-07-09,1124.4,292934,1075.0
1079.9,1086.7,2025-07-10,1098.4,175561,1068.0
1063.0,1075.8,2025-07-11,1079.9,582716,1053.2
1084.9,1070.4,2025-07-14,1095.0,243489,1063.3
1091.0,1094.9,2025-07-15,1102.1,372202,1081.2
1115.0,1098.4,2025-07-16,1138.0,721318,1097.0
1131.8,1123.9,2025-07-17,1142.0,679931,1109.1
1111.8,1136.8,2025-07-18,1136.8,372109,1107.5
1101.6,1123.0,2025-07-21,1125.0,185712,1093.6
1086.9,1119.8,2025-07-22,1128.8,379773,1085.0
1049.4,1088.0,2025-07-23,1089.6,1193958,1028.5
1061.2,1055.0,2025-07-24,1070.0,205751,1050.0
1057.6,1057.9,2025-07-25,1067.1,323273,1041.0
1013.8,1059.4,2025-07-28,1059.4,557612,1009.3
1009.0,1006.0,2025-07-29,1026.0,459388,993.9
987.2,1009.0,2025-07-30,1015.0,510640,965.0
1007.8,959.9,2025-07-31,1011.5,630051,958.9
982.7,1004.0,2025-08-01,1014.4,216706,977.6
985.3,982.8,2025-08-04,996.0,124957,969.6
992.8,990.9,2025-08-05,997.2,124464,971.6
968.7,992.0,2025-08-06,998.4,250041,964.0
954.1,956.1,2025-08-07,968.9,205043,940.0
947.8,954.1,2025-08-08,962.8,711610,943.2
961.3,960.0,2025-08-11,967.6,127382,948.0
974.2,968.6,2025-08-12,977.9,123311,953.4
966.2,979.8,2025-08-13,980.0,175538,956.4
937.6,985.0,2025-08-14,1006.6,3201681,894.1
962.6,943.0,2025-08-18,972.4,492360,932.5
955.7,966.4,2025-08-19,967.0,634512,941.7
956.3,962.4,2025-08-20,963.1,93637,955.0
967.6,959.6,2025-08-21,971.4,233516,949.8
962.5,976.0,2025-08-22,976.0,97917,959.5
968.6,976.1,2025-08-25,989.0,276781,966.7
944.2,970.0,2025-08-26,972.9,163862,941.0
952.9,942.5,2025-08-28,960.0,292163,921.3
923.1,949.4,2025-08-29,951.4,185737,920.1
927.25,921.0,2025-09-01,937.15,114250,918.0
925.85,931.3,2025-09-02,934.0,238239,920.0
931.9,928.0,2025-09-03,945.0,245704,923.45
928.45,945.0,2025-09-04,947.95,96336,925.05
910.35,932.0,2025-09-05,934.4,477593,909.0
909.0,923.3,2025-09-08,926.55,350647,906.3
904.35,918.95,2025-09-09,926.4,466392,902.3
935.9,909.95,2025-09-10,939.8,544953,905.85
934.25,941.5,2025-09-11,948.8,179878,932.3
945.6,939.0,2025-09-12,948.0,163999,927.0
970.05,951.0,2025-09-15,972.7,260474,945.0
952.6,972.0,2025-09-16,978.0,542440,943.65
949.8,960.0,2025-09-17,964.3,182987,945.05
953.25,953.0,2025-09-18,964.0,393976,948.0
937.35,955.35,2025-09-19,956.55,484950,931.05
924.6,945.0,2025-09-22,945.0,301230,920.8
914.35,938.0,2025-09-23,943.1,302517,913.0
914.9,916.5,2025-09-24,923.4,499674,908.2
920.45,919.0,2025-09-25,933.9,278566,912.8
905.1,919.5,2025-09-26,923.45,560409,900.05
887.75,909.9,2025-09-29,911.35,580713,880.15
896.05,892.85,2025-09-30,905.8,654011,886.0
895.4,896.1,2025-10-01,898.45,248767,892.2
896.75,896.15,2025-10-03,905.55,305265,890.4
893.85,908.95,2025-10-06,908.95,484380,883.2
926.45,912.15,2025-10-07,932.0,1148432,893.85
912.2,931.95,2025-10-08,931.95,438740,903.8
919.1,919.3,2025-10-09,926.35,198579,908.75
942.65,919.1,2025-10-10,959.4,549444,912.0
930.45,940.0,2025-10-13,940.0,122677,922.6
914.95,930.5,2025-10-14,934.6,221626,908.45
956.8,912.05,2025-10-15,964.45,748668,910.0
967.75,956.8,2025-10-16,977.3,428800,953.65
980.85,967.75,2025-10-17,990.0,501280,964.0
979.1,986.0,2025-10-20,987.5,193393,971.55
980.85,979.1,2025-10-21,987.95,26176,972.7
997.8,980.85,2025-10-23,1008.0,830521,968.5
1000.4,995.8,2025-10-24,1015.05,467221,995.2
1035.85,1006.0,2025-10-27,1040.0,557531,999.95
1011.05,1036.0,2025-10-28,1041.05,412378,1007.3
1034.5,1016.1,2025-10-29,1038.1,172573,1015.75
1038.9,1038.0,2025-10-30,1042.0,345831,1015.95
1037.7,1044.4,2025-10-31,1069.35,617988,1030.65
1041.4,1038.9,2025-11-03,1060.0,392667,1026.3
1018.0,1026.2,2025-11-04,1034.2,285004,1013.2
993.0,1015.6,2025-11-06,1020.9,266984,981.5
980.0,984.0,2025-11-07,989.9,270289,972.0
978.4,982.6,2025-11-10,993.9,274264,975.1
968.4,978.4,2025-11-11,982.7,173393,957.5
958.9,970.0,2025-11-12,978.7,337132,952.9
950.7,958.7,2025-11-13,965.8,233482,942.1
944.2,946.6,2025-11-14,953.9,525552,939.2
945.4,944.2,2025-11-17,961.4,180669,940.2
926.0,949.3,2025-11-18,950.4,120760,925.0
925.2,925.3,2025-11-19,930.6,82411,919.1
923.3,934.0,2025-11-20,934.0,126292,913.6
898.7,923.3,2025-11-21,923.4,165327,897.6
869.7,899.9,2025-11-24,900.5,584271,850.7
899.2,865.0,2025-11-25,908.9,1073988,865.0
911.6,902.7,2025-11-26,914.9,175196,891.0
898.5,924.7,2025-11-27,928.5,329056,894.0
895.1,898.6,2025-11-28,901.6,119425,888.6
898.8,903.95,2025-12-01,907.8,288963,888.0
889.85,903.5,2025-12-02,905.9,119668,884.15
885.6,889.85,2025-12-03,892.4,85576,878.55
891.55,881.25,2025-12-04,896.5,107023,876.1
883.15,895.0,2025-12-05,908.8,295866,876.1
860.65,883.15,2025-12-08,886.25,600605,846.55
855.95,860.0,2025-12-09,861.25,1040075,838.5
875.55,860.5,2025-12-10,885.75,321748,856.65
871.4,874.55,2025-12-11,882.65,131602,865.0
886.05,879.45,2025-12-12,887.9,128353,870.9
884.4,886.05,2025-12-15,889.4,239323,866.65
858.65,878.0,2025-12-16,878.0,267451,856.5
860.0,861.0,2025-12-17,862.45,103462,851.9
876.15,858.0,2025-12-18,880.6,197667,843.1
866.95,874.5,2025-12-19,874.5,130800,859.05
873.75,870.0,2025-12-22,878.1,129853,862.6
879.45,874.95,2025-12-23,881.45,160066,867.0
879.5,875.95,2025-12-24,885.6,92480,871.5
880.05,878.75,2025-12-26,884.0,80841,870.05
878.8,888.0,2025-12-29,888.0,91728,870.05
870.2,878.0,2025-12-30,878.0,94023,863.8
885.0,874.6,2025-12-31,888.35,105722,870.95
896.65,885.95,2026-01-01,900.0,80473,875.8
890.45,897.95,2026-01-02,900.0,182439,881.2
902.6,891.0,2026-01-05,905.0,266012,883.35
891.4,902.05,2026-01-06,903.5,356805,886.6
886.9,891.25,2026-01-07,904.4,404490,881.1
868.7,882.0,2026-01-08,895.75,240045,865.05
858.85,865.0,2026-01-09,868.95,305465,845.65
872.25,855.05,2026-01-12,879.75,339617,838.5
855.95,870.0,2026-01-13,873.15,400819,848.0
842.4,851.0,2026-01-14,860.0,447398,839.1
837.3,844.1,2026-01-16,846.4,378627,828.6
807.0,829.75,2026-01-19,831.8,1127333,799.4
792.05,807.0,2026-01-20,811.95,440242,782.5
770.6,780.0,2026-01-21,793.5,889124,767.0
779.8,773.3,2026-01-22,783.0,707401,769.5
760.15,780.5,2026-01-23,787.6,1405372,751.1
737.85,764.2,2026-01-27,765.65,1015499,733.35
735.35,733.0,2026-01-28,747.35,258935,728.1
734.45,743.8,2026-01-29,743.8,414773,717.75
752.25,732.2,2026-01-30,757.15,502904,721.6
738.8,735.05,2026-02-02,749.4,484561,717.95
782.1,755.9,2026-02-03,786.5,713951,753.9
795.3,782.0,2026-02-04,799.9,205226,767.5
771.45,787.5,2026-02-05,787.95,432244,763.0
763.05,766.1,2026-02-06,779.55,319319,754.95
807.3,767.9,2026-02-09,811.5,351326,767.9
802.4,811.3,2026-02-10,811.7,234097,791.3
802.45,800.0,2026-02-11,806.55,73711,794.05
796.55,801.0,2026-02-12,801.1,161083,780.9
762.95,787.1,2026-02-13,792.55,233611,757.0
747.8,756.0,2026-02-16,760.0,485717,743.7
742.65,745.2,2026-02-17,752.5,205543,740.0
740.25,743.0,2026-02-18,744.4,508910,732.1
740.1,741.3,2026-02-19,744.0,495892,736.1
740.65,740.1,2026-02-20,742.45,180145,731.6
748.35,740.85,2026-02-23,755.0,191280,739.45
729.85,744.6,2026-02-24,753.25,198918,727.25
714.35,733.0,2026-02-25,735.45,350767,705.0
716.15,718.1,2026-02-26,731.9,115524,714.15
694.05,722.5,2026-02-27,728.4,1214924,685.0
678.6,680.0,2026-03-02,696.45,542766,668.15
