close,open,date,high,volume,low
3798.7,3660.0,2025-08-04,3820.0,962269,3632.4
3796.6,3791.9,2025-08-05,3823.6,551606,3742.0
3816.4,3797.8,2025-08-06,3848.0,385667,3764.8
3818.9,3794.0,2025-08-07,3834.4,313562,3736.1
3745.0,3818.0,2025-08-08,3835.0,267753,3735.1
3798.1,3743.1,2025-08-11,3804.6,273893,3705.1
3769.0,3814.0,2025-08-12,3818.8,249739,3760.0
3821.4,3804.9,2025-08-13,3886.7,612177,3789.7
3868.6,3838.2,2025-08-14,3892.0,347043,3830.0
3896.8,3915.0,2025-08-18,3918.0,621979,3834.8
3835.8,3897.0,2025-08-19,3897.0,228874,3820.0
3841.8,3840.9,2025-08-20,3859.7,180894,3815.4
3895.4,3870.0,2025-08-21,3920.0,527787,3853.0
3905.0,3898.0,2025-08-22,3917.0,250655,3882.0
3839.6,3908.9,2025-08-25,3923.9,244820,3832.0
3726.2,3833.0,2025-08-26,3843.9,281776,3721.0
3657.7,3726.2,2025-08-28,3730.0,378392,3650.0
3705.2,3654.9,2025-08-29,3758.9,334539,3645.0
3839.8,3722.9,2025-09-01,3850.0,254665,3712.1
3802.0,3867.9,2025-09-02,3867.9,248745,3772.1
3803.6,3817.7,2025-09-03,3825.0,151092,3791.5
3764.7,3852.4,2025-09-04,3852.4,255679,3757.0
3832.4,3780.0,2025-09-05,3848.0,235542,3776.9
3845.3,3850.0,2025-09-08,3877.1,108605,3830.2
3852.6,3854.9,2025-09-09,3886.2,141774,3845.3
3891.1,3861.0,2025-09-10,3909.0,156572,3861.0
3850.5,3908.9,2025-09-11,3921.0,234882,3838.0
3858.8,3867.9,2025-09-12,3889.3,194265,3826.5
3859.9,3865.0,2025-09-15,3879.9,184303,3831.4
3890.3,3872.0,2025-09-16,3899.1,189786,3852.5
4013.7,3907.0,2025-09-17,4029.3,531586,3882.2
4075.2,4040.0,2025-09-18,4084.8,699731,4020.1
4100.9,4095.0,2025-09-19,4147.0,457702,4072.1
4014.0,4100.9,2025-09-22,4116.0,294882,4002.0
3986.1,4014.0,2025-09-23,4041.8,210754,3964.6
3883.1,3980.0,2025-09-24,3987.3,242028,3875.9
3868.4,3881.7,2025-09-25,3944.9,206346,3857.1
3800.0,3858.0,2025-09-26,3865.0,195526,3786.0
3785.4,3800.0,2025-09-29,3827.3,175990,3775.0
3758.6,3785.4,2025-09-30,3799.0,237625,3716.1
3823.2,3740.0,2025-10-01,3835.0,340944,3724.7
3811.3,3858.0,2025-10-03,3865.0,242553,3788.5
3825.5,3827.8,2025-10-06,3855.9,400368,3792.2
3800.6,3844.2,2025-10-07,3908.6,645663,3790.0
3780.1,3820.0,2025-10-08,3831.0,239314,3766.6
3831.1,3782.0,2025-10-09,3840.0,197286,3771.5
3860.8,3849.0,2025-10-10,3888.0,339052,3841.1
3868.3,3875.0,2025-10-13,3888.0,520894,3825.0
3780.0,3887.2,2025-10-14,3924.0,469567,3770.0
3836.2,3800.0,2025-10-15,3867.0,277047,3792.0
3830.8,3850.0,2025-10-16,3885.0,284210,3824.7
3795.7,3837.5,2025-10-17,3864.8,288960,3787.0
3828.1,3825.0,2025-10-20,3838.2,160181,3789.9
3838.0,3840.0,2025-10-21,3855.0,61695,3828.2
3873.4,3855.0,2025-10-23,3890.0,294023,3822.6
3880.2,3880.0,2025-10-24,3912.6,412374,3866.2
3965.4,3884.0,2025-10-27,3977.8,491553,3882.0
