close,open,date,high,volume,low
764.65,774.3,2025-07-28,775.95,164046,751.1
748.2,764.0,2025-07-29,764.4,277566,744.4
739.05,759.9,2025-07-30,759.9,382664,737.3
751.95,739.0,2025-07-31,757.25,716582,727.5
740.35,751.95,2025-08-01,756.45,191651,737.05
757.2,744.0,2025-08-04,758.0,82441,735.75
756.95,757.3,2025-08-05,764.9,115005,746.55
744.3,754.85,2025-08-06,757.5,58920,742.1
741.95,744.3,2025-08-07,745.15,147204,735.9
743.65,740.85,2025-08-08,753.85,79781,732.15
753.95,742.55,2025-08-11,756.95,515783,740.25
742.95,753.8,2025-08-12,754.65,125462,738.9
751.65,744.75,2025-08-13,755.95,94881,739.2
758.95,745.2,2025-08-14,763.95,363612,745.2
758.95,766.0,2025-08-18,767.0,143259,756.8
768.1,758.95,2025-08-19,769.0,102197,755.45
780.1,768.1,2025-08-20,783.85,988760,765.8
782.1,787.95,2025-08-21,789.9,110420,777.05
769.75,787.75,2025-08-22,787.95,85209,768.05
767.15,770.9,2025-08-25,772.35,167084,762.0
739.85,764.8,2025-08-26,768.75,294477,733.0
725.65,739.85,2025-08-28,745.95,116881,724.3
717.65,725.0,2025-08-29,727.55,180341,708.6
719.9,717.65,2025-09-01,725.0,136681,715.0
755.15,725.75,2025-09-02,759.5,220456,720.1
764.65,753.1,2025-09-03,769.0,87410,751.55
756.35,768.45,2025-09-04,774.95,140967,751.55
754.55,757.6,2025-09-05,764.9,122464,742.4
745.9,751.05,2025-09-08,755.7,51109,743.75
742.65,747.8,2025-09-09,750.75,43379,738.75
740.75,743.0,2025-09-10,748.75,55694,737.1
740.85,740.3,2025-09-11,741.85,142703,735.2
746.35,741.0,2025-09-12,757.05,132733,733.0
752.3,746.35,2025-09-15,757.7,100413,743.15
777.1,752.3,2025-09-16,782.5,406224,752.3
780.25,780.0,2025-09-17,783.0,105521,777.0
774.95,782.0,2025-09-18,784.3,53361,771.15
773.8,778.0,2025-09-19,782.1,158742,771.0
771.4,770.0,2025-09-22,781.75,84209,768.4
780.3,770.0,2025-09-23,785.0,166824,759.35
777.75,788.0,2025-09-24,791.95,265849,772.0
762.6,775.3,2025-09-25,776.95,78039,760.05
743.6,764.4,2025-09-26,764.95,199239,738.3
750.85,744.5,2025-09-29,756.9,180734,740.3
763.2,750.85,2025-09-30,766.6,96396,748.0
782.95,763.65,2025-10-01,788.0,274998,754.0
789.65,784.0,2025-10-03,796.0,1064428,781.3
803.55,785.0,2025-10-06,810.25,491738,781.0
804.35,804.5,2025-10-07,807.0,174773,792.35
793.45,800.3,2025-10-08,801.7,167859,787.65
789.75,795.45,2025-10-09,800.0,81359,787.5
793.6,790.1,2025-10-10,796.7,185373,784.4
801.35,786.85,2025-10-13,806.0,247299,782.55
785.0,796.0,2025-10-14,807.3,197396,780.05
802.55,787.0,2025-10-15,805.0,150466,783.1
804.55,802.5,2025-10-16,806.15,170760,795.15
801.05,804.55,2025-10-17,807.95,88912,797.15
838.35,819.05,2025-10-20,849.0,1683183,810.0
844.4,845.05,2025-10-21,859.85,185015,831.0
853.35,850.0,2025-10-23,865.0,439104,845.0
848.25,860.65,2025-10-24,860.7,276523,838.15
855.7,853.7,2025-10-27,857.95,109914,843.85
865.0,859.4,2025-10-28,867.95,234913,857.5
862.85,869.7,2025-10-29,869.7,322194,852.2
874.65,866.4,2025-10-30,879.4,389000,858.0
867.9,874.0,2025-10-31,883.7,284189,861.5
864.6,866.5,2025-11-03,886.5,138110,858.9
861.6,862.15,2025-11-04,875.4,136342,859.0
877.6,861.6,2025-11-06,881.8,422957,853.85
880.75,877.0,2025-11-07,890.9,286361,859.65
881.8,878.0,2025-11-10,884.0,138927,868.2
895.55,880.0,2025-11-11,900.0,388693,879.55
884.2,898.5,2025-11-12,908.9,264455,880.0
865.1,883.95,2025-11-13,884.7,381345,862.3
884.65,860.05,2025-11-14,894.8,278844,860.05
892.85,885.0,2025-11-17,914.0,662644,877.8
906.8,896.7,2025-11-18,925.0,843426,896.65
890.3,903.8,2025-11-19,909.3,359195,881.0
881.6,894.0,2025-11-20,898.3,364169,879.0
884.95,881.0,2025-11-21,891.0,370229,880.9
890.2,890.0,2025-11-24,894.0,288040,882.3
883.3,890.2,2025-11-25,890.2,80375,879.15
889.85,886.0,2025-11-26,905.9,201907,884.1
885.45,889.75,2025-11-27,904.0,151103,882.15
884.55,888.5,2025-11-28,888.5,71489,880.25
909.3,890.95,2025-12-01,912.75,239823,881.35
903.7,909.95,2025-12-02,918.35,225016,894.05
890.3,905.0,2025-12-03,932.0,604342,882.0
892.75,883.1,2025-12-04,897.35,141113,883.1
900.8,890.05,2025-12-05,908.0,195016,888.55
913.0,901.7,2025-12-08,932.0,866927,901.7
906.85,915.05,2025-12-09,915.95,270182,891.35
902.2,907.95,2025-12-10,922.0,139477,898.0
905.1,904.45,2025-12-11,915.95,167174,893.9
915.4,909.7,2025-12-12,918.35,158979,909.7
919.3,919.0,2025-12-15,928.2,164025,913.3
916.55,920.5,2025-12-16,922.95,132578,912.25
924.1,920.0,2025-12-17,928.0,116861,915.0
923.45,928.8,2025-12-18,933.0,149861,919.1
936.6,905.0,2025-12-19,938.9,296202,905.0
941.1,933.95,2025-12-22,945.0,156847,930.25
929.15,940.05,2025-12-23,943.05,82952,921.1
947.05,929.15,2025-12-24,948.5,132612,922.0
925.35,945.0,2025-12-26,971.5,449654,916.9
900.75,918.0,2025-12-29,933.0,340639,885.65
927.2,914.0,2025-12-30,936.5,534712,901.0
930.05,921.0,2025-12-31,944.0,135805,921.0
931.45,933.7,2026-01-01,950.95,149358,922.5
940.4,935.9,2026-01-02,945.0,224170,912.65
942.6,943.95,2026-01-05,959.9,288003,926.55
949.8,946.0,2026-01-06,964.9,203121,939.7
926.5,949.0,2026-01-07,949.0,114918,921.6
895.15,929.7,2026-01-08,932.35,175737,892.05
891.7,895.0,2026-01-09,915.0,177923,881.25
887.9,891.7,2026-01-12,894.4,163627,874.0
894.0,889.7,2026-01-13,897.95,119922,879.0
917.45,894.7,2026-01-14,919.5,160521,889.8
919.4,921.35,2026-01-16,929.55,140738,911.15
939.15,922.0,2026-01-19,942.0,573670,881.0
915.1,944.0,2026-01-20,963.8,426293,909.0
898.35,912.5,2026-01-21,920.2,213582,882.0
912.5,902.95,2026-01-22,919.0,127843,902.35
898.1,912.5,2026-01-23,915.0,119053,895.5
891.55,898.1,2026-01-27,900.3,159947,873.1
905.7,888.3,2026-01-28,912.15,123740,885.8
900.6,900.0,2026-01-29,914.95,93485,896.65
932.45,896.1,2026-01-30,941.05,227057,887.5
909.8,914.0,2026-02-02,946.0,1019196,868.35
929.1,956.0,2026-02-03,956.0,178718,921.25
936.85,930.0,2026-02-04,940.0,140074,916.55
937.4,933.5,2026-02-05,949.5,103461,930.0
928.3,937.15,2026-02-06,945.0,150322,922.2
950.2,949.95,2026-02-09,956.0,221134,937.55
915.85,952.1,2026-02-10,952.95,254366,910.0
898.8,916.2,2026-02-11,925.2,267577,885.5
888.4,904.0,2026-02-12,907.95,144485,880.75
884.25,884.8,2026-02-13,891.0,240309,859.45
903.75,879.7,2026-02-16,905.8,99446,876.0
899.95,905.75,2026-02-17,905.75,69401,890.95
904.6,901.25,2026-02-18,915.0,96743,900.95
889.25,909.0,2026-02-19,909.75,59300,886.0
885.7,886.0,2026-02-20,901.3,114229,880.0
907.45,894.4,2026-02-23,913.8,136550,888.0
883.8,900.0,2026-02-24,901.95,101943,880.35
888.35,891.0,2026-02-25,894.15,53569,883.8
887.0,892.0,2026-02-26,895.0,75489,879.05
843.4,887.0,2026-02-27,887.1,296773,836.1
821.4,828.0,2026-03-02,845.7,171930,814.7
812.3,805.95,2026-03-04,835.0,204082,791.0
826.8,814.9,2026-03-05,834.85,83188,809.75
827.3,822.9,2026-03-06,838.8,84721,821.05
813.15,819.0,2026-03-09,826.0,154884,785.05
854.75,818.95,2026-03-10,859.6,94678,815.85
865.95,862.75,2026-03-11,872.45,119324,858.4
872.55,865.35,2026-03-12,884.4,142674,838.6
819.65,864.0,2026-03-13,871.4,205515,803.85
840.4,821.1,2026-03-16,847.5,214400,791.55
828.05,850.0,2026-03-17,853.8,172915,824.0
841.85,834.75,2026-03-18,888.15,486539,829.05
