close,open,date,high,volume,low
222.45,218.57,2025-07-29,222.95,1166531,218.11
220.28,221.0,2025-07-30,223.45,962958,219.34
218.11,218.9,2025-07-31,220.45,1050613,216.76
218.41,218.94,2025-08-01,223.17,1389042,217.3
219.56,218.12,2025-08-04,220.6,1080791,217.11
222.02,220.0,2025-08-05,224.8,2886762,219.81
213.27,222.02,2025-08-06,223.29,2295228,212.3
214.7,213.27,2025-08-07,215.3,1698710,209.8
213.03,214.8,2025-08-08,215.75,1366926,212.5
210.59,210.8,2025-08-11,211.41,1036056,208.11
209.81,210.0,2025-08-12,211.44,596894,209.4
208.11,209.86,2025-08-13,212.4,1018523,207.8
205.28,208.8,2025-08-14,209.25,1051219,205.0
206.11,207.99,2025-08-18,207.99,1048222,205.63
206.75,206.0,2025-08-19,207.15,940769,205.5
208.87,206.95,2025-08-20,209.74,1248427,206.37
208.68,209.1,2025-08-21,211.4,1406699,208.3
206.24,208.0,2025-08-22,208.89,709653,206.0
207.41,206.25,2025-08-25,210.25,950167,206.0
200.88,207.0,2025-08-26,207.79,2069298,200.51
201.55,201.0,2025-08-28,203.0,935810,199.0
197.23,201.65,2025-08-29,202.18,1451760,196.68
199.33,197.4,2025-09-01,200.07,1055963,196.55
200.5,199.68,2025-09-02,202.2,1149654,197.86
198.53,199.0,2025-09-03,200.0,2545651,197.11
199.37,199.75,2025-09-04,201.06,1214607,198.21
197.77,199.4,2025-09-05,199.99,940857,197.11
197.43,198.0,2025-09-08,198.63,965625,196.0
197.39,197.43,2025-09-09,197.83,761940,196.81
198.87,197.6,2025-09-10,199.12,1521848,197.25
199.84,199.6,2025-09-11,201.56,1345569,199.0
197.34,199.94,2025-09-12,200.95,1810732,197.02
199.46,198.0,2025-09-15,200.1,1516364,197.4
202.9,199.9,2025-09-16,204.09,3038052,198.5
205.01,204.5,2025-09-17,210.75,3760776,204.0
203.5,206.0,2025-09-18,206.0,1092314,202.9
202.61,202.76,2025-09-19,203.9,907218,202.26
202.79,202.7,2025-09-22,205.33,1481029,201.77
203.17,202.77,2025-09-23,204.9,1021736,202.01
202.74,203.18,2025-09-24,203.75,1050643,200.54
200.26,202.74,2025-09-25,202.74,601390,200.0
195.68,200.0,2025-09-26,200.25,1124619,195.41
195.57,196.0,2025-09-29,198.7,1184349,195.1
199.64,196.7,2025-09-30,200.0,1014781,196.45
201.03,200.1,2025-10-01,202.5,1887376,197.75
202.65,201.5,2025-10-03,203.1,878565,200.61
202.86,203.0,2025-10-06,203.34,863246,201.4
202.28,202.86,2025-10-07,203.49,941590,201.39
200.65,202.28,2025-10-08,203.75,1184544,200.0
199.83,200.7,2025-10-09,202.24,1104895,199.13
200.51,199.8,2025-10-10,201.82,1145617,199.38
199.99,199.9,2025-10-13,201.29,929252,199.12
198.53,200.0,2025-10-14,200.64,771818,198.02
203.9,199.0,2025-10-15,207.2,3345221,198.81
199.91,205.0,2025-10-16,205.29,1396825,199.7
198.96,200.0,2025-10-17,200.4,1004025,197.8
200.06,200.0,2025-10-20,201.02,870631,198.51
200.46,200.2,2025-10-21,201.6,209545,200.2
200.3,201.38,2025-10-23,201.39,564208,199.55
199.49,200.3,2025-10-24,200.63,810550,198.66
197.69,200.8,2025-10-27,200.8,1059578,197.32
198.07,198.68,2025-10-28,199.26,696061,197.71
197.9,198.49,2025-10-29,198.99,1390471,196.6
196.23,197.89,2025-10-30,198.54,1299470,195.88
195.01,196.44,2025-10-31,197.3,1176926,194.77
196.21,195.01,2025-11-03,196.55,1147536,193.33
193.71,196.0,2025-11-04,197.5,2875251,193.24
190.36,194.3,2025-11-06,194.49,1631177,190.0
191.1,190.0,2025-11-07,191.9,1302338,188.0
191.12,191.0,2025-11-10,192.31,759672,190.52
191.57,191.5,2025-11-11,192.0,990820,189.55
190.21,191.5,2025-11-12,192.4,1545460,189.95
192.25,190.21,2025-11-13,194.84,1836360,190.21
192.5,191.6,2025-11-14,192.89,625514,191.45
193.47,192.5,2025-11-17,194.23,944308,192.26
191.23,193.02,2025-11-18,193.45,840921,191.07
190.87,191.18,2025-11-19,191.66,681592,190.38
190.68,191.25,2025-11-20,192.4,691357,190.2
189.02,190.05,2025-11-21,190.46,1249233,188.01
194.01,188.7,2025-11-24,195.0,2372635,188.2
191.64,194.01,2025-11-25,194.25,1153660,190.26
192.0,191.65,2025-11-26,192.82,817981,190.33
191.27,191.5,2025-11-27,193.0,691591,190.75
192.25,190.74,2025-11-28,192.5,982132,189.66
191.13,193.0,2025-12-01,193.4,915914,190.7
191.5,191.13,2025-12-02,192.51,921676,189.9
192.0,191.79,2025-12-03,193.95,1342220,190.51
191.28,192.0,2025-12-04,192.0,824820,190.52
191.23,191.28,2025-12-05,191.5,572695,190.69
189.1,191.16,2025-12-08,192.8,1300261,187.51
188.71,187.6,2025-12-09,190.0,1345969,185.21
186.63,188.71,2025-12-10,189.0,925754,185.9
183.86,187.5,2025-12-11,187.5,1370381,183.5
183.98,184.41,2025-12-12,184.55,834461,183.65
183.63,183.3,2025-12-15,184.27,890233,182.06
182.66,183.63,2025-12-16,183.63,808261,181.95
182.86,182.9,2025-12-17,184.02,877137,182.01
183.34,182.86,2025-12-18,184.24,790011,181.28
182.82,183.52,2025-12-19,183.6,888709,181.7
183.94,183.1,2025-12-22,185.0,1263592,182.41
185.93,185.0,2025-12-23,190.56,2824376,184.06
189.39,185.93,2025-12-24,202.4,46447634,183.81
193.48,193.89,2025-12-26,198.13,16924568,191.35
190.18,192.6,2025-12-29,193.45,5054408,189.01
188.65,190.16,2025-12-30,190.42,2094995,188.1
192.55,189.64,2025-12-31,194.25,4479975,187.94
190.79,193.3,2026-01-01,193.45,1116643,190.01
191.5,191.0,2026-01-02,194.24,2680126,190.1
191.64,193.35,2026-01-05,195.73,1937214,191.3
190.39,192.0,2026-01-06,192.0,1366909,189.8
190.12,190.01,2026-01-07,190.83,1638920,188.49
188.72,190.13,2026-01-08,190.81,2080464,188.5
188.65,188.72,2026-01-09,190.38,1699403,187.14
187.17,188.93,2026-01-12,189.4,3302774,185.5
187.47,187.52,2026-01-13,187.98,1012946,186.9
187.57,187.47,2026-01-14,188.7,1021528,186.94
185.28,187.57,2026-01-16,187.65,2525284,185.11
183.76,185.18,2026-01-19,185.4,2481135,183.1
182.75,183.8,2026-01-20,183.94,2993156,182.66
185.8,182.8,2026-01-21,186.45,4252638,180.66
186.04,186.49,2026-01-22,187.1,1938104,184.99
183.68,186.5,2026-01-23,186.5,1082808,183.1
183.38,184.0,2026-01-27,184.9,1594944,182.0
185.3,184.49,2026-01-28,186.39,1476317,183.52
184.57,185.8,2026-01-29,185.99,1427789,183.96
184.15,184.63,2026-01-30,185.27,1213892,183.11
185.11,182.5,2026-02-02,185.76,1553763,182.02
184.8,187.0,2026-02-03,187.94,2540664,184.38
187.39,185.05,2026-02-04,189.65,6298856,183.64
185.61,187.05,2026-02-05,187.1,2570246,184.9
185.23,185.61,2026-02-06,186.47,2745718,184.1
189.05,185.55,2026-02-09,189.6,2990451,185.55
187.83,189.5,2026-02-10,189.5,1502958,187.1
186.88,188.0,2026-02-11,188.1,1875117,185.05
186.71,186.88,2026-02-12,187.9,1487736,185.51
185.2,186.01,2026-02-13,186.99,1622832,185.0
186.29,185.2,2026-02-16,186.88,891106,185.1
187.72,186.9,2026-02-17,187.98,878739,186.42
188.24,188.0,2026-02-18,188.99,1119865,187.72
187.65,188.24,2026-02-19,190.1,2122989,187.5
187.74,188.0,2026-02-20,188.68,1059246,186.31
187.3,187.74,2026-02-23,188.38,960996,186.8
186.94,187.3,2026-02-24,187.4,1100461,186.05
186.83,187.13,2026-02-25,187.74,996108,186.25
187.65,187.0,2026-02-26,188.23,966283,186.85
186.91,187.9,2026-02-27,188.85,981088,186.5
185.82,185.2,2026-03-02,186.94,2091159,184.1
185.17,185.1,2026-03-04,185.75,1820623,184.5
186.48,185.5,2026-03-05,187.18,1272727,185.5
186.82,186.0,2026-03-06,187.77,1145757,186.0
185.46,185.6,2026-03-09,186.48,1891984,184.5
185.96,186.8,2026-03-10,186.87,1320549,185.5
185.79,186.75,2026-03-11,186.75,952210,185.68
185.59,186.1,2026-03-12,186.29,1465064,185.0
186.22,185.4,2026-03-13,186.61,2156127,185.4
186.34,186.22,2026-03-16,186.6,2607795,185.05
186.48,187.1,2026-03-17,187.1,1297171,185.5
187.21,186.99,2026-03-18,187.45,2314352,186.21
186.75,186.5,2026-03-19,188.06,2847636,186.1
187.34,187.75,2026-03-20,188.5,4664754,186.25
177.29,182.5,2026-03-23,183.7,3759032,177.1
173.78,178.01,2026-03-24,179.09,5430058,170.1
178.04,175.0,2026-03-25,178.61,1948013,173.78
175.08,178.04,2026-03-27,178.2,2157681,175.0
173.52,174.99,2026-03-30,175.21,2330191,173.3
176.32,176.1,2026-04-01,178.4,1568599,174.9
177.92,174.97,2026-04-02,178.4,1160615,173.52
179.14,177.92,2026-04-06,179.55,989066,175.79
178.45,178.26,2026-04-07,179.0,645351,176.94
179.25,180.5,2026-04-08,182.3,2156614,179.0
179.42,179.25,2026-04-09,181.05,1737421,178.2
179.42,180.6,2026-04-10,180.7,1308423,178.65
178.57,178.0,2026-04-13,179.79,1150509,176.11
180.01,180.0,2026-04-15,181.0,1337282,179.25
180.58,180.74,2026-04-16,180.95,1622721,178.0
182.27,180.9,2026-04-17,183.4,1705913,180.35
182.17,182.29,2026-04-20,184.0,1519493,181.0
182.4,182.2,2026-04-21,183.0,1199677,180.93
183.34,182.4,2026-04-22,184.14,1784986,180.92
183.85,183.34,2026-04-23,185.76,2480767,182.51
182.79,183.95,2026-04-24,185.21,943394,182.5
184.51,182.79,2026-04-27,185.0,1159841,182.41
183.81,184.5,2026-04-28,185.1,2809325,182.82
184.64,183.81,2026-04-29,185.3,1679259,182.85
184.82,184.0,2026-04-30,185.39,1555390,182.85
185.79,185.19,2026-05-04,188.2,1872381,184.21
184.76,186.55,2026-05-05,186.55,1069901,183.85
186.05,185.89,2026-05-06,186.8,1367910,184.88
185.52,186.99,2026-05-07,187.0,1447315,185.0
184.88,185.0,2026-05-08,186.9,2051302,184.6
182.75,184.88,2026-05-11,185.29,1835186,182.51
181.3,182.5,2026-05-12,183.2,1484763,181.11
181.55,181.0,2026-05-13,182.29,982840,180.8
181.78,182.4,2026-05-14,182.89,662070,181.23
181.44,181.78,2026-05-15,182.98,535932,181.3
182.22,180.55,2026-05-18,182.72,1001515,180.5
183.02,182.22,2026-05-19,183.3,541535,181.93
182.32,182.01,2026-05-20,183.0,836590,181.96
182.24,182.34,2026-05-21,183.49,524532,182.16
182.08,182.9,2026-05-22,182.9,498340,182.0
182.75,182.5,2026-05-25,183.33,523846,182.08
184.02,182.65,2026-05-26,185.85,1060367,182.27
185.37,184.45,2026-05-27,185.95,1187394,183.83
183.22,185.0,2026-05-29,185.05,2378162,182.17
183.97,183.0,2026-06-01,186.0,696505,183.0
183.71,183.01,2026-06-02,183.9,473253,182.1
183.43,183.75,2026-06-03,183.89,671415,182.61
183.72,183.43,2026-06-04,185.49,690939,183.43
