close,open,date,high,volume,low
888.6,881.35,2025-07-17,891.1,51373,878.0
871.6,897.0,2025-07-18,897.0,86117,868.0
867.85,871.6,2025-07-21,872.8,51640,862.0
859.35,877.5,2025-07-22,907.0,600962,839.0
856.9,869.9,2025-07-23,869.9,94683,844.05
844.25,856.9,2025-07-24,860.35,232077,831.0
841.0,854.0,2025-07-25,855.95,112633,822.6
842.7,842.0,2025-07-28,848.95,86099,827.55
857.35,843.05,2025-07-29,879.0,82411,834.15
845.75,864.9,2025-07-30,864.9,190580,841.45
852.85,845.75,2025-07-31,868.0,270449,838.45
894.1,857.1,2025-08-01,905.0,834157,848.0
927.6,906.35,2025-08-04,936.8,1371677,898.55
912.2,936.75,2025-08-05,936.75,272924,906.7
862.5,855.0,2025-08-06,869.35,924861,821.2
862.65,858.2,2025-08-07,869.8,132519,841.65
864.35,862.65,2025-08-08,871.55,141355,837.0
866.65,870.0,2025-08-11,873.95,247719,847.2
863.4,866.65,2025-08-12,874.65,72849,857.0
857.85,864.6,2025-08-13,864.6,129572,841.1
859.05,857.85,2025-08-14,864.0,64839,850.45
902.7,875.65,2025-08-18,910.6,239266,866.05
920.5,921.35,2025-08-19,940.0,845408,905.4
901.2,930.0,2025-08-20,930.9,139307,894.3
903.3,901.2,2025-08-21,911.9,135611,887.1
882.55,903.3,2025-08-22,903.3,189394,870.0
878.2,891.3,2025-08-25,892.4,100646,868.05
868.15,886.0,2025-08-26,888.3,156606,854.8
853.8,855.15,2025-08-28,865.45,61144,850.0
871.5,851.95,2025-08-29,874.0,125828,850.7
904.95,876.95,2025-09-01,911.0,185142,867.0
923.6,910.4,2025-09-02,925.0,190352,894.4
933.2,922.0,2025-09-03,962.0,241251,917.0
924.6,950.0,2025-09-04,953.1,97586,920.5
918.0,924.65,2025-09-05,928.2,73856,905.85
902.25,913.1,2025-09-08,918.0,68737,897.55
895.25,902.25,2025-09-09,911.0,63662,891.2
917.5,893.75,2025-09-10,925.4,214011,893.75
902.55,925.4,2025-09-11,930.0,81808,898.0
887.6,905.0,2025-09-12,916.0,156827,870.55
903.85,887.6,2025-09-15,910.25,63868,885.95
917.0,914.5,2025-09-16,928.7,206455,900.0
905.85,916.0,2025-09-17,922.8,71000,900.0
879.45,906.4,2025-09-18,906.4,463154,866.0
886.05,882.95,2025-09-19,897.0,164449,869.75
899.3,886.0,2025-09-22,903.9,154721,882.05
899.85,900.15,2025-09-23,913.95,91287,893.55
919.3,904.2,2025-09-24,924.0,220304,898.85
