close,open,date,high,volume,low
1762.5,1805.0,2025-07-04,1805.0,5459008,1726.7
1778.5,1761.8,2025-07-07,1790.0,2706713,1743.4
1754.1,1783.0,2025-07-08,1794.9,4684269,1722.3
1761.5,1755.0,2025-07-09,1769.7,1846080,1750.1
1747.2,1764.0,2025-07-10,1784.8,2045231,1743.1
1688.7,1735.0,2025-07-11,1749.0,3250994,1685.0
1677.4,1694.0,2025-07-14,1725.9,4160928,1667.0
1701.4,1685.0,2025-07-15,1706.0,2506938,1666.6
1721.5,1703.0,2025-07-16,1732.0,2277719,1695.0
1714.1,1724.9,2025-07-17,1735.0,1721691,1708.0
1698.5,1714.0,2025-07-18,1717.5,1669910,1687.3
1731.5,1695.0,2025-07-21,1736.0,2168014,1690.3
1714.7,1745.9,2025-07-22,1753.9,2601526,1708.5
1697.3,1724.0,2025-07-23,1724.0,2624523,1675.0
1679.3,1698.9,2025-07-24,1698.9,1500102,1675.6
1614.7,1671.0,2025-07-25,1671.3,3021430,1611.0
1522.8,1550.0,2025-07-28,1596.4,6256943,1517.1
1539.7,1522.9,2025-07-29,1550.7,2790287,1516.2
1512.8,1542.0,2025-07-30,1549.0,2574925,1509.0
1480.8,1495.0,2025-07-31,1509.8,2862587,1475.0
1478.8,1480.0,2025-08-01,1494.0,2222837,1462.9
1572.4,1480.0,2025-08-04,1577.9,5011132,1475.5
1566.2,1576.0,2025-08-05,1577.4,2757011,1543.0
1545.6,1565.5,2025-08-06,1565.5,2781305,1524.2
1564.5,1530.0,2025-08-07,1571.0,3084909,1515.0
1567.1,1566.0,2025-08-08,1605.9,6086096,1550.1
1564.8,1572.0,2025-08-11,1584.0,2750081,1546.1
1541.7,1565.0,2025-08-12,1575.0,1706051,1540.0
1564.5,1546.0,2025-08-13,1573.0,1778979,1543.9
1559.8,1564.0,2025-08-14,1577.0,1289206,1551.2
1575.1,1583.0,2025-08-18,1596.9,1982597,1562.4
1581.7,1578.7,2025-08-19,1589.0,1073753,1565.5
1583.6,1581.7,2025-08-20,1587.5,1008227,1572.4
1569.5,1590.0,2025-08-21,1611.5,3472849,1556.1
1574.4,1565.0,2025-08-22,1589.5,1575909,1565.0
1541.9,1575.0,2025-08-25,1579.3,1269755,1539.0
1492.1,1535.8,2025-08-26,1539.9,2013894,1488.8
1452.0,1491.0,2025-08-28,1498.0,1952370,1448.1
1424.4,1453.7,2025-08-29,1457.0,2043349,1421.0
1476.9,1431.5,2025-09-01,1480.0,1785436,1431.3
1508.9,1479.9,2025-09-02,1543.3,3467152,1463.3
1518.6,1508.9,2025-09-03,1526.9,1183630,1507.1
1509.4,1525.7,2025-09-04,1533.6,1287980,1501.8
1523.4,1508.5,2025-09-05,1541.0,1679391,1506.5
1554.3,1523.4,2025-09-08,1565.0,1698162,1523.4
1548.9,1559.0,2025-09-09,1563.7,1320841,1540.0
1548.8,1553.3,2025-09-10,1567.3,1744358,1532.2
1531.9,1548.5,2025-09-11,1560.9,1313310,1525.0
1545.8,1537.0,2025-09-12,1553.3,1186378,1534.7
1553.6,1550.0,2025-09-15,1564.5,1129103,1546.0
1549.4,1553.6,2025-09-16,1555.5,626658,1542.0
1568.9,1551.5,2025-09-17,1576.8,1718548,1551.1
1588.3,1575.0,2025-09-18,1625.0,4680341,1570.0
1582.0,1591.0,2025-09-19,1601.9,1496807,1575.8
1558.5,1582.0,2025-09-22,1582.8,1040158,1551.0
1546.6,1551.0,2025-09-23,1559.2,1127421,1525.6
1514.0,1543.0,2025-09-24,1549.8,1373690,1506.1
1494.8,1508.8,2025-09-25,1521.0,1356025,1490.0
1467.7,1490.0,2025-09-26,1502.6,1537976,1460.0
1475.0,1473.0,2025-09-29,1501.4,1962994,1470.0
1458.6,1475.0,2025-09-30,1476.3,1400153,1450.0
1475.5,1462.0,2025-10-01,1479.7,1182174,1459.0
1490.1,1475.5,2025-10-03,1493.9,1372102,1470.0
1524.9,1490.0,2025-10-06,1528.0,2020414,1485.1
1562.8,1530.0,2025-10-07,1592.0,4417500,1520.4
1539.7,1559.9,2025-10-08,1571.0,1327054,1535.0
1558.6,1539.7,2025-10-09,1564.8,1698777,1528.5
1605.3,1555.0,2025-10-10,1611.0,3338032,1555.0
1619.4,1601.0,2025-10-13,1628.0,3364466,1597.6
1606.5,1627.0,2025-10-14,1661.2,2945797,1600.3
1622.0,1610.0,2025-10-15,1635.9,1672560,1603.0
1620.3,1624.3,2025-10-16,1635.0,1347594,1615.0
1611.3,1625.4,2025-10-17,1641.6,2174965,1602.4
1599.8,1620.0,2025-10-20,1629.7,1232035,1596.9
1604.0,1611.0,2025-10-21,1614.9,326850,1600.1
1600.3,1608.0,2025-10-23,1626.0,1347483,1589.0
1590.2,1601.4,2025-10-24,1617.2,1230930,1581.1
1636.5,1592.0,2025-10-27,1641.0,2697487,1592.0
1632.8,1643.4,2025-10-28,1651.3,1894587,1624.0
1616.4,1625.0,2025-10-29,1626.5,1844623,1591.0
1614.7,1613.8,2025-10-30,1625.0,809134,1607.0
1587.2,1614.0,2025-10-31,1619.0,2101693,1569.1
1593.4,1585.0,2025-11-03,1616.5,2171717,1577.0
1539.1,1585.1,2025-11-04,1589.9,3060056,1531.5
1532.9,1529.9,2025-11-06,1538.5,1409286,1517.0
1578.8,1525.0,2025-11-07,1612.0,3992633,1508.0
1589.8,1580.4,2025-11-10,1607.2,1566128,1580.4
1600.9,1590.0,2025-11-11,1606.4,1310637,1576.0
1655.3,1616.0,2025-11-12,1659.9,4718903,1610.0
1626.3,1659.5,2025-11-13,1665.0,2358185,1621.0
