close,open,date,high,volume,low
161.99,163.19,2025-08-11,163.69,1749800.0,160.22
164.81,162.0,2025-08-12,166.34,2047337.0,162.0
164.32,165.31,2025-08-13,166.29,1445649.0,163.5
162.92,164.32,2025-08-14,164.87,796444.0,162.6
164.45,164.8,2025-08-18,165.14,1220860.0,163.41
164.63,164.39,2025-08-19,165.79,1866207.0,163.83
163.43,164.63,2025-08-20,164.95,1194347.0,163.15
164.72,163.99,2025-08-21,165.2,1426608.0,163.6
166.81,164.72,2025-08-22,167.36,3529704.0,163.43
164.24,167.6,2025-08-25,168.35,1746429.0,163.9
161.64,163.5,2025-08-26,171.07,13455154.0,160.42
154.17,161.7,2025-08-28,162.1,7649335.0,153.1
152.19,154.2,2025-08-29,155.49,2912337.0,152.01
156.04,152.69,2025-09-01,157.19,1569328.0,152.33
156.81,156.88,2025-09-02,158.43,1112810.0,155.0
155.16,157.0,2025-09-03,157.61,1223141.0,154.58
153.76,156.4,2025-09-04,156.93,1055500.0,153.21
153.49,153.95,2025-09-05,154.89,1023994.0,152.41
155.02,154.1,2025-09-08,156.56,903758.0,154.06
158.06,155.66,2025-09-09,158.49,2819410.0,154.13
161.11,158.9,2025-09-10,162.85,2244307.0,158.11
161.1,161.6,2025-09-11,162.54,1114537.0,159.39
160.06,161.7,2025-09-12,162.32,1038139.0,159.31
166.39,161.3,2025-09-15,168.4,4708681.0,161.0
168.11,166.98,2025-09-16,169.07,1809431.0,165.4
166.92,168.29,2025-09-17,169.0,1135764.0,166.06
165.0,167.4,2025-09-18,167.67,1193889.0,164.59
169.46,165.39,2025-09-19,171.45,3342265.0,164.67
168.19,171.6,2025-09-22,172.75,2287730.0,167.5
166.84,168.19,2025-09-23,171.36,4052011.0,166.46
167.19,170.0,2025-09-24,172.5,4636419.0,166.36
167.24,167.19,2025-09-25,168.04,1705116.0,165.8
163.55,166.1,2025-09-26,166.95,1291309.0,162.02
161.69,163.59,2025-09-29,164.5,1080878.0,160.45
161.95,162.1,2025-09-30,167.3,3928063.0,160.3
162.37,162.45,2025-10-01,163.87,2121943.0,160.29
166.33,163.2,2025-10-03,166.67,2015134.0,163.18
166.42,166.35,2025-10-06,167.69,1668364.0,164.1
162.69,166.65,2025-10-07,166.65,2014748.0,162.5
166.19,164.1,2025-10-08,168.85,3413079.0,163.05
170.25,167.0,2025-10-09,171.45,3912156.0,165.25
171.16,170.88,2025-10-10,173.3,3620480.0,169.21
170.76,170.9,2025-10-13,171.34,1299769.0,168.72
167.43,170.8,2025-10-14,171.68,1849983.0,166.91
176.2,168.72,2025-10-15,176.8,9766959.0,168.71
174.96,177.0,2025-10-16,177.65,3775700.0,173.5
170.41,174.76,2025-10-17,174.76,1819909.0,170.0
179.13,175.0,2025-10-20,180.0,9215860.0,170.41
180.52,180.54,2025-10-21,182.0,1464007.0,179.1
181.17,181.43,2025-10-23,182.81,4027150.0,178.2
184.65,182.0,2025-10-24,185.2,7588070.0,181.18
180.12,180.2,2025-10-27,183.15,5178564.0,177.26
178.74,180.0,2025-10-28,181.69,2741538.0,177.91
181.61,179.6,2025-10-29,185.26,5027130.0,179.5
180.04,182.0,2025-10-30,182.1,1461550.0,178.5
179.96,179.5,2025-10-31,181.39,1367003.0,178.5
179.88,180.36,2025-11-03,182.37,1762258.0,179.01
182.05,179.88,2025-11-04,182.8,3259381.0,179.51
175.6,181.0,2025-11-06,181.8,1794516.0,175.0
174.75,175.0,2025-11-07,175.99,1440027.0,174.05
