close,open,date,high,volume,low
680.45,676.6,2025-07-07,682.0,1795469,668.0
675.8,678.0,2025-07-08,679.35,3581235,665.05
672.05,675.8,2025-07-09,676.95,2188340,668.3
677.3,672.05,2025-07-10,681.5,3251214,669.0
667.75,677.3,2025-07-11,678.3,2899030,666.45
674.8,667.75,2025-07-14,680.0,3086468,666.2
677.45,674.0,2025-07-15,683.5,1536346,671.5
675.35,676.5,2025-07-16,679.0,1449968,672.0
689.35,678.2,2025-07-17,693.95,4643649,676.7
667.6,695.0,2025-07-18,695.5,5168081,666.1
680.65,669.0,2025-07-21,682.5,2549549,663.9
683.8,682.0,2025-07-22,688.9,2741733,676.1
682.95,684.15,2025-07-23,687.5,1701009,680.5
680.35,683.1,2025-07-24,687.0,7370754,653.6
662.55,681.05,2025-07-25,692.65,3749364,660.0
658.95,663.0,2025-07-28,669.8,1927712,654.0
659.05,657.0,2025-07-29,661.55,2466461,645.5
660.35,659.05,2025-07-30,669.8,2373174,657.4
661.7,655.0,2025-07-31,668.9,1943822,651.0
651.3,662.05,2025-08-01,665.9,2579602,649.55
662.25,655.05,2025-08-04,664.9,2097533,646.0
680.25,665.5,2025-08-05,681.65,4324035,660.25
680.55,682.0,2025-08-06,685.5,2314824,673.65
681.55,675.0,2025-08-07,685.5,2399600,672.05
666.4,683.0,2025-08-08,683.0,1735599,664.0
664.9,666.0,2025-08-11,668.8,2048345,655.5
658.55,664.95,2025-08-12,665.55,2337168,655.5
670.45,660.4,2025-08-13,674.8,2104254,659.2
665.95,676.0,2025-08-14,676.0,1517335,664.0
669.15,676.2,2025-08-18,677.6,2063230,667.5
676.8,672.5,2025-08-19,678.2,1354001,668.0
674.25,679.6,2025-08-20,681.4,1374929,673.1
677.55,675.0,2025-08-21,679.8,940798,675.0
679.85,678.45,2025-08-22,687.6,3733247,673.4
677.2,682.0,2025-08-25,685.5,2087411,675.0
671.3,677.9,2025-08-26,684.25,10450851,668.5
664.0,674.4,2025-08-28,677.3,1945654,658.8
694.3,676.95,2025-08-29,699.75,14580868,668.25
717.2,710.0,2025-09-01,726.2,13378545,703.5
739.65,723.05,2025-09-02,742.75,10341642,718.3
733.3,748.0,2025-09-03,756.95,8977994,731.2
740.2,744.0,2025-09-04,751.0,5488085,735.0
736.3,744.8,2025-09-05,749.0,2558134,735.4
746.35,743.0,2025-09-08,749.5,2792798,735.75
740.1,750.0,2025-09-09,751.0,2412384,730.3
768.95,747.0,2025-09-10,770.0,7475889,745.45
785.2,768.95,2025-09-11,788.9,6078662,764.7
785.4,786.0,2025-09-12,789.9,3070432,779.1
791.35,786.6,2025-09-15,796.6,2728792,780.55
792.2,794.65,2025-09-16,796.25,1976546,783.15
791.95,792.2,2025-09-17,797.55,1720211,790.0
784.55,793.25,2025-09-18,793.25,3810746,772.65
779.4,784.55,2025-09-19,787.6,3287106,774.05
770.2,782.1,2025-09-22,783.75,1532761,769.0
773.45,771.2,2025-09-23,777.7,1773399,766.2
770.1,770.0,2025-09-24,775.0,1284403,766.0
759.1,768.6,2025-09-25,775.5,1069774,756.35
739.4,758.0,2025-09-26,759.45,1925106,737.5
747.3,742.35,2025-09-29,756.4,2929682,741.75
740.95,750.0,2025-09-30,751.75,2526440,735.6
739.8,740.0,2025-10-01,742.55,1376898,733.25
747.5,745.0,2025-10-03,751.7,1376441,737.3
745.4,748.6,2025-10-06,751.9,1161208,739.5
748.0,745.4,2025-10-07,754.3,1213013,744.5
743.95,745.0,2025-10-08,749.6,1563241,736.3
761.15,743.9,2025-10-09,763.45,2262502,741.8
753.4,762.0,2025-10-10,762.5,2344143,745.7
747.05,745.9,2025-10-13,751.65,1697894,738.45
745.95,747.8,2025-10-14,753.5,1513060,741.0
757.3,744.6,2025-10-15,759.5,1651601,744.6
760.6,760.0,2025-10-16,768.5,1419387,752.95
757.7,760.5,2025-10-17,763.05,1830918,750.15
740.15,760.0,2025-10-20,762.9,2816106,724.35
739.0,745.0,2025-10-21,749.0,446174,735.1
732.85,735.05,2025-10-23,745.0,2611480,730.0
723.85,734.45,2025-10-24,735.9,3051200,719.25
728.35,727.0,2025-10-27,730.5,1573062,724.2
722.5,730.0,2025-10-28,731.45,2309934,717.4
748.6,726.15,2025-10-29,759.0,6067360,721.15
734.7,754.0,2025-10-30,754.0,5090803,729.7
736.65,735.0,2025-10-31,743.15,2560022,726.6
745.35,733.0,2025-11-03,747.15,3828421,726.55
747.6,744.0,2025-11-04,757.1,2282860,740.0
732.7,746.0,2025-11-06,749.45,2225547,730.0
733.25,728.0,2025-11-07,736.55,1200551,720.05
738.15,733.2,2025-11-10,740.0,1538280,727.5
732.95,738.15,2025-11-11,738.65,1544794,729.1
739.85,733.85,2025-11-12,742.0,2116161,728.0
745.2,739.0,2025-11-13,749.45,2218794,735.0
743.5,740.3,2025-11-14,751.65,1635386,738.95
749.75,743.5,2025-11-17,753.6,2198843,739.65
733.75,749.45,2025-11-18,749.9,1861651,732.3
724.1,730.0,2025-11-19,734.0,2048601,718.4
721.25,723.0,2025-11-20,726.5,2473529,718.2
710.2,721.0,2025-11-21,725.0,1696270,707.5
683.0,709.55,2025-11-24,709.55,5107691,680.0
682.55,683.0,2025-11-25,685.75,6555328,677.8
688.4,681.0,2025-11-26,695.0,3691086,677.6
679.25,690.95,2025-11-27,691.15,2013261,676.55
672.9,679.25,2025-11-28,679.25,1799878,669.1
669.75,672.9,2025-12-01,677.65,1353139,667.85
659.7,668.0,2025-12-02,671.3,2550266,658.2
664.2,659.7,2025-12-03,671.0,3642142,656.6
662.35,664.2,2025-12-04,667.55,1865431,659.4
661.35,661.3,2025-12-05,664.2,2092532,653.9
647.15,661.0,2025-12-08,662.0,1950560,642.35
667.8,641.0,2025-12-09,670.35,3303762,634.65
665.45,671.0,2025-12-10,679.15,2210570,661.0
666.5,666.8,2025-12-11,669.05,1630019,661.5
665.9,670.0,2025-12-12,675.0,1769892,664.75
670.15,665.9,2025-12-15,671.8,995882,657.5
673.05,668.0,2025-12-16,676.3,1137760,662.7
670.4,678.0,2025-12-17,691.2,3601375,666.6
661.8,670.4,2025-12-18,670.45,1899785,657.15
671.6,661.75,2025-12-19,673.7,2130862,659.7
671.05,672.0,2025-12-22,678.25,1514056,668.45
666.3,671.0,2025-12-23,672.7,1294033,662.5
660.9,666.3,2025-12-24,669.25,1910047,657.15
656.0,660.9,2025-12-26,666.9,698129,653.2
647.25,656.0,2025-12-29,659.7,1234659,645.8
641.05,646.9,2025-12-30,648.0,1954985,637.05
647.9,641.05,2025-12-31,651.95,1685843,638.5
637.9,650.0,2026-01-01,650.95,2758184,636.95
649.1,639.45,2026-01-02,651.75,2285838,638.1
645.25,652.0,2026-01-05,653.3,2008772,639.5
637.85,645.25,2026-01-06,646.65,1948899,634.0
636.95,636.85,2026-01-07,642.0,1169857,634.5
614.25,640.0,2026-01-08,661.0,12895177,593.3
594.75,613.5,2026-01-09,619.4,13331565,586.5
585.8,597.0,2026-01-12,597.7,6209951,579.5
581.6,588.35,2026-01-13,594.55,3362663,574.45
576.9,580.0,2026-01-14,585.0,1928785,574.7
561.7,575.45,2026-01-16,581.4,3677834,560.25
590.0,580.0,2026-01-19,607.0,17314136,580.0
573.75,588.0,2026-01-20,591.0,4163249,569.0
575.3,573.5,2026-01-21,576.9,5174187,555.95
574.25,581.0,2026-01-22,581.8,1591278,568.0
549.1,574.0,2026-01-23,576.2,3868313,547.35
530.65,557.0,2026-01-27,557.0,10101452,525.5
581.95,535.2,2026-01-28,583.65,12172783,535.2
590.3,585.85,2026-01-29,592.95,5474860,570.45
584.05,590.0,2026-01-30,590.8,3742695,576.15
608.35,600.45,2026-02-02,609.95,3460394,586.4
661.55,658.35,2026-02-03,669.15,14524072,650.8
669.6,667.75,2026-02-04,676.0,5225273,656.0
668.0,670.95,2026-02-05,672.2,2521396,656.6
674.85,669.9,2026-02-06,676.0,2721504,663.3
690.35,679.7,2026-02-09,695.7,2569205,678.25
681.55,694.95,2026-02-10,694.95,3481303,668.65
685.6,685.0,2026-02-11,687.0,2139674,674.2
685.1,685.85,2026-02-12,688.9,1950086,678.6
680.15,680.0,2026-02-13,684.5,1143123,671.4
688.75,677.0,2026-02-16,691.0,1176827,676.55
690.5,689.0,2026-02-17,695.9,2312868,684.85
710.55,692.35,2026-02-18,714.5,3814598,687.4
696.55,710.65,2026-02-19,719.4,2348262,693.4
712.15,692.0,2026-02-20,717.4,2612721,691.65
720.5,720.0,2026-02-23,722.7,1783385,713.5
724.5,713.0,2026-02-24,727.0,1900203,713.0
713.4,725.0,2026-02-25,728.0,2099052,710.65
726.75,715.5,2026-02-26,733.7,4352772,711.05
725.2,726.75,2026-02-27,728.7,2608297,719.6
711.85,688.95,2026-03-02,719.2,2579526,688.9
684.9,700.0,2026-03-04,702.0,3881115,676.4
701.1,689.0,2026-03-05,702.85,1348514,683.4
715.45,700.0,2026-03-06,722.5,2922020,696.0
697.55,704.9,2026-03-09,704.9,2675404,684.2
728.2,706.0,2026-03-10,731.95,3876241,703.3
726.3,730.4,2026-03-11,741.5,2728417,724.05
737.3,723.45,2026-03-12,740.25,3548443,701.6
709.9,740.55,2026-03-13,749.0,5430860,706.45
698.65,708.65,2026-03-16,711.8,3890962,680.1
708.4,701.0,2026-03-17,712.0,2292184,697.0
707.15,709.3,2026-03-18,716.95,1560683,702.2
686.7,697.0,2026-03-19,700.5,1682758,683.45
681.6,697.0,2026-03-20,709.0,2720138,678.65
664.1,675.15,2026-03-23,675.5,3640981,642.8
667.3,680.0,2026-03-24,680.95,3376154,658.75
692.25,677.25,2026-03-25,693.95,2736013,675.0
667.95,687.7,2026-03-27,688.8,3464175,666.0
655.05,656.0,2026-03-30,672.95,4829822,651.5
680.3,673.0,2026-04-01,690.25,2316056,672.4
680.05,670.25,2026-04-02,683.25,2098148,655.6
687.3,681.9,2026-04-06,689.85,2378124,671.65
693.9,684.0,2026-04-07,694.85,2287422,671.25
726.3,715.15,2026-04-08,730.55,2887427,705.9
720.6,725.95,2026-04-09,735.0,2673685,716.05
731.1,727.15,2026-04-10,735.6,2096526,720.0
716.1,710.0,2026-04-13,727.95,2060416,705.2
748.0,727.0,2026-04-15,750.0,4100236,726.5
755.9,759.05,2026-04-16,761.7,3570965,747.25
774.8,760.0,2026-04-17,776.5,4137167,748.35
795.7,775.95,2026-04-20,804.65,5497243,764.2
805.25,800.0,2026-04-21,819.6,3645438,798.15
824.35,805.25,2026-04-22,835.0,4826906,803.0
837.8,825.7,2026-04-23,842.0,3763003,821.4
823.15,844.5,2026-04-24,846.9,3994254,809.0
820.3,823.35,2026-04-27,834.95,2549032,818.1
831.2,820.7,2026-04-28,836.4,1966693,820.7
825.6,835.35,2026-04-29,840.0,2354905,820.3
813.35,824.75,2026-04-30,824.75,3248937,803.9
802.3,819.0,2026-05-04,828.0,2569215,800.5
826.9,800.0,2026-05-05,833.0,6919738,794.1
828.9,832.8,2026-05-06,839.5,8627698,804.0
859.1,841.5,2026-05-07,872.35,13476263,830.05
873.55,860.35,2026-05-08,875.8,3998673,852.0
858.1,875.0,2026-05-11,886.8,4501442,855.0
833.7,858.15,2026-05-12,863.75,3032058,831.7
847.05,830.0,2026-05-13,850.0,2586976,826.0
848.25,856.0,2026-05-14,856.05,2851857,827.05
838.2,845.9,2026-05-15,848.0,1670728,833.0
808.75,825.95,2026-05-18,830.0,4002836,804.6
819.4,811.0,2026-05-19,828.7,2055370,807.15
853.25,819.4,2026-05-20,857.75,3710693,812.6
864.9,865.0,2026-05-21,870.3,2811644,857.05
865.7,866.9,2026-05-22,873.5,2028217,858.0
867.9,874.9,2026-05-25,884.4,2222363,864.8
879.15,867.9,2026-05-26,890.0,2788855,864.2
934.8,882.55,2026-05-27,938.0,9258467,882.0
917.45,938.9,2026-05-29,944.1,9449904,910.95
894.35,928.95,2026-06-01,928.95,3148459,891.3
907.7,895.05,2026-06-02,910.55,4931769,883.05
906.65,912.95,2026-06-03,914.6,3685445,890.45
937.9,915.0,2026-06-04,951.0,8471887,906.75
937.85,948.85,2026-06-05,952.0,4645742,928.6
903.4,920.0,2026-06-08,938.8,4203240,895.0
911.2,910.2,2026-06-09,921.0,3404934,905.3
908.1,911.2,2026-06-10,924.5,3175483,899.15
901.35,900.5,2026-06-11,926.5,2755854,898.95
914.45,919.0,2026-06-12,919.0,2901434,897.5
935.5,928.0,2026-06-15,942.9,2742582,916.55
940.7,943.55,2026-06-16,946.9,2475717,931.6
963.75,941.0,2026-06-17,965.6,3996950,937.0
954.45,969.9,2026-06-18,969.9,3552746,945.25
963.7,954.1,2026-06-19,966.05,3828968,950.05
962.55,968.0,2026-06-22,968.9,2540708,954.05
950.5,965.0,2026-06-23,966.0,2724967,946.0
919.45,936.0,2026-06-24,944.95,3996660,912.0
942.1,919.45,2026-06-25,948.95,3215230,919.45
956.25,960.1,2026-06-29,965.35,12311661,936.3
952.15,963.1,2026-06-30,969.0,3299400,949.3
976.5,958.0,2026-07-01,978.9,3489753,950.0
959.4,980.0,2026-07-02,980.9,5251907,951.9
892.55,911.4,2026-07-03,926.0,24732145,887.1
925.0499877929688,900.0,2026-07-06,926.9000244140624,8209688,895.4000244140625
910.5,925.0499877929688,2026-07-07,927.5999755859376,3241819,898.6500244140625
908.0999755859376,908.0,2026-07-08,924.0,5514208,897.3499755859375
910.9000244140624,910.7999877929688,2026-07-09,922.5999755859376,4203807,903.0499877929688
916.5999755859376,916.9500122070312,2026-07-10,923.7000122070312,2064480,913.5499877929688
905.5,912.0,2026-07-13,912.0,2817665,895.5999755859375
