close,open,date,high,volume,low
898.45,919.45,2025-07-28,929.85,92587,895.85
900.05,898.45,2025-07-29,909.3,46214,891.05
895.1,900.0,2025-07-30,908.15,269829,889.0
909.85,894.9,2025-07-31,918.25,89183,883.6
890.35,1001.05,2025-08-01,1082.0,9118454,863.55
897.75,906.0,2025-08-04,937.0,2369898,890.1
874.05,898.6,2025-08-05,900.05,981869,870.15
870.1,878.0,2025-08-06,888.7,520968,849.1
877.35,865.0,2025-08-07,882.55,408094,855.35
868.25,880.0,2025-08-08,885.0,189859,863.0
869.75,870.7,2025-08-11,879.7,166354,865.3
875.45,871.6,2025-08-12,886.85,119393,869.5
895.7,882.0,2025-08-13,902.0,254507,875.45
933.0,901.0,2025-08-14,938.0,855879,896.55
960.6,935.05,2025-08-18,970.0,1048763,925.45
956.4,959.3,2025-08-19,968.95,235385,946.1
998.0,955.0,2025-08-20,1020.5,1537940,955.0
1023.6,1003.6,2025-08-21,1026.95,479835,1001.0
1019.45,1023.6,2025-08-22,1034.0,264182,1012.95
1032.75,1026.4,2025-08-25,1050.25,589846,1011.3
1007.15,1031.7,2025-08-26,1035.95,220139,1002.0
1017.7,1005.0,2025-08-28,1035.0,258220,985.25
1010.3,1015.75,2025-08-29,1035.0,147054,1004.5
1019.7,1014.9,2025-09-01,1023.9,127762,998.4
1004.1,1020.0,2025-09-02,1024.4,259055,978.0
1023.9,1005.8,2025-09-03,1039.9,220418,1005.0
1015.1,1045.0,2025-09-04,1045.0,218432,1004.1
1020.9,1011.1,2025-09-05,1032.6,82212,1011.1
1029.0,1020.9,2025-09-08,1033.9,106539,1007.1
1029.8,1029.0,2025-09-09,1048.0,400268,999.0
1040.3,1030.1,2025-09-10,1050.0,214318,1029.9
1017.4,1042.0,2025-09-11,1054.0,226084,1011.0
1021.8,1023.4,2025-09-12,1034.8,128721,1019.0
1050.5,1028.8,2025-09-15,1059.0,216052,1020.8
1064.6,1069.9,2025-09-16,1070.0,425558,1037.3
1062.1,1070.0,2025-09-17,1070.1,138892,1048.0
1055.8,1062.1,2025-09-18,1069.6,104864,1050.0
1029.9,1050.3,2025-09-19,1055.8,223143,1017.4
1009.8,1035.3,2025-09-22,1037.3,126309,1005.6
1025.1,1015.8,2025-09-23,1028.6,155343,1006.0
1011.9,1023.0,2025-09-24,1031.1,206021,1008.4
995.6,1018.0,2025-09-25,1019.1,99925,990.0
956.4,990.0,2025-09-26,993.4,333567,952.0
956.5,952.1,2025-09-29,969.7,195099,939.9
951.2,940.4,2025-09-30,972.5,318530,940.4
957.8,947.0,2025-10-01,993.0,132674,935.8
971.5,961.0,2025-10-03,989.45,118790,948.35
968.25,971.5,2025-10-06,975.5,86165,958.0
970.85,965.3,2025-10-07,973.95,111945,953.65
945.0,970.8,2025-10-08,970.8,80135,941.0
941.15,948.0,2025-10-09,954.7,144797,927.15
953.0,941.5,2025-10-10,968.1,141977,941.15
930.2,953.0,2025-10-13,954.95,191342,922.0
910.4,930.2,2025-10-14,934.8,184705,905.3
935.75,910.4,2025-10-15,939.7,164005,905.0
969.9,945.0,2025-10-16,973.0,261023,943.05
976.0,970.0,2025-10-17,989.0,238441,962.0
952.7,976.0,2025-10-20,979.8,135983,945.9
948.35,958.0,2025-10-21,968.7,54655,941.3
949.6,948.95,2025-10-23,957.2,370258,932.45
941.25,953.4,2025-10-24,957.9,73807,935.15
945.4,937.0,2025-10-27,950.0,65699,933.55
930.45,945.4,2025-10-28,946.55,132585,923.0
950.75,938.0,2025-10-29,954.1,102269,927.7
965.55,955.0,2025-10-30,967.7,81508,948.65
949.75,970.6,2025-10-31,977.7,148351,939.85
958.2,946.0,2025-11-03,970.0,91856,946.0
962.15,964.9,2025-11-04,970.05,307616,950.25
929.15,959.9,2025-11-06,959.9,494236,910.2
915.85,925.0,2025-11-07,925.55,265422,907.0
903.65,900.5,2025-11-10,909.1,165872,891.85
892.85,900.0,2025-11-11,905.4,306963,889.45
907.1,892.85,2025-11-12,917.8,125837,892.7
888.4,907.1,2025-11-13,908.3,162451,886.4
884.05,888.5,2025-11-14,890.5,148963,879.0
870.95,883.0,2025-11-17,886.8,103085,869.05
875.35,873.9,2025-11-18,884.0,83142,863.3
885.95,875.2,2025-11-19,890.5,76250,875.0
899.9,889.9,2025-11-20,901.0,149232,883.45
896.8,904.55,2025-11-21,905.0,115786,883.35
882.3,904.0,2025-11-24,908.0,72160,875.65
881.9,880.0,2025-11-25,886.85,25586,875.0
