close,open,date,high,volume,low
734.05,739.7,2025-07-08,750.0,1764133,730.1
738.6,735.0,2025-07-09,755.8,3005001,727.0
733.8,743.0,2025-07-10,746.6,1111563,725.5
719.3,733.0,2025-07-11,735.5,1021715,715.05
721.9,713.0,2025-07-14,725.75,926261,711.6
743.7,721.1,2025-07-15,749.35,2193640,719.55
749.15,746.95,2025-07-16,757.05,1461061,744.45
747.25,750.0,2025-07-17,759.0,1099534,745.0
779.4,748.0,2025-07-18,788.0,6388175,743.7
779.7,750.0,2025-07-21,785.55,3478189,738.2
787.15,779.7,2025-07-22,799.7,3068158,760.55
777.75,789.0,2025-07-23,789.1,1829896,769.0
761.6,781.0,2025-07-24,781.0,1454687,756.15
687.6,761.6,2025-07-25,761.65,5841759,675.0
720.9,685.05,2025-07-28,729.5,6306195,681.0
705.3,718.95,2025-07-29,719.7,1121573,699.0
699.4,706.0,2025-07-30,716.85,1589957,689.05
682.65,691.3,2025-07-31,695.7,1130795,678.25
656.5,680.7,2025-08-01,682.0,843509,652.8
649.1,656.0,2025-08-04,656.4,719493,641.85
638.95,650.0,2025-08-05,654.9,909409,632.6
634.65,640.0,2025-08-06,646.9,661065,629.25
641.15,631.35,2025-08-07,643.35,577969,626.4
643.5,640.0,2025-08-08,662.3,973662,633.3
659.1,644.2,2025-08-11,662.85,781740,638.7
660.8,659.1,2025-08-12,668.0,611792,653.9
651.25,663.75,2025-08-13,664.7,318791,649.6
633.35,651.25,2025-08-14,655.75,558525,631.65
627.05,644.0,2025-08-18,644.1,857598,620.85
656.15,628.9,2025-08-19,658.6,1241797,628.9
659.45,660.0,2025-08-20,676.4,1191337,655.0
663.6,660.5,2025-08-21,678.0,1112115,657.1
659.2,664.9,2025-08-22,664.9,372153,656.0
660.9,660.0,2025-08-25,666.3,324311,655.0
649.9,660.0,2025-08-26,662.6,396161,645.5
645.25,649.9,2025-08-28,652.95,396531,639.8
645.4,640.25,2025-08-29,650.65,332477,640.25
687.05,642.0,2025-09-01,692.0,2582471,642.0
699.6,692.0,2025-09-02,709.95,1251729,684.3
699.05,697.3,2025-09-03,710.0,627664,692.4
692.85,708.0,2025-09-04,708.0,442202,689.1
702.4,694.0,2025-09-05,703.3,469467,685.1
702.4,702.0,2025-09-08,714.0,440078,698.05
723.2,702.9,2025-09-09,729.0,1581139,702.9
725.35,723.5,2025-09-10,744.0,1048698,720.0
742.65,727.95,2025-09-11,764.9,3148914,723.8
734.85,744.0,2025-09-12,749.65,635520,730.25
751.9,733.0,2025-09-15,754.8,618745,733.0
751.9,750.0,2025-09-16,760.0,475960,747.55
739.8,751.7,2025-09-17,761.0,562309,738.15
744.85,740.2,2025-09-18,757.45,513478,740.2
742.4,746.75,2025-09-19,751.8,294276,740.0
756.0,743.5,2025-09-22,773.3,1638455,740.0
751.7,755.2,2025-09-23,758.45,459098,745.5
753.3,751.7,2025-09-24,761.85,430843,750.0
754.5,750.5,2025-09-25,772.75,803506,750.0
760.5,754.5,2025-09-26,782.0,1956246,740.0
763.35,764.9,2025-09-29,789.1,1745616,760.5
757.8,765.05,2025-09-30,771.5,627234,751.65
757.1,765.0,2025-10-01,768.8,550783,747.15
