close,open,date,high,volume,low
700.85,706.2,2025-07-09,709.8,435995,698.1
701.6,703.8,2025-07-10,707.6,179562,699.2
705.95,703.0,2025-07-11,708.55,226565,697.5
690.75,706.55,2025-07-14,708.0,470458,685.15
705.2,694.2,2025-07-15,721.0,524747,694.2
747.1,706.4,2025-07-16,751.65,1232372,706.0
756.3,752.85,2025-07-17,762.0,978271,741.0
753.05,759.8,2025-07-18,762.8,523765,745.5
761.25,754.6,2025-07-21,765.8,1053504,747.6
763.9,789.0,2025-07-22,789.0,1682291,758.4
761.3,766.5,2025-07-23,768.95,1808094,745.15
762.2,762.5,2025-07-24,766.5,1400116,755.45
752.1,761.85,2025-07-25,761.85,431473,749.0
736.8,751.9,2025-07-28,753.75,505529,731.05
739.8,735.5,2025-07-29,742.35,813459,719.95
744.15,741.65,2025-07-30,745.45,338319,735.4
762.2,740.5,2025-07-31,784.5,1082664,737.45
752.8,761.9,2025-08-01,765.0,583249,751.0
752.3,760.0,2025-08-04,764.0,546712,750.55
752.8,753.7,2025-08-05,756.35,406365,744.0
739.3,754.0,2025-08-06,756.7,456810,736.5
739.45,738.95,2025-08-07,742.95,370292,729.75
740.75,740.5,2025-08-08,754.25,468063,731.2
765.45,742.9,2025-08-11,768.6,919601,735.65
789.15,768.0,2025-08-12,798.7,827808,766.15
802.5,789.25,2025-08-13,806.0,672418,782.1
801.7,803.9,2025-08-14,812.8,516766,799.3
814.95,813.0,2025-08-18,817.95,489311,801.0
819.1,819.6,2025-08-19,822.9,433765,813.5
796.95,819.5,2025-08-20,824.8,330073,793.5
786.4,796.0,2025-08-21,801.8,1322517,783.55
803.25,787.8,2025-08-22,809.4,461461,784.1
804.35,807.7,2025-08-25,814.55,219260,799.0
802.75,804.5,2025-08-26,810.15,396518,792.5
796.75,804.8,2025-08-28,806.0,268242,792.15
796.0,800.0,2025-08-29,804.4,900367,789.2
792.3,799.95,2025-09-01,806.7,370761,790.15
786.3,794.6,2025-09-02,799.7,325246,784.15
783.6,786.7,2025-09-03,795.45,380792,780.15
780.75,783.95,2025-09-04,790.0,527451,776.5
786.6,782.8,2025-09-05,791.45,940645,781.6
783.1,789.4,2025-09-08,795.8,242636,780.25
781.3,784.95,2025-09-09,790.0,436474,771.0
786.65,784.0,2025-09-10,793.0,778603,782.0
816.1,788.4,2025-09-11,819.4,625491,786.65
817.45,819.7,2025-09-12,826.45,496861,813.05
822.1,817.9,2025-09-15,829.75,428781,815.9
825.0,824.45,2025-09-16,830.0,562141,820.7
823.7,826.4,2025-09-17,827.85,276718,819.0
820.25,825.7,2025-09-18,828.0,279168,818.15
809.65,820.0,2025-09-19,825.8,400139,808.0
805.85,810.9,2025-09-22,818.45,290835,803.15
