close,open,date,high,volume,low
590.9,595.0,2025-07-28,601.8,473659,588.85
592.05,587.9,2025-07-29,593.65,517700,586.5
585.15,593.0,2025-07-30,598.85,1292143,583.45
578.2,578.9,2025-07-31,584.1,1017629,576.2
573.6,578.15,2025-08-01,581.95,1111636,570.6
581.75,573.6,2025-08-04,583.25,890380,571.0
578.9,579.0,2025-08-05,583.25,685480,575.25
554.8,583.0,2025-08-06,583.0,2817013,553.0
553.6,550.25,2025-08-07,556.95,5497402,529.2
556.65,554.15,2025-08-08,564.8,1821561,551.55
545.3,556.55,2025-08-11,556.55,1798513,543.15
541.55,545.0,2025-08-12,548.7,1247870,540.1
541.55,542.0,2025-08-13,545.0,894246,536.9
531.8,541.55,2025-08-14,542.0,1253153,531.1
537.8,535.15,2025-08-18,541.0,612703,534.1
555.0,540.0,2025-08-19,556.0,1151826,538.6
557.5,556.35,2025-08-20,560.85,679269,552.55
553.2,560.0,2025-08-21,560.25,399982,552.55
547.9,553.2,2025-08-22,556.95,540301,546.9
544.4,547.95,2025-08-25,550.55,588259,543.0
528.45,544.95,2025-08-26,544.95,1774116,527.5
528.85,528.0,2025-08-28,531.4,2055711,521.7
527.35,531.25,2025-08-29,533.9,826127,526.25
539.55,530.0,2025-09-01,541.05,515078,528.6
544.8,540.95,2025-09-02,549.95,538311,540.95
548.8,546.0,2025-09-03,549.75,320970,544.2
541.6,554.0,2025-09-04,554.0,581973,539.0
542.25,544.3,2025-09-05,548.45,600344,537.1
546.45,546.8,2025-09-08,553.8,648461,543.9
541.55,548.95,2025-09-09,549.0,673622,539.7
544.95,544.05,2025-09-10,547.4,1146430,540.9
550.0,545.0,2025-09-11,554.4,1512609,544.25
550.05,552.55,2025-09-12,555.85,1994357,548.85
556.0,551.9,2025-09-15,562.9,5468449,549.9
564.15,558.0,2025-09-16,569.8,1769006,556.5
562.25,568.0,2025-09-17,568.0,600086,559.0
561.1,564.85,2025-09-18,564.95,527563,556.0
553.75,561.05,2025-09-19,562.65,2306017,552.85
550.15,553.75,2025-09-22,560.7,1119228,549.25
543.75,552.7,2025-09-23,552.7,1229127,542.5
530.8,543.0,2025-09-24,545.65,1471214,529.2
529.75,531.0,2025-09-25,537.85,3293461,528.3
524.8,530.4,2025-09-26,533.85,2785713,523.4
523.3,527.2,2025-09-29,528.6,3106751,520.65
525.8,527.0,2025-09-30,527.8,1831698,521.0
526.55,527.0,2025-10-01,528.95,681430,523.8
533.5,526.55,2025-10-03,534.25,809047,525.5
532.15,538.3,2025-10-06,540.05,624403,529.25
532.45,532.5,2025-10-07,534.45,476724,529.25
528.25,536.0,2025-10-08,539.95,1021269,527.0
537.75,536.0,2025-10-09,540.8,1857808,531.25
541.4,539.0,2025-10-10,544.6,1159952,536.3
530.95,541.0,2025-10-13,541.4,910653,528.25
527.25,532.0,2025-10-14,533.05,902886,524.5
529.95,528.2,2025-10-15,531.25,728004,526.4
534.1,530.5,2025-10-16,535.75,533630,530.05
529.5,535.0,2025-10-17,535.0,699709,525.7
533.8,532.0,2025-10-20,537.2,615756,530.35
534.1,536.05,2025-10-21,536.65,111400,533.1
534.75,537.0,2025-10-23,539.25,548423,533.55
536.9,535.45,2025-10-24,542.5,1135433,535.45
540.75,538.5,2025-10-27,544.0,643617,537.0
541.2,542.0,2025-10-28,543.2,2511759,536.65
553.85,542.0,2025-10-29,555.9,1653604,537.1
549.6,557.0,2025-10-30,557.0,1211602,548.1
545.25,550.0,2025-10-31,550.8,777245,544.1
549.85,545.55,2025-11-03,553.0,639776,544.25
542.5,549.85,2025-11-04,551.0,711007,539.35
519.35,541.8,2025-11-06,541.8,4558191,518.0
521.7,519.55,2025-11-07,523.5,1513467,515.8
521.35,525.9,2025-11-10,526.55,1023573,520.35
522.9,522.1,2025-11-11,524.1,3241835,515.85
530.45,530.0,2025-11-12,538.5,4975992,524.7
523.9,534.05,2025-11-13,534.85,861847,522.8
518.85,525.0,2025-11-14,525.0,1470642,516.55
518.15,518.85,2025-11-17,521.95,1443272,517.1
522.6,518.15,2025-11-18,526.0,3630058,512.0
517.55,525.4,2025-11-19,528.4,1589480,516.0
515.4,519.9,2025-11-20,519.9,3145380,513.4
511.2,515.35,2025-11-21,519.35,3148760,510.0
514.95,511.45,2025-11-24,519.45,36866483,507.45
512.5,513.5,2025-11-25,518.45,1781603,510.5
518.6,513.5,2025-11-26,523.9,1680398,512.7
514.05,518.65,2025-11-27,520.45,846809,513.0
511.25,515.0,2025-11-28,515.9,599724,510.3
505.8,513.1,2025-12-01,513.8,1280746,504.3
503.4,504.3,2025-12-02,506.8,2726576,502.45
506.5,504.0,2025-12-03,508.95,1477035,500.4
512.7,506.5,2025-12-04,515.1,1718268,506.45
511.05,510.5,2025-12-05,514.35,2120474,507.1
500.15,508.25,2025-12-08,511.2,2824676,497.0
505.65,498.0,2025-12-09,509.5,2303371,493.35
503.25,505.6,2025-12-10,513.0,954403,501.45
505.95,505.0,2025-12-11,508.0,594838,501.85
505.5,507.9,2025-12-12,507.9,1402759,498.55
502.75,506.0,2025-12-15,506.0,381813,501.55
499.6,502.75,2025-12-16,503.4,1094602,497.6
496.35,499.0,2025-12-17,502.2,642928,495.0
498.25,496.35,2025-12-18,499.4,1027471,490.55
501.35,500.4,2025-12-19,502.4,656526,496.1
508.4,503.0,2025-12-22,509.7,544519,501.85
512.6,510.7,2025-12-23,517.0,943869,506.9
508.6,515.05,2025-12-24,515.3,476260,506.75
520.3,509.05,2025-12-26,523.0,2498657,507.85
519.95,524.9,2025-12-29,524.9,3004989,514.95
519.0,520.25,2025-12-30,522.75,2922482,514.25
524.95,518.0,2025-12-31,527.5,1086995,517.35
524.25,527.55,2026-01-01,529.0,515680,521.9
531.8,526.65,2026-01-02,532.7,959087,523.65
528.35,532.5,2026-01-05,534.0,1215043,523.05
529.95,529.0,2026-01-06,531.05,1296041,525.25
532.8,528.0,2026-01-07,534.0,900391,527.5
518.5,532.7,2026-01-08,533.85,1249186,515.1
513.05,516.0,2026-01-09,521.75,1180695,510.35
513.05,510.0,2026-01-12,514.6,1101529,504.45
517.5,514.4,2026-01-13,520.0,945349,511.05
519.5,517.65,2026-01-14,521.1,1234098,512.6
519.7,519.5,2026-01-16,524.0,899884,516.65
514.9,518.0,2026-01-19,521.05,341171,512.8
497.85,514.9,2026-01-20,515.35,1509115,495.05
496.15,498.0,2026-01-21,500.3,1551150,485.65
494.35,498.05,2026-01-22,506.45,2130796,493.35
479.75,495.95,2026-01-23,497.85,2067105,478.0
485.35,481.0,2026-01-27,487.95,1625304,472.75
496.35,484.9,2026-01-28,497.75,2045216,484.0
500.6,499.5,2026-01-29,503.5,829501,492.95
502.25,490.6,2026-01-30,506.95,2721298,486.4
507.85,505.0,2026-02-02,513.05,1356715,496.5
527.9,530.0,2026-02-03,538.95,2317632,519.15
527.15,529.95,2026-02-04,529.95,938863,521.4
522.05,528.4,2026-02-05,528.4,1789564,517.2
509.5,519.65,2026-02-06,519.65,2087933,506.05
513.6,515.0,2026-02-09,516.15,788634,508.25
513.6,512.1,2026-02-10,522.3,1721935,512.1
515.15,515.1,2026-02-11,516.85,678384,510.15
506.85,513.45,2026-02-12,514.5,656800,504.3
498.3,503.0,2026-02-13,503.9,588653,497.0
503.75,497.0,2026-02-16,504.65,321857,494.0
505.5,501.8,2026-02-17,511.9,849521,501.6
506.55,505.55,2026-02-18,508.45,862450,501.5
505.75,507.5,2026-02-19,509.55,1396400,501.1
503.0,503.5,2026-02-20,506.65,500149,501.4
507.05,505.0,2026-02-23,512.45,676014,504.0
505.5,507.05,2026-02-24,507.2,907856,498.8
500.7,506.0,2026-02-25,507.6,837478,498.7
499.85,501.05,2026-02-26,502.6,455187,496.0
495.65,499.0,2026-02-27,501.3,1765303,490.5
479.0,488.95,2026-03-02,489.1,1656198,474.75
462.2,472.0,2026-03-04,473.95,2452543,460.45
479.95,463.45,2026-03-05,482.0,1631195,459.2
479.75,479.0,2026-03-06,489.0,972797,476.2
473.75,470.0,2026-03-09,475.7,1490001,461.0
472.8,479.0,2026-03-10,479.75,1298211,468.45
470.45,476.0,2026-03-11,482.75,1698903,468.0
467.15,468.5,2026-03-12,471.2,3982340,458.45
453.4,465.0,2026-03-13,466.1,1590961,452.0
454.3,453.6,2026-03-16,457.5,2268253,443.5
452.4,458.0,2026-03-17,458.0,1178095,450.1
458.85,455.0,2026-03-18,463.9,3362845,452.55
440.65,454.0,2026-03-19,454.95,1517788,438.4
447.3,443.9,2026-03-20,453.95,1689715,443.55
423.75,442.95,2026-03-23,442.95,2538797,421.45
433.1,435.0,2026-03-24,439.0,2423789,423.4
445.15,443.0,2026-03-25,450.55,1469610,435.7
438.2,441.0,2026-03-27,442.75,2067540,432.85
425.3,431.95,2026-03-30,434.2,3050426,423.5
444.55,437.95,2026-04-01,452.55,1113085,434.0
439.25,438.0,2026-04-02,441.0,1378288,429.0
450.45,441.65,2026-04-06,453.0,1590046,435.8
453.6,449.8,2026-04-07,454.95,1360169,443.3
473.7,465.0,2026-04-08,475.0,1435680,464.5
482.25,473.7,2026-04-09,483.4,1905747,463.85
483.7,485.7,2026-04-10,490.85,1714106,479.2
481.55,476.1,2026-04-13,482.65,743371,467.5
489.2,486.2,2026-04-15,492.4,1349136,484.85
