close,open,date,high,volume,low
5903.0,5730.0,2025-07-04,6368.5,342426,5730.0
5876.0,5906.5,2025-07-07,5928.0,42576,5855.5
5843.5,5893.0,2025-07-08,5922.5,95542,5785.0
5989.5,5835.0,2025-07-09,6025.5,66838,5831.5
5952.5,5980.0,2025-07-10,6067.5,17887,5914.0
5937.0,5940.0,2025-07-11,6021.5,10768,5894.0
5955.0,5948.0,2025-07-14,5973.0,7330,5900.0
6129.0,5970.0,2025-07-15,6174.0,46875,5963.0
6201.0,6100.0,2025-07-16,6230.0,33371,6100.0
6490.5,6250.0,2025-07-17,6533.5,195827,6201.5
6402.5,6500.0,2025-07-18,6510.5,64594,6345.5
6532.0,6435.0,2025-07-21,6554.0,77096,6414.0
6555.5,6585.0,2025-07-22,6688.0,87516,6520.5
6405.5,6575.0,2025-07-23,6619.5,32889,6370.0
6336.0,6406.5,2025-07-24,6456.5,21793,6283.5
6276.5,6371.5,2025-07-25,6379.0,23018,6190.0
6236.0,6276.5,2025-07-28,6380.0,17540,6210.5
6448.0,6200.5,2025-07-29,6500.0,118747,5954.0
6863.5,6494.0,2025-07-30,7067.0,509760,6466.0
6752.0,6825.0,2025-07-31,6881.0,54212,6606.5
6465.0,6674.0,2025-08-01,6675.0,55890,6417.0
6628.0,6433.0,2025-08-04,6650.0,38577,6405.5
6457.5,6649.0,2025-08-05,6687.0,36047,6401.0
6347.5,6471.0,2025-08-06,6506.5,36006,6255.0
6399.0,6300.0,2025-08-07,6440.0,24727,6277.5
6520.0,6460.5,2025-08-08,6598.0,22558,6380.5
6859.0,6611.0,2025-08-11,7020.0,95962,6505.0
6881.0,6910.0,2025-08-12,6950.0,60841,6750.5
7013.5,6912.0,2025-08-13,7066.0,32866,6881.0
7093.0,6995.5,2025-08-14,7248.5,45640,6890.0
6882.5,7123.0,2025-08-18,7123.0,54888,6710.5
6876.0,6917.0,2025-08-19,6971.5,86965,6793.5
6892.0,6857.0,2025-08-20,6944.5,19561,6780.5
6898.5,6892.0,2025-08-21,6905.0,18209,6784.0
6823.0,6938.0,2025-08-22,6938.0,11136,6800.0
6839.0,6825.0,2025-08-25,6900.0,10168,6803.5
7158.0,6839.0,2025-08-26,7254.5,193047,6755.0
6966.5,7100.0,2025-08-28,7106.0,45338,6890.5
6912.5,6942.5,2025-08-29,6956.0,30750,6860.0
7159.5,6955.0,2025-09-01,7200.0,25319,6852.5
6967.0,7195.5,2025-09-02,7195.5,39185,6915.0
6897.5,6960.0,2025-09-03,6960.0,21594,6850.0
6835.5,7090.0,2025-09-04,7090.0,18622,6790.0
6894.0,6847.0,2025-09-05,6934.0,17983,6766.5
6837.0,6892.0,2025-09-08,6930.0,15166,6810.5
6773.5,6859.5,2025-09-09,6880.0,7024,6750.0
6657.5,6800.5,2025-09-10,6866.0,24790,6556.0
6777.5,6657.5,2025-09-11,6865.0,19456,6657.5
6693.5,6825.0,2025-09-12,6825.0,9297,6675.5
6590.0,6688.0,2025-09-15,6688.0,53848,6525.5
6748.5,6590.0,2025-09-16,6765.0,17260,6590.0
6801.5,6769.5,2025-09-17,6900.0,26672,6752.0
6772.5,6825.0,2025-09-18,6825.0,6215,6751.5
6777.0,6775.0,2025-09-19,6850.0,25568,6705.0
6776.5,6779.5,2025-09-22,6817.5,8949,6733.0
6804.5,6800.0,2025-09-23,6880.0,18221,6779.0
6826.0,6825.0,2025-09-24,6845.0,14930,6660.0
6762.0,6839.0,2025-09-25,6839.0,8285,6704.0
6779.5,6755.0,2025-09-26,6824.5,17972,6555.0
6719.0,6779.0,2025-09-29,6825.0,21982,6662.0
6793.5,6701.0,2025-09-30,6800.0,17510,6598.0
6716.5,6795.0,2025-10-01,6800.0,10964,6662.0
6773.5,6747.0,2025-10-03,6800.0,7130,6669.5
6788.5,6750.0,2025-10-06,6875.5,11941,6750.0
6686.5,6783.0,2025-10-07,6807.5,8881,6662.5
6634.0,6675.0,2025-10-08,6735.0,8252,6597.5
6589.5,6634.0,2025-10-09,6642.0,23099,6565.0
6548.0,6602.0,2025-10-10,6672.5,26064,6480.0
6484.0,6470.0,2025-10-13,6548.0,22085,6431.0
6476.0,6542.0,2025-10-14,6597.0,25667,6433.0
6424.0,6476.5,2025-10-15,6509.0,55260,6401.5
6800.5,6480.0,2025-10-16,6875.0,299643,6423.0
6739.5,6750.5,2025-10-17,6775.0,29402,6645.5
6693.5,6730.0,2025-10-20,6753.5,12914,6651.0
6726.0,6800.0,2025-10-21,6800.0,1799,6640.5
6668.5,6750.0,2025-10-23,6750.0,9917,6600.5
6519.0,6630.0,2025-10-24,6689.5,13227,6499.5
6480.5,6524.0,2025-10-27,6565.5,9295,6455.0
6447.0,6466.0,2025-10-28,6563.0,10741,6425.0
6471.5,6453.0,2025-10-29,6526.0,24381,6324.0
6654.0,6499.0,2025-10-30,6709.0,31451,6402.0
6680.0,6654.0,2025-10-31,6800.0,31673,6620.0
6793.5,6780.0,2025-11-03,6890.0,82286,6729.0
6827.5,6800.0,2025-11-04,6960.0,75136,6778.5
6772.5,6850.0,2025-11-06,6850.0,26840,6724.0
6770.5,6772.5,2025-11-07,6800.0,28375,6610.5
6789.5,7019.5,2025-11-10,7019.5,104344,6610.0
7175.5,6785.0,2025-11-11,7378.5,450473,6785.0
7072.0,7175.5,2025-11-12,7175.5,63020,6978.0
6830.5,7090.0,2025-11-13,7090.5,75163,6790.0
6746.0,6825.5,2025-11-14,6840.0,26197,6688.5
6784.0,6760.0,2025-11-17,6820.0,20613,6750.0
6707.0,6834.0,2025-11-18,6834.0,13994,6660.0
6776.5,6747.5,2025-11-19,6805.0,16599,6704.0
6770.0,6776.5,2025-11-20,6805.0,11914,6700.0
6744.0,6737.5,2025-11-21,6790.5,25265,6632.0
6660.0,6744.0,2025-11-24,6759.0,44563,6530.0
7021.0,6630.0,2025-11-25,7179.5,440301,6630.0
7101.0,7000.0,2025-11-26,7135.0,90347,6945.5
7050.0,7101.0,2025-11-27,7105.0,19658,6962.0
7024.5,7085.0,2025-11-28,7125.0,49323,6937.5
7044.0,7053.0,2025-12-01,7100.0,21648,6966.5
6955.0,7071.5,2025-12-02,7088.5,24311,6882.0
7053.5,6960.0,2025-12-03,7159.5,49146,6830.5
7038.5,7053.5,2025-12-04,7100.0,23366,6985.0
7102.5,7035.0,2025-12-05,7110.5,35753,7025.5
6909.0,7150.0,2025-12-08,7150.0,33936,6876.5
7076.0,6865.0,2025-12-09,7100.0,25464,6723.0
6972.0,7076.0,2025-12-10,7086.0,14380,6925.0
7031.0,6968.0,2025-12-11,7109.0,21548,6911.0
7016.0,7051.0,2025-12-12,7105.0,21045,6982.0
7090.5,7068.0,2025-12-15,7140.5,41417,7029.5
7039.0,7085.0,2025-12-16,7100.0,20479,7010.0
7014.5,7050.5,2025-12-17,7065.0,14534,6936.5
7071.5,7050.0,2025-12-18,7100.0,18576,6878.0
7042.5,7076.0,2025-12-19,7105.0,23667,7002.0
7051.0,7100.0,2025-12-22,7230.0,52702,7011.0
7089.0,7078.5,2025-12-23,7125.0,30809,7020.0
7056.0,7032.0,2025-12-24,7165.0,74883,7002.5
7379.5,7000.5,2025-12-26,7444.0,115817,6941.5
7031.5,7537.0,2025-12-29,7537.0,84257,6970.0
7156.0,6979.5,2025-12-30,7234.0,73181,6855.0
7689.5,7200.0,2025-12-31,7837.0,433578,7167.0
7722.5,7600.0,2026-01-01,7761.5,108494,7459.0
8013.5,7701.0,2026-01-02,8050.0,88550,7617.0
8002.0,8013.0,2026-01-05,8035.5,50086,7904.5
8021.5,7990.0,2026-01-06,8069.0,47112,7914.0
7806.0,7978.0,2026-01-07,8001.0,30622,7770.0
7667.0,7780.5,2026-01-08,7889.0,22679,7632.0
7621.0,7667.0,2026-01-09,7839.0,33844,7540.0
