close,open,date,high,volume,low
1279.7,1297.0,2025-07-22,1299.0,163989,1269.1
1354.9,1261.0,2025-07-23,1374.5,6124371,1253.4
1365.6,1350.1,2025-07-24,1401.3,1309013,1347.3
1308.2,1356.4,2025-07-25,1357.1,301082,1300.2
1273.7,1306.0,2025-07-28,1325.5,214005,1268.4
1238.0,1273.7,2025-07-29,1292.8,335573,1232.0
1239.8,1238.1,2025-07-30,1260.0,361319,1235.4
1248.3,1239.8,2025-07-31,1272.8,302793,1216.2
1246.3,1248.0,2025-08-01,1275.9,166931,1240.0
1237.4,1244.0,2025-08-04,1250.0,233202,1222.8
1242.6,1244.0,2025-08-05,1269.0,105824,1236.9
1209.8,1244.5,2025-08-06,1248.4,232125,1198.0
1244.6,1200.0,2025-08-07,1252.0,214124,1199.8
1237.8,1233.9,2025-08-08,1253.4,153500,1221.0
1259.1,1240.1,2025-08-11,1265.0,146989,1229.6
1301.9,1259.1,2025-08-12,1313.0,484007,1259.0
1296.8,1308.5,2025-08-13,1325.0,429004,1285.2
1334.2,1307.7,2025-08-14,1344.4,608207,1296.9
1346.5,1334.3,2025-08-18,1349.4,264301,1310.2
1347.9,1345.5,2025-08-19,1355.0,222873,1317.0
1363.4,1344.9,2025-08-20,1375.0,191543,1333.0
1395.8,1361.0,2025-08-21,1401.0,255571,1354.0
1398.6,1388.0,2025-08-22,1409.0,261810,1374.0
1387.8,1392.9,2025-08-25,1403.0,149972,1380.2
1363.0,1375.2,2025-08-26,1390.0,133573,1352.0
1343.0,1350.0,2025-08-28,1361.7,107560,1331.5
1399.9,1343.0,2025-08-29,1410.6,803591,1323.1
1403.2,1399.0,2025-09-01,1425.0,496025,1387.0
1391.9,1403.1,2025-09-02,1404.0,231740,1381.0
1382.4,1388.0,2025-09-03,1398.0,202567,1371.0
1356.8,1380.0,2025-09-04,1387.0,173849,1345.0
1340.0,1355.0,2025-09-05,1363.0,61831,1335.6
1336.7,1339.9,2025-09-08,1353.0,98288,1328.1
1305.1,1340.9,2025-09-09,1351.5,314425,1300.9
1296.7,1314.8,2025-09-10,1330.0,209128,1291.4
1298.3,1296.7,2025-09-11,1315.8,78483,1295.0
1292.6,1300.0,2025-09-12,1309.5,188446,1282.0
1322.1,1290.0,2025-09-15,1328.2,394348,1265.0
1323.6,1329.9,2025-09-16,1342.0,253191,1317.5
1360.2,1330.0,2025-09-17,1388.8,551587,1330.0
1388.7,1360.0,2025-09-18,1400.0,449063,1360.0
1363.4,1385.0,2025-09-19,1385.0,203611,1348.0
1360.6,1363.0,2025-09-22,1393.0,122729,1353.1
1357.5,1351.0,2025-09-23,1365.2,96592,1341.5
1391.2,1357.5,2025-09-24,1398.0,345602,1354.2
1416.5,1389.0,2025-09-25,1430.0,444437,1370.0
1377.5,1419.4,2025-09-26,1424.0,322484,1366.9
1335.8,1376.0,2025-09-29,1396.6,202647,1330.0
1353.2,1332.5,2025-09-30,1369.3,281341,1330.0
1400.8,1345.7,2025-10-01,1404.0,229235,1326.0
1410.9,1398.0,2025-10-03,1417.7,238288,1380.0
1399.4,1400.0,2025-10-06,1400.4,91433,1387.3
1392.0,1399.9,2025-10-07,1409.5,142625,1380.8
1375.5,1392.0,2025-10-08,1400.6,60123,1364.4
1381.7,1370.7,2025-10-09,1389.8,82643,1365.8
1380.1,1380.3,2025-10-10,1388.0,59224,1365.1
1407.8,1378.9,2025-10-13,1430.0,746062,1360.2
1370.7,1409.0,2025-10-14,1409.0,138209,1368.0
1390.4,1377.0,2025-10-15,1398.9,56985,1370.3
1392.4,1390.4,2025-10-16,1401.9,89879,1380.1
1288.9,1385.9,2025-10-17,1385.9,630802,1281.2
1286.8,1288.9,2025-10-20,1299.6,409377,1265.0
1295.7,1294.9,2025-10-21,1300.3,20687,1290.8
1333.9,1296.3,2025-10-23,1345.0,511949,1280.0
1422.5,1332.3,2025-10-24,1430.0,2746423,1328.5
1472.2,1422.5,2025-10-27,1490.1,1865447,1415.5
1477.1,1472.2,2025-10-28,1490.0,1144513,1431.9
1403.7,1384.1,2025-10-29,1460.0,1608232,1370.0
1472.0,1404.0,2025-10-30,1483.8,1455294,1390.3
1423.6,1479.0,2025-10-31,1481.7,536676,1406.0
1409.2,1412.7,2025-11-03,1456.4,171173,1399.3
1377.9,1416.0,2025-11-04,1424.5,273581,1375.1
1337.5,1379.1,2025-11-06,1390.9,118585,1333.7
1346.9,1335.0,2025-11-07,1365.0,550597,1291.0
1407.8,1356.0,2025-11-10,1414.0,362437,1341.0
1369.2,1400.0,2025-11-11,1442.0,599031,1365.0
1367.8,1375.6,2025-11-12,1397.0,136342,1362.9
1355.8,1369.9,2025-11-13,1379.9,116166,1350.1
1366.7,1343.0,2025-11-14,1374.5,649022,1343.0
1356.0,1370.0,2025-11-17,1380.0,125144,1351.0
1328.5,1341.0,2025-11-18,1356.0,225027,1310.1
1321.2,1321.0,2025-11-19,1327.2,84063,1308.1
1328.3,1321.0,2025-11-20,1337.5,121617,1306.6
1359.2,1328.3,2025-11-21,1363.0,513808,1324.1
1392.3,1358.1,2025-11-24,1396.0,730590,1353.7
1389.2,1393.0,2025-11-25,1399.8,152389,1378.3
1370.0,1387.0,2025-11-26,1392.5,146205,1354.8
1372.0,1370.0,2025-11-27,1377.0,131703,1350.1
1337.1,1367.9,2025-11-28,1368.0,247273,1324.0
1344.0,1334.9,2025-12-01,1354.7,102641,1333.7
1324.8,1330.6,2025-12-02,1350.0,127347,1317.3
1334.1,1331.4,2025-12-03,1337.9,141771,1311.6
1347.0,1334.1,2025-12-04,1353.5,99054,1313.7
1290.7,1346.0,2025-12-05,1346.0,304196,1284.2
1250.3,1297.3,2025-12-08,1297.3,250530,1245.8
1268.4,1240.3,2025-12-09,1275.0,127738,1232.8
1269.8,1265.0,2025-12-10,1293.8,130575,1259.8
1277.3,1277.0,2025-12-11,1286.9,71453,1251.0
1288.4,1277.3,2025-12-12,1297.3,72779,1275.0
1279.9,1276.8,2025-12-15,1290.6,195952,1250.8
1257.9,1285.6,2025-12-16,1292.2,128870,1232.8
1278.2,1261.9,2025-12-17,1290.5,223989,1246.8
1264.8,1278.0,2025-12-18,1278.0,52205,1255.1
1279.9,1268.0,2025-12-19,1286.6,155355,1255.0
1300.3,1279.0,2025-12-22,1303.6,189489,1260.3
1301.7,1300.3,2025-12-23,1313.8,93782,1281.7
1303.1,1299.0,2025-12-24,1317.8,102202,1294.1
1261.6,1303.1,2025-12-26,1317.8,330781,1248.7
1281.4,1263.0,2025-12-29,1294.0,394239,1263.0
1235.7,1274.0,2025-12-30,1309.0,538901,1228.9
1273.6,1244.3,2025-12-31,1280.0,172376,1237.9
1259.1,1267.3,2026-01-01,1280.0,274086,1251.1
1287.7,1261.6,2026-01-02,1308.5,291572,1259.0
1331.3,1295.0,2026-01-05,1345.0,596293,1295.0
1327.5,1334.9,2026-01-06,1339.9,571845,1296.0
1340.0,1339.5,2026-01-07,1369.0,791073,1297.2
1336.7,1340.0,2026-01-08,1349.4,308462,1325.0
1325.0,1329.0,2026-01-09,1343.0,265517,1318.2
1291.2,1318.5,2026-01-12,1325.7,239179,1288.4
1288.7,1307.0,2026-01-13,1317.5,325026,1275.1
1284.1,1295.3,2026-01-14,1324.4,272566,1278.9
1299.4,1284.1,2026-01-16,1306.9,149824,1284.1
1282.1,1304.4,2026-01-19,1315.6,301767,1273.2
1242.6,1285.0,2026-01-20,1285.0,288675,1207.9
1355.2,1309.0,2026-01-21,1422.3,19755353,1280.1
1449.8,1369.0,2026-01-22,1496.7,10684729,1360.3
1392.7,1435.0,2026-01-23,1463.8,4522919,1373.7
1320.6,1390.0,2026-01-27,1402.6,1160480,1313.6
1292.3,1329.9,2026-01-28,1338.1,614510,1284.4
1268.0,1300.0,2026-01-29,1300.0,407550,1240.2
1326.5,1268.0,2026-01-30,1357.9,1878383,1268.0
1245.0,1273.3,2026-02-02,1299.0,403927,1225.6
1321.4,1290.0,2026-02-03,1400.5,484099,1285.0
1334.9,1322.0,2026-02-04,1359.0,385089,1318.7
1290.9,1342.0,2026-02-05,1355.0,213333,1286.2
1289.9,1295.8,2026-02-06,1326.9,234617,1281.6
1282.3,1295.4,2026-02-09,1303.0,170949,1274.8
1284.6,1290.0,2026-02-10,1299.9,210499,1262.6
1272.2,1290.0,2026-02-11,1295.0,136844,1267.0
1267.8,1272.2,2026-02-12,1279.2,157439,1248.1
1270.0,1267.5,2026-02-13,1272.8,113560,1245.0
1253.7,1262.0,2026-02-16,1273.1,126369,1247.0
1257.7,1259.0,2026-02-17,1270.0,96457,1245.8
1276.6,1257.8,2026-02-18,1291.0,285902,1257.8
1280.2,1276.6,2026-02-19,1286.8,192044,1269.2
1285.9,1280.2,2026-02-20,1291.9,140736,1267.0
1294.3,1295.9,2026-02-23,1333.8,354667,1280.0
1279.3,1285.0,2026-02-24,1295.0,147554,1275.7
1306.3,1279.2,2026-02-25,1310.0,268714,1274.0
1338.8,1310.0,2026-02-26,1349.0,352011,1300.0
1265.2,1316.3,2026-02-27,1327.8,865829,1239.5
1210.9,1226.0,2026-03-02,1238.9,362947,1188.4
1225.5,1200.0,2026-03-04,1269.0,659171,1194.0
1210.8,1225.9,2026-03-05,1250.0,361456,1193.1
1202.8,1208.0,2026-03-06,1230.0,186477,1191.0
1154.2,1182.8,2026-03-09,1189.0,211645,1131.0
1216.8,1184.6,2026-03-10,1225.7,317396,1171.2
1195.3,1213.0,2026-03-11,1228.5,101695,1188.0
1177.2,1189.4,2026-03-12,1198.3,216950,1151.0
