close,open,date,high,volume,low
350.25,348.0,2025-07-03,354.65,1217394,345.8
355.05,351.25,2025-07-04,356.3,1564163,350.15
351.55,355.05,2025-07-07,358.0,1110333,349.15
343.45,351.55,2025-07-08,351.95,2596736,342.4
342.8,343.45,2025-07-09,345.75,963557,341.5
343.8,345.8,2025-07-10,345.8,1421482,342.0
335.65,343.9,2025-07-11,343.9,1663456,333.5
338.65,336.0,2025-07-14,339.95,2419646,334.75
351.85,339.5,2025-07-15,353.15,3626870,339.5
350.25,350.0,2025-07-16,353.25,1553436,347.4
349.6,351.0,2025-07-17,352.4,2360948,348.0
343.85,350.5,2025-07-18,351.95,1798748,343.2
341.15,344.95,2025-07-21,344.95,1282305,337.85
335.95,341.3,2025-07-22,341.5,3615808,333.05
340.0,336.95,2025-07-23,343.0,2419048,334.85
334.15,339.8,2025-07-24,339.8,1276774,333.2
328.95,334.5,2025-07-25,334.5,1536672,328.0
331.2,328.75,2025-07-28,333.95,861761,326.8
327.7,329.0,2025-07-29,330.55,1266410,325.3
324.15,330.45,2025-07-30,330.8,2089982,320.75
323.0,322.95,2025-07-31,325.8,1568950,320.5
321.2,322.6,2025-08-01,324.95,1483613,320.45
327.1,321.8,2025-08-04,327.6,1375813,319.65
323.25,327.1,2025-08-05,327.1,2867169,321.05
319.0,322.95,2025-08-06,324.05,2591418,317.6
319.35,319.0,2025-08-07,322.75,2424367,317.0
319.7,315.0,2025-08-08,323.0,3901406,315.0
317.85,318.1,2025-08-11,320.3,1767812,314.0
317.35,317.85,2025-08-12,321.65,1890781,315.2
318.5,317.75,2025-08-13,321.1,1579937,316.75
319.8,320.0,2025-08-14,324.25,1246603,319.4
325.45,325.1,2025-08-18,329.1,2116903,324.15
329.5,325.8,2025-08-19,330.7,1781293,322.5
328.35,329.9,2025-08-20,330.3,2274711,326.1
320.85,330.9,2025-08-21,330.9,2354813,319.95
316.7,320.85,2025-08-22,326.0,2224130,316.0
322.9,318.2,2025-08-25,323.95,2048986,316.6
324.95,323.0,2025-08-26,327.3,2854082,321.25
324.05,324.95,2025-08-28,326.3,1777977,319.8
330.0,323.05,2025-08-29,334.4,3392084,323.05
335.15,331.2,2025-09-01,336.4,1345273,331.05
333.7,337.05,2025-09-02,337.5,1224187,331.25
332.6,335.0,2025-09-03,335.15,1280428,330.7
327.85,337.0,2025-09-04,337.0,1544039,326.5
327.6,327.8,2025-09-05,329.8,1589492,325.25
327.0,328.6,2025-09-08,335.0,1199089,325.25
321.95,328.0,2025-09-09,328.05,1939329,321.0
317.8,324.5,2025-09-10,325.4,3439176,317.0
315.2,319.0,2025-09-11,320.15,3190684,314.25
314.45,318.1,2025-09-12,318.1,1571326,313.55
311.85,315.15,2025-09-15,319.45,3227840,309.6
313.95,312.8,2025-09-16,315.0,1968239,311.0
315.05,315.6,2025-09-17,318.75,1842251,313.65
316.85,319.0,2025-09-18,319.0,1630108,314.7
313.95,317.95,2025-09-19,317.95,1453920,313.0
308.75,314.0,2025-09-22,314.5,2438609,307.1
305.35,309.3,2025-09-23,309.6,2832595,302.5
300.05,305.05,2025-09-24,306.6,2221061,299.0
299.25,300.0,2025-09-25,300.9,4969829,295.4
292.6,299.25,2025-09-26,300.05,5080459,290.35
293.65,294.9,2025-09-29,295.6,2414846,292.1
291.3,294.0,2025-09-30,295.5,4550209,286.0
293.1,291.35,2025-10-01,294.55,2403173,289.3
295.2,295.0,2025-10-03,296.05,2633199,292.35
289.05,297.85,2025-10-06,297.85,2671943,288.1
287.5,290.0,2025-10-07,291.1,2004020,286.1
285.95,289.8,2025-10-08,289.8,3609043,285.0
284.55,287.4,2025-10-09,287.95,4736898,283.15
287.75,286.4,2025-10-10,290.5,2686053,284.8
284.5,288.55,2025-10-13,288.55,2656931,283.4
280.1,285.2,2025-10-14,286.4,5279016,278.0
288.4,282.3,2025-10-15,288.95,3813531,281.35
288.6,290.0,2025-10-16,291.35,2388997,285.35
287.5,289.0,2025-10-17,291.3,1778582,286.0
287.05,289.05,2025-10-20,289.1,2852534,285.85
288.6,290.15,2025-10-21,290.3,318168,287.6
290.95,290.0,2025-10-23,293.05,2839746,287.65
293.35,292.75,2025-10-24,294.5,3224313,289.0
292.05,296.9,2025-10-27,296.9,3112928,291.5
290.3,292.8,2025-10-28,293.0,4533574,287.5
291.05,291.45,2025-10-29,292.5,2939138,288.75
286.65,291.0,2025-10-30,291.7,3894928,284.7
282.7,286.65,2025-10-31,289.3,4577706,281.95
284.1,282.7,2025-11-03,285.4,3215109,280.85
283.25,285.0,2025-11-04,286.0,2340525,282.4
278.55,283.5,2025-11-06,284.35,2344095,276.4
277.15,273.0,2025-11-07,279.8,6292556,269.1
280.3,277.15,2025-11-10,286.35,5652838,276.05
279.1,280.4,2025-11-11,280.95,2263086,273.65
281.3,280.15,2025-11-12,282.65,4617350,278.3
278.6,282.65,2025-11-13,282.7,2083208,276.35
276.15,278.45,2025-11-14,279.6,3368751,274.35
274.35,276.15,2025-11-17,278.2,1786175,273.65
273.1,274.45,2025-11-18,277.9,2176991,271.15
274.3,273.75,2025-11-19,275.25,2675917,272.8
270.0,275.95,2025-11-20,275.95,2348660,268.9
267.35,269.95,2025-11-21,271.25,1797104,265.95
265.4,267.95,2025-11-24,269.85,1795957,265.0
265.05,265.0,2025-11-25,265.55,2618236,262.15
268.35,265.95,2025-11-26,271.85,2945617,264.4
266.65,269.05,2025-11-27,269.25,1488268,266.15
265.35,266.75,2025-11-28,267.8,1077848,264.6
262.45,266.0,2025-12-01,267.15,2493309,261.6
260.9,263.75,2025-12-02,264.7,1457185,260.25
255.85,260.9,2025-12-03,261.8,4895978,255.25
258.9,255.1,2025-12-04,261.8,1906296,255.1
260.1,260.05,2025-12-05,263.35,2322140,257.5
252.7,260.1,2025-12-08,260.5,1788625,251.55
253.15,252.3,2025-12-09,254.85,1704967,250.1
249.9,253.5,2025-12-10,256.3,2069091,249.0
251.5,249.95,2025-12-11,252.55,1659999,248.4
254.1,251.9,2025-12-12,255.25,1205605,250.3
253.05,254.0,2025-12-15,254.0,757160,251.2
252.45,252.8,2025-12-16,254.7,1629647,251.55
249.15,253.15,2025-12-17,253.6,1706218,248.0
255.65,250.6,2025-12-18,264.3,15018319,250.0
255.6,255.65,2025-12-19,256.95,3766354,250.75
259.1,259.95,2025-12-22,260.6,3417868,256.95
259.7,260.9,2025-12-23,261.35,2771302,257.45
257.4,260.0,2025-12-24,261.0,1650819,256.75
256.85,257.4,2025-12-26,259.2,1421040,255.75
255.4,257.9,2025-12-29,258.0,1235378,253.8
251.6,255.0,2025-12-30,255.4,2674749,250.6
