close,open,date,high,volume,low
209.09,211.87,2025-08-11,213.12,1098369,207.51
208.68,209.0,2025-08-12,210.88,1066090,207.76
210.73,210.0,2025-08-13,214.79,1505234,210.0
211.32,211.05,2025-08-14,213.28,1093685,209.76
213.85,213.5,2025-08-18,217.0,935920,211.6
212.37,214.45,2025-08-19,214.59,785690,211.1
213.57,214.98,2025-08-20,216.85,1191955,212.63
216.19,213.0,2025-08-21,218.3,1136238,212.23
211.66,218.5,2025-08-22,218.9,1729985,211.1
204.64,211.8,2025-08-25,212.35,3157878,203.8
202.56,203.99,2025-08-26,204.88,2364911,199.56
198.54,201.79,2025-08-28,202.38,1712294,197.39
196.05,198.0,2025-08-29,200.2,924209,195.16
197.33,194.16,2025-09-01,198.5,1156163,194.16
200.74,198.6,2025-09-02,201.58,648184,197.33
197.98,200.9,2025-09-03,201.68,1986817,195.76
194.05,198.2,2025-09-04,199.24,990421,193.5
200.07,194.9,2025-09-05,201.36,2110513,194.29
197.24,201.1,2025-09-08,204.01,2075313,196.05
201.0,198.78,2025-09-09,202.69,2632537,198.78
202.64,201.55,2025-09-10,203.96,1836311,199.55
201.66,201.1,2025-09-11,203.45,3322831,200.07
204.37,202.6,2025-09-12,205.98,2105289,201.1
206.4,204.24,2025-09-15,207.69,1202142,203.1
203.84,206.8,2025-09-16,208.59,4461835,203.6
203.36,205.0,2025-09-17,206.32,1605638,202.6
207.49,204.3,2025-09-18,208.8,3259292,202.8
211.91,207.49,2025-09-19,212.75,2789034,206.16
206.21,211.16,2025-09-22,211.9,1091053,205.53
205.01,206.79,2025-09-23,208.33,1098427,204.35
211.08,206.15,2025-09-24,212.4,2404127,205.75
212.65,212.0,2025-09-25,213.82,2525337,210.56
207.65,212.8,2025-09-26,212.8,1501441,205.41
210.15,208.63,2025-09-29,210.85,1597422,205.8
213.73,210.15,2025-09-30,214.0,1860071,208.05
212.04,213.0,2025-10-01,214.78,1440650,209.3
215.34,211.99,2025-10-03,217.0,1627940,210.55
