close,open,date,high,volume,low
3338.0,3358.0,2025-07-02,3367.8,211985,3312.4
3332.9,3343.0,2025-07-03,3383.0,287404,3318.3
3342.0,3332.9,2025-07-04,3368.8,230777,3317.6
3436.1,3350.4,2025-07-07,3442.5,626858,3330.3
3478.0,3455.0,2025-07-08,3483.0,690654,3414.0
3523.9,3495.0,2025-07-09,3555.0,948964,3478.9
3518.9,3545.0,2025-07-10,3545.0,364230,3503.2
3546.4,3519.0,2025-07-11,3569.0,791838,3496.0
3523.8,3567.0,2025-07-14,3567.0,405403,3465.0
3576.5,3532.0,2025-07-15,3584.0,860744,3501.0
3567.6,3590.0,2025-07-16,3599.0,389532,3552.2
3584.8,3579.9,2025-07-17,3605.0,494777,3547.6
3536.0,3559.0,2025-07-18,3569.2,391491,3511.0
3617.9,3536.1,2025-07-21,3632.0,426607,3515.0
3587.4,3628.0,2025-07-22,3628.0,352113,3555.6
3616.4,3588.4,2025-07-23,3625.1,630663,3548.1
3563.7,3616.4,2025-07-24,3633.0,433746,3555.0
3535.1,3563.1,2025-07-25,3579.1,395036,3520.0
3529.4,3535.9,2025-07-28,3574.0,370703,3481.5
3535.2,3514.7,2025-07-29,3568.7,561592,3514.7
3581.9,3539.0,2025-07-30,3590.0,479098,3488.3
3555.5,3525.0,2025-07-31,3596.9,610344,3502.0
3568.7,3559.9,2025-08-01,3617.2,459708,3539.5
3566.8,3568.7,2025-08-04,3580.0,507506,3510.1
3591.5,3566.0,2025-08-05,3604.2,634486,3494.2
3635.7,3638.0,2025-08-06,3672.6,899245,3599.8
3674.0,3634.2,2025-08-07,3715.0,545750,3572.9
3806.9,3780.0,2025-08-08,3900.1,3620871,3658.0
3792.3,3806.9,2025-08-11,3822.4,658493,3760.0
3759.9,3794.5,2025-08-12,3808.5,566377,3750.3
3792.1,3765.9,2025-08-13,3824.0,557455,3761.0
3784.5,3807.7,2025-08-14,3823.0,373609,3771.0
3783.4,3818.3,2025-08-18,3850.7,442925,3777.8
3752.0,3797.0,2025-08-19,3797.0,433016,3733.5
3818.4,3756.5,2025-08-20,3836.0,559993,3729.5
3886.3,3838.4,2025-08-21,3900.0,702208,3814.0
3916.0,3904.0,2025-08-22,3932.0,558580,3875.0
3880.5,3930.8,2025-08-25,3930.8,307872,3870.2
3836.5,3880.0,2025-08-26,3881.1,464841,3815.0
3835.2,3836.6,2025-08-28,3857.0,678197,3777.3
3826.2,3855.0,2025-08-29,3903.9,430848,3819.8
3880.1,3826.0,2025-09-01,3907.1,322056,3814.6
3826.4,3900.0,2025-09-02,3911.9,426290,3820.8
3885.2,3877.0,2025-09-03,3899.0,495601,3792.0
3935.6,3908.9,2025-09-04,3959.5,554427,3871.6
3936.8,3949.0,2025-09-05,3974.4,273518,3902.1
3966.6,3957.5,2025-09-08,3993.5,353699,3928.4
4012.0,3970.0,2025-09-09,4028.8,680881,3952.2
4021.3,4064.0,2025-09-10,4095.0,600890,4012.0
4039.7,4016.0,2025-09-11,4058.9,438738,3997.0
4030.4,4046.0,2025-09-12,4057.3,362283,4017.3
4050.8,4059.9,2025-09-15,4079.0,339900,4040.0
4111.0,4060.0,2025-09-16,4118.7,485082,4035.3
4125.4,4115.0,2025-09-17,4140.0,362468,4075.0
4101.0,4137.0,2025-09-18,4168.7,258901,4092.6
4080.4,4105.0,2025-09-19,4122.0,421987,4065.4
3990.1,4092.0,2025-09-22,4114.5,274057,3982.5
4005.2,3990.0,2025-09-23,4027.7,203423,3981.4
3988.9,4005.2,2025-09-24,4027.5,160301,3980.1
3976.9,3990.1,2025-09-25,4044.9,209955,3967.8
3947.6,3981.0,2025-09-26,4006.0,245108,3926.7
3994.2,3947.6,2025-09-29,4010.3,355702,3930.0
3926.5,4000.7,2025-09-30,4000.7,669486,3874.8
3849.0,3926.0,2025-10-01,3936.0,331424,3845.0
3932.7,3849.4,2025-10-03,3950.7,432544,3833.0
3943.0,3934.0,2025-10-06,3967.2,289896,3921.1
3967.4,3944.0,2025-10-07,3980.0,186948,3902.8
3912.5,3956.5,2025-10-08,3964.6,255169,3882.5
3957.2,3910.2,2025-10-09,3979.0,189514,3903.2
3966.0,3961.8,2025-10-10,4030.0,532967,3900.1
3957.0,3948.0,2025-10-13,3970.0,217474,3917.0
3945.2,3957.0,2025-10-14,3974.2,132397,3927.7
3957.4,3945.2,2025-10-15,3992.0,136188,3940.2
3940.6,3960.0,2025-10-16,4007.5,299762,3932.1
3974.9,3952.5,2025-10-17,4019.0,249277,3947.7
4006.4,3994.9,2025-10-20,4033.6,447858,3975.3
4000.9,4030.0,2025-10-21,4030.0,19931,3975.0
4073.9,4020.0,2025-10-23,4100.0,656348,4001.0
4183.2,4079.9,2025-10-24,4205.6,953394,4055.3
4311.5,4220.0,2025-10-27,4324.0,784380,4195.5
4285.6,4309.4,2025-10-28,4328.7,579342,4269.4
4357.9,4293.0,2025-10-29,4366.2,410367,4271.1
4384.2,4357.9,2025-10-30,4398.4,444822,4310.0
4344.1,4392.0,2025-10-31,4399.7,677463,4333.0
4379.7,4346.0,2025-11-03,4402.9,599569,4344.4
4316.8,4360.3,2025-11-04,4362.4,379236,4290.7
4316.1,4309.1,2025-11-06,4364.8,693125,4244.2
4291.8,4399.9,2025-11-07,4495.0,1894670,4251.0
4349.2,4300.1,2025-11-10,4375.0,754664,4256.7
4414.2,4349.1,2025-11-11,4420.0,395014,4290.9
4395.4,4420.0,2025-11-12,4423.9,617858,4370.0
4366.2,4367.5,2025-11-13,4450.0,405072,4350.0
4283.2,4363.3,2025-11-14,4363.3,484468,4263.0
4381.2,4289.9,2025-11-17,4389.8,525370,4287.9
4252.4,4381.7,2025-11-18,4386.0,463826,4245.0
4261.3,4260.0,2025-11-19,4266.7,445363,4183.3
4375.7,4290.0,2025-11-20,4394.7,941176,4278.0
4333.8,4375.7,2025-11-21,4384.9,408438,4315.6
4299.0,4349.8,2025-11-24,4389.9,1095485,4278.9
4311.3,4300.0,2025-11-25,4336.5,311670,4286.8
4408.2,4325.5,2025-11-26,4420.0,393579,4311.5
4449.4,4418.0,2025-11-27,4463.8,797775,4358.0
4479.3,4450.0,2025-11-28,4518.6,764869,4401.1
4544.2,4490.0,2025-12-01,4553.2,421940,4480.1
4514.5,4544.2,2025-12-02,4574.0,448981,4500.0
4514.1,4515.0,2025-12-03,4527.0,410207,4450.3
4459.3,4525.0,2025-12-04,4552.5,339985,4430.0
4468.9,4459.3,2025-12-05,4491.3,560759,4437.7
4467.0,4471.0,2025-12-08,4535.0,451510,4439.3
4479.1,4460.1,2025-12-09,4496.0,405777,4412.1
4535.7,4490.0,2025-12-10,4568.9,520273,4477.0
4531.9,4535.7,2025-12-11,4588.3,485927,4511.0
4600.2,4549.0,2025-12-12,4615.0,465150,4530.0
4539.9,4545.0,2025-12-15,4598.5,326631,4512.3
4494.3,4550.0,2025-12-16,4551.5,286429,4470.3
4512.7,4498.0,2025-12-17,4532.9,259526,4480.7
4385.4,4515.0,2025-12-18,4515.0,518494,4353.0
4410.4,4380.0,2025-12-19,4426.6,507355,4338.6
4519.9,4425.7,2025-12-22,4532.9,306066,4405.1
4503.2,4539.9,2025-12-23,4541.4,282637,4484.1
4417.4,4480.0,2025-12-24,4537.2,259926,4391.1
4346.4,4400.6,2025-12-26,4433.6,388141,4339.1
4402.2,4340.0,2025-12-29,4453.3,477997,4316.0
4389.9,4402.0,2025-12-30,4471.3,2372971,4360.0
4434.4,4365.0,2025-12-31,4459.9,288657,4365.0
4470.6,4439.0,2026-01-01,4504.9,289174,4420.3
4482.1,4484.0,2026-01-02,4493.4,269527,4441.1
4309.8,4488.0,2026-01-05,4515.8,492433,4286.2
4130.3,4309.8,2026-01-06,4326.2,1031214,4117.0
4147.9,4130.3,2026-01-07,4173.0,778593,4120.4
4118.0,4148.0,2026-01-08,4235.0,1117650,4096.0
4116.7,4120.1,2026-01-09,4193.5,929594,4100.4
3974.7,4032.3,2026-01-12,4091.3,1559613,3893.0
3977.8,3970.0,2026-01-13,4008.5,693509,3929.1
4029.2,3970.0,2026-01-14,4038.4,853871,3946.0
4062.0,3975.0,2026-01-16,4076.4,404603,3970.1
4031.3,4061.9,2026-01-19,4061.9,341836,4001.0
4020.9,4034.0,2026-01-20,4062.0,440629,4000.0
4000.7,4020.9,2026-01-21,4034.2,385165,3931.9
4067.8,4015.0,2026-01-22,4079.8,454883,3997.5
3930.4,4108.0,2026-01-23,4108.0,441947,3917.8
3928.3,3933.2,2026-01-27,3974.9,473955,3883.1
4024.0,3929.0,2026-01-28,4037.3,494698,3929.0
4045.8,4038.9,2026-01-29,4069.9,680888,3982.2
4112.5,4040.1,2026-01-30,4125.0,718670,4020.3
4092.3,4020.0,2026-02-02,4102.1,498551,3975.2
4165.8,4185.0,2026-02-03,4368.0,689244,4146.8
4202.3,4170.0,2026-02-04,4231.0,415811,4041.4
4391.4,4088.0,2026-02-05,4418.0,1692136,4032.0
4368.4,4319.1,2026-02-06,4384.4,575249,4231.7
4427.5,4371.8,2026-02-09,4439.5,531637,4368.4
4418.3,4416.1,2026-02-10,4427.7,660042,4328.4
4363.2,4418.0,2026-02-11,4469.9,291346,4349.6
4429.3,4384.0,2026-02-12,4441.7,360796,4342.6
4412.4,4425.0,2026-02-13,4491.9,512643,4395.2
4524.8,4412.4,2026-02-16,4540.0,346855,4378.2
4597.8,4548.1,2026-02-17,4610.3,482521,4495.7
4725.8,4610.0,2026-02-18,4786.4,1146625,4604.1
4646.0,4702.4,2026-02-19,4765.0,455504,4628.0
4733.9,4640.0,2026-02-20,4774.8,779559,4619.5
4884.3,4797.9,2026-02-23,4900.0,1570603,4769.9
4910.4,4860.0,2026-02-24,4941.9,672139,4830.2
4918.5,4930.0,2026-02-25,4957.0,708623,4872.7
4962.8,4944.0,2026-02-26,4975.0,346327,4916.3
4898.3,4982.0,2026-02-27,4987.0,944558,4869.0
4816.8,4753.0,2026-03-02,4895.0,499980,4753.0
4584.8,4661.1,2026-03-04,4757.7,899617,4563.5
4791.4,4629.0,2026-03-05,4806.9,957444,4620.0
4800.7,4791.4,2026-03-06,4924.4,892005,4755.6
4691.3,4740.0,2026-03-09,4750.0,360922,4621.8
4718.0,4780.0,2026-03-10,4909.5,557032,4655.2
4630.7,4718.0,2026-03-11,4818.7,457625,4613.6
4753.6,4626.0,2026-03-12,4781.3,962205,4518.0
4649.7,4710.0,2026-03-13,4732.8,1324555,4621.5
4589.7,4631.0,2026-03-16,4691.5,1003879,4478.1
4596.4,4633.0,2026-03-17,4656.0,610452,4565.0
4717.6,4599.9,2026-03-18,4764.0,796065,4597.1
4505.7,4660.0,2026-03-19,4669.9,580101,4486.7
4615.3,4526.0,2026-03-20,4654.9,878443,4525.0
4518.0,4581.0,2026-03-23,4583.9,972428,4394.0
4619.6,4525.0,2026-03-24,4670.8,911230,4525.0
4738.6,4635.0,2026-03-25,4775.0,664695,4635.0
4631.5,4730.6,2026-03-27,4734.0,4040019,4570.0
4500.1,4551.0,2026-03-30,4649.7,1251680,4455.9
4609.1,4640.0,2026-04-01,4670.2,598276,4544.2
4646.5,4593.0,2026-04-02,4670.0,674542,4470.0
4698.3,4680.2,2026-04-06,4746.3,655461,4620.0
4638.9,4692.0,2026-04-07,4700.0,526009,4562.3
4796.3,4790.0,2026-04-08,4824.0,1102496,4710.4
4907.4,4814.9,2026-04-09,4915.9,1021588,4765.0
5138.7,4961.0,2026-04-10,5154.9,1308552,4908.6
4991.4,5030.0,2026-04-13,5116.8,869786,4982.0
5003.4,5090.0,2026-04-15,5120.0,806914,4986.6
5038.2,5024.0,2026-04-16,5055.0,666008,4951.0
5140.9,5043.0,2026-04-17,5179.9,529710,5011.2
5200.3,5174.0,2026-04-20,5216.9,616937,5067.6
5116.4,5215.0,2026-04-21,5272.7,717933,5090.4
5211.8,5100.0,2026-04-22,5235.0,503337,5079.4
5176.9,5200.0,2026-04-23,5269.0,500090,5155.7
5232.0,5179.0,2026-04-24,5250.0,495775,5102.1
5233.2,5264.5,2026-04-27,5308.7,601902,5200.0
5258.0,5260.0,2026-04-28,5286.8,341686,5195.1
5288.0,5288.0,2026-04-29,5324.8,328892,5251.3
5266.4,5279.7,2026-04-30,5308.8,448330,5120.0
5289.0,5300.0,2026-05-04,5349.0,386727,5238.5
5260.0,5295.0,2026-05-05,5295.0,304874,5227.5
5324.5,5331.5,2026-05-06,5355.5,343679,5230.5
5403.0,5352.5,2026-05-07,5424.0,496602,5317.5
5401.0,5415.0,2026-05-08,5470.5,528649,5381.0
5238.5,5350.0,2026-05-11,5350.0,477092,5191.0
5160.0,5265.0,2026-05-12,5265.0,403954,5147.5
5212.0,5170.0,2026-05-13,5270.0,590903,5147.5
5367.0,5257.0,2026-05-14,5383.0,324086,5229.0
5392.0,5386.5,2026-05-15,5430.0,436432,5322.0
5298.5,5360.0,2026-05-18,5360.0,275007,5228.5
5254.0,5285.0,2026-05-19,5361.0,322706,5238.0
5399.5,5214.0,2026-05-20,5419.0,444634,5183.0
5390.0,5427.0,2026-05-21,5454.0,338858,5361.0
5353.0,5375.0,2026-05-22,5419.0,230767,5335.5
5382.0,5419.0,2026-05-25,5419.5,284889,5337.5
5418.5,5360.0,2026-05-26,5442.0,304814,5359.0
6027.5,5414.0,2026-05-27,6099.0,1722262,5402.5
5881.0,6100.0,2026-05-29,6100.0,2020815,5855.5
5680.5,5979.5,2026-06-01,5979.5,597518,5662.5
5708.0,5665.0,2026-06-02,5764.5,702121,5607.0
5692.5,5741.0,2026-06-03,5749.0,384967,5657.0
5787.5,5700.0,2026-06-04,5867.5,502845,5662.5
5784.0,5845.0,2026-06-05,5869.0,381090,5750.0
5610.5,5650.0,2026-06-08,5740.5,483842,5556.5
5625.5,5635.0,2026-06-09,5691.0,485174,5561.0
5609.5,5626.0,2026-06-10,5699.0,276872,5560.0
5557.0,5590.5,2026-06-11,5709.5,249688,5541.0
5621.5,5650.0,2026-06-12,5663.5,249004,5570.0
5754.0,5700.0,2026-06-15,5787.5,409781,5630.0
5723.5,5798.0,2026-06-16,5813.5,257257,5700.5
5833.0,5758.0,2026-06-17,5850.0,338488,5725.0
5858.0,5855.0,2026-06-18,5887.0,311191,5816.0
5865.0,5875.0,2026-06-19,5908.0,323514,5805.0
5764.0,5795.5,2026-06-22,5795.5,591113,5637.0
5735.5,5802.5,2026-06-23,5838.0,440329,5725.5
5555.5,5752.5,2026-06-24,5775.5,425435,5535.5
5642.0,5555.5,2026-06-25,5698.5,479618,5550.5
5541.5,5699.0,2026-06-29,5706.5,1820384,5505.5
5659.5,5582.5,2026-06-30,5699.0,646570,5547.0
5663.0,5695.0,2026-07-01,5740.0,227454,5614.5
5578.5,5680.5,2026-07-02,5690.0,325685,5555.0
5478.0,5690.0,2026-07-03,5690.0,787931,5454.5
5578.5,5479.0,2026-07-06,5594.0,429434,5476.0
5471.5,5569.0,2026-07-07,5578.5,592182,5424.0
5498.5,5425.0,2026-07-08,5561.0,392516,5381.0
