close,open,date,high,volume,low
1305.4,1295.0,2025-07-15,1317.7,509181,1291.4
1304.0,1305.4,2025-07-16,1316.6,244584,1300.1
1296.4,1305.0,2025-07-17,1306.0,154925,1292.3
1278.6,1291.1,2025-07-18,1296.3,215759,1275.2
1283.1,1278.9,2025-07-21,1288.8,171584,1264.1
1271.2,1281.9,2025-07-22,1290.5,151942,1268.2
1280.3,1271.0,2025-07-23,1287.8,330233,1262.0
1241.6,1281.6,2025-07-24,1285.3,548779,1231.0
1243.2,1213.0,2025-07-25,1301.7,2791955,1206.0
1233.6,1237.0,2025-07-28,1272.9,629314,1221.4
1232.4,1234.0,2025-07-29,1239.3,267349,1210.2
1224.3,1230.0,2025-07-30,1237.1,382810,1220.0
1205.6,1215.0,2025-07-31,1224.0,368176,1202.0
1181.9,1205.6,2025-08-01,1227.0,627523,1178.1
1210.0,1186.0,2025-08-04,1216.4,183401,1181.3
1208.0,1208.9,2025-08-05,1216.3,133379,1201.5
1196.2,1208.0,2025-08-06,1212.0,282617,1183.0
1187.0,1185.1,2025-08-07,1195.4,472544,1167.0
1166.0,1187.0,2025-08-08,1188.0,138851,1161.4
1162.8,1166.0,2025-08-11,1172.0,161640,1154.0
1170.8,1160.1,2025-08-12,1181.9,174828,1160.1
1169.1,1170.8,2025-08-13,1181.0,127261,1165.2
1173.0,1169.1,2025-08-14,1183.2,148077,1168.1
1182.0,1182.8,2025-08-18,1186.5,139194,1170.2
1209.2,1180.0,2025-08-19,1212.2,270368,1176.5
1230.6,1213.1,2025-08-20,1234.9,384273,1206.1
1234.0,1234.0,2025-08-21,1240.8,334676,1223.3
1230.1,1234.0,2025-08-22,1237.4,154561,1224.8
1244.0,1230.1,2025-08-25,1282.5,905587,1227.7
1202.6,1240.0,2025-08-26,1247.2,327308,1200.0
1176.6,1203.1,2025-08-28,1207.1,232769,1170.0
1168.0,1180.0,2025-08-29,1192.0,246542,1164.0
1192.3,1170.9,2025-09-01,1198.0,528378,1168.4
1203.1,1194.9,2025-09-02,1211.0,181681,1191.1
1203.2,1205.0,2025-09-03,1220.1,331925,1186.0
1183.0,1215.4,2025-09-04,1215.5,206874,1180.0
1165.5,1192.7,2025-09-05,1192.7,358280,1156.5
1167.6,1178.0,2025-09-08,1186.0,205136,1164.1
1181.6,1175.0,2025-09-09,1190.3,199380,1171.7
1228.9,1190.0,2025-09-10,1246.5,816346,1187.5
1233.6,1233.0,2025-09-11,1240.0,255985,1218.0
1227.0,1238.0,2025-09-12,1239.8,299807,1222.0
1222.1,1229.9,2025-09-15,1238.0,203868,1220.0
1272.2,1222.1,2025-09-16,1280.5,773882,1220.0
1260.6,1283.0,2025-09-17,1284.7,608084,1256.0
1249.0,1265.9,2025-09-18,1280.2,989382,1241.6
1242.2,1255.0,2025-09-19,1255.0,337406,1237.1
1194.8,1225.0,2025-09-22,1227.0,1085448,1191.2
1197.6,1197.9,2025-09-23,1207.2,337789,1185.5
1180.6,1195.0,2025-09-24,1199.6,176274,1178.2
1170.1,1182.0,2025-09-25,1191.0,139353,1167.6
1134.1,1168.9,2025-09-26,1170.9,346659,1129.9
1148.0,1143.0,2025-09-29,1163.0,326223,1134.5
1146.2,1150.9,2025-09-30,1167.7,389741,1136.9
1149.4,1146.4,2025-10-01,1160.0,303718,1145.3
1170.3,1155.0,2025-10-03,1175.0,328468,1147.1
1180.6,1180.0,2025-10-06,1191.8,830699,1163.2
1178.9,1183.0,2025-10-07,1198.0,404592,1174.7
