close,open,date,high,volume,low
513.1,512.5,2025-07-08,514.4,1995221,510.5
522.15,511.0,2025-07-09,523.45,3433335,511.0
522.4,523.7,2025-07-10,524.4,2272923,517.85
530.85,521.5,2025-07-11,535.9,4512466,518.6
526.2,533.5,2025-07-14,536.5,1428794,524.55
527.0,526.5,2025-07-15,528.9,1243559,523.15
527.95,527.0,2025-07-16,530.35,2301562,525.1
528.7,530.0,2025-07-17,531.7,1537940,526.55
522.6,522.45,2025-07-18,523.4,1616139,518.35
514.55,520.1,2025-07-21,522.15,1172175,513.4
515.05,515.45,2025-07-22,516.5,1471884,511.0
513.85,517.75,2025-07-23,518.5,1898497,510.85
512.55,516.9,2025-07-24,516.9,3715595,511.0
511.35,512.0,2025-07-25,514.0,2132786,508.35
522.0,507.0,2025-07-28,523.95,2759206,507.0
518.3,524.65,2025-07-29,525.6,2646055,514.65
522.0,519.05,2025-07-30,523.25,1616247,517.6
529.0,518.3,2025-07-31,531.75,3024718,517.15
534.35,533.0,2025-08-01,547.7,8042006,531.9
529.65,534.35,2025-08-04,538.85,2602888,528.2
524.7,529.65,2025-08-05,529.65,2027038,521.0
514.0,524.15,2025-08-06,524.15,931299,512.0
517.2,513.75,2025-08-07,519.7,957305,512.1
507.25,518.0,2025-08-08,519.8,510393,506.0
510.05,507.7,2025-08-11,511.55,1123741,499.3
502.9,510.0,2025-08-12,510.95,839972,501.25
503.5,503.4,2025-08-13,504.95,864573,498.65
500.9,504.0,2025-08-14,505.5,1202134,499.4
519.1,513.9,2025-08-18,529.8,4810046,512.0
522.05,519.85,2025-08-19,522.75,645927,514.0
535.0,522.0,2025-08-20,536.4,12345218,521.1
515.7,535.95,2025-08-21,536.45,6041694,514.75
515.95,516.0,2025-08-22,519.85,1596318,514.55
518.6,515.9,2025-08-25,520.45,1204983,513.45
522.4,518.6,2025-08-26,526.8,3045617,517.1
513.85,526.55,2025-08-28,526.55,2068611,512.25
521.1,515.45,2025-08-29,528.55,3745766,509.7
523.65,521.55,2025-09-01,524.55,4327053,520.05
544.6,525.0,2025-09-02,547.75,8973936,523.65
543.5,545.9,2025-09-03,549.25,2220814,541.25
552.7,565.0,2025-09-04,577.0,8712233,551.35
546.7,553.8,2025-09-05,555.85,1489345,542.35
546.2,547.95,2025-09-08,551.65,782235,542.7
544.25,546.25,2025-09-09,547.4,1937685,539.25
547.5,546.9,2025-09-10,548.95,874891,543.7
544.1,547.25,2025-09-11,548.4,891836,543.0
538.85,544.1,2025-09-12,544.1,2746427,533.7
540.9,536.5,2025-09-15,542.6,837561,536.5
535.7,540.6,2025-09-16,542.3,1405923,534.5
535.15,537.55,2025-09-17,539.5,822210,532.2
536.3,536.0,2025-09-18,539.0,2012300,532.4
535.45,536.95,2025-09-19,542.8,2411369,532.7
522.05,536.0,2025-09-22,536.75,2892697,518.0
515.0,522.0,2025-09-23,522.0,3466804,512.65
517.8,515.0,2025-09-24,520.95,1781081,511.4
506.3,517.8,2025-09-25,521.85,2356326,505.15
499.75,508.0,2025-09-26,508.0,3168298,493.0
492.85,497.75,2025-09-29,501.7,17685374,490.55
491.3,495.0,2025-09-30,500.15,2645097,489.5
495.05,491.3,2025-10-01,496.0,2443402,483.65
496.15,495.05,2025-10-03,497.8,3035129,490.75
493.35,495.5,2025-10-06,497.75,2681852,491.8
492.25,493.35,2025-10-07,502.8,4534081,489.9
480.15,485.0,2025-10-08,493.2,3627391,479.15
485.4,480.45,2025-10-09,486.5,3052079,479.15
489.7,485.4,2025-10-10,490.85,1613675,485.4
487.75,488.6,2025-10-13,489.6,1990140,482.55
487.35,487.75,2025-10-14,489.75,1611549,484.55
493.15,486.05,2025-10-15,494.4,2084672,486.05
500.75,493.9,2025-10-16,502.0,1236003,493.9
508.35,500.6,2025-10-17,511.65,3436032,499.6
504.55,511.1,2025-10-20,511.1,824259,503.5
506.4,506.15,2025-10-21,507.85,128942,503.45
511.4,507.0,2025-10-23,515.0,3693389,505.3
508.45,512.4,2025-10-24,512.4,3786598,498.4
507.05,508.5,2025-10-27,510.2,3258720,504.7
503.4,508.1,2025-10-28,508.2,2826407,501.0
508.05,503.4,2025-10-29,508.9,1880484,501.8
501.55,511.5,2025-10-30,511.5,1744704,499.6
487.55,502.9,2025-10-31,502.95,4980727,486.7
503.3,488.1,2025-11-03,504.45,4523334,485.6
517.05,502.3,2025-11-04,519.95,5322219,501.95
523.7,517.05,2025-11-06,524.5,3911239,511.05
