close,open,date,high,volume,low
1365.1,1355.3,2025-07-14,1375.0,109447,1343.9
1402.4,1361.0,2025-07-15,1437.0,613057,1361.0
1410.0,1410.5,2025-07-16,1431.3,174596,1397.6
1406.3,1415.0,2025-07-17,1446.5,151407,1399.0
1408.2,1413.0,2025-07-18,1414.6,101928,1385.1
1388.6,1410.2,2025-07-21,1424.5,105738,1382.0
1398.4,1379.0,2025-07-22,1427.4,281850,1357.0
1442.1,1398.0,2025-07-23,1455.9,277548,1383.6
1430.3,1443.9,2025-07-24,1502.3,447149,1420.5
1397.5,1430.1,2025-07-25,1430.1,141935,1375.0
1385.9,1391.4,2025-07-28,1414.9,97838,1366.1
1422.2,1385.9,2025-07-29,1433.5,117831,1348.1
1424.5,1426.2,2025-07-30,1442.0,105065,1399.0
1429.6,1400.0,2025-07-31,1460.0,155145,1400.0
1374.3,1437.5,2025-08-01,1439.5,83347,1366.9
1377.0,1386.0,2025-08-04,1391.8,60536,1362.3
1382.6,1387.0,2025-08-05,1399.0,40399,1361.0
1377.6,1376.0,2025-08-06,1396.2,73526,1362.0
1344.3,1377.5,2025-08-07,1377.5,73286,1311.2
1352.3,1350.0,2025-08-08,1368.0,58697,1325.0
1367.3,1352.3,2025-08-11,1377.9,48783,1321.4
1343.6,1363.8,2025-08-12,1374.0,101644,1312.3
1333.0,1340.0,2025-08-13,1340.1,61092,1324.0
1282.9,1332.7,2025-08-14,1342.4,71725,1273.2
1269.8,1285.0,2025-08-18,1305.8,53302,1261.9
1264.8,1279.0,2025-08-19,1286.0,46700,1259.0
1266.1,1265.0,2025-08-20,1277.1,48107,1247.7
1263.6,1266.1,2025-08-21,1304.9,61670,1260.9
1265.2,1270.5,2025-08-22,1289.9,58896,1260.7
1241.5,1265.0,2025-08-25,1272.0,43610,1240.0
1242.7,1241.5,2025-08-26,1259.0,59188,1225.0
1237.8,1251.5,2025-08-28,1255.2,40821,1219.1
1241.1,1238.0,2025-08-29,1251.2,37102,1226.0
1223.0,1241.1,2025-09-01,1250.0,78524,1212.7
1241.2,1220.0,2025-09-02,1260.0,61162,1220.0
1240.2,1260.0,2025-09-03,1263.2,62433,1230.0
1250.0,1250.0,2025-09-04,1252.0,94099,1231.0
1243.4,1250.0,2025-09-05,1250.0,50035,1234.9
1245.0,1243.9,2025-09-08,1250.0,27582,1234.1
1236.6,1252.0,2025-09-09,1254.0,41194,1232.0
1235.1,1243.0,2025-09-10,1248.0,65592,1225.5
1235.0,1235.1,2025-09-11,1259.0,53873,1228.4
1225.5,1236.0,2025-09-12,1243.0,36148,1222.0
1217.8,1222.0,2025-09-15,1234.5,82733,1214.8
1225.4,1215.0,2025-09-16,1231.8,33166,1212.5
1379.7,1225.0,2025-09-17,1414.4,4327179,1219.3
1313.9,1328.1,2025-09-18,1359.0,650927,1310.0
1255.3,1309.0,2025-09-19,1313.0,313959,1251.0
1235.2,1255.3,2025-09-22,1261.8,149918,1230.1
1210.9,1237.8,2025-09-23,1252.0,144399,1205.1
1191.0,1207.0,2025-09-24,1223.4,115248,1185.3
1168.5,1191.0,2025-09-25,1201.9,84739,1162.9
1153.6,1165.0,2025-09-26,1165.7,126996,1133.3
1158.3,1158.3,2025-09-29,1166.6,48738,1143.0
1147.9,1162.0,2025-09-30,1164.5,38197,1141.3
1169.5,1152.0,2025-10-01,1171.9,42400,1147.5
1195.9,1177.7,2025-10-03,1199.5,56224,1169.7
1189.9,1190.0,2025-10-06,1204.5,51197,1185.1
1190.1,1197.7,2025-10-07,1201.8,31688,1185.7
1175.7,1190.1,2025-10-08,1194.5,28390,1170.0
1191.2,1175.7,2025-10-09,1197.9,25338,1173.8
1197.6,1191.2,2025-10-10,1205.0,29917,1190.0
1167.1,1180.0,2025-10-13,1190.5,57316,1160.5
1166.5,1179.0,2025-10-14,1179.0,38011,1156.0
1201.8,1175.0,2025-10-15,1216.1,82085,1164.6
1218.5,1219.2,2025-10-16,1229.2,60987,1190.1
1234.4,1219.9,2025-10-17,1243.5,56659,1210.1
1245.4,1248.0,2025-10-20,1250.7,27398,1221.5
1242.6,1251.6,2025-10-21,1254.5,19293,1230.1
1226.0,1244.8,2025-10-23,1249.5,41149,1217.1
1224.7,1226.2,2025-10-24,1249.1,35975,1218.1
1278.5,1231.1,2025-10-27,1287.1,215370,1213.6
1302.3,1280.4,2025-10-28,1304.9,103957,1270.0
1330.2,1347.0,2025-10-29,1409.0,3288030,1311.1
1325.9,1335.0,2025-10-30,1340.6,95262,1317.1
1281.2,1322.9,2025-10-31,1324.0,74045,1275.0
1277.2,1286.0,2025-11-03,1291.4,46270,1265.0
1249.1,1280.9,2025-11-04,1283.8,66878,1240.2
1230.0,1235.0,2025-11-06,1245.3,78092,1209.6
1243.9,1225.0,2025-11-07,1260.3,55239,1215.1
1246.3,1242.0,2025-11-10,1262.0,38549,1230.0
1234.7,1242.0,2025-11-11,1249.9,19202,1228.0
1236.2,1237.0,2025-11-12,1245.0,33662,1228.0
1235.2,1242.7,2025-11-13,1244.4,23126,1227.1
1236.4,1235.6,2025-11-14,1246.8,27146,1225.1
1211.0,1230.1,2025-11-17,1242.8,61617,1198.9
1190.6,1212.0,2025-11-18,1250.0,41270,1185.1
1177.9,1201.0,2025-11-19,1201.0,36669,1166.0
1174.2,1186.5,2025-11-20,1188.8,23788,1169.5
1268.5,1174.3,2025-11-21,1279.0,3153475,1169.3
1201.3,1254.1,2025-11-24,1259.1,305298,1194.6
1189.7,1194.9,2025-11-25,1208.8,85091,1178.2
1259.0,1189.0,2025-11-26,1279.0,174473,1180.3
1228.6,1246.3,2025-11-27,1251.6,101764,1212.8
1216.0,1231.1,2025-11-28,1239.0,49645,1210.0
1206.9,1214.5,2025-12-01,1228.9,34142,1200.7
1220.6,1207.3,2025-12-02,1237.4,61688,1196.2
1221.3,1220.6,2025-12-03,1229.5,32311,1210.0
1227.0,1221.4,2025-12-04,1232.8,38728,1210.2
1220.9,1227.0,2025-12-05,1232.5,27361,1215.8
1202.6,1220.9,2025-12-08,1245.9,61871,1200.2
1224.7,1196.5,2025-12-09,1229.0,36118,1186.9
1206.7,1224.7,2025-12-10,1235.7,31280,1201.6
1273.8,1221.9,2025-12-11,1324.9,7223729,1221.9
1244.8,1246.1,2025-12-12,1267.0,254827,1240.0
1253.5,1240.0,2025-12-15,1261.7,98312,1236.0
1237.7,1253.5,2025-12-16,1254.9,51330,1232.8
1224.0,1235.0,2025-12-17,1245.7,53415,1220.4
1217.2,1225.0,2025-12-18,1233.0,45272,1205.2
1212.5,1215.0,2025-12-19,1222.8,36224,1201.7
1241.6,1220.1,2025-12-22,1250.0,55385,1220.0
1249.4,1239.0,2025-12-23,1253.0,29822,1233.0
1258.6,1249.4,2025-12-24,1266.0,30347,1243.5
1243.7,1264.8,2025-12-26,1277.9,49031,1239.0
1245.4,1243.7,2025-12-29,1251.8,42028,1222.3
1243.6,1234.1,2025-12-30,1256.5,24050,1234.1
1252.1,1245.0,2025-12-31,1257.7,17612,1235.1
1269.2,1261.0,2026-01-01,1273.7,29816,1248.1
1257.2,1274.5,2026-01-02,1304.7,75651,1253.1
1251.6,1262.5,2026-01-05,1263.8,35766,1240.0
1229.8,1254.0,2026-01-06,1258.5,27634,1226.2
1222.3,1226.0,2026-01-07,1240.0,24029,1217.0
1183.5,1214.0,2026-01-08,1228.5,43678,1175.0
1180.7,1185.0,2026-01-09,1189.1,58247,1153.4
1180.5,1170.8,2026-01-12,1200.0,51277,1142.2
1179.2,1186.7,2026-01-13,1196.0,25575,1172.1
1181.1,1170.7,2026-01-14,1189.0,18105,1170.7
1162.8,1188.0,2026-01-16,1188.0,22348,1160.0
