close,open,date,high,volume,low
1612.0,1717.4,2025-07-07,1717.4,1098294,1607.0
1597.9,1600.0,2025-07-08,1638.0,599203,1585.7
1611.0,1599.4,2025-07-09,1615.1,196087,1592.9
1578.4,1611.2,2025-07-10,1623.8,286300,1566.0
1582.8,1587.1,2025-07-11,1590.9,157020,1566.1
1570.4,1588.8,2025-07-14,1588.9,184886,1550.0
1602.6,1607.0,2025-07-15,1658.3,1349196,1597.2
1586.1,1608.9,2025-07-16,1609.0,252978,1571.0
1605.4,1589.6,2025-07-17,1610.7,216137,1571.2
1581.4,1607.7,2025-07-18,1611.2,143010,1572.0
1625.7,1575.0,2025-07-21,1642.7,622161,1572.0
1597.3,1632.9,2025-07-22,1632.9,182822,1590.0
1595.8,1599.0,2025-07-23,1615.0,160006,1585.3
1598.1,1595.8,2025-07-24,1618.7,121185,1589.6
1534.0,1599.9,2025-07-25,1602.0,322654,1523.1
1520.4,1527.0,2025-07-28,1538.3,308156,1477.3
1607.4,1510.0,2025-07-29,1618.9,1109712,1500.4
1564.5,1620.0,2025-07-30,1672.4,1220699,1555.5
1598.8,1549.7,2025-07-31,1630.0,482920,1528.3
1558.5,1600.0,2025-08-01,1606.6,198098,1552.0
1545.4,1555.0,2025-08-04,1577.6,173665,1531.7
1548.4,1554.0,2025-08-05,1579.0,157956,1538.9
1534.2,1552.0,2025-08-06,1558.0,278247,1498.0
1505.4,1510.0,2025-08-07,1532.0,224058,1485.7
1470.3,1506.0,2025-08-08,1529.0,187241,1455.0
1475.3,1463.2,2025-08-11,1489.0,267288,1408.0
1447.7,1474.0,2025-08-12,1483.6,133335,1440.0
1434.5,1455.0,2025-08-13,1466.0,178698,1430.0
1447.8,1434.1,2025-08-14,1459.0,154425,1411.1
1469.4,1474.9,2025-08-18,1486.8,159823,1448.2
1475.4,1469.4,2025-08-19,1486.3,140819,1460.0
1491.8,1475.8,2025-08-20,1498.4,165834,1460.0
1519.4,1499.7,2025-08-21,1529.3,221779,1487.2
1529.1,1519.9,2025-08-22,1550.0,253088,1507.0
1501.5,1532.0,2025-08-25,1554.1,188031,1495.1
1453.7,1500.0,2025-08-26,1504.2,361893,1440.0
1428.8,1445.0,2025-08-28,1458.0,138279,1421.7
1387.8,1432.0,2025-08-29,1437.5,241989,1378.9
1406.4,1389.0,2025-09-01,1415.0,303777,1383.2
1447.8,1401.7,2025-09-02,1458.7,321223,1401.7
1442.5,1446.1,2025-09-03,1487.9,262327,1436.6
1443.4,1459.0,2025-09-04,1461.5,229337,1428.4
1403.7,1440.0,2025-09-05,1451.3,178892,1401.8
1399.0,1404.2,2025-09-08,1413.2,207457,1376.2
1412.7,1407.0,2025-09-09,1421.9,170964,1390.5
1420.1,1418.5,2025-09-10,1427.8,128961,1412.8
1430.8,1425.5,2025-09-11,1443.8,156442,1415.2
1400.7,1429.9,2025-09-12,1429.9,293158,1397.5
1407.9,1400.7,2025-09-15,1422.0,122697,1395.0
1425.3,1410.9,2025-09-16,1429.8,144060,1407.9
1463.2,1434.0,2025-09-17,1487.8,481750,1430.0
1451.0,1470.0,2025-09-18,1479.9,237359,1424.0
1457.3,1454.3,2025-09-19,1462.0,233209,1441.6
1453.6,1455.1,2025-09-22,1472.0,130157,1445.0
1518.6,1451.7,2025-09-23,1547.9,703222,1443.0
1580.3,1519.6,2025-09-24,1597.8,1153682,1512.0
1546.7,1582.0,2025-09-25,1582.0,254249,1537.0
1531.6,1537.2,2025-09-26,1555.0,291054,1520.0
1500.8,1525.0,2025-09-29,1548.7,267523,1490.0
1501.9,1500.8,2025-09-30,1525.5,211610,1490.0
1547.1,1513.5,2025-10-01,1553.7,271280,1486.0
1572.4,1549.1,2025-10-03,1581.1,292023,1531.6
1551.7,1574.0,2025-10-06,1593.6,300529,1542.0
1543.7,1550.8,2025-10-07,1562.0,129109,1527.6
1544.3,1540.0,2025-10-08,1557.9,104374,1533.0
