close,open,date,high,volume,low
175.15,174.22,2025-09-01,176.8,965323.0,173.19
174.89,175.49,2025-09-02,178.5,1805891.0,173.55
175.22,175.5,2025-09-03,177.2,826685.0,174.75
179.3,176.54,2025-09-04,182.7,8203223.0,174.75
179.72,180.77,2025-09-05,182.5,2613771.0,178.5
180.19,180.4,2025-09-08,182.71,1787109.0,179.0
186.32,180.19,2025-09-09,189.0,7375538.0,179.0
185.36,189.07,2025-09-10,189.07,4042917.0,182.44
188.9,186.05,2025-09-11,191.0,5487337.0,185.59
187.23,188.8,2025-09-12,188.9,2241135.0,184.37
183.83,186.6,2025-09-15,186.95,1824581.0,182.9
182.12,183.83,2025-09-16,183.98,1284732.0,181.11
179.05,181.31,2025-09-17,182.99,1799320.0,178.49
177.47,179.0,2025-09-18,179.71,844632.0,176.27
178.64,176.61,2025-09-19,180.8,1886333.0,174.51
175.51,179.72,2025-09-22,182.8,1398589.0,175.01
175.12,175.51,2025-09-23,176.89,912027.0,174.0
177.01,176.0,2025-09-24,181.79,3311357.0,175.0
173.22,177.01,2025-09-25,178.22,969787.0,173.0
169.91,173.22,2025-09-26,174.4,2216992.0,166.5
169.93,170.25,2025-09-29,171.4,4871490.0,166.0
168.03,171.45,2025-09-30,171.45,723602.0,166.16
171.74,168.94,2025-10-01,172.74,841028.0,166.71
167.35,172.4,2025-10-03,172.4,1440105.0,167.05
165.31,167.73,2025-10-06,168.29,2290761.0,164.92
165.56,166.0,2025-10-07,167.73,1383616.0,165.15
164.97,165.6,2025-10-08,166.05,547679.0,164.0
165.0,164.97,2025-10-09,167.2,1529165.0,161.22
163.48,165.0,2025-10-10,166.56,690550.0,163.03
162.15,163.53,2025-10-13,165.31,832867.0,162.0
160.15,162.99,2025-10-14,165.0,1558967.0,159.95
164.61,160.99,2025-10-15,165.5,2048182.0,160.5
167.74,164.5,2025-10-16,168.25,2847949.0,162.94
167.58,168.0,2025-10-17,169.5,701368.0,165.52
165.58,167.58,2025-10-20,169.75,941962.0,164.75
167.41,165.68,2025-10-21,168.51,176632.0,165.52
166.51,167.4,2025-10-23,167.87,679117.0,165.68
162.54,166.6,2025-10-24,166.6,2163236.0,162.05
162.96,163.5,2025-10-27,164.9,849429.0,162.35
163.96,163.2,2025-10-28,169.4,3416529.0,163.2
167.72,165.15,2025-10-29,168.74,2714354.0,163.6
167.8,168.01,2025-10-30,169.26,2444010.0,165.91
161.8,167.85,2025-10-31,168.04,4416239.0,160.87
