close,open,date,high,volume,low
16905.0,16826.0,2025-08-19,16946.0,199162,16650.0
16876.0,16950.0,2025-08-20,17090.0,228951,16850.0
16725.0,16925.0,2025-08-21,16962.0,165675,16705.0
16893.0,16750.0,2025-08-22,17036.0,304647,16680.0
17018.0,16950.0,2025-08-25,17287.0,457362,16851.0
16668.0,16900.0,2025-08-26,16998.0,350536,16591.0
16678.0,16690.0,2025-08-28,16878.0,347400,16470.0
16690.0,16678.0,2025-08-29,16870.0,197676,16612.0
17582.0,16770.0,2025-09-01,17642.0,615332,16770.0
17553.0,17670.0,2025-09-02,17746.0,231302,17500.0
17759.0,17580.0,2025-09-03,17780.0,255177,17481.0
17852.0,17937.0,2025-09-04,18041.0,283060,17782.0
17855.0,17852.0,2025-09-05,17960.0,123212,17814.0
18006.0,17955.0,2025-09-08,18074.0,112300,17867.0
18002.0,18069.0,2025-09-09,18080.0,142476,17806.0
17897.0,18070.0,2025-09-10,18115.0,149460,17861.0
18041.0,17925.0,2025-09-11,18059.0,113430,17906.0
18103.0,18080.0,2025-09-12,18186.0,107442,17951.0
17985.0,18124.0,2025-09-15,18150.0,107547,17965.0
18110.0,18040.0,2025-09-16,18270.0,153587,18001.0
18110.0,18230.0,2025-09-17,18230.0,112985,18054.0
18331.0,18250.0,2025-09-18,18354.0,270850,18150.0
18177.0,18331.0,2025-09-19,18400.0,208525,18130.0
18082.0,18158.0,2025-09-22,18315.0,107464,18058.0
18130.0,18150.0,2025-09-23,18170.0,132042,17998.0
18161.0,18100.0,2025-09-24,18189.0,63334,18030.0
18202.0,18389.0,2025-09-25,18471.0,237351,18152.0
17511.0,18202.0,2025-09-26,18229.0,233711,17380.0
16678.0,17530.0,2025-09-29,17637.0,503255,16626.0
16322.0,16679.0,2025-09-30,16835.0,529594,15982.0
16453.0,16404.0,2025-10-01,16700.0,260204,16335.0
16591.0,16500.0,2025-10-03,16649.0,157149,16393.0
17041.0,16600.0,2025-10-06,17086.0,212415,16535.0
17232.0,17026.0,2025-10-07,17279.0,143947,16911.0
16859.0,17240.0,2025-10-08,17299.0,132997,16821.0
17098.0,16901.0,2025-10-09,17140.0,124996,16875.0
17445.0,17130.0,2025-10-10,17505.0,244288,17082.0
17195.0,17440.0,2025-10-13,17440.0,195835,16830.0
16634.0,17299.0,2025-10-14,17299.0,455160,16451.0
16777.0,16610.0,2025-10-15,16875.0,214714,16604.0
16844.0,16700.0,2025-10-16,16920.0,168432,16601.0
16700.0,16875.0,2025-10-17,16900.0,146016,16612.0
16075.0,16700.0,2025-10-20,16999.0,647684,16012.0
16122.0,16224.0,2025-10-21,16264.0,66310,16060.0
15611.0,16220.0,2025-10-23,16259.0,736786,15540.0
15490.0,15655.0,2025-10-24,15733.0,436186,15440.0
15505.0,15400.0,2025-10-27,15611.0,302086,15356.0
15372.0,15511.0,2025-10-28,15541.0,244628,15301.0
15512.0,15349.0,2025-10-29,15576.0,195693,15304.0
15644.0,15555.0,2025-10-30,15714.0,211837,15443.0
15494.0,15720.0,2025-10-31,15750.0,224779,15463.0
15485.0,15494.0,2025-11-03,15610.0,273990,15325.0
15254.0,15483.0,2025-11-04,15532.0,172440,15235.0
15079.0,15257.0,2025-11-06,15324.0,229915,15050.0
14849.0,15000.0,2025-11-07,15061.0,302050,14671.0
14867.0,14875.0,2025-11-10,15006.0,252744,14710.0
15094.0,14910.0,2025-11-11,15153.0,183854,14760.0
15307.0,15155.0,2025-11-12,15369.0,260843,15054.0
15323.0,15383.0,2025-11-13,15579.0,244819,15227.0
15419.0,15299.0,2025-11-14,15570.0,254561,15232.0
15641.0,15520.0,2025-11-17,15698.0,232740,15353.0
15697.0,15700.0,2025-11-18,15771.0,190994,15501.0
15540.0,15697.0,2025-11-19,15775.0,178897,15366.0
15313.0,15600.0,2025-11-20,15600.0,204503,15264.0
14965.0,15310.0,2025-11-21,15310.0,207477,14921.0
14669.0,14965.0,2025-11-24,14990.0,266515,14599.0
14401.0,14662.0,2025-11-25,14797.0,257302,14380.0
14825.0,14473.0,2025-11-26,14877.0,286601,14374.0
14643.0,14860.0,2025-11-27,14890.0,151098,14535.0
14601.0,14668.0,2025-11-28,14708.0,137276,14511.0
14566.0,14739.0,2025-12-01,14739.0,233233,14485.0
14494.0,14554.0,2025-12-02,14620.0,149204,14458.0
14018.0,14494.0,2025-12-03,14500.0,348161,13980.0
13707.0,14080.0,2025-12-04,14105.0,259494,13675.0
13749.0,13699.0,2025-12-05,13894.0,243937,13500.0
13563.0,13801.0,2025-12-08,13988.0,291274,13450.0
13517.0,13435.0,2025-12-09,13630.0,235886,13275.0
12351.0,13517.0,2025-12-10,13718.0,974019,12261.0
12988.0,12349.0,2025-12-11,13030.0,1277223,12130.0
13379.0,13100.0,2025-12-12,13422.0,708140,13005.0
13737.0,13313.0,2025-12-15,13763.0,567800,13231.0
13628.0,13727.0,2025-12-16,13823.0,318608,13559.0
13274.0,13650.0,2025-12-17,13650.0,343154,13182.0
13299.0,13200.0,2025-12-18,13490.0,548533,13020.0
13268.0,13295.0,2025-12-19,13380.0,585596,13089.0
12845.0,13240.0,2025-12-22,13445.0,508602,12800.0
12832.0,12844.0,2025-12-23,12909.0,730977,12520.0
12629.0,12755.0,2025-12-24,13180.0,754957,12584.0
12328.0,12700.0,2025-12-26,12711.0,722112,12250.0
11857.0,12344.0,2025-12-29,12460.0,1312587,11821.0
11767.0,11880.0,2025-12-30,12026.0,1389580,11646.0
12102.0,11856.0,2025-12-31,12239.0,954154,11755.0
12091.0,12112.0,2026-01-01,12220.0,697383,11820.0
12165.0,12162.0,2026-01-02,12290.0,809776,11935.0
12051.0,12220.0,2026-01-05,12280.0,434173,11992.0
11726.0,12099.0,2026-01-06,12099.0,541945,11658.0
11770.0,11640.0,2026-01-07,11970.0,837880,11480.0
11987.0,11780.0,2026-01-08,12055.0,814042,11708.0
11902.0,11980.0,2026-01-09,12047.0,524085,11750.0
11842.0,11880.0,2026-01-12,11894.0,428491,11674.0
11238.0,11950.0,2026-01-13,11964.0,1231297,11180.0
11103.0,11260.0,2026-01-14,11526.0,928937,11055.0
10732.0,11108.0,2026-01-16,11231.0,891148,10702.0
11024.0,10732.0,2026-01-19,11060.0,704984,10591.0
10682.0,11029.0,2026-01-20,11144.0,476078,10632.0
10517.0,10682.0,2026-01-21,10790.0,915631,10274.0
10512.0,10700.0,2026-01-22,10717.0,422087,10420.0
10360.0,10575.0,2026-01-23,10664.0,486607,10330.0
10184.0,10400.0,2026-01-27,10400.0,702193,9990.0
10279.0,10189.0,2026-01-28,10350.0,661357,10038.0
10337.0,10299.0,2026-01-29,10436.0,672993,10056.0
10446.0,10100.0,2026-01-30,10843.0,1996677,9835.0
10339.0,10250.0,2026-02-02,10530.0,822592,10102.0
11031.0,11100.0,2026-02-03,11200.0,1584528,10852.0
11678.0,11032.0,2026-02-04,11713.0,1509099,10926.0
11376.0,11700.0,2026-02-05,11713.0,1047347,11154.0
11502.0,11349.0,2026-02-06,11549.0,477648,11172.0
11757.0,11655.0,2026-02-09,11845.0,485574,11550.0
11609.0,11820.0,2026-02-10,11847.0,546495,11563.0
11741.0,11640.0,2026-02-11,11766.0,448093,11490.0
11626.0,11740.0,2026-02-12,11779.0,288312,11590.0
11417.0,11500.0,2026-02-13,11548.0,446533,11250.0
