close,open,date,high,volume,low
4348.7,4349.5,2025-07-03,4374.8,1833798,4217.9
4261.1,4364.9,2025-07-04,4375.5,488810,4251.0
4236.3,4279.0,2025-07-07,4297.0,247672,4230.1
4213.0,4259.9,2025-07-08,4267.7,378622,4193.0
4190.9,4213.0,2025-07-09,4242.4,234783,4171.0
4169.0,4190.9,2025-07-10,4212.1,294423,4150.1
4064.2,4169.0,2025-07-11,4185.0,802558,4041.0
4011.3,4090.0,2025-07-14,4115.0,2032633,3930.0
4026.7,4020.1,2025-07-15,4058.0,1541742,3991.7
4086.0,4026.8,2025-07-16,4127.9,759577,4012.5
4055.9,4095.9,2025-07-17,4100.0,168284,4049.0
4048.6,4059.9,2025-07-18,4073.7,247574,4028.4
4023.7,4039.8,2025-07-21,4049.8,403439,4002.6
4033.3,4042.7,2025-07-22,4084.0,960660,4009.5
4043.9,4039.9,2025-07-23,4050.5,709291,3995.1
4021.0,4045.5,2025-07-24,4069.2,402668,4012.9
3997.0,4021.8,2025-07-25,4027.1,431585,3951.1
3949.9,3991.0,2025-07-28,4019.4,325329,3941.0
3999.0,3976.3,2025-07-29,4007.1,277427,3931.0
4281.4,3999.0,2025-07-30,4324.0,3389361,3999.0
4267.4,4235.0,2025-07-31,4346.8,1085879,4235.0
4196.0,4267.9,2025-08-01,4310.0,351617,4175.0
4197.2,4196.0,2025-08-04,4225.2,279716,4139.1
4257.8,4200.0,2025-08-05,4267.4,366011,4188.1
4242.0,4284.0,2025-08-06,4284.0,256136,4222.5
4263.5,4241.9,2025-08-07,4290.0,244170,4207.1
4170.1,4220.0,2025-08-08,4280.0,281763,4163.0
4184.5,4150.1,2025-08-11,4222.8,244806,4150.1
4252.5,4184.5,2025-08-12,4273.4,278164,4184.5
4334.6,4255.0,2025-08-13,4340.0,470225,4247.3
4358.2,4334.6,2025-08-14,4394.9,646059,4327.1
4558.0,4446.0,2025-08-18,4592.9,1589953,4401.5
4653.2,4584.9,2025-08-19,4661.6,856309,4561.3
4737.9,4651.5,2025-08-20,4759.9,1269103,4630.1
4691.9,4737.9,2025-08-21,4749.6,873600,4673.0
4698.8,4708.0,2025-08-22,4730.0,449652,4636.8
4725.3,4714.5,2025-08-25,4750.5,853238,4700.1
4716.4,4751.8,2025-08-26,4799.1,911518,4696.2
4699.9,4805.0,2025-08-28,4805.0,648948,4671.4
4755.6,4720.0,2025-08-29,4800.5,591567,4680.0
4734.9,4753.0,2025-09-01,4829.0,564620,4720.0
4680.0,4749.9,2025-09-02,4772.0,395168,4670.0
4758.5,4680.0,2025-09-03,4780.0,406023,4675.5
4829.3,4949.0,2025-09-04,4949.5,999705,4781.5
4793.3,4850.0,2025-09-05,4898.5,247794,4767.2
4714.2,4810.0,2025-09-08,4814.9,214159,4690.6
4759.8,4726.1,2025-09-09,4778.0,184352,4691.5
4631.3,4778.0,2025-09-10,4789.8,341652,4613.0
4589.7,4642.3,2025-09-11,4646.0,381814,4562.6
4616.6,4632.0,2025-09-12,4634.0,384352,4587.0
4651.0,4616.0,2025-09-15,4697.5,384078,4575.0
4696.2,4667.0,2025-09-16,4715.0,239708,4655.0
4717.3,4712.0,2025-09-17,4755.1,299305,4693.3
4760.3,4768.0,2025-09-18,4818.0,420160,4745.8
4775.3,4773.0,2025-09-19,4798.0,456609,4728.0
4671.2,4785.4,2025-09-22,4789.8,253711,4655.3
4633.9,4695.8,2025-09-23,4711.7,398679,4572.5
4645.8,4630.0,2025-09-24,4754.6,484648,4606.4
4576.2,4640.0,2025-09-25,4651.7,454357,4565.1
4517.8,4589.9,2025-09-26,4629.3,504865,4510.0
4529.9,4500.0,2025-09-29,4571.0,429367,4483.8
4475.4,4530.0,2025-09-30,4566.9,733529,4419.9
4449.9,4475.4,2025-10-01,4529.7,507811,4422.0
4418.4,4445.0,2025-10-03,4445.0,477671,4387.1
4301.6,4375.0,2025-10-06,4388.1,1191976,4269.0
4303.0,4315.0,2025-10-07,4345.0,597770,4269.0
4294.4,4305.0,2025-10-08,4323.0,402659,4268.0
4305.1,4294.4,2025-10-09,4320.0,224961,4275.0
4320.4,4308.9,2025-10-10,4365.9,423959,4301.5
4202.6,4275.0,2025-10-13,4349.9,959344,4192.1
4205.2,4235.0,2025-10-14,4246.0,276492,4196.7
4259.6,4230.0,2025-10-15,4275.0,415827,4215.0
4316.1,4278.0,2025-10-16,4334.8,363379,4267.4
4302.5,4312.0,2025-10-17,4316.1,234370,4276.9
4275.3,4310.0,2025-10-20,4319.7,228477,4260.0
4274.5,4308.0,2025-10-21,4311.0,36984,4260.0
4268.0,4287.0,2025-10-23,4334.5,274317,4256.2
4213.9,4268.0,2025-10-24,4271.7,250190,4197.0
4257.9,4214.0,2025-10-27,4264.9,281638,4214.0
4220.9,4274.6,2025-10-28,4292.8,310562,4183.1
4229.4,4225.0,2025-10-29,4254.0,148520,4213.2
4161.1,4248.0,2025-10-30,4248.0,445095,4149.9
4153.5,4164.1,2025-10-31,4204.9,280621,4147.0
4156.0,4153.5,2025-11-03,4173.5,178823,4111.0
4182.4,4160.0,2025-11-04,4222.0,314080,4145.0
4082.2,4182.4,2025-11-06,4191.4,487314,4071.9
4011.0,4082.2,2025-11-07,4082.2,1195522,3984.6
4019.0,4011.0,2025-11-10,4067.0,290454,4011.0
4072.2,4025.0,2025-11-11,4077.4,272277,4020.0
4058.0,4112.6,2025-11-12,4112.6,381769,4047.3
4062.5,4058.0,2025-11-13,4090.0,252053,4040.4
4053.7,4060.0,2025-11-14,4069.2,305911,4020.0
4036.2,4059.9,2025-11-17,4086.0,186267,4032.0
3997.2,4036.2,2025-11-18,4042.2,311407,3991.6
4026.5,4010.0,2025-11-19,4039.0,378207,3997.1
4085.0,4045.0,2025-11-20,4099.7,387479,4037.1
4038.0,4085.0,2025-11-21,4098.9,330945,4030.5
3987.5,4046.9,2025-11-24,4048.5,724604,3975.2
3988.6,3997.9,2025-11-25,4015.4,446861,3960.0
4019.1,3999.9,2025-11-26,4029.9,360542,3980.0
4007.1,4029.0,2025-11-27,4038.0,237041,3986.0
3996.5,4005.0,2025-11-28,4044.8,211068,3992.2
3963.3,3997.0,2025-12-01,4009.5,256602,3946.0
3961.8,3968.0,2025-12-02,3975.2,292968,3935.0
3909.7,3961.8,2025-12-03,3969.2,359508,3883.0
3913.3,3910.3,2025-12-04,3935.0,200117,3897.3
3952.1,3913.3,2025-12-05,3956.4,184255,3904.3
3867.6,3950.0,2025-12-08,3955.2,268207,3826.6
3910.0,3867.6,2025-12-09,3920.0,255693,3841.7
3816.3,3891.0,2025-12-10,3923.7,576341,3805.0
3830.8,3820.0,2025-12-11,3848.8,396885,3770.0
3843.0,3830.8,2025-12-12,3868.6,248192,3810.0
3825.6,3859.9,2025-12-15,3859.9,241968,3812.0
3856.8,3878.9,2025-12-16,3914.8,667837,3825.9
3826.2,3857.5,2025-12-17,3869.8,401218,3808.7
3757.2,3814.8,2025-12-18,3822.3,327081,3742.4
3819.5,3796.1,2025-12-19,3830.0,265092,3756.4
3818.6,3826.9,2025-12-22,3868.0,207963,3815.7
3828.2,3835.0,2025-12-23,3844.4,240671,3802.5
3800.2,3843.0,2025-12-24,3843.0,363697,3771.3
3787.4,3805.0,2025-12-26,3824.0,245539,3781.2
3788.0,3778.0,2025-12-29,3828.0,239535,3768.4
3753.5,3792.0,2025-12-30,3805.3,489287,3748.2
3782.2,3753.5,2025-12-31,3800.0,638024,3742.2
3716.1,3794.8,2026-01-01,3808.0,517006,3703.0
3719.8,3735.0,2026-01-02,3753.5,295500,3700.0
3646.3,3719.1,2026-01-05,3719.1,567365,3635.3
3663.7,3641.0,2026-01-06,3680.0,585617,3605.1
3841.6,3665.0,2026-01-07,3849.9,1317962,3662.0
3789.8,3843.0,2026-01-08,3872.4,400228,3781.0
3801.3,3794.0,2026-01-09,3833.2,600885,3745.1
3832.5,3852.0,2026-01-12,3918.6,2052645,3760.5
3826.9,3851.5,2026-01-13,3889.0,693948,3782.7
3830.3,3822.0,2026-01-14,3889.8,495104,3811.8
3775.7,3820.0,2026-01-16,3832.0,817036,3741.0
3766.7,3775.7,2026-01-19,3846.0,404691,3733.3
3661.6,3768.0,2026-01-20,3786.5,521411,3645.5
3656.7,3661.6,2026-01-21,3694.6,473540,3617.6
3724.1,3690.0,2026-01-22,3735.0,409471,3658.0
3665.6,3724.1,2026-01-23,3738.9,185668,3646.8
3670.6,3651.0,2026-01-27,3686.1,374815,3633.8
3735.7,3663.0,2026-01-28,3744.3,242635,3663.0
3667.2,3710.4,2026-01-29,3727.2,448584,3641.0
3689.5,3645.0,2026-01-30,3740.0,619205,3638.0
3674.2,3639.0,2026-02-02,3683.3,212416,3600.0
3776.6,3750.0,2026-02-03,3802.4,412498,3709.0
3824.3,3794.0,2026-02-04,3849.0,269849,3749.0
3934.9,3849.0,2026-02-05,3949.5,867140,3825.1
3889.9,3934.8,2026-02-06,3949.0,276165,3850.0
3922.4,3893.1,2026-02-09,3939.6,224953,3890.2
4002.2,3940.0,2026-02-10,4019.0,388861,3920.0
4003.7,4014.0,2026-02-11,4032.2,324857,3970.1
3963.0,4000.0,2026-02-12,4000.0,197205,3947.6
3909.2,3944.3,2026-02-13,3949.5,219061,3887.0
3880.7,3850.0,2026-02-16,3900.8,239724,3842.3
3902.9,3869.9,2026-02-17,3940.0,176705,3869.9
3915.2,3903.0,2026-02-18,3924.7,170546,3883.5
3834.1,3915.0,2026-02-19,3944.0,286762,3821.2
3866.4,3848.4,2026-02-20,3889.3,194556,3825.0
3845.3,3889.0,2026-02-23,3900.0,438695,3810.3
3849.3,3840.0,2026-02-24,3862.3,395317,3798.6
3888.2,3880.0,2026-02-25,3945.8,325095,3857.8
3865.6,3900.0,2026-02-26,3900.6,415196,3820.0
3847.6,3880.2,2026-02-27,3883.0,478983,3804.0
3802.5,3700.0,2026-03-02,3833.1,378340,3700.0
3760.9,3772.2,2026-03-04,3795.0,603969,3736.0
3835.4,3763.0,2026-03-05,3853.0,516200,3726.6
3875.8,3825.0,2026-03-06,3903.9,224906,3825.0
3966.2,3866.9,2026-03-09,3982.0,933615,3814.5
3946.8,3993.0,2026-03-10,4000.0,320407,3916.9
3944.8,3946.8,2026-03-11,3992.0,380922,3908.1
3953.6,3928.2,2026-03-12,3975.0,352801,3856.2
3834.3,3945.0,2026-03-13,4056.0,913594,3825.0
3817.9,3824.3,2026-03-16,3834.8,401345,3736.1
3781.4,3827.8,2026-03-17,3853.0,229556,3775.0
3844.0,3800.0,2026-03-18,3905.3,340765,3790.3
3808.2,3801.0,2026-03-19,3872.6,426306,3771.0
3770.8,3822.1,2026-03-20,3848.0,386084,3748.7
3655.6,3750.0,2026-03-23,3752.0,296381,3630.0
3756.5,3730.0,2026-03-24,3820.5,416887,3685.1
3910.8,3780.0,2026-03-25,3939.0,1335663,3761.0
3903.2,3900.0,2026-03-27,3940.0,1548765,3865.5
3956.8,3897.6,2026-03-30,4015.0,1738503,3877.0
4271.1,4075.0,2026-04-01,4294.8,2710202,4066.1
4362.4,4228.4,2026-04-02,4393.7,1579436,4190.3
4551.3,4450.0,2026-04-06,4562.6,1915220,4353.1
4466.0,4485.7,2026-04-07,4558.8,601591,4453.1
4368.8,4521.3,2026-04-08,4538.5,1093580,4355.0
4415.6,4351.0,2026-04-09,4430.0,549708,4322.3
4400.6,4415.6,2026-04-10,4437.1,441927,4348.3
4448.0,4300.0,2026-04-13,4477.2,874894,4284.2
4473.3,4500.0,2026-04-15,4509.6,846585,4368.0
4428.3,4496.1,2026-04-16,4506.9,342142,4386.0
4628.5,4446.0,2026-04-17,4644.0,1366449,4435.1
4605.2,4629.9,2026-04-20,4634.3,521891,4550.6
4589.4,4605.2,2026-04-21,4627.3,411473,4550.0
4594.8,4589.2,2026-04-22,4628.9,325451,4532.1
4521.2,4590.0,2026-04-23,4595.0,256265,4512.2
4443.5,4559.5,2026-04-24,4559.5,214778,4416.0
4507.1,4489.8,2026-04-27,4529.0,478314,4460.3
4544.4,4506.4,2026-04-28,4600.5,447096,4480.0
4593.4,4558.0,2026-04-29,4639.9,299310,4558.0
4585.9,4584.0,2026-04-30,4615.0,528855,4511.0
4376.5,4585.0,2026-05-04,4585.0,1358897,4351.0
4358.7,4380.0,2026-05-05,4385.9,318092,4303.0
4432.2,4363.4,2026-05-06,4444.5,396395,4342.1
4386.5,4430.0,2026-05-07,4437.2,320800,4371.0
4402.1,4410.2,2026-05-08,4448.0,266657,4382.4
4389.4,4401.4,2026-05-11,4431.8,165017,4368.6
4331.7,4389.0,2026-05-12,4419.2,245222,4325.0
4334.7,4331.7,2026-05-13,4388.9,225236,4325.0
4341.4,4370.0,2026-05-14,4388.0,309428,4281.2
4358.7,4341.4,2026-05-15,4387.0,145953,4330.3
4304.7,4335.3,2026-05-18,4345.6,168644,4268.0
4236.0,4304.0,2026-05-19,4315.5,367515,4211.0
4144.2,4235.0,2026-05-20,4240.2,346215,4111.0
4137.2,4167.4,2026-05-21,4253.0,498131,4122.3
4117.0,4145.0,2026-05-22,4159.0,207036,4103.6
4097.2,4150.0,2026-05-25,4154.9,284287,4077.6
4103.6,4099.9,2026-05-26,4119.8,479388,4059.9
4124.4,4103.0,2026-05-27,4144.2,229900,4068.7
4054.5,4149.9,2026-05-29,4149.9,2177691,4000.1
4071.8,4074.9,2026-06-01,4106.0,307596,4041.0
4057.0,4025.0,2026-06-02,4068.9,467977,3988.8
4168.4,4064.9,2026-06-03,4193.9,857620,4017.1
4139.3,4160.0,2026-06-04,4225.0,487765,4128.0
4144.2,4139.3,2026-06-05,4235.2,366231,4112.0
4063.3,4100.0,2026-06-08,4147.6,265674,4035.2
4092.0,4092.0,2026-06-09,4150.0,336805,4070.0
4043.4,4078.4,2026-06-10,4208.8,604571,4031.0
3987.0,4043.4,2026-06-11,4089.0,279379,3975.0
3993.6,4045.0,2026-06-12,4045.7,363313,3955.0
4099.0,4040.0,2026-06-15,4143.6,452053,4013.5
4201.3,4109.0,2026-06-16,4209.0,483671,4109.0
4287.5,4215.1,2026-06-17,4307.0,1183530,4202.3
4306.7,4300.0,2026-06-18,4349.6,433140,4287.1
4286.9,4294.9,2026-06-19,4331.3,1411377,4260.0
4330.6,4305.7,2026-06-22,4352.3,299785,4305.7
4392.9,4311.0,2026-06-23,4425.0,556327,4306.0
4336.0,4395.1,2026-06-24,4429.4,307333,4304.0
4294.6,4350.0,2026-06-25,4364.4,372532,4285.0
4357.0,4290.1,2026-06-29,4385.0,722211,4277.7
4380.7,4357.9,2026-06-30,4402.0,379455,4312.5
4328.6,4368.8,2026-07-01,4374.7,930654,4220.5
4187.0,4328.6,2026-07-02,4334.6,1254320,4176.0
3994.4,4090.0,2026-07-03,4090.0,1901310,3982.7
4064.699951171875,4024.199951171875,2026-07-06,4076.0,610491,3996.699951171875
4070.89990234375,4076.10009765625,2026-07-07,4094.60009765625,550032,4042.39990234375
4038.60009765625,4050.0,2026-07-08,4071.199951171875,236644,4009.89990234375
4079.39990234375,4034.0,2026-07-09,4086.199951171875,533042,3980.0
