close,open,date,high,volume,low
2427.5,2410.0,2025-07-09,2446.0,59505,2409.9
2400.0,2427.5,2025-07-10,2443.0,62265,2395.0
2357.7,2410.0,2025-07-11,2410.0,68258,2336.0
2333.5,2350.0,2025-07-14,2355.0,80539,2320.1
2421.6,2355.0,2025-07-15,2435.0,224224,2340.2
2387.7,2421.6,2025-07-16,2429.9,95444,2376.1
2394.4,2387.7,2025-07-17,2424.5,41187,2374.9
2377.4,2392.0,2025-07-18,2400.0,22724,2370.0
2374.8,2375.1,2025-07-21,2397.0,29505,2350.0
2398.3,2380.5,2025-07-22,2410.8,142924,2356.6
2361.6,2398.3,2025-07-23,2409.5,51897,2355.6
2395.6,2362.0,2025-07-24,2410.0,163468,2352.3
2369.0,2405.0,2025-07-25,2405.0,26453,2354.4
2316.1,2369.0,2025-07-28,2373.0,47107,2299.5
2370.3,2306.5,2025-07-29,2388.5,77199,2285.1
2335.3,2365.1,2025-07-30,2367.9,20861,2325.1
2342.6,2330.0,2025-07-31,2368.9,31556,2300.0
2317.6,2334.2,2025-08-01,2349.9,17299,2306.1
2365.4,2300.1,2025-08-04,2379.7,40062,2297.5
2426.0,2365.0,2025-08-05,2431.5,61649,2348.0
2398.0,2435.0,2025-08-06,2436.0,40164,2360.0
2335.4,2380.0,2025-08-07,2380.0,102164,2298.8
2287.7,2365.0,2025-08-08,2365.0,64613,2275.4
2503.2,2345.0,2025-08-11,2569.0,3424927,2321.5
2421.6,2550.0,2025-08-12,2608.9,1135861,2397.2
2376.8,2404.0,2025-08-13,2435.3,235546,2334.3
2396.8,2385.0,2025-08-14,2415.5,64901,2366.5
2489.3,2410.9,2025-08-18,2520.5,230337,2410.9
2472.2,2505.0,2025-08-19,2509.9,72675,2458.1
2486.5,2471.0,2025-08-20,2490.4,35766,2441.3
2503.5,2490.0,2025-08-21,2522.8,62568,2483.4
2473.9,2512.0,2025-08-22,2512.0,33382,2465.6
2493.1,2482.5,2025-08-25,2507.9,54786,2469.5
2461.3,2493.0,2025-08-26,2493.0,40672,2441.3
2444.3,2461.1,2025-08-28,2464.9,26463,2423.2
2431.7,2450.0,2025-08-29,2464.9,32283,2412.2
2445.2,2433.0,2025-09-01,2450.0,47544,2420.2
2480.4,2470.0,2025-09-02,2497.7,32678,2446.1
2503.3,2481.0,2025-09-03,2535.3,46142,2462.6
2692.2,2725.0,2025-09-04,2770.0,2672041,2575.0
2646.4,2739.5,2025-09-05,2760.0,367040,2621.7
2604.2,2650.0,2025-09-08,2662.0,94885,2567.9
2590.9,2603.8,2025-09-09,2615.0,61232,2570.0
2585.3,2600.0,2025-09-10,2620.0,129334,2575.0
2595.8,2570.0,2025-09-11,2600.7,42920,2565.3
2596.8,2595.8,2025-09-12,2633.9,76396,2562.0
2637.2,2597.4,2025-09-15,2655.9,75497,2581.0
2598.8,2640.0,2025-09-16,2650.0,46259,2591.1
2617.0,2600.0,2025-09-17,2631.9,35587,2585.0
2596.6,2608.0,2025-09-18,2657.0,32945,2579.2
2622.3,2588.0,2025-09-19,2636.7,37002,2575.0
2622.6,2629.9,2025-09-22,2640.0,34106,2600.0
2614.0,2624.0,2025-09-23,2625.0,16440,2600.0
2613.0,2610.0,2025-09-24,2638.6,33323,2596.1
2555.3,2614.8,2025-09-25,2614.8,19400,2532.5
2480.3,2535.0,2025-09-26,2547.6,35894,2474.0
2513.2,2480.2,2025-09-29,2559.6,47518,2468.4
2486.3,2513.2,2025-09-30,2550.0,33990,2452.2
2497.5,2498.7,2025-10-01,2511.3,46786,2471.0
2500.8,2497.1,2025-10-03,2512.8,20558,2475.0
2486.0,2512.5,2025-10-06,2516.4,13276,2477.1
2610.1,2485.0,2025-10-07,2653.2,947495,2485.0
2598.5,2590.0,2025-10-08,2625.8,70058,2560.0
2556.4,2580.0,2025-10-09,2591.9,30536,2534.0
2553.4,2556.0,2025-10-10,2568.4,18478,2538.3
2528.2,2550.1,2025-10-13,2550.1,21798,2515.1
2501.6,2529.9,2025-10-14,2563.0,39663,2491.0
2496.7,2501.6,2025-10-15,2519.6,34339,2471.8
2504.6,2505.0,2025-10-16,2554.9,42690,2490.0
2478.2,2509.0,2025-10-17,2510.1,27298,2475.0
2486.5,2499.0,2025-10-20,2501.0,39879,2475.0
2524.2,2488.0,2025-10-21,2530.0,12864,2488.0
2487.3,2543.9,2025-10-23,2548.0,38808,2482.0
2500.8,2510.0,2025-10-24,2515.0,17238,2480.2
2517.4,2513.0,2025-10-27,2524.8,17446,2499.1
2543.3,2539.0,2025-10-28,2550.0,25478,2500.2
2531.0,2554.0,2025-10-29,2554.0,12645,2512.3
2537.3,2523.0,2025-10-30,2543.9,13832,2519.9
2572.1,2537.3,2025-10-31,2600.0,64165,2535.6
2560.4,2575.0,2025-11-03,2584.8,16524,2551.0
2533.4,2560.0,2025-11-04,2571.8,54664,2488.0
2548.2,2490.1,2025-11-06,2560.0,123018,2490.1
2474.6,2524.0,2025-11-07,2524.0,45978,2466.1
2519.3,2474.6,2025-11-10,2542.0,42453,2450.0
2566.0,2540.0,2025-11-11,2582.5,85190,2501.5
2538.9,2567.8,2025-11-12,2571.0,36084,2520.0
2509.0,2550.0,2025-11-13,2550.0,30304,2500.0
2621.7,2514.6,2025-11-14,2633.0,109551,2505.9
2599.6,2625.0,2025-11-17,2649.1,41127,2581.0
2553.8,2613.2,2025-11-18,2614.6,64647,2540.0
2557.7,2557.0,2025-11-19,2567.3,16067,2535.2
2532.9,2558.6,2025-11-20,2575.6,15857,2522.8
2519.2,2553.4,2025-11-21,2571.5,36993,2500.0
2518.4,2518.0,2025-11-24,2528.2,16675,2490.5
2525.9,2523.3,2025-11-25,2529.9,17593,2495.0
2549.4,2535.3,2025-11-26,2575.0,22618,2527.3
2521.8,2533.8,2025-11-27,2554.7,11341,2515.1
2510.0,2537.0,2025-11-28,2538.9,10266,2503.0
2494.6,2516.1,2025-12-01,2516.1,13256,2485.0
2503.4,2494.6,2025-12-02,2510.7,9846,2481.3
2609.0,2550.0,2025-12-03,2665.9,1871777,2526.0
2631.5,2609.0,2025-12-04,2639.8,118158,2576.6
2600.5,2628.2,2025-12-05,2636.7,29219,2580.3
2578.1,2614.9,2025-12-08,2625.0,44190,2543.6
2536.8,2572.1,2025-12-09,2572.1,47978,2485.1
2508.3,2536.8,2025-12-10,2600.4,34737,2495.0
2533.0,2504.1,2025-12-11,2551.0,23770,2492.0
2571.9,2551.9,2025-12-12,2575.0,34542,2533.0
2590.1,2569.0,2025-12-15,2602.0,19207,2550.0
2548.6,2595.0,2025-12-16,2595.0,18840,2536.0
2530.4,2536.0,2025-12-17,2570.0,14310,2521.9
2538.8,2525.0,2025-12-18,2553.7,16180,2505.0
2589.4,2525.0,2025-12-19,2599.9,24441,2525.0
2577.2,2602.0,2025-12-22,2602.0,13333,2566.6
2567.5,2600.0,2025-12-23,2600.0,14746,2558.8
2574.6,2569.3,2025-12-24,2586.0,21506,2535.2
2572.0,2574.6,2025-12-26,2585.0,15855,2545.8
2532.1,2550.0,2025-12-29,2577.4,15655,2524.0
2539.9,2530.0,2025-12-30,2547.8,14120,2511.7
2615.4,2541.7,2025-12-31,2628.4,50265,2531.7
2601.8,2614.6,2026-01-01,2630.0,15811,2581.0
2673.9,2583.0,2026-01-02,2706.4,110649,2583.0
2661.6,2675.0,2026-01-05,2699.0,106164,2638.1
2641.7,2661.0,2026-01-06,2695.0,32874,2626.0
2606.2,2633.0,2026-01-07,2636.6,38585,2585.0
2559.3,2605.0,2026-01-08,2616.9,45198,2543.1
2491.8,2546.3,2026-01-09,2546.3,65878,2475.3
2469.1,2485.0,2026-01-12,2497.8,28494,2445.0
2452.6,2470.0,2026-01-13,2492.7,16363,2437.0
2517.2,2450.0,2026-01-14,2539.4,48262,2450.0
2543.2,2517.2,2026-01-16,2585.4,45697,2487.6
2561.3,2515.0,2026-01-19,2582.7,30140,2500.0
2456.4,2550.0,2026-01-20,2550.2,34982,2409.0
2399.2,2413.0,2026-01-21,2438.5,65646,2342.0
2408.0,2405.0,2026-01-22,2429.9,18491,2400.0
2383.0,2418.0,2026-01-23,2438.9,25230,2338.9
2340.6,2378.0,2026-01-27,2409.9,61340,2318.2
2351.8,2344.3,2026-01-28,2384.5,22105,2320.4
2287.9,2335.0,2026-01-29,2351.0,46266,2265.0
2382.0,2287.9,2026-01-30,2389.9,41692,2271.9
2386.2,2355.0,2026-02-02,2460.0,24959,2345.0
2422.4,2460.1,2026-02-03,2487.8,47857,2406.0
2468.4,2407.1,2026-02-04,2485.0,47769,2387.4
2474.3,2465.0,2026-02-05,2755.0,30631,2408.0
2419.0,2440.0,2026-02-06,2450.0,25210,2407.0
2422.1,2424.0,2026-02-09,2467.5,36542,2400.5
2483.8,2420.0,2026-02-10,2516.3,69741,2412.4
2461.9,2496.0,2026-02-11,2496.0,18045,2450.1
2413.7,2461.9,2026-02-12,2462.0,27535,2406.5
2365.7,2403.9,2026-02-13,2404.0,97056,2340.0
2368.3,2368.0,2026-02-16,2381.8,8435,2350.0
2349.9,2360.0,2026-02-17,2373.9,16859,2334.6
2341.4,2361.1,2026-02-18,2386.8,30043,2325.4
2325.7,2344.6,2026-02-19,2372.7,22796,2314.0
2313.0,2320.0,2026-02-20,2329.1,35361,2281.5
2298.0,2313.0,2026-02-23,2315.1,20764,2285.0
2364.6,2290.0,2026-02-24,2387.0,159398,2286.0
2378.1,2369.6,2026-02-25,2389.4,57261,2365.5
2347.4,2380.0,2026-02-26,2383.4,23690,2325.0
2332.0,2337.5,2026-02-27,2345.0,18380,2311.0
2259.6,2299.8,2026-03-02,2299.8,22300,2211.0
2199.0,2210.0,2026-03-04,2239.3,39906,2184.0
2143.4,2230.0,2026-03-05,2239.9,70270,2100.0
2096.1,2130.0,2026-03-06,2150.0,46976,2081.3
2055.8,2075.0,2026-03-09,2085.7,53949,2023.9
2112.7,2094.9,2026-03-10,2149.0,35399,2058.3
2097.7,2115.1,2026-03-11,2125.0,56541,2088.2
2154.0,2082.3,2026-03-12,2389.1,6786271,2069.1
2082.5,2172.3,2026-03-13,2205.9,391057,2050.0
2139.7,2088.8,2026-03-16,2155.0,213882,2033.6
2156.7,2129.5,2026-03-17,2185.0,98518,2110.1
2244.3,2179.9,2026-03-18,2262.0,208924,2153.0
2175.0,2221.0,2026-03-19,2221.0,92888,2155.0
2278.8,2169.7,2026-03-20,2295.5,233219,2169.7
2209.2,2221.6,2026-03-23,2238.7,87915,2177.6
2295.4,2308.6,2026-03-24,2309.8,127332,2215.0
2337.6,2300.0,2026-03-25,2363.0,96770,2290.8
2244.4,2320.0,2026-03-27,2321.9,85130,2206.2
2298.4,2235.0,2026-03-30,2311.3,120440,2168.0
2345.1,2375.0,2026-04-01,2393.5,81582,2292.1
2356.4,2334.9,2026-04-02,2371.4,41630,2291.5
2324.9,2347.0,2026-04-06,2347.0,54928,2284.9
2345.7,2325.0,2026-04-07,2384.7,38365,2306.0
2375.2,2403.0,2026-04-08,2409.1,34572,2367.7
2396.5,2361.0,2026-04-09,2403.1,40200,2351.5
2408.6,2396.5,2026-04-10,2428.7,24073,2382.1
2373.4,2379.0,2026-04-13,2404.0,21120,2333.5
2388.2,2434.5,2026-04-15,2434.5,48618,2371.5
2383.1,2425.0,2026-04-16,2425.0,28442,2373.0
2391.5,2385.5,2026-04-17,2435.0,46588,2378.1
2364.8,2410.0,2026-04-20,2422.5,44873,2351.1
2392.6,2378.0,2026-04-21,2410.0,33196,2367.0
2419.1,2392.6,2026-04-22,2425.0,85086,2338.1
