close,open,date,high,volume,low
1299.8,1287.0,2025-07-29,1302.0,1943466,1282.8
1292.1,1298.1,2025-07-30,1298.1,1387013,1277.7
1270.3,1274.5,2025-07-31,1285.0,1968821,1257.0
1220.6,1258.0,2025-08-01,1259.0,2525210,1213.7
1225.0,1225.1,2025-08-04,1232.2,767310,1219.2
1214.8,1225.0,2025-08-05,1232.0,956582,1205.0
1196.7,1214.8,2025-08-06,1217.8,1701845,1187.5
1200.8,1184.0,2025-08-07,1210.0,1246560,1183.4
1211.4,1200.8,2025-08-08,1215.0,2389106,1195.4
1219.5,1212.5,2025-08-11,1237.0,1246374,1208.6
1220.3,1210.0,2025-08-12,1227.2,922461,1204.1
1253.4,1220.3,2025-08-13,1255.5,1192506,1219.8
1260.4,1255.1,2025-08-14,1266.0,1603933,1250.2
1262.7,1270.0,2025-08-18,1270.6,1648543,1241.1
1244.2,1263.0,2025-08-19,1263.8,1061816,1241.9
1245.4,1244.0,2025-08-20,1250.7,685379,1238.0
1276.6,1245.4,2025-08-21,1281.8,2008295,1240.3
1277.6,1274.1,2025-08-22,1284.1,1229920,1265.6
1283.9,1277.7,2025-08-25,1288.9,967056,1275.3
1263.2,1276.0,2025-08-26,1279.6,2798216,1259.0
1259.8,1263.2,2025-08-28,1267.4,1827890,1248.5
1260.1,1259.0,2025-08-29,1266.4,2422956,1240.8
1279.9,1260.1,2025-09-01,1285.0,1273903,1260.1
1253.7,1279.9,2025-09-02,1283.4,1632660,1248.0
1262.2,1250.0,2025-09-03,1265.9,1294925,1247.6
1253.0,1268.0,2025-09-04,1274.7,1230934,1249.0
1268.1,1254.3,2025-09-05,1271.7,769861,1253.6
1250.6,1269.0,2025-09-08,1277.0,969297,1248.7
1291.3,1257.5,2025-09-09,1295.8,1643726,1256.8
1304.2,1294.4,2025-09-10,1310.0,1232984,1293.7
1303.1,1304.0,2025-09-11,1311.0,1349391,1283.0
1316.7,1303.1,2025-09-12,1321.0,1042942,1302.8
1300.8,1308.9,2025-09-15,1311.8,1331182,1292.5
1310.4,1300.0,2025-09-16,1312.5,1034369,1296.4
1311.4,1317.0,2025-09-17,1318.2,716840,1305.2
1322.7,1312.1,2025-09-18,1325.8,822010,1305.7
1321.7,1324.7,2025-09-19,1326.8,1409571,1312.0
1301.4,1320.9,2025-09-22,1320.9,1399531,1293.5
1308.4,1300.0,2025-09-23,1311.9,1271238,1295.2
1298.1,1303.3,2025-09-24,1308.3,750456,1294.4
1275.2,1298.3,2025-09-25,1307.3,1241492,1268.0
1253.1,1250.0,2025-09-26,1278.5,2284377,1246.2
1234.6,1265.0,2025-09-29,1270.0,3899164,1231.0
1223.7,1235.1,2025-09-30,1240.3,2635047,1217.5
1244.7,1227.9,2025-10-01,1250.7,4083180,1226.0
1248.1,1243.9,2025-10-03,1265.4,2742600,1240.0
1248.6,1248.2,2025-10-06,1251.3,1880910,1234.2
1248.5,1250.3,2025-10-07,1256.1,1380941,1244.4
1234.5,1248.3,2025-10-08,1251.0,1496744,1231.4
1246.1,1245.0,2025-10-09,1264.9,2699135,1240.3
1264.4,1249.6,2025-10-10,1267.7,1680920,1244.7
1262.4,1257.0,2025-10-13,1265.1,1188201,1248.3
1237.3,1262.4,2025-10-14,1262.4,1944911,1232.3
1232.4,1233.0,2025-10-15,1242.3,2150067,1231.0
1240.2,1235.9,2025-10-16,1242.6,1308931,1230.3
1255.9,1245.0,2025-10-17,1262.0,1473018,1238.1
1282.0,1264.8,2025-10-20,1287.7,1368192,1259.8
1288.7,1288.0,2025-10-21,1294.0,226788,1283.1
1279.4,1303.6,2025-10-23,1303.6,1991213,1271.6
1283.6,1280.0,2025-10-24,1288.0,1167634,1265.5
1284.3,1283.0,2025-10-27,1293.4,1927956,1264.6
1289.4,1283.9,2025-10-28,1294.9,1828290,1275.3
1250.9,1299.0,2025-10-29,1301.5,2574921,1235.0
1202.2,1196.0,2025-10-30,1207.2,8883497,1180.9
1197.6,1202.5,2025-10-31,1205.5,4250157,1191.0
1196.0,1196.9,2025-11-03,1200.8,1547000,1187.9
1200.0,1198.0,2025-11-04,1204.3,1015516,1193.3
1205.2,1202.0,2025-11-06,1213.9,1560897,1193.2
1205.4,1208.0,2025-11-07,1211.9,1076140,1198.0
1198.7,1199.4,2025-11-10,1209.5,3483082,1195.0
1211.5,1203.6,2025-11-11,1214.8,1048552,1198.6
1229.6,1220.1,2025-11-12,1235.0,1222295,1215.0
1234.9,1235.8,2025-11-13,1242.4,1426984,1227.3
1246.0,1235.2,2025-11-14,1249.0,827643,1231.8
1244.4,1253.0,2025-11-17,1253.0,1423044,1240.5
1243.8,1244.5,2025-11-18,1247.0,971685,1232.7
1250.2,1248.7,2025-11-19,1252.7,830105,1237.0
1248.6,1255.0,2025-11-20,1255.0,854999,1237.7
1243.9,1244.8,2025-11-21,1250.7,941902,1237.1
1226.2,1248.0,2025-11-24,1262.4,7611988,1219.0
1236.1,1236.3,2025-11-25,1251.2,1983817,1230.3
1248.0,1236.1,2025-11-26,1251.0,809816,1234.6
1249.3,1248.0,2025-11-27,1256.0,1060956,1241.0
1258.8,1250.0,2025-11-28,1260.3,809748,1245.0
1260.1,1263.9,2025-12-01,1268.8,1457856,1248.4
1275.2,1260.5,2025-12-02,1278.3,2361183,1260.5
1280.7,1283.6,2025-12-03,1293.0,4969448,1269.2
1277.6,1280.6,2025-12-04,1284.2,1971130,1266.5
1275.2,1277.6,2025-12-05,1282.8,1036082,1271.6
1266.5,1275.0,2025-12-08,1279.0,1435892,1263.7
1246.2,1266.5,2025-12-09,1267.4,2118272,1241.3
1250.8,1249.3,2025-12-10,1262.1,1669910,1246.8
1273.5,1250.8,2025-12-11,1275.9,1717539,1248.0
1279.3,1275.0,2025-12-12,1280.4,981548,1267.3
1280.6,1274.9,2025-12-15,1282.8,1078613,1264.1
