close,open,date,high,volume,low
3646.8,3738.7,2025-07-25,3920.9,620008,3615.1
3774.1,3683.3,2025-07-28,3830.0,275512,3659.5
3722.0,3768.0,2025-07-29,3814.4,85768,3706.0
3784.1,3722.0,2025-07-30,3872.6,149615,3722.0
3767.2,3722.0,2025-07-31,3825.0,60394,3708.4
3799.2,3815.0,2025-08-01,3943.0,245463,3750.0
4087.3,3829.0,2025-08-04,4200.0,447087,3782.1
3977.1,4035.0,2025-08-05,4049.1,117911,3956.7
3951.6,3970.0,2025-08-06,3991.5,79199,3860.0
4114.5,3940.0,2025-08-07,4148.5,210988,3898.8
4109.3,4108.0,2025-08-08,4150.9,162981,4020.0
4108.9,4113.4,2025-08-11,4200.0,124903,4068.2
4094.3,4102.0,2025-08-12,4115.0,46931,4046.0
3989.3,4099.0,2025-08-13,4145.9,91539,3945.6
3997.2,3989.3,2025-08-14,4089.3,64969,3960.5
3912.5,4085.0,2025-08-18,4100.0,64846,3880.1
4041.2,3890.5,2025-08-19,4084.0,68501,3890.4
3989.9,4060.0,2025-08-20,4073.0,40684,3962.0
3998.5,4022.0,2025-08-21,4022.0,22403,3960.1
3897.5,4032.9,2025-08-22,4032.9,40482,3873.0
4238.8,3910.0,2025-08-25,4280.0,1141778,3910.0
4454.9,4248.8,2025-08-26,4640.0,717756,4186.0
4245.1,4440.4,2025-08-28,4440.4,179000,4219.0
4221.3,4175.5,2025-08-29,4333.0,136728,4140.0
4496.8,4213.9,2025-09-01,4528.7,347573,4188.6
4534.5,4495.0,2025-09-02,4600.0,169679,4421.6
4408.0,4475.0,2025-09-03,4510.0,96272,4375.1
4439.0,4420.0,2025-09-04,4527.6,73165,4341.6
4290.6,4420.0,2025-09-05,4431.6,56132,4259.0
4234.5,4275.0,2025-09-08,4314.4,47068,4214.0
4338.2,4231.8,2025-09-09,4404.0,141899,4220.0
4475.0,4385.0,2025-09-10,4578.4,254451,4299.2
4509.1,4458.0,2025-09-11,4600.0,135487,4406.0
4429.3,4485.0,2025-09-12,4499.0,53245,4410.0
4370.2,4425.4,2025-09-15,4445.6,38633,4337.1
4374.8,4370.2,2025-09-16,4485.6,54021,4345.8
4394.4,4395.0,2025-09-17,4413.8,26406,4336.4
4409.0,4428.5,2025-09-18,4532.1,86540,4380.0
4270.3,4430.9,2025-09-19,4487.0,122585,4204.0
4264.1,4289.9,2025-09-22,4336.0,48894,4232.6
4250.9,4265.0,2025-09-23,4335.0,30816,4231.5
4099.5,4233.0,2025-09-24,4236.4,111294,4047.8
4247.0,4080.7,2025-09-25,4367.0,304776,4067.2
4156.9,4237.8,2025-09-26,4276.0,156878,4101.0
4049.2,4112.0,2025-09-29,4135.9,84025,4030.0
