close,open,date,high,volume,low
5469.0,5440.0,2025-07-24,5502.0,284450,5434.0
5433.0,5480.0,2025-07-25,5480.0,292877,5372.5
5386.0,5433.0,2025-07-28,5456.0,322292,5357.0
5470.5,5390.0,2025-07-29,5484.0,217256,5353.0
5481.0,5465.0,2025-07-30,5556.5,266223,5440.0
5468.5,5450.0,2025-07-31,5510.0,307018,5386.5
5528.0,5551.0,2025-08-01,5670.0,1408773,5475.0
5621.0,5527.5,2025-08-04,5670.0,505407,5520.0
5681.0,5625.0,2025-08-05,5690.0,458305,5584.5
5668.0,5684.5,2025-08-06,5712.5,202535,5651.0
5681.5,5660.0,2025-08-07,5694.5,266900,5588.0
5663.0,5681.5,2025-08-08,5711.5,373874,5655.5
5671.5,5677.0,2025-08-11,5708.5,475811,5652.5
5658.0,5679.5,2025-08-12,5694.0,429572,5643.0
5714.5,5658.0,2025-08-13,5757.5,427562,5648.5
5764.0,5710.0,2025-08-14,5785.5,415010,5710.0
5912.0,5880.0,2025-08-18,6024.5,1288582,5825.5
5938.5,5918.0,2025-08-19,5995.0,843617,5891.5
5937.5,5964.0,2025-08-20,5969.5,510626,5905.0
5975.0,5990.0,2025-08-21,5992.5,499089,5898.0
5924.5,5970.0,2025-08-22,5973.0,273421,5913.5
5990.5,5945.0,2025-08-25,6009.0,822944,5880.0
6151.0,5980.0,2025-08-26,6210.0,1474805,5960.0
6133.0,6269.5,2025-08-28,6269.5,719052,6121.0
6103.0,6149.0,2025-08-29,6174.5,496302,6070.0
6280.0,6085.0,2025-09-01,6292.0,698178,6085.0
6349.0,6310.5,2025-09-02,6388.0,701158,6282.5
6371.5,6349.0,2025-09-03,6379.0,536107,6308.0
6425.0,6690.0,2025-09-04,6713.0,1181698,6411.5
6580.5,6449.0,2025-09-05,6598.5,610721,6440.5
6815.0,6570.5,2025-09-08,6848.0,968116,6569.0
6874.5,6782.0,2025-09-09,6937.0,983283,6779.0
6836.5,6900.0,2025-09-10,6924.5,740607,6802.5
6758.0,6805.0,2025-09-11,6828.5,719575,6750.0
6875.0,6765.0,2025-09-12,6899.0,731798,6762.5
6801.0,6875.0,2025-09-15,6900.5,380686,6787.5
6927.5,6823.0,2025-09-16,6954.5,579275,6800.5
6890.5,6921.0,2025-09-17,6938.0,310534,6879.5
6924.5,6895.5,2025-09-18,6935.0,224356,6868.5
6973.5,6947.0,2025-09-19,7018.0,550551,6925.0
6946.0,7000.0,2025-09-22,7005.5,332786,6925.0
6990.5,7015.0,2025-09-23,7122.5,679055,6978.5
7011.5,6950.0,2025-09-24,7060.5,323002,6927.5
6986.0,7009.5,2025-09-25,7044.5,375861,6932.0
7047.0,6980.0,2025-09-26,7091.0,679362,6965.5
6985.0,7049.0,2025-09-29,7073.5,612976,6969.0
7005.5,6984.5,2025-09-30,7032.5,363934,6951.5
7021.5,7000.0,2025-10-01,7063.0,313734,6950.0
6941.0,7000.0,2025-10-03,7008.5,669742,6850.0
6880.0,6941.0,2025-10-06,6955.5,218200,6865.0
6957.0,6880.0,2025-10-07,6999.0,286586,6880.0
6902.5,6957.0,2025-10-08,7007.0,476286,6889.5
6896.5,6925.0,2025-10-09,6958.0,405889,6818.0
6965.0,6895.5,2025-10-10,6984.0,282882,6876.5
6912.0,6999.5,2025-10-13,7047.0,342990,6896.5
6887.0,6939.5,2025-10-14,6942.0,309415,6815.0
6895.0,6893.5,2025-10-15,6940.0,237366,6865.0
6988.0,6893.0,2025-10-16,7016.5,319047,6892.0
7042.5,6990.0,2025-10-17,7099.0,402013,6988.0
7013.5,7049.0,2025-10-20,7104.5,326177,7007.5
7018.5,7037.0,2025-10-21,7058.0,14379,7005.0
6884.5,7100.0,2025-10-23,7100.0,419750,6869.0
6840.0,6894.0,2025-10-24,6909.5,243740,6792.0
6906.5,6868.0,2025-10-27,6927.5,228141,6838.5
7002.5,6905.0,2025-10-28,7022.0,485231,6905.0
6952.0,7007.5,2025-10-29,7007.5,343504,6889.0
6889.0,6952.0,2025-10-30,6988.5,412184,6869.0
7007.0,6929.0,2025-10-31,7099.0,670785,6902.5
7023.5,7030.0,2025-11-03,7070.0,334962,6996.5
6930.0,7050.0,2025-11-04,7060.0,494329,6906.5
6806.5,6945.0,2025-11-06,6975.0,435650,6793.5
6886.0,6806.5,2025-11-07,6897.0,465149,6720.5
6866.5,6870.0,2025-11-10,6915.5,514365,6800.5
6873.0,6871.5,2025-11-11,6890.0,409676,6754.0
6879.0,6906.5,2025-11-12,6925.0,300606,6838.5
6855.0,6875.0,2025-11-13,6946.5,842032,6758.5
6695.0,6799.0,2025-11-14,6850.0,739163,6670.0
6799.0,6730.0,2025-11-17,6809.0,789635,6675.0
6814.5,6835.0,2025-11-18,6854.0,517129,6754.0
6896.5,6800.0,2025-11-19,6911.5,416170,6760.0
7125.5,6906.0,2025-11-20,7138.0,857232,6886.5
7134.5,7125.5,2025-11-21,7205.0,654156,7088.5
7258.5,7151.5,2025-11-24,7284.5,1229296,7135.0
7218.5,7258.5,2025-11-25,7274.5,521990,7180.0
7198.5,7258.0,2025-11-26,7273.0,313545,7180.0
6999.0,7210.0,2025-11-27,7210.5,480102,6981.0
7053.5,6999.0,2025-11-28,7065.0,449709,6956.0
7125.5,7061.5,2025-12-01,7250.0,974710,7025.0
7112.5,7125.0,2025-12-02,7196.0,448174,7091.5
7081.5,7090.0,2025-12-03,7105.0,333674,7042.0
7100.0,7098.0,2025-12-04,7167.5,364672,7066.5
7208.0,7120.0,2025-12-05,7218.0,501035,7070.5
7142.0,7230.0,2025-12-08,7234.0,273509,7115.0
7123.0,7142.0,2025-12-09,7196.0,436443,7052.0
7228.5,7129.5,2025-12-10,7294.0,626505,7129.5
7256.0,7250.0,2025-12-11,7328.5,502052,7220.5
7229.0,7235.0,2025-12-12,7274.5,324682,7188.0
7121.5,7200.0,2025-12-15,7210.5,391821,7094.5
7061.5,7120.0,2025-12-16,7121.5,505906,7035.5
7134.5,7104.0,2025-12-17,7176.5,594264,7080.5
7106.5,7135.0,2025-12-18,7144.0,327756,7013.5
7217.0,7075.0,2025-12-19,7242.0,423435,7075.0
7291.5,7238.0,2025-12-22,7310.0,233966,7213.0
7303.0,7338.0,2025-12-23,7338.0,249187,7280.0
7312.5,7300.0,2025-12-24,7349.5,205296,7240.5
7324.0,7300.0,2025-12-26,7360.0,157706,7274.0
7272.0,7324.0,2025-12-29,7374.5,282572,7232.5
7192.5,7272.0,2025-12-30,7312.0,1976062,7132.5
7312.5,7189.0,2025-12-31,7322.5,357381,7140.0
7348.0,7317.0,2026-01-01,7363.0,155326,7271.5
7334.5,7348.0,2026-01-02,7382.5,227469,7298.0
7482.5,7344.0,2026-01-05,7514.5,426798,7328.0
7522.5,7514.0,2026-01-06,7569.0,396099,7484.5
7582.5,7523.0,2026-01-07,7597.0,380761,7490.0
7551.0,7590.0,2026-01-08,7601.0,459727,7539.0
7507.0,7582.0,2026-01-09,7613.5,474627,7486.0
7436.0,7477.0,2026-01-12,7507.0,315579,7322.0
7404.0,7488.0,2026-01-13,7514.5,262636,7348.0
7358.0,7390.0,2026-01-14,7390.0,426082,7236.0
7315.0,7330.0,2026-01-16,7417.0,441023,7298.5
7323.5,7300.0,2026-01-19,7373.0,211682,7268.5
7173.5,7336.0,2026-01-20,7375.0,302200,7130.0
7140.0,7100.5,2026-01-21,7219.0,480751,7005.0
7049.0,7175.0,2026-01-22,7325.0,366499,7026.0
6973.0,7088.5,2026-01-23,7095.0,365996,6950.0
7164.5,7020.0,2026-01-27,7175.0,498369,6910.5
7071.0,7124.0,2026-01-28,7124.0,856378,6851.0
7056.5,7071.5,2026-01-29,7108.5,632904,6978.0
7122.5,6980.0,2026-01-30,7151.0,454539,6980.0
6985.5,6805.0,2026-02-02,6997.0,490854,6738.0
7215.0,7200.0,2026-02-03,7258.5,689971,7053.0
7277.5,7215.0,2026-02-04,7328.0,260280,7170.5
7209.5,7290.0,2026-02-05,7309.5,254212,7176.5
7177.5,7209.5,2026-02-06,7209.5,251800,7110.5
7195.5,7116.0,2026-02-09,7219.5,314215,7063.5
7296.0,7280.0,2026-02-10,7325.0,467662,7201.0
7771.0,7505.0,2026-02-11,7805.0,2286430,7501.0
7943.0,7779.5,2026-02-12,7968.0,1107781,7760.0
8065.0,7900.0,2026-02-13,8119.0,967939,7886.5
8010.5,8078.5,2026-02-16,8084.5,589984,7968.5
8035.0,7981.0,2026-02-17,8051.5,266572,7925.0
8009.5,8024.0,2026-02-18,8043.5,223326,7945.0
7897.0,8036.0,2026-02-19,8140.0,424777,7884.0
7936.5,7894.5,2026-02-20,7978.0,264059,7885.5
8038.5,7990.0,2026-02-23,8057.5,247249,7937.5
7929.0,7990.0,2026-02-24,8059.5,430812,7902.0
8008.0,7930.0,2026-02-25,8082.0,618719,7772.0
8190.0,8040.0,2026-02-26,8225.0,427401,8024.5
8010.5,8220.0,2026-02-27,8230.0,774354,7987.0
7826.0,7800.0,2026-03-02,7996.5,494148,7715.5
7626.5,7700.0,2026-03-04,7705.0,593728,7571.5
7755.0,7705.0,2026-03-05,7801.5,568151,7615.0
7620.5,7733.0,2026-03-06,7735.0,366235,7603.0
7266.0,7517.0,2026-03-09,7517.0,554984,7237.0
7536.5,7380.0,2026-03-10,7566.5,494730,7338.5
7253.5,7574.0,2026-03-11,7574.0,621563,7227.0
6975.5,7175.0,2026-03-12,7227.5,1259945,6961.0
6741.0,6865.0,2026-03-13,6942.5,819255,6670.0
6827.5,6701.0,2026-03-16,6861.5,866087,6643.5
6910.0,6827.5,2026-03-17,6974.5,555865,6770.0
7027.5,6984.0,2026-03-18,7068.0,557181,6971.0
