close,open,date,high,volume,low
379.9,380.05,2025-07-30,386.5,292914.0,378.1
375.5,371.2,2025-07-31,381.6,192858.0,371.2
376.35,375.0,2025-08-01,384.0,156659.0,375.0
377.5,378.0,2025-08-04,383.95,288544.0,370.5
371.85,378.0,2025-08-05,379.9,217728.0,369.55
365.55,367.0,2025-08-06,371.0,431472.0,360.7
359.4,365.2,2025-08-07,366.2,389554.0,351.85
355.7,360.0,2025-08-08,366.0,256047.0,354.35
359.65,354.1,2025-08-11,361.0,88954.0,352.5
364.5,360.0,2025-08-12,365.2,82434.0,359.1
418.45,365.2,2025-08-13,426.0,10670976.0,364.35
392.1,408.25,2025-08-14,409.5,1751605.0,390.0
386.3,393.85,2025-08-18,394.75,400038.0,384.2
385.2,388.95,2025-08-19,390.7,273920.0,382.85
401.5,387.0,2025-08-20,404.0,1989661.0,385.25
402.3,402.0,2025-08-21,405.8,2713316.0,397.0
406.2,406.0,2025-08-22,418.7,1049812.0,403.85
411.2,408.95,2025-08-25,412.3,571355.0,404.1
405.45,411.2,2025-08-26,411.9,435784.0,401.1
401.95,405.0,2025-08-28,409.4,453197.0,400.8
399.0,402.0,2025-08-29,407.9,176455.0,397.35
396.8,399.9,2025-09-01,406.75,266439.0,395.35
398.05,399.95,2025-09-02,407.35,280802.0,396.45
412.5,400.9,2025-09-03,417.5,2095252.0,400.9
412.3,418.0,2025-09-04,418.95,380581.0,410.9
411.15,414.0,2025-09-05,418.85,340758.0,408.25
418.15,414.05,2025-09-08,423.2,557173.0,408.1
407.7,421.6,2025-09-09,434.8,1448010.0,405.0
401.15,409.5,2025-09-10,410.15,329349.0,399.15
399.35,405.0,2025-09-11,406.45,175766.0,398.0
397.15,400.0,2025-09-12,401.5,170444.0,395.0
401.0,397.15,2025-09-15,403.0,266603.0,394.15
401.05,403.1,2025-09-16,405.0,220571.0,398.75
403.25,402.0,2025-09-17,405.0,282453.0,397.0
401.85,403.25,2025-09-18,404.55,153826.0,400.0
391.1,405.0,2025-09-19,405.55,547435.0,390.05
391.55,390.0,2025-09-22,395.45,200248.0,388.85
387.2,394.0,2025-09-23,394.0,256046.0,384.1
383.45,388.0,2025-09-24,390.7,137856.0,382.05
379.2,381.4,2025-09-25,384.55,103629.0,378.2
375.15,377.1,2025-09-26,381.45,241264.0,371.55
365.5,373.0,2025-09-29,374.8,438605.0,363.0
359.9,366.0,2025-09-30,372.0,441102.0,358.0
365.65,361.25,2025-10-01,368.2,193507.0,359.9
393.25,365.65,2025-10-03,413.95,7181084.0,364.15
382.2,392.0,2025-10-06,392.0,286375.0,381.05
390.1,381.3,2025-10-07,392.0,233097.0,379.1
394.95,389.05,2025-10-08,396.0,248946.0,385.65
390.45,394.5,2025-10-09,394.5,183925.0,387.35
385.65,390.0,2025-10-10,394.9,82659.0,384.9
378.6,381.25,2025-10-13,391.7,259642.0,376.45
377.85,378.6,2025-10-14,382.7,422134.0,376.05
385.25,379.0,2025-10-15,387.0,114355.0,377.9
387.2,384.0,2025-10-16,389.0,108951.0,383.35
384.5,389.0,2025-10-17,389.4,112385.0,382.6
384.8,389.0,2025-10-20,389.0,71260.0,382.0
389.8,388.95,2025-10-21,391.1,53336.0,386.1
385.35,390.2,2025-10-23,390.2,105791.0,384.1
385.75,385.45,2025-10-24,389.9,127922.0,383.0
384.55,386.0,2025-10-27,386.2,91678.0,382.55
393.55,385.0,2025-10-28,394.4,199629.0,384.3
390.05,395.6,2025-10-29,397.8,190300.0,388.65
394.8,388.3,2025-10-30,395.75,135179.0,387.0
389.8,394.95,2025-10-31,397.5,166846.0,388.05
395.8,389.9,2025-11-03,397.85,160262.0,388.2
399.1,395.0,2025-11-04,405.0,316642.0,394.8
391.35,399.1,2025-11-06,399.3,220819.0,386.35
392.25,386.0,2025-11-07,394.4,116159.0,382.3
387.35,389.1,2025-11-10,391.8,160829.0,385.7
386.55,386.1,2025-11-11,390.15,91426.0,384.35
377.3,380.0,2025-11-12,384.0,794099.0,371.8
376.85,379.3,2025-11-13,380.05,320964.0,372.3
377.1,374.55,2025-11-14,380.15,115335.0,374.55
374.45,377.1,2025-11-17,380.0,321451.0,373.35
383.45,372.9,2025-11-18,391.6,1024950.0,372.9
379.8,384.6,2025-11-19,384.6,152868.0,375.9
377.35,378.95,2025-11-20,381.6,184660.0,375.9
374.5,377.2,2025-11-21,379.2,199974.0,373.35
373.7,373.0,2025-11-24,376.75,169926.0,371.35
374.95,373.75,2025-11-25,377.95,146828.0,371.55
375.25,375.4,2025-11-26,381.75,154131.0,373.65
373.25,375.2,2025-11-27,379.0,180617.0,371.25
373.95,373.3,2025-11-28,377.65,164064.0,372.75
375.95,376.0,2025-12-01,379.5,141034.0,373.2
377.9,376.0,2025-12-02,381.65,83667.0,376.0
378.7,377.9,2025-12-03,380.0,1482066.0,376.6
378.0,376.85,2025-12-04,378.8,108520.0,374.55
374.7,379.95,2025-12-05,380.2,130191.0,373.0
373.0,375.0,2025-12-08,376.35,145016.0,370.0
381.25,371.1,2025-12-09,384.9,278206.0,369.0
378.55,378.4,2025-12-10,391.9,204740.0,376.95
376.5,377.05,2025-12-11,379.9,98169.0,372.7
378.15,375.5,2025-12-12,379.45,122617.0,373.05
372.1,378.15,2025-12-15,378.25,70833.0,371.0
370.05,374.1,2025-12-16,374.1,98823.0,366.25
365.6,370.05,2025-12-17,372.25,50361.0,365.0
360.3,365.2,2025-12-18,365.2,107155.0,358.0
366.85,360.3,2025-12-19,368.0,1227273.0,359.55
368.0,366.5,2025-12-22,369.35,95479.0,364.65
365.75,368.95,2025-12-23,369.05,93189.0,364.2
363.75,367.5,2025-12-24,368.65,78262.0,362.75
367.1,363.65,2025-12-26,368.4,76571.0,362.0
364.15,367.1,2025-12-29,371.0,177931.0,360.0
364.1,364.15,2025-12-30,366.55,134171.0,361.0
368.25,366.0,2025-12-31,368.9,60714.0,363.45
366.1,368.25,2026-01-01,370.2,45668.0,364.55
367.3,366.0,2026-01-02,368.9,100885.0,363.6
363.9,369.7,2026-01-05,371.05,166396.0,361.6
356.35,365.3,2026-01-06,365.3,252555.0,352.7
354.95,355.5,2026-01-07,356.9,117570.0,352.0
350.4,354.5,2026-01-08,356.5,75915.0,349.25
346.6,350.1,2026-01-09,352.0,102712.0,344.6
345.3,342.1,2026-01-12,347.8,149936.0,342.1
346.3,347.05,2026-01-13,347.45,163386.0,342.65
344.85,345.05,2026-01-14,348.4,746477.0,343.85
340.85,344.25,2026-01-16,346.7,176719.0,337.9
336.95,339.1,2026-01-19,339.4,136105.0,331.55
329.45,337.95,2026-01-20,337.95,214607.0,327.05
330.8,329.0,2026-01-21,335.9,187905.0,324.0
330.45,335.7,2026-01-22,336.9,149608.0,329.2
322.4,330.45,2026-01-23,332.45,169171.0,320.85
